Group1	Group2	Feature	U_stat	p_raw	Median1	Median2	p_corrected
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	2'-Deoxyguanosine-5'-Diphosphate [[M+H]]/Adenosine 5'-diphosphate (ADP) [[M+H]]	36.0	0.14185814185814188	8130.374880973878	6613.842954928543	0.36036544101060236
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	2'-Deoxyguanosine-5'-Monophosphate [[M+H]]	28.0	0.662004662004662	8718.441421898635	7135.454315223136	0.8836079175062226
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	2'-Deoxyuridine [[M+Na]]	28.0	0.662004662004662	784.0288568257492	461.0439771678758	0.8836079175062226
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	5'-Deoxy-5'-Methylthioadenosine [[M+H]]	25.0	0.9497169497169498	81.40603874482898	28.372121045202604	0.9864037601742521
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	ATP [[M+H]]	28.0	0.662004662004662	1421.6380952380953	1107.7869741436211	0.8836079175062226
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Acetyl coenzyme A (Acetyl-CoA) [[M+H]]	16.0	0.344988344988345	523.9312526977299	805.1830729301705	0.6174507310870948
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Ademetionine [[M+H]]	32.0	0.344988344988345	2743.519284169518	1923.7214501212275	0.6174507310870948
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Adenine [[M+H]]	37.0	0.1061982770099431	6144.645454545454	4426.047379330981	0.28591843810369294
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Adenosine 5'-phosphosulfate [[M+Na]]	29.0	0.5727605727605728	184.7617788932161	146.6921776135412	0.8430821514933665
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Adenosine phosphate [[M+H]]	31.0	0.4135864135864136	35638.2349862259	31046.39613537856	0.6820927763336141
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Adenosine-3'-5'-Diphosphate [[M+H]]	35.0	0.18115218115218118	6678.26894819416	5522.705588000181	0.40185166945730333
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Aminoadipate [[M+Na]]	33.0	0.2823842823842824	2945.325021625483	2206.2351028184744	0.5598776223776224
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Argininosuccinic acid [[M+H]]	22.0	0.8518148518148518	4709.601970232359	4503.65330326712	0.9757151938970121
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Biotin [[M+H]]	26.0	0.8518148518148518	1076.0982564933402	737.2487542639828	0.9757151938970121
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Choline [[M+H]]	28.0	0.662004662004662	1680.1059242247559	1412.7614386771118	0.8836079175062226
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Cytidine [[M+H]]	32.0	0.344988344988345	7538.076627212925	6491.19285184448	0.6174507310870948
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	D-(+)-Melibiose [[M+Na]]/D-(+)-Turanose [[M+Na]]/Isomaltose [[M+Na]]/Maltose [[M+Na]]/Palatinose [[M+Na]]	13.0	0.18115218115218118	706.0147634410962	1996.4118609389711	0.40185166945730333
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Flavin adenine dinucleotide [[M+H]]	25.0	0.9497169497169498	62.564360496995604	86.3079125094049	0.9864037601742521
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Glucosamine 6-Phosphate [[M+H]]	20.0	0.662004662004662	100.55140022270498	83.00123732562467	0.8836079175062226
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Glucosamine [[M+H]]	35.0	0.18115218115218118	1496.5165220293725	825.6878633425631	0.40185166945730333
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Glutamic Acid [[M-H2O+H]]	27.0	0.7545787545787546	2733.835012327254	2522.3334524510155	0.9357964869775893
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Glutathione [[M+H]]	29.0	0.5727605727605728	25359.247727272726	19850.26330301816	0.8430821514933665
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Guanosine-5'-Diphosphate [[M+H]]	28.0	0.662004662004662	579.0722337412026	417.0882928889699	0.8836079175062226
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Histidine [[M+H]]	32.0	0.344988344988345	1304.2109946608562	859.22807699962	0.6174507310870948
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Imidazoleacetic acid [[M+H]]	34.0	0.22843822843822847	153.5	81.68068948672949	0.4862029862029863
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	L-Arginine [[M+H]]	30.0	0.4908424908424909	36371.07354343446	33155.992861841005	0.7542213883677299
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	L-Citrulline [[M+H]]	19.0	0.5727605727605728	1415.2159779504873	1643.5113713509845	0.8430821514933665
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	L-Glutamine [[M+H]]	35.0	0.18115218115218118	371.9565401685534	198.00645615088436	0.40185166945730333
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	L-Histidinol [[M+H]]	38.0	0.08125208125208126	212.84849772147987	41.3896548415506	0.24610005379236152
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	L-Lysine [[M+H]]	17.0	0.4135864135864136	29.32170937491837	74.66865798233165	0.6820927763336141
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	L-Tryptophan [[M-H2O+H]]	9.0	0.05927405927405928	5.314635881590265	40.32807234767164	0.20745920745920748
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	L-Valine [[M+H]]	28.5	0.6051797630895014	1432.2482800039106	1271.5725806451615	0.8641249580114209
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Levocarnitine [[M+H]]	9.0	0.05927405927405928	29.982813708673863	152.94342802061576	0.20745920745920748
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	N-(5-Amino-5-Carboxypentyl)Glutamic Acid [[M+H]]	22.0	0.8518148518148518	920.4368267598079	687.2031880913986	0.9757151938970121
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	N2-Acetyl-L-ornithine [[M+H]]	25.0	0.9497169497169498	772.5137710516308	814.9920185459046	0.9864037601742521
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Nicotinamide [[M+H]]	33.0	0.2823842823842824	1830.9022727272727	1014.7736282403247	0.5598776223776224
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	O-acetyl-L-serine [[M+H]]	33.0	0.2823842823842824	123.1273502788525	22.078182856838083	0.5598776223776224
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Pidolic Acid [[M+H]]	35.0	0.18115218115218118	4610.7518767946285	2923.7263999932175	0.40185166945730333
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Proline [[M+NH4]]	19.0	0.5727605727605728	25.00989378147908	60.31687558551254	0.8430821514933665
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Quinolinic Acid [[M-H2O+H]]	29.0	0.5727605727605728	33.500033963734424	29.173438473177107	0.8430821514933665
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Sucrose [[M+Na]]	13.0	0.18115218115218118	696.5002450819013	1941.3193924181558	0.40185166945730333
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Thymine [[M+H]]	33.0	0.2823842823842824	156.23809523809524	108.35770597562295	0.5598776223776224
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Trehalose [[M+Na]]	13.0	0.18115218115218118	701.2575042614988	1990.2927824898022	0.40185166945730333
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	d-Desthiobiotin [[M+H]]	22.5	0.8971665223750612	1226.5258953168045	1401.4314337012581	0.9864037601742521
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	gamma-Glutamylcysteine [[M+H]]	25.0	0.9497169497169498	784.6669445683405	518.9164782081667	0.9864037601742521
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	2'-Deoxyguanosine-5'-Diphosphate [[M+H]]/Adenosine 5'-diphosphate (ADP) [[M+H]]	35.0	0.029526029526029528	8130.374880973878	5787.121621621622	0.12740683973560687
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	2'-Deoxyguanosine-5'-Monophosphate [[M+H]]	30.0	0.17094017094017094	8718.441421898635	7211.09375	0.40185166945730333
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	2'-Deoxyuridine [[M+Na]]	20.0	1.0	784.0288568257492	712.5	1.0
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	5'-Deoxy-5'-Methylthioadenosine [[M+H]]	25.0	0.5236985236985237	81.40603874482898	67.8808864265928	0.8008011406069657
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	ATP [[M+H]]	31.0	0.12742812742812742	1421.6380952380953	870.9122203098107	0.3317343813211582
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	Acetyl coenzyme A (Acetyl-CoA) [[M+H]]	36.0	0.018648018648018648	523.9312526977299	153.97297297297297	0.0979020979020979
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	Ademetionine [[M+H]]	23.0	0.7241647241647241	2743.519284169518	2196.4864864864862	0.9124475524475524
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	Adenine [[M+H]]	34.0	0.0478252605946407	6144.645454545454	3842.027027027026	0.18371898886965632
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	Adenosine 5'-phosphosulfate [[M+Na]]	18.0	0.8329448329448329	184.7617788932161	303.56756756756755	0.9749417249417249
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	Adenosine phosphate [[M+H]]	27.0	0.3543123543123543	35638.2349862259	31413.53125	0.6235105676446459
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	Adenosine-3'-5'-Diphosphate [[M+H]]	36.0	0.018648018648018648	6678.26894819416	5302.216216216216	0.0979020979020979
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	Aminoadipate [[M+Na]]	38.0	0.006216006216006216	2945.325021625483	1426.8445209409065	0.04450095359186268
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	Argininosuccinic acid [[M+H]]	35.0	0.029526029526029528	4709.601970232359	1723.6804360298336	0.12740683973560687
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	Biotin [[M+H]]	35.0	0.029526029526029528	1076.0982564933402	322.5405405405405	0.12740683973560687
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	Choline [[M+H]]	40.0	0.001554001554001554	1680.1059242247559	785.1891891891892	0.025174825174825177
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	Cytidine [[M+H]]	40.0	0.001554001554001554	7538.076627212925	2539.459459459459	0.025174825174825177
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	D-(+)-Melibiose [[M+Na]]/D-(+)-Turanose [[M+Na]]/Isomaltose [[M+Na]]/Maltose [[M+Na]]/Palatinose [[M+Na]]	0.0	0.001554001554001554	706.0147634410962	3565.459459459459	0.025174825174825177
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	Flavin adenine dinucleotide [[M+H]]	20.0	1.0	62.564360496995604	42.601108033241	1.0
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	Glucosamine 6-Phosphate [[M+H]]	30.0	0.17094017094017094	100.55140022270498	7.983362019506598	0.40185166945730333
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	Glucosamine [[M+H]]	32.0	0.09324009324009325	1496.5165220293725	685.8433734939758	0.26636426636426636
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	Glutamic Acid [[M-H2O+H]]	19.0	0.9432789432789432	2733.835012327254	2481.081081081081	0.9864037601742521
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	Glutathione [[M+H]]	23.0	0.7241647241647241	25359.247727272726	25087.378378378377	0.9124475524475524
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	Guanosine-5'-Diphosphate [[M+H]]	8.0	0.09324009324009325	579.0722337412026	1058.8841078600117	0.26636426636426636
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	Histidine [[M+H]]	40.0	0.001554001554001554	1304.2109946608562	108.0	0.025174825174825177
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	Imidazoleacetic acid [[M+H]]	23.0	0.7241647241647241	153.5	63.48648648648648	0.9124475524475524
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	L-Arginine [[M+H]]	40.0	0.001554001554001554	36371.07354343446	11809.945945945943	0.025174825174825177
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	L-Citrulline [[M+H]]	13.0	0.3543123543123543	1415.2159779504873	1700.5	0.6235105676446459
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	L-Glutamine [[M+H]]	28.0	0.28438228438228436	371.9565401685534	198.85829030407345	0.5598776223776224
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	L-Histidinol [[M+H]]	12.0	0.28438228438228436	212.84849772147987	901.216216216216	0.5598776223776224
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	L-Lysine [[M+H]]	7.0	0.06526806526806528	29.32170937491837	161.97783933518005	0.2195224355245658
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	L-Tryptophan [[M-H2O+H]]	19.0	0.9432789432789432	5.314635881590265	25.2797783933518	0.9864037601742521
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	L-Valine [[M+H]]	34.5	0.04014915477045697	1432.2482800039106	1113.28125	0.16008840193283475
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	Levocarnitine [[M+H]]	29.0	0.2222222222222222	29.982813708673863	6.53125	0.4861345551000723
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	N-(5-Amino-5-Carboxypentyl)Glutamic Acid [[M+H]]	3.0	0.010878010878010878	920.4368267598079	3029.323006310958	0.06589564281871975
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	N2-Acetyl-L-ornithine [[M+H]]	37.0	0.010878010878010878	772.5137710516308	169.0	0.06589564281871975
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	Nicotinamide [[M+H]]	26.0	0.43512043512043513	1830.9022727272727	1432.4594594594594	0.7138694638694638
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	O-acetyl-L-serine [[M+H]]	16.0	0.6216006216006216	123.1273502788525	213.08108108108107	0.8641249580114209
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	Pidolic Acid [[M+H]]	7.0	0.06526806526806528	4610.7518767946285	8236.459459459458	0.2195224355245658
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	Proline [[M+NH4]]	16.0	0.6216006216006216	25.00989378147908	32.108108108108105	0.8641249580114209
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	Quinolinic Acid [[M-H2O+H]]	33.0	0.06690207558843911	33.500033963734424	20.130193905817173	0.2195224355245658
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	Sucrose [[M+Na]]	0.0	0.001554001554001554	696.5002450819013	3507.081081081081	0.025174825174825177
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	Thymine [[M+H]]	23.0	0.7241647241647241	156.23809523809524	63.48648648648648	0.9124475524475524
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	Trehalose [[M+Na]]	0.0	0.001554001554001554	701.2575042614988	3536.27027027027	0.025174825174825177
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	d-Desthiobiotin [[M+H]]	22.0	0.8329448329448329	1226.5258953168045	1335.3987378083764	0.9749417249417249
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	gamma-Glutamylcysteine [[M+H]]	18.0	0.8329448329448329	784.6669445683405	817.59375	0.9749417249417249
Treatment=None, Supplement=None	Treatment=None, Supplement=NegHigh	2'-Deoxyguanosine-5'-Diphosphate [[M+H]]/Adenosine 5'-diphosphate (ADP) [[M+H]]	52.0	0.0037296037296037296	8130.374880973878	3818.943396226415	0.03789758628468306
Treatment=None, Supplement=None	Treatment=None, Supplement=NegHigh	2'-Deoxyguanosine-5'-Monophosphate [[M+H]]	44.0	0.0721056721056721	8718.441421898635	5757.964980544748	0.22675853558206496
Treatment=None, Supplement=None	Treatment=None, Supplement=NegHigh	2'-Deoxyuridine [[M+Na]]	33.0	0.6125874125874127	784.0288568257492	702.0000000000001	0.8641249580114209
Treatment=None, Supplement=None	Treatment=None, Supplement=NegHigh	5'-Deoxy-5'-Methylthioadenosine [[M+H]]	11.0	0.054079254079254076	81.40603874482898	197.23584905660377	0.1980809887786632
Treatment=None, Supplement=None	Treatment=None, Supplement=NegHigh	ATP [[M+H]]	44.0	0.0721056721056721	1421.6380952380953	795.1474238896377	0.22675853558206496
Treatment=None, Supplement=None	Treatment=None, Supplement=NegHigh	Acetyl coenzyme A (Acetyl-CoA) [[M+H]]	45.0	0.054079254079254076	523.9312526977299	199.15532734274717	0.1980809887786632
Treatment=None, Supplement=None	Treatment=None, Supplement=NegHigh	Ademetionine [[M+H]]	41.0	0.151981351981352	2743.519284169518	1538.872239747634	0.3740166083916084
Treatment=None, Supplement=None	Treatment=None, Supplement=NegHigh	Adenine [[M+H]]	29.0	0.9538159449155051	6144.645454545454	6414.452830188679	0.9864037601742521
Treatment=None, Supplement=None	Treatment=None, Supplement=NegHigh	Adenosine 5'-phosphosulfate [[M+Na]]	36.0	0.39689199689199695	184.7617788932161	163.2306968977363	0.6721558011880593
Treatment=None, Supplement=None	Treatment=None, Supplement=NegHigh	Adenosine phosphate [[M+H]]	42.0	0.1205905205905206	35638.2349862259	30006.587548638134	0.3165501165501166
