,Mean_Coefficient,Std_Coefficient
2'-Deoxyguanosine-5'-Diphosphate [[M+H]],-0.07025786682902818,0.005263072892732503
2'-Deoxyguanosine-5'-Monophosphate [[M+H]],-0.03009321650006153,0.006656770365617105
2'-Deoxyuridine [[M+Na]],-0.028459608536085385,0.008951351512684705
5'-Deoxy-5'-Methylthioadenosine [[M+H]],0.022737146108013643,0.0032515079329941
ATP [[M+H]],-0.06774864194867912,0.00734576522908765
Acetyl coenzyme A (Acetyl-CoA) [[M+H]],-0.07693366856711271,0.00677938164293769
Ademetionine [[M+H]],-0.09352233112333648,0.009599745103858916
Adenine [[M+H]],-0.033833535573874786,0.011865692661647267
Adenosine 5'-diphosphate (ADP) [[M+H]],-0.06904548737313429,0.005479970551737264
Adenosine phosphate [[M+H]],-0.021415856312105148,0.008111278867042701
Adenosine-3'-5'-Diphosphate [[M+H]],-0.06951546654319564,0.0051424756075259025
Aminoadipate [[M+Na]],-0.07960174623876615,0.007447800996184843
Argininosuccinic acid [[M+H]],-0.050852615748289844,0.00368510207488834
Biotin [[M+H]],-0.004824637820595502,0.011336671787888322
Choline [[M+H]],-0.06520069919861628,0.012156806335541667
Cytidine [[M+H]],0.0231201198923289,0.012140465966291586
D-(+)-Melibiose [[M+Na]],0.012407298731314818,0.004233697873498772
D-(+)-Turanose [[M+Na]],-0.029012922442383557,0.00865548456135591
Glucosamine [[M+H]],0.0705935229214619,0.0062740358765494735
Glutamic Acid [[M-H2O+H]],-0.07437095057531619,0.006389209243845854
Glutathione [[M+H]],0.04091982226536113,0.008202136868780604
Guanosine-5'-Diphosphate [[M+H]],-0.05850332287948023,0.006133950462446652
Histidine [[M+H]],-0.07278030794895374,0.007279255953715047
Isomaltose [[M+Na]],-0.029012922442383557,0.00865548456135591
L-Arginine [[M+H]],0.12298522895548561,0.004763684495970358
L-Citrulline [[M+H]],0.04862538543763066,0.008605098235755431
L-Glutamine [[M+H]],-0.08208687022943334,0.0073082584604908475
L-Valine [[M+H]],0.021921789739079857,0.005792708122540806
Linoleic acid [[M+Na]],-0.019812397490033516,0.010309898341382689
Maltose [[M+Na]],0.012407298731314818,0.004233697873498772
N-(5-Amino-5-Carboxypentyl)Glutamic Acid [[M+H]],-0.021341488289871615,0.008616980982001464
N2-Acetyl-L-ornithine [[M+H]],0.11159379900467453,0.0032233893763144532
Nicotinamide [[M+H]],0.03843765286102515,0.0132347825349094
O-acetyl-L-serine [[M+H]],-0.0741140017518551,0.013561043825506098
Palatinose [[M+Na]],0.012407298731314818,0.004233697873498772
Pidolic Acid [[M+H]],-0.09045520880513003,0.006633682376513852
Proline [[M+NH4]],-0.0023844395820812494,0.00588420321482139
Sucrose [[M+Na]],0.01403875932094518,0.0035919777793649225
Thymine [[M+H]],-0.05379839109874812,0.014725968671175513
Trehalose [[M+Na]],0.013260114318906549,0.003968594984778698
d-Desthiobiotin [[M+H]],0.004076689649668709,0.004479187725138721
gamma-Glutamylcysteine [[M+H]],-0.038219988723066034,0.010067680024286511
