,Mean_Coefficient,Std_Coefficient
2'-Deoxyguanosine-5'-Diphosphate [[M+H]],-0.03984250346869205,0.004684192318253211
2'-Deoxyguanosine-5'-Monophosphate [[M+H]],-0.004686338455123585,0.004071524923263355
2'-Deoxyuridine [[M+Na]],-0.029971238909901384,0.007443244079203426
5'-Deoxy-5'-Methylthioadenosine [[M+H]],0.040548990644062935,0.012454072276172396
ATP [[M+H]],-0.055635505758392045,0.007135488219012164
Acetyl coenzyme A (Acetyl-CoA) [[M+H]],-0.04491658930874755,0.01057530919825188
Ademetionine [[M+H]],0.014556056237559045,0.010252147869455134
Adenine [[M+H]],-0.031495911618427234,0.00992563394829787
Adenosine 5'-diphosphate (ADP) [[M+H]],-0.03984250346869205,0.004684192318253211
Adenosine phosphate [[M+H]],-0.006476127155249825,0.006048404835801051
Adenosine-3'-5'-Diphosphate [[M+H]],-0.0369772286795618,0.00493742187989583
Aminoadipate [[M+Na]],-0.0834593994740474,0.007670146195076048
Argininosuccinic acid [[M+H]],0.03382829780928521,0.016221386127212255
Biotin [[M+H]],-0.04102931378833483,0.005388588116057907
Choline [[M+H]],-0.08297047153233472,0.005339809738364016
Cytidine [[M+H]],-0.05769514283785162,0.00434905751037117
D-(+)-Melibiose [[M+Na]],0.05595944771343949,0.003654293173764782
D-(+)-Turanose [[M+Na]],0.058247407125443816,0.004024735249581579
Glucosamine [[M+H]],-0.052160296172562924,0.007401274102565715
Glutamic Acid [[M-H2O+H]],0.05869385584028605,0.0054336624743236495
Glutathione [[M+H]],-0.014983773908825802,0.007209162201081876
Guanosine-5'-Diphosphate [[M+H]],0.05558696783424004,0.00897217919949412
Histidine [[M+H]],-0.017357234548476583,0.007823825816294587
Isomaltose [[M+Na]],0.058247407125443816,0.004024735249581579
L-Arginine [[M+H]],-0.06570930894334115,0.004422115343194276
L-Citrulline [[M+H]],0.030304972645010027,0.009236668182615723
L-Glutamine [[M+H]],-0.06566189781363235,0.005304328464343788
L-Valine [[M+H]],-0.016463008831162643,0.0072189851502246945
Linoleic acid [[M+Na]],0.0045639251504428725,0.010006484421746816
Maltose [[M+Na]],0.05595944771343949,0.003654293173764782
N-(5-Amino-5-Carboxypentyl)Glutamic Acid [[M+H]],0.11658205417173813,0.006789584235459153
N2-Acetyl-L-ornithine [[M+H]],-0.03389193750146185,0.0059475865895893005
Nicotinamide [[M+H]],0.013928668178817105,0.01000110978457573
O-acetyl-L-serine [[M+H]],-0.010231518444953562,0.013803258209812626
Palatinose [[M+Na]],0.05595944771343949,0.003654293173764782
Pidolic Acid [[M+H]],0.05975909933588567,0.004602525533443318
Proline [[M+NH4]],-0.036285448660546414,0.008698102775480785
Sucrose [[M+Na]],0.05613869401015872,0.0038118543499834033
Thymine [[M+H]],0.0002857696247431425,0.00863052586867861
Trehalose [[M+Na]],0.05605251496475237,0.003703281260668002
d-Desthiobiotin [[M+H]],-0.0010356001402445744,0.013734261397819388
gamma-Glutamylcysteine [[M+H]],0.004577892775100522,0.008714763913219924
