,Mean_Coefficient,Std_Coefficient
2'-Deoxyguanosine-5'-Diphosphate [[M+H]],-0.03918263773090037,0.018704332875437206
2'-Deoxyguanosine-5'-Monophosphate [[M+H]],0.09276446686903157,0.0383591799065692
2'-Deoxyuridine [[M+Na]],-0.08007460130089816,0.029461507020885767
5'-Deoxy-5'-Methylthioadenosine [[M+H]],0.20102649955065213,0.026238137090075567
ATP [[M+H]],-0.038992965280916614,0.04650710771950214
Acetyl coenzyme A (Acetyl-CoA) [[M+H]],-0.106658088632728,0.05627854198191813
Ademetionine [[M+H]],-0.12707040750995663,0.04862896647451178
Adenine [[M+H]],-0.060245337208145976,0.06502368194352968
Adenosine 5'-diphosphate (ADP) [[M+H]],-0.03918263773090037,0.018704332875437206
Adenosine phosphate [[M+H]],0.025897260291979918,0.029114467394296583
Adenosine-3'-5'-Diphosphate [[M+H]],-0.004168066194135787,0.03354523272254213
Aminoadipate [[M+Na]],0.267755668349433,0.060395541352892754
Argininosuccinic acid [[M+H]],0.047626975808012055,0.03981787602438175
Biotin [[M+H]],0.10806895519164324,0.03803455042566029
Choline [[M+H]],-0.11140795155981077,0.031176241146399403
Cytidine [[M+H]],0.1249025154761183,0.046998639606893614
D-(+)-Melibiose [[M+Na]],0.12569058955975884,0.013014350493155562
D-(+)-Turanose [[M+Na]],0.08090703622709945,0.01364320716081511
Glucosamine [[M+H]],-0.19925896881086133,0.059546563201890626
Glutamic Acid [[M-H2O+H]],0.0033910637163517615,0.018604567154861813
Glutathione [[M+H]],-0.10148764978752546,0.049973233864679285
Guanosine-5'-Diphosphate [[M+H]],-0.21389259801910085,0.07961303514318077
Histidine [[M+H]],-0.005701362152414672,0.05059229777039283
Isomaltose [[M+Na]],0.08090703622709945,0.01364320716081511
L-Arginine [[M+H]],-0.05781263815075018,0.041099949030434076
L-Citrulline [[M+H]],-0.04668159141739882,0.04335891211511284
L-Glutamine [[M+H]],-0.08734082576679429,0.038018045568922104
L-Valine [[M+H]],-0.17576963508660057,0.05501819523684744
Linoleic acid [[M+Na]],0.19071049579341035,0.05363346785909697
Maltose [[M+Na]],0.12569058955975884,0.013014350493155562
N-(5-Amino-5-Carboxypentyl)Glutamic Acid [[M+H]],0.1251488127785477,0.04154024169154529
N2-Acetyl-L-ornithine [[M+H]],0.015825005449008372,0.07393523624868972
Nicotinamide [[M+H]],-0.1043451364272426,0.041317307480549514
O-acetyl-L-serine [[M+H]],-0.03350512760110155,0.021697137848255804
Palatinose [[M+Na]],0.12569058955975884,0.013014350493155562
Pidolic Acid [[M+H]],-0.01161300788745305,0.018645350790557864
Proline [[M+NH4]],0.12652795239643685,0.06140994377563043
Sucrose [[M+Na]],0.12045125283255899,0.011975178818413557
Thymine [[M+H]],-0.14324798326604832,0.04589617585160093
Trehalose [[M+Na]],0.12562419861043403,0.012931845385521896
d-Desthiobiotin [[M+H]],0.015803567363496484,0.06620094286725856
gamma-Glutamylcysteine [[M+H]],-0.02252647184002091,0.03141343934723439
