,Mean_Coefficient,Std_Coefficient
2'-Deoxyguanosine-5'-Diphosphate [[M+H]],0.1535299233568175,0.012394773249727938
2'-Deoxyguanosine-5'-Monophosphate [[M+H]],-0.316178617552461,0.02526913448613876
2'-Deoxyuridine [[M+Na]],-0.04007360189759944,0.030822221058382126
5'-Deoxy-5'-Methylthioadenosine [[M+H]],-0.10549024320606365,0.03088963618889137
ATP [[M+H]],0.038789382178727363,0.041024915385316364
Acetyl coenzyme A (Acetyl-CoA) [[M+H]],0.3968838313373717,0.022087328938221833
Ademetionine [[M+H]],0.20780027214169805,0.027047389392093685
Adenine [[M+H]],0.23504816584645075,0.029254854645062695
Adenosine 5'-diphosphate (ADP) [[M+H]],0.15346879372961525,0.012390429797225391
Adenosine phosphate [[M+H]],-0.3967885961067764,0.018914070431256924
Adenosine-3'-5'-Diphosphate [[M+H]],0.1645209636644471,0.011736445677886814
Aminoadipate [[M+Na]],0.08867516714623604,0.03899892181064577
Argininosuccinic acid [[M+H]],-0.1631905459245211,0.039454840076532514
Biotin [[M+H]],-0.12599437580199413,0.03338649559335653
Choline [[M+H]],-0.05877702563758612,0.03562426821969231
Cytidine [[M+H]],0.10822148011304207,0.02589175614179436
D-(+)-Melibiose [[M+Na]],-0.026476373463376966,0.008015577372407871
D-(+)-Turanose [[M+Na]],0.04245597666744272,0.0160210316202892
Glucosamine [[M+H]],0.035941314356300824,0.02918768319595444
Glutamic Acid [[M-H2O+H]],0.05207523904751537,0.023221297008863686
Glutathione [[M+H]],-0.4563347318260149,0.03422355557760895
Guanosine-5'-Diphosphate [[M+H]],0.0723734736159815,0.028338001735438965
Histidine [[M+H]],-0.004406018228359423,0.029797037704582748
Isomaltose [[M+Na]],0.02556141756796778,0.013940003456328606
L-Arginine [[M+H]],0.11656700207071469,0.0135679762462921
L-Citrulline [[M+H]],-0.18185392341847204,0.030602249437561103
L-Glutamine [[M+H]],0.10426579585443045,0.02226633295430923
L-Valine [[M+H]],0.5450093484110443,0.0316699638688659
Linoleic acid [[M+Na]],0.19075043975140202,0.03248925027554488
Maltose [[M+Na]],-0.050514532314518204,0.008689627069007479
N-(5-Amino-5-Carboxypentyl)Glutamic Acid [[M+H]],0.2432931436685146,0.028300214465355963
N2-Acetyl-L-ornithine [[M+H]],0.10621653155756808,0.01996104889952136
Nicotinamide [[M+H]],0.19680693605491043,0.02919471155284312
O-acetyl-L-serine [[M+H]],0.324396803733572,0.026950982664032886
Palatinose [[M+Na]],-0.00447566744728724,0.009005800602017633
Pidolic Acid [[M+H]],0.002193914221789337,0.02761242767010576
Proline [[M+NH4]],0.40176411510895166,0.037713089362254745
Sucrose [[M+Na]],-0.01687743815604408,0.007769368488756624
Thymine [[M+H]],0.007903521646839395,0.01976174108932764
Trehalose [[M+Na]],-0.01362284833844583,0.008350721659724605
d-Desthiobiotin [[M+H]],0.3840585082889557,0.02163590232828213
gamma-Glutamylcysteine [[M+H]],-0.05375296273400386,0.027789187316446973
