well	0	1200	2400	3600	4800	6000	7200	8400	9600	10800	12000	13200	14400	15600	16800	18000	19200	20400	21600	22800	24000	25200	26400	27600	28800	30000	31200	32400	33600	34800	36000	37200	38400	39600	40800	42000	43200	44400	45600	46800	48000	49200	50400	51600	52800	54000	55200	56400	57600	58800	60000	61200	62400	63600	64800	66000	67200	68400	69600	70800	72000	Summary
A1	0.010444242453517459	0.01133716019285118	0.012364458373108544	0.013475268677344799	0.01459927484798594	0.01566168064941482	0.017697275816654433	0.020553262130759132	0.02381184051044905	0.02692796360679067	0.029526058528757664	0.03166660096838487	0.03372417048633909	0.035976517441933795	0.03826402655485021	0.04043187786022559	0.04277601048855215	0.04576567477357437	0.049450910737721315	0.05354461206681099	0.05768327973590644	0.061647469393861	0.06564364391743056	0.06982982085761957	0.07412609823503759	0.07832472331140715	0.08228680330491728	0.08611574399391936	0.09000034109893387	0.09445454478570375	0.0997014800378804	0.10535770538361532	0.11117058153119462	0.11727941988775854	0.12399462819316313	0.1314019189977418	0.1391969323552339	0.14715800724815514	0.15568792352816974	0.16536387934514352	0.176241171915515	0.18794286905409568	0.20026474657002524	0.2135234897721155	0.22812361159369304	0.24318709733329086	0.25785898954564096	0.2723391597870385	0.28717803952960114	0.30312020533849293	0.32011583667755766	0.33761130123499594	0.35545268651278783	0.37399325034120956	0.393785244510836	0.4146184618273076	0.4361591194027238	0.4576137051800974	0.47914264005351453	0.5008487587847046	0.5227371290527032	No glutamine supplementation with acetic acid treatment.
A2	0.021521002374965133	0.020861180044838588	0.02016524402598746	0.019434821977606848	0.018685052496015833	0.017963820122532545	0.01716418345222112	0.016315313142209752	0.01556831895552013	0.014985561672145955	0.01454492378757903	0.014430808425225858	0.01472254419450413	0.015071593332957652	0.015376054087274249	0.015686377268181242	0.015994656380694194	0.016257588216363465	0.01648440953160035	0.016634248261941875	0.016654835426580004	0.01660911261139916	0.01659807886016525	0.016525563511972336	0.016184556837308368	0.01569934117892267	0.015176818007727997	0.01473231312223836	0.014416590225464801	0.01431648593621453	0.014453589295380737	0.014721310184531187	0.015018197806240382	0.015302032101534418	0.015548903223950826	0.015745540430866525	0.015837822513291362	0.015787578201040833	0.015693960641353453	0.015726387549095718	0.015914322676526073	0.01618064151229383	0.01646992166464354	0.016759346807145543	0.0170245141520602	0.01722486725391427	0.01730529729165646	0.017268662961681676	0.017197654229131915	0.017191627932508103	0.017239195699964346	0.01728282223543431	0.0173238792458382	0.01737490097691123	0.01742307666619716	0.01745550450176361	0.01744987201520331	0.01743826554256647	0.017424619332394264	0.01741370269968147	0.017409519354818798	Media control
A3	0.03798127002891448	0.04008212087186043	0.04230678569776424	0.0445897319375242	0.04690426813079613	0.049301204729890954	0.05313230331659647	0.05773808933834099	0.06238044819225835	0.066761049835688	0.07071765253743532	0.07435385644706846	0.07789787097173151	0.08170081453088315	0.08596326296522003	0.09107139799936217	0.09764379663533736	0.10608508082638644	0.11651509480767484	0.12878094861956338	0.14264114053655755	0.1579012911109144	0.1748949513366206	0.1936038925821055	0.21372720540233053	0.23573573540452042	0.259834426414292	0.2860519830381196	0.31391425940573797	0.34326421286809466	0.3753290202633969	0.41038035715073623	0.44856707619254427	0.4908871445879141	0.5359397423440186	0.5828765524558477	0.6328021325227523	0.6878670367252488	0.7496314977456948	0.8154263998258671	0.8840005796654259	0.9555183074734693	1.0287682800773048	1.104139470713192	1.1807097697869102	1.2557449320616056	1.3272983460477275	1.3970217148387443	1.4662107277319643	1.534495668752212	1.6016812100684648	1.6671944819152358	1.7294341956814443	1.7864146707163022	1.8433122654481684	1.900429040328902	1.9567310452704194	2.0131732766019326	2.06955308701974	2.125860290281313	2.182114319009057	Low glutamine supplementation without acetic acid treatment.
A4	0.028532969690423887	0.030874119998743135	0.03308937242889585	0.03526791900808089	0.03750467296448812	0.03983840594010359	0.04170072504769237	0.04393364434493932	0.047243261071474835	0.0513504325348865	0.05560008365658701	0.059627850167607396	0.06351855051345706	0.06733875400681393	0.0710025648707159	0.07466685263124186	0.07896876519305904	0.08514505009449837	0.09333003465203771	0.10348510571701519	0.11557300393212362	0.12931279554743083	0.14478103548778246	0.1620296630860905	0.18156315993727729	0.20322417948744764	0.2264352731786807	0.25120022520347474	0.27784816397942863	0.3078830371582938	0.3411040304847417	0.37629001394882977	0.41320557665250773	0.4523561667360894	0.4949342134888825	0.5409149747523051	0.5899563487338094	0.6423332395831916	0.698578346317366	0.7599435178171334	0.8257680081443471	0.8950470909872171	0.9675280752718056	1.0428385052077767	1.1207609186590572	1.1992797940903859	1.2767061080307633	1.3525972269123145	1.4276603913516366	1.5024073847526356	1.5743970229318474	1.6400258039573157	1.70132881211514	1.76038465232132	1.8181626563180802	1.8745985254025772	1.9251161603840217	1.9746628691649883	2.0235968720858573	2.072183042902256	2.1205289914223133	High glutamine supplementation without acetic acid treatment.
A5	0.03411878741060101	0.03252401110792815	0.031216624324658	0.030174756311709294	0.02931725142478119	0.02846296514540943	0.029278890967669193	0.030727759230633943	0.032634236889313245	0.034728744364247596	0.036521452398588984	0.037941176199760014	0.03942962220385306	0.0416302179447883	0.04462715359822317	0.0484224310149259	0.05320254590437237	0.059174342702995944	0.06601429817196153	0.07324980134459477	0.08058503363978263	0.08807100182036655	0.09589616156269641	0.10418952819806639	0.11289513299153169	0.1219078610928854	0.13143914461003608	0.14180330826135784	0.1531135726354397	0.16566882626531612	0.17949947844205705	0.1943371871112471	0.20990369548077467	0.226111711049608	0.24320451664329698	0.26102380125185437	0.27932757601752234	0.29792324490338856	0.3168276777727349	0.3366545074780552	0.35783907621206945	0.38017975323749054	0.40338042156045256	0.4275471550735793	0.45299632448462623	0.4800999579845334	0.5091093374895246	0.5402450242500193	0.5731563784129238	0.6078878955860963	0.6449517504480113	0.6841581553428222	0.7251945343141118	0.7678816083771716	0.8119059321674719	0.856979972912414	0.902913931122503	0.9487043504596088	0.9945917214561637	1.0406326616985873	1.086784990753503	Leucine supplementation without acetic acid treatment.
A6	0.007218497863584032	0.007352734201870768	0.007585395256880824	0.007883599153389584	0.008218726580799989	0.008600100715908244	0.009791124457845078	0.011260058659886517	0.012707304151241033	0.014061896712163091	0.015298353067786548	0.01625273410420799	0.01702570169022143	0.017832065744423004	0.018779342222771053	0.019843735225965314	0.021040325300726057	0.022467538469200656	0.024096325366974244	0.025840452209371055	0.02757323645685658	0.029248028055130347	0.030979077805061653	0.032849427674412415	0.03497301914635402	0.03733907091850818	0.03997269026524144	0.0428738314006627	0.04608680217730624	0.04994039065175806	0.05447606529759358	0.05942442163322148	0.06455965443867279	0.06977667613092683	0.07524958354830906	0.08104504081066458	0.08713316156944031	0.09344587212331694	0.10009009239870524	0.10740744103476516	0.11546854076953014	0.12419025058565743	0.13342409795476282	0.1433481095338744	0.15467147456646796	0.1668468713167402	0.17942665068532776	0.19226541698701963	0.20550845790299055	0.21962585226001885	0.23500712930004647	0.25129167585300494	0.26849200838840337	0.2863412455466437	0.3052391803839289	0.32499140934263687	0.34581363851830454	0.3667266244982385	0.3877162781547301	0.4087816163525543	0.429910766337279	High glutamine supplementation with acetic acid treatment.
A7	0.024411580093680548	0.02711074393597069	0.029607263107388183	0.031987714399586996	0.0344047298404061	0.03710003854640454	0.03864806105505105	0.0395224591735922	0.0405855295089273	0.04255138687762081	0.04538514903759435	0.04903914743342462	0.05330206430531292	0.05822172994549978	0.06371537302526895	0.06943903221645814	0.07521177169871071	0.0810438456031884	0.08700482773982145	0.09297027913845522	0.09882880025571047	0.10471515001426863	0.11118684233654082	0.11872436706453865	0.12734874413727032	0.13678093708923028	0.14695877089494608	0.15795396540623552	0.16984533497267743	0.1829027271537541	0.19701008452890012	0.2118379988800967	0.2273752741068869	0.24407630901778235	0.2621820404736801	0.2814030359525281	0.3016894855898541	0.32305324585691636	0.3458807563661336	0.37030891509921326	0.395927645358684	0.42247831953802856	0.4501219353248023	0.4793707369878399	0.5101306747396412	0.5421005209735947	0.5753894672481678	0.6102263561630439	0.6471251710220335	0.686667636899854	0.7285234497609903	0.7720036623504443	0.8171122439506369	0.864370476169124	0.9132322127278542	0.9629973678252884	1.0129817260299745	1.0628085793206117	1.1126374604492706	1.1624857139461928	1.212320476172924	Leucine supplementation without acetic acid treatment.
A8	0.021948026215560405	0.02427469012871164	0.026693964191749058	0.029186047645997006	0.03170575309240694	0.034182670543566336	0.03676486227463673	0.039259821406937796	0.04159934232361139	0.04380701282818032	0.046057438026408305	0.04842341951865884	0.05129822025167808	0.05532016071177396	0.06069311883663585	0.06733039612243416	0.07517953797095023	0.08446093073742392	0.09499525662676958	0.10612419532117423	0.11757135463691447	0.12931820578294115	0.14172281869285405	0.1550733927787426	0.1692922900087231	0.18421411000681043	0.20025480190535577	0.2179367136292322	0.2372649437599603	0.2584335987521044	0.28135992791155573	0.3058089421146961	0.33170286221996026	0.3591188876079943	0.38840831887853167	0.4196799410704364	0.45319161981184614	0.4891021634409326	0.5275578503442764	0.5690352648261983	0.6133022145357241	0.6600860140011319	0.7095391234484377	0.7620388089630384	0.8180141257832926	0.8767294129036366	0.9375815388618679	1.0002345298151938	1.0645447920205977	1.1306287783336295	1.1980167294239972	1.265618621939786	1.3325260588683487	1.3966375280484171	1.4580607723461965	1.518534073087826	1.5770876486909842	1.635608311279095	1.6937954113260396	1.7515739512769426	1.809041660871147	Baseline condition with no supplementation or treatment.
A9	0.016667597575976967	0.019387300484008673	0.021960284826361358	0.02442715713350451	0.02689116248771428	0.029576122745305904	0.03130454392277367	0.03222180428198801	0.03270774853887445	0.03330031155515464	0.03411013000220415	0.03520885796679152	0.03681150535937755	0.038946427980078004	0.04149502489116514	0.04441417356218833	0.047866595564542945	0.052015550369569036	0.05663399680604091	0.061424185731816794	0.06626222927786038	0.07137156983629199	0.0771405721438487	0.08343769279289424	0.08999887486198599	0.09658173557744747	0.1032275209608652	0.11001210904853814	0.11694846909836722	0.12431407187802386	0.1322061005962686	0.14059545939358084	0.149768837379586	0.16003141132241933	0.17171965494837765	0.18473079415972815	0.19883890648129618	0.21392448265716082	0.22984146839782593	0.2468877136611993	0.2650575706479621	0.2840614674254215	0.3038694206840354	0.32480221791365227	0.3470262477306912	0.3703884095952487	0.394823945773158	0.42044146289181833	0.44694228089295446	0.47481489283119127	0.5052507638294399	0.5380433206217967	0.5723279198131784	0.6076994039818098	0.6443045139880416	0.682280650272323	0.7217695804229958	0.7611172970221657	0.800487960904444	0.8399335036171649	0.8794080588153098	Leucine supplementation without acetic acid treatment.
A10	0.014702936350560733	0.015054960793446518	0.015378230683873532	0.01566995408042714	0.01594434535309291	0.0162467476719467	0.016402379880353632	0.016312618303710728	0.01585546906703677	0.015345351158950386	0.014905587465161916	0.014506865172532794	0.014152267505761729	0.01400873637074213	0.014103821062856422	0.014364913145350034	0.01481092101584013	0.015369915104910025	0.015983370138692398	0.016586283009830186	0.01697930447518035	0.016996393774559675	0.01680807694073399	0.01651492555448764	0.016030469627710296	0.015352323038758983	0.014628822672195632	0.014039769175549647	0.01370392244544872	0.013602734755587577	0.013630734014168758	0.013734289037391718	0.013893590161315429	0.014097336161892397	0.01434033996282437	0.01459715236989208	0.014820683878274624	0.014972772514395336	0.015085256294340516	0.015233144216918472	0.015425262711545292	0.015597149120054547	0.015706684619752855	0.015840560144073184	0.016062025147533854	0.016316065022663882	0.016538321427992397	0.01671953136378378	0.016911895533621626	0.01713914231643849	0.017340507180494923	0.017415016394960625	0.01736059290801444	0.01725917900903928	0.017162790580998184	0.017105647905795867	0.017137943638326887	0.017165827713672734	0.01719113757490135	0.01722805687645049	0.017289206759907087	Media control
