,Mean_Coefficient,SD_Coefficient
2'-Deoxyguanosine-5'-Diphosphate [[M+H]]/Adenosine 5'-diphosphate (ADP) [[M+H]],43.28783008983073,146.75629985038964
2'-Deoxyguanosine-5'-Monophosphate [[M+H]],392.02373418537064,116.44725878768476
2'-Deoxyinosine [[M+H]],210.92064227570395,217.64633224416906
3-Methylhistidine [[M+Na]],186.47076539024928,171.99366350887624
5'-Deoxy-5'-Methylthioadenosine [[M+H]],-184.3752461192959,196.41183996053263
ATP [[M+H]],182.42453352333175,233.35324432225292
Acetyl coenzyme A (Acetyl-CoA) [[M+H]],275.31893313123953,274.4270832029987
Ademetionine [[M+H]],177.87604709273666,177.19883244552432
Adenine [[M+H]],203.58471045617236,218.19468388019567
Adenosine phosphate [[M+H]],597.7656533833463,108.16279107016547
Adenosine-3'-5'-Diphosphate [[M+H]],7.9830118789168445,139.86213162994991
Alpha-D-Glucose [[M+Na]],-28.482690461820848,69.51489037191855
Aminoadipate [[M+Na]],328.0829502203451,180.00664043354308
Asparagine [[M+NH4]],-20.566935841492967,130.47834634126986
Biotin [[M+H]],198.58201653650835,162.6957476807557
Choline [[M+H]],381.20650423104973,149.45814455257997
Cytidine [[M+H]],291.0743875979785,109.7433550071367
D-(+)-Melibiose [[M+Na]]/Isomaltose [[M+Na]]/Maltose [[M+Na]],-85.34211033381675,60.63165299459797
D-(+)-Turanose [[M+Na]]/Palatinose [[M+Na]],-101.33511690965992,60.312951007386005
D-Fructose [[M+Na]]/D-Mannose [[M+Na]],-139.5179272021017,71.23100350514694
D-Galactose [[M+Na]],-106.92556869523895,66.99566712629245
D-Glucose [[M+Na]],-24.374174723791555,67.65288500162967
Deoxyadenosine [[M+H]],-46.4879536414719,182.34321679652268
Galactose [[M+Na]],-112.56641808669988,67.38874532740178
Glucosamine [[M+H]],-47.33342159086739,163.15819966917624
Glutamic Acid [[M-H2O+H]],24.768712464400966,113.04461260750438
Glutathione [[M+H]],673.6877245351849,148.5457035697748
Guanosine-5'-Diphosphate [[M+H]],447.54053172901706,385.5231159450354
Histidine [[M+H]],179.09562925520126,388.03450752354115
Imidazoleacetic acid [[M+H]],371.3928506869836,151.1483080915393
Indole-3-Ethanol [[M+H]],-358.1653818672638,161.68693031550865
Inositol [[M+Na]],13.588344002269158,72.01278848269855
L-2-Amino-4-[2-Aminophenyl]-4-Oxobutanoic Acid [[M+H]],-64.7499125630579,170.3528096992472
L-Arginine [[M+H]],-123.00323071487377,183.26846438913145
L-Citrulline [[M+H]],303.8842569685155,145.67426160948818
L-Glutamine [[M+H]],-190.14205026153715,132.3119011705587
L-Threonine [[M+Na]],-182.76759550854345,181.03780618164987
L-Tryptophan [[M+NH4]],-0.7460401111305004,134.24469695219315
L-Tyrosine [[M+Na]],1.373600773735409,157.58620906848262
Methionine [[M+H]],-132.25342052852875,152.1160859787378
N-(5-Amino-5-Carboxypentyl)Glutamic Acid [[M+H]],-198.31552804819012,262.82339928440337
N2-Acetyl-L-ornithine [[M+H]],352.83993702673484,321.51060097409237
Niacin [[M+H]],603.3667746933825,212.0614622240244
Nicotinamide [[M+H]],318.27088588043364,233.5697943366943
Nicotinamide ribotide [[M+H]],429.64551787795693,324.35933311047296
O-acetyl-L-serine [[M+H]],703.0525111590941,248.3974488190701
Phenylethyl alcohol [[M+H]],-97.23363297534843,157.2129783476085
Pidolic Acid [[M+H]],16.255311970279557,107.2652313296574
Proline [[M+NH4]],-239.4992156151717,228.04416740795395
Spermidine [[M+H]],-144.27752029529964,194.26412817120405
Sucrose [[M+Na]],-186.2078246386183,73.24961773331957
Thymine [[M+H]],301.2538970545406,171.7127278372501
Trehalose [[M+Na]],-129.0397836251163,74.1567748381577
Xanthurenic acid [[M+H]],42.213315232575546,168.27550092473376
gamma-Glutamylcysteine [[M+H]],249.34231402440122,252.85071643245368
