Group1	Group2	Feature	U_stat	p_raw	Median1	Median2	p_corrected
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	2'-Deoxyguanosine-5'-Diphosphate [[M+H]]/Adenosine 5'-diphosphate (ADP) [[M+H]]	0.0	0.0025252525252525255	2594.567708333333	5838.592435408767	0.05555555555555556
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	2'-Deoxyguanosine-5'-Monophosphate [[M+H]]	7.0	0.10606060606060606	5989.973958333333	8219.155640147694	0.3002450980392157
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	2'-Deoxyinosine [[M+H]]	26.0	0.20202020202020204	1522.4322916666667	1077.051952983912	0.4273504273504274
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	3-Methylhistidine [[M+Na]]	13.0	0.5303030303030304	133.31770833333334	198.08494208494207	0.727699530516432
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	5'-Deoxy-5'-Methylthioadenosine [[M+H]]	5.0	0.04797979797979798	3.412207288818081	115.9247104247104	0.18849206349206352
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	ATP [[M+H]]	16.0	0.8762626262626263	379.9794238683128	362.40540540540536	0.9778582930756845
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Acetyl coenzyme A (Acetyl-CoA) [[M+H]]	21.0	0.638888888888889	512.9684957523182	364.8830486202365	0.8226495726495727
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Ademetionine [[M+H]]	1.0	0.005050505050505051	438.5864197530864	1719.7421022029846	0.060763888888888895
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Adenine [[M+H]]	14.0	0.638888888888889	6535.514360516231	5957.0	0.8226495726495727
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Adenosine phosphate [[M+H]]	5.0	0.04797979797979798	41232.46354166666	57729.43042434663	0.18849206349206352
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Adenosine-3'-5'-Diphosphate [[M+H]]	1.0	0.005050505050505051	2347.5	5537.544842391925	0.060763888888888895
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Alpha-D-Glucose [[M+Na]]	31.0	0.030303030303030304	1076.0	175.67627926552282	0.1510989010989011
