	plateID	well	CONCuM	Summary
0	plate_1	A01	Valine: 10 mM & 30% sucrose: 0 mM	Growth with valine supplementation without hyperosmotic stress.
1	plate_1	A02	Media control	
2	plate_1	A03	Lysine: 2 mM & 30% sucrose: 0 mM	Growth with physiological lysine supplementation without hyperosmotic stress.
3	plate_1	A04	Lysine: 10 mM & 30% sucrose: 0 mM	Growth with supraphysiological lysine supplementation without hyperosmotic stress.
4	plate_1	A05	Lysine: 10 mM & 30% sucrose: 30% (w/v)	Growth with supraphysiological lysine supplementation under hyperosmotic stress.
5	plate_1	A06	Lysine: 2 mM & 30% sucrose: 30% (w/v)	Growth with physiological lysine supplementation under hyperosmotic stress.
6	plate_1	A07	Lysine: 10 mM & 30% sucrose: 30% (w/v)	Growth with supraphysiological lysine supplementation under hyperosmotic stress.
7	plate_1	A08	None: 0 mM & 30% sucrose: 0 mM	Baseline growth without any supplementation or hyperosmotic stress.
8	plate_1	A09	Lysine: 10 mM & 30% sucrose: 30% (w/v)	Growth with supraphysiological lysine supplementation under hyperosmotic stress.
9	plate_1	A10	Media control	
10	plate_1	A11	Valine: 10 mM & 30% sucrose: 30% (w/v)	Growth with valine supplementation under hyperosmotic stress.
11	plate_1	A12	None: 0 mM & 30% sucrose: 30% (w/v)	Growth under hyperosmotic stress without any supplementation.
12	plate_1	B01	Lysine: 10 mM & 30% sucrose: 0 mM	Growth with supraphysiological lysine supplementation without hyperosmotic stress.
13	plate_1	B02	Lysine: 2 mM & 30% sucrose: 30% (w/v)	Growth with physiological lysine supplementation under hyperosmotic stress.
14	plate_1	B03	Valine: 10 mM & 30% sucrose: 0 mM	Growth with valine supplementation without hyperosmotic stress.
15	plate_1	B04	Lysine: 10 mM & 30% sucrose: 30% (w/v)	Growth with supraphysiological lysine supplementation under hyperosmotic stress.
16	plate_1	B05	Media control	
17	plate_1	B06	Valine: 10 mM & 30% sucrose: 30% (w/v)	Growth with valine supplementation under hyperosmotic stress.
18	plate_1	B07	Media control	
19	plate_1	B08	Lysine: 10 mM & 30% sucrose: 0 mM	Growth with supraphysiological lysine supplementation without hyperosmotic stress.
20	plate_1	B09	Lysine: 2 mM & 30% sucrose: 0 mM	Growth with physiological lysine supplementation without hyperosmotic stress.
21	plate_1	B10	None: 0 mM & 30% sucrose: 30% (w/v)	Growth under hyperosmotic stress without any supplementation.
22	plate_1	B11	Valine: 10 mM & 30% sucrose: 0 mM	Growth with valine supplementation without hyperosmotic stress.
23	plate_1	B12	None: 0 mM & 30% sucrose: 0 mM	Baseline growth without any supplementation or hyperosmotic stress.
24	plate_1	C01	Lysine: 2 mM & 30% sucrose: 0 mM	Growth with physiological lysine supplementation without hyperosmotic stress.
25	plate_1	C02	Lysine: 10 mM & 30% sucrose: 30% (w/v)	Growth with supraphysiological lysine supplementation under hyperosmotic stress.
26	plate_1	C03	None: 0 mM & 30% sucrose: 0 mM	Baseline growth without any supplementation or hyperosmotic stress.
27	plate_1	C04	Media control	
28	plate_1	C05	Valine: 10 mM & 30% sucrose: 0 mM	Growth with valine supplementation without hyperosmotic stress.
29	plate_1	C06	None: 0 mM & 30% sucrose: 30% (w/v)	Growth under hyperosmotic stress without any supplementation.
30	plate_1	C07	Lysine: 10 mM & 30% sucrose: 0 mM	Growth with supraphysiological lysine supplementation without hyperosmotic stress.
31	plate_1	C08	Media control	
32	plate_1	C09	None: 0 mM & 30% sucrose: 30% (w/v)	Growth under hyperosmotic stress without any supplementation.
33	plate_1	C10	Lysine: 10 mM & 30% sucrose: 0 mM	Growth with supraphysiological lysine supplementation without hyperosmotic stress.
34	plate_1	C11	Lysine: 2 mM & 30% sucrose: 30% (w/v)	Growth with physiological lysine supplementation under hyperosmotic stress.
35	plate_1	C12	Valine: 10 mM & 30% sucrose: 30% (w/v)	Growth with valine supplementation under hyperosmotic stress.
36	plate_1	D01	Valine: 10 mM & 30% sucrose: 30% (w/v)	Growth with valine supplementation under hyperosmotic stress.
37	plate_1	D02	None: 0 mM & 30% sucrose: 30% (w/v)	Growth under hyperosmotic stress without any supplementation.
38	plate_1	D03	Media control	
39	plate_1	D04	None: 0 mM & 30% sucrose: 0 mM	Baseline growth without any supplementation or hyperosmotic stress.
40	plate_1	D05	None: 0 mM & 30% sucrose: 0 mM	Baseline growth without any supplementation or hyperosmotic stress.
41	plate_1	D06	Lysine: 10 mM & 30% sucrose: 30% (w/v)	Growth with supraphysiological lysine supplementation under hyperosmotic stress.
42	plate_1	D07	Lysine: 2 mM & 30% sucrose: 0 mM	Growth with physiological lysine supplementation without hyperosmotic stress.
43	plate_1	D08	Lysine: 2 mM & 30% sucrose: 30% (w/v)	Growth with physiological lysine supplementation under hyperosmotic stress.
44	plate_1	D09	Lysine: 10 mM & 30% sucrose: 0 mM	Growth with supraphysiological lysine supplementation without hyperosmotic stress.
45	plate_1	D10	Valine: 10 mM & 30% sucrose: 0 mM	Growth with valine supplementation without hyperosmotic stress.
46	plate_1	D11	Media control	
47	plate_1	D12	Lysine: 2 mM & 30% sucrose: 30% (w/v)	Growth with physiological lysine supplementation under hyperosmotic stress.
48	plate_1	E01	Lysine: 2 mM & 30% sucrose: 30% (w/v)	Growth with physiological lysine supplementation under hyperosmotic stress.
49	plate_1	E02	Media control	
50	plate_1	E03	Lysine: 10 mM & 30% sucrose: 0 mM	Growth with supraphysiological lysine supplementation without hyperosmotic stress.
51	plate_1	E04	Valine: 10 mM & 30% sucrose: 0 mM	Growth with valine supplementation without hyperosmotic stress.
52	plate_1	E05	Valine: 10 mM & 30% sucrose: 30% (w/v)	Growth with valine supplementation under hyperosmotic stress.
53	plate_1	E06	None: 0 mM & 30% sucrose: 0 mM	Baseline growth without any supplementation or hyperosmotic stress.
54	plate_1	E07	None: 0 mM & 30% sucrose: 30% (w/v)	Growth under hyperosmotic stress without any supplementation.
55	plate_1	E08	Valine: 10 mM & 30% sucrose: 0 mM	Growth with valine supplementation without hyperosmotic stress.
56	plate_1	E09	Lysine: 2 mM & 30% sucrose: 30% (w/v)	Growth with physiological lysine supplementation under hyperosmotic stress.
57	plate_1	E10	Lysine: 10 mM & 30% sucrose: 30% (w/v)	Growth with supraphysiological lysine supplementation under hyperosmotic stress.
58	plate_1	E11	Lysine: 2 mM & 30% sucrose: 0 mM	Growth with physiological lysine supplementation without hyperosmotic stress.
59	plate_1	E12	Media control	
60	plate_1	F01	None: 0 mM & 30% sucrose: 30% (w/v)	Growth under hyperosmotic stress without any supplementation.
61	plate_1	F02	Lysine: 10 mM & 30% sucrose: 0 mM	Growth with supraphysiological lysine supplementation without hyperosmotic stress.
62	plate_1	F03	Valine: 10 mM & 30% sucrose: 30% (w/v)	Growth with valine supplementation under hyperosmotic stress.
63	plate_1	F04	Media control	
64	plate_1	F05	Lysine: 2 mM & 30% sucrose: 0 mM	Growth with physiological lysine supplementation without hyperosmotic stress.
65	plate_1	F06	Valine: 10 mM & 30% sucrose: 0 mM	Growth with valine supplementation without hyperosmotic stress.
66	plate_1	F07	None: 0 mM & 30% sucrose: 0 mM	Baseline growth without any supplementation or hyperosmotic stress.
67	plate_1	F08	None: 0 mM & 30% sucrose: 30% (w/v)	Growth under hyperosmotic stress without any supplementation.
68	plate_1	F09	Media control	
69	plate_1	F10	Lysine: 2 mM & 30% sucrose: 30% (w/v)	Growth with physiological lysine supplementation under hyperosmotic stress.
