well	AUC	log_auc	final_value	TV	outlier
A1	52259.43000000001	10.863975632030813	2.1205499999999997	1.9678499999999999	False
A2	11448.060000000003	9.34557556240005	0.16615	0.45629999999999993	True
A3	55626.95999999999	10.926423254820802	2.1722	2.0174000000000003	False
A4	26522.94	10.185765297921524	1.21215	1.1326	False
A5	16203.75	9.692997975975967	0.6049	0.54975	True
A6	21676.799999999996	9.98399784322953	0.8831	0.795	False
A7	17137.829999999998	9.74904357976103	0.60945	0.56745	False
A8	55443.78	10.923124813375729	2.1473	1.9915	False
A9	17827.65	9.788505901890339	0.7192000000000001	0.67405	False
A10	11405.429999999998	9.341844836857382	0.1648	0.20295000000000007	False
A11	17476.980000000003	9.768639865461765	0.56045	0.4922000000000002	False
A12	15907.14	9.674523344079219	0.54085	0.4742	False
B1	38194.98	10.550459372372757	1.4569	1.4306999999999999	False
B2	22228.859999999993	10.009146723636977	0.8888	0.8097000000000001	False
B3	57987.17999999999	10.967977230631321	2.21045	2.0822	False
B4	17271.84	9.756832708661696	0.75	0.7638	False
B5	10237.530000000002	9.233815658657642	0.13285	0.29364999999999997	False
B6	22858.109999999997	10.03706125680925	0.5651	2.77295	True
B7	11404.86	9.341794859412985	0.1375	0.34450000000000003	True
B8	30473.49	10.324612404344204	1.42045	1.95315	False
B9	56610.06	10.943941986931222	2.1492	2.0285	False
B10	18055.5	9.801205626543284	0.6451	0.5898999999999999	False
B11	46668.990000000005	10.750835197419777	1.9290500000000002	1.80885	False
B12	46527.509999999995	10.747799029566245	1.9198	1.8213499999999998	True
C1	68918.25	11.140676298575439	2.32435	2.2761500000000003	False
C2	44613.630000000005	10.705794696723924	0.6736	3.98355	True
C3	58379.25000000001	10.974715797477348	2.16015	2.02975	False
C4	10562.37	9.265052963992057	0.1544	0.18344999999999997	False
C5	63186.45000000001	11.053845158429903	2.2586000000000004	2.1154500000000005	False
C6	17349.120000000003	9.761297063685223	0.6307	0.5382	False
C7	32219.519999999997	10.38032775907189	1.5244	1.3814000000000002	False
C8	8897.400000000001	9.093514378321471	0.1216	0.17379999999999993	False
C9	20910.389999999996	9.948001443659551	0.8161	0.72495	True
C10	42681.78	10.661527410286423	1.8688	1.7711000000000001	False
C11	19867.68	9.896849569846276	0.71275	0.6710999999999999	False
C12	20065.410000000003	9.906752716132921	0.72775	0.6907500000000001	False
D1	22988.940000000002	10.04276850973472	0.7279	2.8299	True
D2	23204.039999999997	10.052081680468282	0.9346000000000001	0.8438000000000002	True
D3	10130.999999999998	9.223355309152383	0.13274999999999998	0.14980000000000004	False
D4	67268.31	11.116444528078832	2.44545	2.31425	True
D5	53468.01	10.886838810137803	2.1500500000000002	2.02855	False
D6	42305.7	10.652677107752853	0.67915	3.0876	True
D7	58011.780000000006	10.968401372371357	2.1563999999999997	2.0206999999999997	False
D8	14891.789999999997	9.608565333429308	0.46235000000000004	0.3762499999999999	True
D9	17594.55	9.775344474037894	0.7035499999999999	0.6550499999999999	True
D10	60154.05	11.004664050823596	2.3217999999999996	2.1936499999999994	False
D11	10138.560000000001	9.224101255324852	0.14085	0.13140000000000004	False
D12	36307.41	10.49977713167974	0.41645	2.2753500000000004	True
E1	19259.73	9.865771666614187	0.74925	0.68895	False
E2	11385.15	9.340065153729448	0.15865	0.13714999999999994	False
E3	29325.090000000004	10.286198742604777	1.45115	1.35335	False
E4	49975.67999999999	10.81929176609944	1.4541499999999998	2.4617	True
E5	16632.24	9.719098259508291	0.37015	1.9035000000000002	True
E6	54176.31	10.899999007025912	2.05965	1.9520499999999998	False
E7	17651.100000000002	9.778553383422278	0.5996	0.5011000000000001	False
E8	73827.78	11.209490362537062	2.4753499999999997	2.4145	False
E9	19345.95	9.870238374277248	0.8200000000000001	0.72775	False
E10	18069.510000000002	9.801981266505827	0.6926	0.6283500000000001	False
E11	67925.70000000001	11.12616973974016	2.3343499999999997	2.3111	False
E12	10291.740000000002	9.23909691084002	0.13955	0.10679999999999987	False
F1	17273.219999999998	9.756912604311067	0.6076999999999999	0.5336999999999998	False
F2	42404.22	10.655003164592905	1.93955	1.8206	True
F3	22021.799999999996	9.999788150850442	0.85605	0.7712999999999999	False
F4	9483.210000000001	9.157278145634839	0.1402	0.07605000000000005	False
F5	84075.20999999999	11.339467034387093	2.53125	2.5616499999999998	True
F6	70741.73999999999	11.166791059587304	2.4935	2.4135	False
F7	64880.06999999999	11.080295767719045	2.268	2.1263499999999995	False
F8	17326.799999999996	9.760009714822887	0.6225	0.5408000000000002	False
F9	11589.42	9.357847892027245	0.1498	0.18069999999999994	False
F10	18431.43	9.821812638592535	0.6557	0.5731499999999999	False
F11	56789.67	10.947109721990007	2.10615	2.0347499999999994	False
F12	18333.87	9.816505447899877	0.6514	0.59955	False
G1	11270.79	9.329969702270084	0.1518	0.2043499999999999	False
G2	68288.43	11.1314956315166	2.48625	2.4168499999999993	True
G3	16079.73	9.6853147516094	0.5643499999999999	0.4743499999999999	False
G4	21129.18	9.958410302521536	0.9277500000000001	0.8672000000000001	False
G5	36328.950000000004	10.500370223091007	1.67605	1.55925	False
G6	65730.39	11.093316654618993	2.3691	2.22315	False
G7	18199.62	9.809155993780982	0.65175	0.5718000000000001	False
