	mu	AUC	FinalOD	Summary
A1	0.24216923295629214	42096.382980669274	1.9807978277488196	Growth with valine supplementation without hyperosmotic stress.
A3	0.2447265350206282	45446.8546122267	2.040193022839274	Growth with physiological lysine supplementation without hyperosmotic stress.
A4	0.2586042948347043	16481.996194172385	1.0734127060674123	Growth with supraphysiological lysine supplementation without hyperosmotic stress.
A6	0.23500378195362448	11684.860215378747	0.7494651504272591	Growth with physiological lysine supplementation under hyperosmotic stress.
A7	0.23198670562962131	7066.599560116719	0.4602468121034158	Growth with supraphysiological lysine supplementation under hyperosmotic stress.
A8	0.24468164094220066	45408.46541364913	2.0006992789892935	Baseline growth without any supplementation or hyperosmotic stress.
A9	0.2474931388673407	8226.179487059118	0.5776177090670216	Growth with supraphysiological lysine supplementation under hyperosmotic stress.
A10	0.0	1282.7463468573071	0.0	Media control
A11	0.29640923445570827	7408.181098605666	0.42140175460919993	Growth with valine supplementation under hyperosmotic stress.
A12	0.24234270192208046	5982.815756506604	0.3960902656877969	Growth under hyperosmotic stress without any supplementation.
B1	0.37417456529870247	28166.456103643304	1.319984871865529	Growth with supraphysiological lysine supplementation without hyperosmotic stress.
B2	0.21605313643498292	12089.476387892424	0.7395722762569372	Growth with physiological lysine supplementation under hyperosmotic stress.
B3	0.2563453520902515	47731.268510769645	2.0632040510017378	Growth with valine supplementation without hyperosmotic stress.
B4	0.3116204854637984	7282.664423065599	0.6005980896857861	Growth with supraphysiological lysine supplementation under hyperosmotic stress.
B5	0.0	534.5500156138615	0.0	Media control
B8	0.25534531141021904	20258.756702186613	1.2891412381666396	Growth with supraphysiological lysine supplementation without hyperosmotic stress.
B9	0.24816296787497644	46332.00422526804	2.012275275019356	Growth with physiological lysine supplementation without hyperosmotic stress.
B10	0.23394100437903806	7986.09095774137	0.5046118141230675	Growth under hyperosmotic stress without any supplementation.
B11	0.2478686244822874	36403.56744862067	1.8267802012998686	Growth with valine supplementation without hyperosmotic stress.
