,Mean_Coefficient,SD_Coefficient
2'-Deoxyguanosine-5'-Diphosphate [[M+H]]/Adenosine 5'-diphosphate (ADP) [[M+H]],-3.4224472401387565,9.805620802019183
2'-Deoxyguanosine-5'-Monophosphate [[M+H]],45.92320099037395,71.21044607727828
2'-Deoxyinosine [[M+H]],25.46364342101258,59.34083119243055
3-Methylhistidine [[M+Na]],59.41738094808376,82.56166845848836
5'-Deoxyadenosine [[M+H]],56.10857893708209,77.4448441941705
5-Hydroxyindoleacetate [[M+H]],8.626501494576136,38.75869649310763
ATP [[M+H]],40.639642393993135,73.78607463654129
Acetyl coenzyme A (Acetyl-CoA) [[M+H]],6.59057602550689,30.942635873205685
Ademetionine [[M+H]],-2.0512971007981977,26.95579960578521
Adenine [[M+H]],-5.12433352121015,49.2960329791853
Adenosine [[M+H]],12.699133827955352,45.90333078700934
Adenosine phosphate [[M+H]],27.00108319879649,45.912994664659685
Adenosine-3'-5'-Diphosphate [[M+H]],-15.752872151393083,22.603839651599046
Alpha-D-Glucose [[M+Na]],5.365920038575289,33.11521429857822
Aminoadipate [[M+Na]],8.02975120839904,53.675522010534564
Argininosuccinic acid [[M+H]],16.392193541140593,73.40859911361724
Asparagine [[M+NH4]],11.04187220212859,56.74967910624206
Biotin [[M+H]],-6.8009777051457965,52.07315983645184
Choline [[M+H]],6.186184998323587,43.76550238754589
Cytidine [[M+H]],39.621703728951026,78.4984582667844
Cytosine [[M+H]],45.43486532999999,62.209511828276426
D-(+)-Melibiose [[M+K]]/Trehalose [[M+K]],-13.327585127267055,23.501769626323114
D-(+)-Turanose [[M+Na]],-7.748070650543176,34.820638556091524
D-Fructose [[M+Na]]/D-Mannose [[M+Na]],3.5509460803914936,35.86797364509022
D-Galactose [[M+Na]]/Galactose [[M+Na]],5.817566305835627,34.786367555660476
D-Glucose [[M+Na]],-1.1171495359574408,34.1215818444864
Glucosamine 6-Phosphate [[M+H]],-13.419905954756224,42.50119530094516
Glucosamine [[M+H]],57.551487462436974,92.54500679916354
Glutamic Acid [[M-H2O+H]],-3.6964110758346114,37.233040836270526
Glutathione [[M+H]],21.25078514166254,43.86895004183849
Guanosine-5'-Diphosphate [[M+H]],-40.28161767343243,60.02796711797518
Histidine [[M+H]],-29.45473098058547,60.136713997407746
Imidazoleacetic acid [[M+H]],45.35101166712449,62.40638817780123
Indole-3-Ethanol [[M+H]],-30.56587105806276,42.96421341257311
Inositol [[M+Na]],-2.2684385529956663,46.07142145632908
Isomaltose [[M+Na]],-7.747909614784079,35.277224614042055
L-Arginine [[M+H]],41.68333575585545,82.81106480964498
L-Citrulline [[M+H]],2.723630846507775,33.83859150488049
L-Glutamine [[M+H]],26.054612727592218,75.41031730999904
L-Lysine [[M+H]],-6.435045327023009,42.99167508739217
L-Phenylalanine [[M+H]],16.727241018658393,44.15902833846667
L-Threonine [[M+Na]],57.367990791819615,71.85861105037421
L-Tryptophan [[M+NH4]],3.5934532219132835,35.94247776290597
L-Tyrosine [[M+Na]],42.5510900895948,71.77653383930263
L-Valine [[M+H]],-3.996924601352481,26.09701903186944
Maltose [[M+K]],-18.742393370765985,28.722965533688317
Methionine [[M+H]],-18.316134373968755,43.36021786105464
N-(5-Amino-5-Carboxypentyl)Glutamic Acid [[M+H]],11.499810246684602,38.16211231778742
N2-Acetyl-L-ornithine [[M+H]],37.330754130428055,71.56192671777423
Palatinose [[M+K]],-16.64017281784817,25.152230892076847
Pidolic Acid [[M+H]],3.00832859018013,37.76245877842206
Sucrose [[M+K]],-16.79490292796138,25.368010305733012
Thymine [[M+H]],29.201238973527047,60.643946792225485
d-Desthiobiotin [[M+K]],-38.07152760999824,69.91007336080644
gamma-Glutamylcysteine [[M+H]],41.435344234796965,105.40261624026317
