,PLS1,PLS2,PLS3,PLS4,PLS5
2'-Deoxyguanosine-5'-Diphosphate [[M+H]]/Adenosine 5'-diphosphate (ADP) [[M+H]],0.15512062752095382,-0.12850501716489326,0.13232374708090758,0.03616705057051404,-0.0698169563103166
2'-Deoxyguanosine-5'-Monophosphate [[M+H]],0.1928704728031102,-0.0074282689397060725,-0.18729317033982051,0.06508406086248619,0.042086834245007185
2'-Deoxyinosine [[M+H]],0.08109276500349483,-0.027796191734815068,-0.06830421832038855,0.024505147847026103,-0.07688365273230022
3-Methylhistidine [[M+Na]],0.020452241029899537,0.0770048560599874,-0.03221900769180664,-0.07577873403359096,0.25241755175218267
5'-Deoxyadenosine [[M+H]],0.13937747239730358,0.0701948703256793,-0.15292018905810104,0.0256134345428815,0.020341322945284523
5-Hydroxyindoleacetate [[M+H]],-0.028691584429402846,0.11665327900160681,0.004307196592627472,-0.15823663658271672,0.3165063299968835
ATP [[M+H]],0.08463302514316222,-0.026309827595901183,0.09606917040334269,-0.00368107271110758,-0.009958873801141585
Acetyl coenzyme A (Acetyl-CoA) [[M+H]],-0.042396375392187706,0.08147771988784434,-0.17719807921177397,0.07250790139445451,-0.19663024257939
Ademetionine [[M+H]],0.05030078006586765,0.33570793218864664,0.056002736977386766,-0.09128320114287539,-0.036495971456964094
Adenine [[M+H]],0.023633136206614915,-0.20841371187459914,-0.14889573728049268,0.05073244824303476,-0.04328492876611303
Adenosine [[M+H]],0.05944382127521254,0.1661120635119241,-0.05693950096887797,-0.006024021146259459,0.2428324693870826
Adenosine phosphate [[M+H]],0.1917340827572059,0.017704590026681826,-0.2296997294395266,-0.03223737976432214,-0.0642423297406523
Adenosine-3'-5'-Diphosphate [[M+H]],0.14893377791469778,-0.1339425342668386,0.11611489368012,0.04831452340374629,-0.06967976057341788
Alpha-D-Glucose [[M+Na]],-0.13000348868933423,0.04402163818049892,-0.29022650181768883,-0.10476693011755164,-0.1025815819810047
