Group1	Group2	Feature	U_stat	p_raw	Median1	Median2	p_corrected	Significant
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	2'-Deoxyguanosine-5'-Diphosphate [[M+H]]/Adenosine 5'-diphosphate (ADP) [[M+H]]	38.0	0.8125257095845331	4566.129993229519	4740.304429021124	0.96253045596937	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	2'-Deoxyguanosine-5'-Monophosphate [[M+H]]	24.0	0.31478815302344715	5425.8341232227485	6212.19985307543	0.603648424543947	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	2'-Deoxyinosine [[M+H]]	37.0	0.8867749897161661	1682.678144523346	1577.6429702005803	1.0	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	3-Methylhistidine [[M+Na]]	29.0	0.6008844097079391	135.4777239498152	179.35438353606708	0.8502415458937197	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	5'-Deoxyadenosine [[M+H]]	40.0	0.6690662278897572	230.42112389979687	193.75533938056358	0.8944114504776268	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	5-Hydroxyindoleacetate [[M+H]]	32.0	0.8125257095845331	22.76996639958646	36.08296106157164	0.96253045596937	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	ATP [[M+H]]	22.0	0.2295351707116413	202.46807960713363	526.9120336055975	0.5368589743589745	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Acetyl coenzyme A (Acetyl-CoA) [[M+H]]	50.0	0.16125051419169067	515.4899693000476	354.29682196040653	0.44594594594594594	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Ademetionine [[M+H]]	24.0	0.31478815302344715	1344.4024122807016	1727.9125782881001	0.603648424543947	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Adenine [[M+H]]	47.0	0.269847799259564	6176.890318212592	5102.063877464498	0.573985650358741	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Adenosine [[M+H]]	14.0	0.043089263677498976	233.7518991062674	627.3657766817321	0.20480699402268032	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Adenosine phosphate [[M+H]]	32.0	0.8125257095845331	45726.19702098849	42429.027406190915	0.96253045596937	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Adenosine-3'-5'-Diphosphate [[M+H]]	40.0	0.6690662278897572	4249.665538253215	4237.85575218035	0.8944114504776268	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Alpha-D-Glucose [[M+Na]]	32.0	0.8125257095845331	161.2171052631579	279.91664332883704	0.96253045596937	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Aminoadipate [[M+Na]]	28.0	0.5361990950226244	3886.533513879485	4515.128657496856	0.8063931702488688	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Argininosuccinic acid [[M+H]]	49.0	0.19323323735088443	3017.9436546911347	2396.5666817005867	0.47688972038519556	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Asparagine [[M+NH4]]	44.0	0.41731797614150556	2353.399122807017	2024.8451443569554	0.7172652714932127	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Biotin [[M+H]]	31.0	0.7396133278486219	1293.983606557377	1400.259048429889	0.9431939978563771	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Choline [[M+H]]	33.0	0.8867749897161661	1939.754975445852	2131.8923328899364	1.0	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Cytidine [[M+H]]	43.0	0.4747017688194159	13026.08530805687	12074.471135610609	0.7513661202185792	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Cytosine [[M+H]]	18.0	0.10880296174413821	36.30886533988111	66.164449638755	0.36065573770491804	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	D-(+)-Melibiose [[M+K]]/Trehalose [[M+K]]	20.0	0.16125051419169067	6577.939742721733	21639.04587382495	0.44594594594594594	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	D-(+)-Turanose [[M+Na]]	26.0	0.41731797614150556	39837.92234552962	39923.34344250509	0.7172652714932127	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	D-Fructose [[M+Na]]/D-Mannose [[M+Na]]	23.0	0.269847799259564	87.82459016393443	231.0846047442928	0.573985650358741	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	D-Galactose [[M+Na]]/Galactose [[M+Na]]	28.0	0.5361990950226244	216.3744943658919	252.43771964544896	0.8063931702488688	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	D-Glucose [[M+Na]]	31.0	0.7396133278486219	161.2171052631579	279.91664332883704	0.9431939978563771	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Glucosamine 6-Phosphate [[M+H]]	29.0	0.6008844097079391	96.61850607392093	172.71231229212077	0.8502415458937197	False
