well	AUC	log_auc	final_value	TV	outlier
A1	33633.93	10.423290657882932	1.30335	1.1809500000000002	True
A2	12617.400000000001	9.44283209276197	0.17020000000000002	0.21100000000000008	False
A3	47305.50000000001	10.764381846811045	1.86565	1.74	True
A4	56100.060000000005	10.934892161046758	2.0766999999999998	1.9332999999999996	False
A5	42219.149999999994	10.650629188584773	1.70645	1.55465	False
A6	32619.72	10.392672292477833	1.38195	1.2761	False
A7	26371.589999999997	10.180042573358206	1.04645	0.9744500000000001	True
A8	45009.75	10.714634411972508	1.7906	1.66695	False
A9	32775.840000000004	10.397446937624604	1.32385	1.2485	False
A10	13093.709999999997	9.479887241283652	0.19915	0.38525000000000004	True
A11	33438.63	10.417467097489773	1.2021	1.08195	False
A12	31631.069999999996	10.361895144402826	1.2799	1.16495	False
B1	50585.34000000001	10.831417089997258	1.96365	1.8337999999999999	False
B2	43634.27999999999	10.683598358968553	1.72875	1.6117	False
B3	37582.68	10.53429858498031	1.66315	1.5545	False
B4	38700.45	10.563606506883085	1.60975	1.5135500000000002	False
B5	11720.34	9.369081073034444	0.16265000000000002	0.21170000000000003	False
B6	26734.71	10.193718000157366	0.9524	0.84455	False
B7	11479.38	9.3483076615336	0.15539999999999998	0.28870000000000007	False
B8	40033.62	10.597474880098725	1.66695	1.551	False
B9	51624.72000000001	10.851755906539182	2.01785	1.8913	False
B10	40426.77000000001	10.60724746829816	1.60995	1.48595	False
B11	41122.86	10.624319450263881	1.6751	1.6019	False
B12	43555.65	10.681794709824336	1.8408	1.7494500000000002	False
C1	55476.87	10.923721456128561	2.0277000000000003	1.90535	False
C2	41257.020000000004	10.627576559125965	1.6701000000000001	1.5443000000000002	False
C3	68328.75	11.132085894046833	2.2592	2.10575	False
C4	11591.309999999998	9.358010958505654	0.1647	0.12935000000000008	False
C5	34135.53	10.438094056346756	1.33	1.21705	True
C6	34343.969999999994	10.444181736418107	1.39685	1.28215	False
C7	42868.32	10.665888370603945	1.7393999999999998	1.6149999999999998	False
C8	9496.259999999998	9.158653315969437	0.1221	0.15390000000000004	True
C9	46789.920000000006	10.753423074113128	1.7981500000000001	1.6845	False
C10	43535.94	10.681342082875258	1.767	1.6962999999999997	False
C11	39805.14	10.591751328687703	1.5890499999999999	1.4574	False
C12	22668.48	10.028730692334419	0.7373000000000001	0.6236	False
D1	25633.529999999995	10.151656539136896	0.884	0.76645	False
D2	46238.88	10.741576281621255	1.7606000000000002	1.6342	False
D3	11447.220000000001	9.345502184830499	0.16085	0.17959999999999993	False
D4	62755.23	11.046997200150376	2.20345	2.1165499999999997	False
D5	51697.920000000006	10.853172827598213	1.9971	1.906	False
D6	40007.28	10.596816716561078	1.6314000000000002	1.5074	False
D7	52683.93000000001	10.872065754460397	1.9651	1.84945	False
D8	18416.85	9.82102128546777	0.4694	0.46264999999999995	True
D9	47477.94	10.768020461114306	1.8876	1.8145000000000002	False
D10	28100.49	10.243542292927808	1.04635	0.9365499999999999	True
D11	11507.640000000001	9.350766441683	0.15615	0.28810000000000013	False
D12	31871.879999999997	10.369479395348371	1.2264499999999998	1.1235	False
E1	39489.72	10.583795663878247	1.46125	1.3667000000000002	False
E2	10125.689999999999	9.222831037899667	0.13855	0.09675000000000002	False
E3	47928.090000000004	10.777457041599588	1.9826000000000001	1.86625	False
E4	45117.240000000005	10.717019714110366	1.8108	1.6931999999999998	False
E5	31756.379999999997	10.365848929047498	1.16695	1.059	False
E6	61136.009999999995	11.020856333272771	2.2554499999999997	2.1329499999999997	False
E7	41262.0	10.627697258572127	1.6904	1.586	False
E8	43673.07000000001	10.684486944008677	1.71495	1.60525	False
E9	42123.27	10.648355598585821	1.7326000000000001	1.6229500000000001	False
E10	44248.020000000004	10.697565903694843	1.80165	1.6862	False
E11	52068.92999999999	10.8603236967044	1.9612500000000002	2.12915	False
E12	10207.589999999998	9.230886840299117	0.13145	0.23735000000000003	False
F1	40039.83	10.597629987690873	1.59875	1.47285	False
F2	56489.219999999994	10.941805102488097	2.12635	2.0009000000000006	False
F3	31959.36	10.372220374679708	1.18245	1.0687	False
F4	9895.109999999999	9.199795974801555	0.13415	0.07715000000000002	False
F5	60655.829999999994	11.012971035078092	2.2119999999999997	2.18575	False
F6	48692.25	10.793275158850488	1.8113000000000001	1.68965	False
F7	59964.149999999994	11.001502162646654	2.1189999999999998	2.05235	False
F8	46133.310000000005	10.739290527738799	1.7958500000000002	1.6792500000000004	False
F9	9245.1	9.131848960528544	0.12505	0.08249999999999995	False
F10	17346.300000000003	9.761134506206107	0.23809999999999998	0.44730000000000003	True
F11	44319.539999999986	10.699180942328494	1.78815	1.6919999999999997	False
F12	32781.06	10.39760618859623	1.36385	1.3238	False
G1	11772.480000000003	9.373519883326715	0.1616	0.1919999999999999	False
G2	54261.00000000001	10.901561015844054	2.0501	1.9256	False
G3	47031.78	10.758578822426143	1.8143	1.6931	False
G4	36712.950000000004	10.510884832864509	1.3862	1.2735500000000002	False
G5	52952.219999999994	10.877145276515161	2.07855	1.9587999999999999	False
G6	60223.649999999994	11.005820411308212	2.23225	2.1478500000000005	False
G7	35304.299999999996	10.47176004856227	1.4935999999999998	1.3884999999999998	False
G8	25234.29	10.135959062892125	0.92685	0.82695	False
G9	21114.27	9.957704394239025	0.6899500000000001	0.58765	False
G10	10881.15	9.294787213445552	0.15225	0.13585	False
G11	34494.36	10.448551111423544	1.42005	1.3701	False
G12	44163.72000000001	10.69565891655614	1.71175	1.5917000000000001	False
H1	44396.28	10.700910961148999	1.77435	1.6417	False
H2	55329.3	10.92105788446566	2.16865	2.0262	False
H3	30720.539999999997	10.332686765264667	0.77085	1.2332	False
H4	55589.25	10.925745116239305	2.1252500000000003	2.0027500000000003	False
H5	36867.450000000004	10.515084326943258	1.5021499999999999	1.39035	False
H6	10837.11	9.290731634374387	0.1506	0.20154999999999995	False
H7	26350.559999999994	10.179244806153546	0.94835	0.8425	False
H8	33667.14	10.424277566492098	1.45195	1.3530000000000002	False
H9	29613.0	10.295968733119766	1.24995	1.1488999999999998	True
H10	54022.200000000004	10.897150352193014	2.10875	2.0133	False
H11	10227.09	9.232795361099743	0.14634999999999998	0.14774999999999994	False
H12	42906.119999999995	10.66676975210748	1.90975	1.8441	False
