	mu	AUC	FinalOD	Summary
A2	0.0	1123.52217620945	0.0	Media control
A4	0.2663427671481505	44406.285613028274	1.9538618885260524	Growth with 20 mM proline supplementation, no lactic acid.
A5	0.20485649607106757	30539.700494802786	1.572625821032635	Growth with 20 mM alanine supplementation, no lactic acid.
A6	0.21039568890098384	21452.187218385992	1.2417234599259928	Growth with 20 mM proline supplementation and 50 mM (S)-lactic acid.
A8	0.24669431347685755	34021.585299953185	1.685499835357696	Baseline growth without any supplementation or treatment.
A9	0.20947268630587376	22079.488978535686	1.200553676094313	Growth with 20 mM alanine supplementation, no lactic acid.
A11	0.16666230818739527	22813.2595225618	1.0715219820423203	Growth with 20 mM alanine supplementation and 50 mM (S)-lactic acid.
A12	0.19776310720031742	21155.17140711819	1.1455952693664817	Growth with 10 mM proline supplementation and 50 mM (S)-lactic acid.
B1	0.24661001092339513	39186.76310703435	1.8447792536401448	Growth with 20 mM proline supplementation, no lactic acid.
B2	0.21451597854402443	32296.694935386367	1.6066140605258998	Growth with 20 mM proline supplementation and 50 mM (S)-lactic acid.
B3	0.37303263330948216	26492.63718962249	1.5402896612146464	Growth with 50 mM (S)-lactic acid, no proline supplementation.
B4	0.2124892339010873	27148.95018788818	1.473073285253309	Growth with 20 mM alanine supplementation, no lactic acid.
B5	0.0	567.8343425326285	0.0	Media control
B6	0.18686154234292598	15225.682356125943	0.8004109252310937	Growth with 20 mM alanine supplementation and 50 mM (S)-lactic acid.
B7	0.0	635.0270920329028	0.0	Media control
B8	0.24674238136153973	29115.99172165842	1.5423342264566036	Growth with 20 mM proline supplementation, no lactic acid.
B9	0.24189630441335047	40967.165869557	1.9042977223818616	Growth with 10 mM proline supplementation, no lactic acid.
B10	0.19553184063290624	29813.76518285465	1.4970371559843783	Growth with 10 mM proline supplementation and 50 mM (S)-lactic acid.
B11	0.244516888311818	30695.45597134315	1.5614902500738317	Growth with 50 mM (S)-lactic acid, no proline supplementation.
B12	0.25244434810802135	33144.59462633705	1.737251703376963	Baseline growth without any supplementation or treatment.
C1	0.23518730527074835	43979.743400301864	1.8893203120613073	Growth with 10 mM proline supplementation, no lactic acid.
C2	0.1999611627313802	30029.792573302257	1.5582052202935808	Growth with 20 mM alanine supplementation, no lactic acid.
C3	0.24917332999712907	56779.52785993037	2.1238194191352138	Baseline growth without any supplementation or treatment.
C4	0.0	536.4100758446431	0.0	Media control
C6	0.20376336266112394	23379.782482502877	1.259047769873421	Growth with 10 mM proline supplementation and 50 mM (S)-lactic acid.
C7	0.2492729334973473	31924.576033780813	1.609721794473227	Growth with 20 mM proline supplementation, no lactic acid.
C9	0.21901100303372567	36133.96091210926	1.6834342440483434	Growth with 10 mM proline supplementation and 50 mM (S)-lactic acid.
C10	0.23950061195873676	33017.400280317306	1.6410539594355544	Growth with 20 mM proline supplementation, no lactic acid.
C11	0.19757479661239855	29341.263597418398	1.4803543832116781	Growth with 20 mM proline supplementation and 50 mM (S)-lactic acid.
C12	0.17722818023767947	12100.0056477845	0.597753814706186	Growth with 20 mM alanine supplementation and 50 mM (S)-lactic acid.
D1	0.1918547270541608	14239.239489859128	0.7293816420787389	Growth with 20 mM alanine supplementation and 50 mM (S)-lactic acid.
D2	0.20580745326734076	35267.926288453076	1.659720014241843	Growth with 10 mM proline supplementation and 50 mM (S)-lactic acid.
D3	0.0	527.4506289044693	0.0	Media control
D4	0.2297786374648855	51922.92498432371	2.1278908761414432	Baseline growth without any supplementation or treatment.
D5	0.25075213202242674	40621.623835846825	1.9212070041189075	Baseline growth without any supplementation or treatment.
D6	0.21188308857123547	28967.702784754714	1.5136401145414948	Growth with 20 mM alanine supplementation, no lactic acid.
D7	0.24419214193922018	41855.87946841849	1.8795015879150858	Growth with 10 mM proline supplementation, no lactic acid.
D9	0.26235449161313534	36928.52639448739	1.8221031782285197	Growth with 20 mM proline supplementation, no lactic acid.
D11	0.0	1122.609282653807	0.0	Media control
D12	0.17702051744737193	21602.307326529284	1.087697465101467	Growth with 20 mM proline supplementation and 50 mM (S)-lactic acid.
E1	0.2530557317748286	28865.064450738028	1.3327178014133447	Growth with 20 mM proline supplementation and 50 mM (S)-lactic acid.
E2	0.0	719.9999999999997	0.0	Media control
E3	0.20514742404489192	37252.18636674193	1.8991887624070931	Growth with 20 mM proline supplementation, no lactic acid.
E4	0.20420244624969036	34451.21321386634	1.7051201235328541	Growth with 50 mM (S)-lactic acid, no proline supplementation.
E5	0.1734946568741362	20924.578630736898	1.01704468457927	Growth with 20 mM alanine supplementation and 50 mM (S)-lactic acid.
E6	0.2489364914573498	50082.50918872049	2.15286377012566	Baseline growth without any supplementation or treatment.
E7	0.21022330180704799	30896.8522947179	1.5754737961053484	Growth with 10 mM proline supplementation and 50 mM (S)-lactic acid.
E8	0.18997324651600692	33095.53297560302	1.6031631359799143	Growth with 50 mM (S)-lactic acid, no proline supplementation.
E9	0.21782427994160083	31703.591074917116	1.623165019641223	Growth with 20 mM proline supplementation and 50 mM (S)-lactic acid.
E10	0.2078817077612801	34039.75564428182	1.707499895334595	Growth with 20 mM alanine supplementation, no lactic acid.
E11	0.2449001708949395	41509.1351722537	1.8491540713982564	Growth with 10 mM proline supplementation, no lactic acid.
E12	0.0	645.3415544592368	0.0	Media control
F1	0.18869463758115593	29404.364775867354	1.4709843311610609	Growth with 10 mM proline supplementation and 50 mM (S)-lactic acid.
F2	0.23573387451180616	45720.46604218701	2.037546721694914	Growth with 20 mM proline supplementation, no lactic acid.
F3	0.17397737757543297	21092.88691411293	1.0394754239854325	Growth with 20 mM alanine supplementation and 50 mM (S)-lactic acid.
F4	0.0	719.9999999999997	0.0	Media control
F5	0.2536598754322111	49980.80593356655	2.1566077621061783	Growth with 10 mM proline supplementation, no lactic acid.
F6	0.19301269076310376	38433.75385728441	1.7026163458368393	Growth with 50 mM (S)-lactic acid, no proline supplementation.
F7	0.23732321605183623	49592.34033295193	2.0416376701065975	Baseline growth without any supplementation or treatment.
F8	0.21090716616831245	35732.40033269827	1.706724145681922	Growth with 10 mM proline supplementation and 50 mM (S)-lactic acid.
F9	0.0	719.9999999999997	0.0	Media control
F11	0.2369513491123377	34000.2968304006	1.7087722615978322	Baseline growth without any supplementation or treatment.
F12	0.21508436853309812	22594.573337213715	1.2429643293091224	Growth with 20 mM alanine supplementation, no lactic acid.
G1	0.0	805.6082283131065	0.0	Media control
G2	0.2365182787167707	43539.54736542187	1.9309670704707003	Baseline growth without any supplementation or treatment.
G3	0.20671616291401862	36366.73717327656	1.7065235712724611	Growth with 10 mM proline supplementation and 50 mM (S)-lactic acid.
G4	0.16806348754775108	26100.990936394428	1.2577551637950655	Growth with 20 mM alanine supplementation and 50 mM (S)-lactic acid.
G5	0.2529873040289241	42329.073661578455	1.9667161208724973	Growth with 20 mM proline supplementation, no lactic acid.
G6	0.2419473311401132	49933.655079056894	2.1628094610924435	Growth with 10 mM proline supplementation, no lactic acid.
G7	0.20256211032839533	25331.151644001555	1.3876112717174531	Growth with 20 mM proline supplementation and 50 mM (S)-lactic acid.
G8	0.18318373213090705	15309.858437651264	0.7904786032815656	Growth with 20 mM alanine supplementation and 50 mM (S)-lactic acid.
G9	0.18363151481156	10677.445568579898	0.5453511961062159	Growth with 20 mM alanine supplementation and 50 mM (S)-lactic acid.
G10	0.0	469.2679581170398	0.0	Media control
G11	0.19887608581701782	24224.854154492645	1.3009252933213251	Growth with 20 mM alanine supplementation, no lactic acid.
G12	0.17177539765551253	33874.46034255308	1.6193456191397466	Growth with 50 mM (S)-lactic acid, no proline supplementation.
H1	0.21845970690950725	33832.656759123616	1.6696823910543428	Baseline growth without any supplementation or treatment.
H2	0.23502853771482793	44605.79251538158	2.0259724424540035	Growth with 10 mM proline supplementation, no lactic acid.
H3	0.25970005737997404	19873.027394291414	0.8260799999999326	Growth with 20 mM proline supplementation and 50 mM (S)-lactic acid.
H4	0.22967846073990564	44911.68885554488	1.9859591635894964	Growth with 10 mM proline supplementation, no lactic acid.
H5	0.19303144006661901	26288.9928746078	1.3588840873625994	Growth with 10 mM proline supplementation and 50 mM (S)-lactic acid.
H6	0.0	488.90325873092087	0.0	Media control
H7	0.17646636445343572	16283.166569228923	0.8134019303191317	Growth with 20 mM alanine supplementation and 50 mM (S)-lactic acid.
H8	0.2020787983117452	23713.256314585375	1.331028991262974	Growth with 20 mM alanine supplementation, no lactic acid.
H10	0.23971285087308639	43914.35971882617	2.010924808208383	Growth with 10 mM proline supplementation, no lactic acid.
H11	0.0	609.3924693527377	0.0	Media control
H12	0.2694361195455788	32627.411059253092	1.8497961706097827	Growth with 20 mM proline supplementation, no lactic acid.
