,Mean_Coefficient,Std_Coefficient
2'-Deoxyguanosine-5'-Diphosphate [[M+H]],40.66036942674743,91.09534961065187
2'-Deoxyguanosine-5'-Monophosphate [[M+H]],82.14861363246698,152.95161884653658
2'-Deoxyuridine [[M+Na]],-761.7713747520686,502.2709341069936
5'-Deoxy-5'-Methylthioadenosine [[M+H]],132.5658631839398,119.7258066975013
ATP [[M+H]],-97.53136964924204,349.7716441790292
Acetyl coenzyme A (Acetyl-CoA) [[M+H]],1009.5467511867331,1037.7539856901017
Ademetionine [[M+H]],-142.6270346202379,126.100964012431
Adenine [[M+H]],-519.3678943343349,280.3320668036183
Adenosine 5'-diphosphate (ADP) [[M+H]],40.79381444350379,90.99478473803728
Adenosine phosphate [[M+H]],134.43616582016767,149.02510487339575
Adenosine-3'-5'-Diphosphate [[M+H]],38.96370531952751,88.09994973841958
Alpha-D-Glucose [[M+Na]],-195.91244867016013,197.81451093023358
Aminoadipate [[M+Na]],216.13399748356602,184.16555640565468
Argininosuccinic acid [[M+H]],-199.30310381669074,217.90984804150227
Asparagine [[M+NH4]],-117.93733298102697,819.7468290403035
Biotin [[M+H]],118.70136426803454,160.00432894746424
Choline [[M+H]],99.23807434476564,201.49577136974702
Cytidine [[M+H]],-74.2845394649737,206.91089550148527
D-(+)-Melibiose [[M+Na]],125.51976431438008,116.83389829121477
D-(+)-Turanose [[M+Na]],123.50917558728084,114.99017576221418
D-Fructose [[M+Na]],-127.96514015333582,152.94161831053
D-Galactose [[M+Na]],-130.67105699204254,146.8434935846103
D-Glucose [[M+Na]],-199.39584528987677,199.44377831372287
D-Mannose [[M+Na]],-127.32013724756379,152.45946589064954
Deoxyadenosine [[M+H]],-288.1988928776665,373.49719857464737
Galactose [[M+Na]],-130.76081618451218,146.9614624872529
Glucosamine [[M+H]],-330.10237765131467,700.9543048164963
Glutamic Acid [[M-H2O+H]],141.10796348276546,126.33520638532009
Glutathione [[M+H]],-131.78074824147632,275.1092792561018
Histidine [[M+H]],158.84403466166253,278.59418776821855
Imidazoleacetic acid [[M+H]],-385.0195314356066,412.9413404649207
Indole-3-Ethanol [[M+H]],79.55355191385584,172.50646254923976
Inositol [[M+Na]],-223.0550881124903,222.8980135910674
Isomaltose [[M+Na]],125.27863203981705,116.56235395108699
L-Arginine [[M+H]],201.71981917936142,202.61498211242946
L-Citrulline [[M+H]],286.0726808355738,367.804294172034
L-Glutamine [[M+H]],-302.45888788065946,438.2478256471873
L-Histidinol [[M+H]],83.0030084393203,212.43413719626875
L-Tryptophan [[M+NH4]],321.5502338291091,340.21138746558137
Linoleic acid [[M+Na]],-3.524368968232918,148.59785280659744
Maltose [[M+Na]],130.92791790137585,122.1571141183511
N-(5-Amino-5-Carboxypentyl)Glutamic Acid [[M+H]],-20.063507314904662,35.91889841833797
N2-Acetyl-L-ornithine [[M+H]],-7.393334905552933,45.237128002304885
Nicotinamide [[M+H]],437.74327027682114,310.0787355444007
Nicotinamide ribotide [[M+H]],-296.57571339257754,276.7421944672389
O-acetyl-L-serine [[M+H]],253.8585044855641,264.2737545287588
Oleic acid [[M+Na]],-131.4275058249117,235.89155070885326
Palatinose [[M+Na]],122.66466796800569,114.2856278807907
Pidolic Acid [[M+H]],375.4756418168912,313.8348171672892
Proline [[M+NH4]],-96.13435661696617,123.80745816357125
Pyridoxal [[M+H]],-461.9768208483987,260.07261866599043
Sucrose [[M+Na]],110.8543047075876,104.20762318086265
Thymine [[M+H]],-386.5435810587118,384.909887232625
Trehalose [[M+Na]],119.1414168955253,112.4212499913828
Xanthurenic acid [[M+H]],-328.99186814056077,333.31360690825414
d-Desthiobiotin [[M+H]],97.52362704390771,252.43032814272865
gamma-Glutamylcysteine [[M+H]],-442.5278590019352,520.395278950618
