,Mean_Coefficient,SD_Coefficient
2'-Deoxyguanosine-5'-Diphosphate [[M+H]]/Adenosine 5'-diphosphate (ADP) [[M+H]],-75.20429607344856,176.7922299070461
2'-Deoxyguanosine-5'-Monophosphate [[M+H]],35.15234302241404,180.67303254277127
2'-Deoxyuridine [[M+Na]],-549.1990273932167,365.9994619961385
5'-Deoxy-5'-Methylthioadenosine [[M+H]],208.9563984067916,180.68087481761685
ATP [[M+H]],99.99600292525523,251.08491053318292
Acetyl coenzyme A (Acetyl-CoA) [[M+H]],372.1041026504709,435.417286083868
Ademetionine [[M+H]],-132.0253609508413,291.9148587100594
Adenine [[M+H]],-88.82147075838309,220.07642054937838
Adenosine phosphate [[M+H]],70.33201096697199,151.792891897116
Adenosine-3'-5'-Diphosphate [[M+H]],-66.56568708482762,167.4512358505121
Alpha-D-Glucose [[M+Na]],-144.5588500643362,144.12431148066864
Aminoadipate [[M+Na]],-250.45265659899934,368.580268825916
Argininosuccinic acid [[M+H]],-323.9183771644641,303.9551879487635
Asparagine [[M+NH4]],-147.08620383133044,341.7372771316078
Biotin [[M+H]],62.809629361252846,215.67102060881155
Choline [[M+H]],35.34306540462743,152.49305461081713
Cytidine [[M+H]],-156.04364981711902,228.0707237553882
D-(+)-Melibiose [[M+Na]]/D-(+)-Turanose [[M+Na]]/Isomaltose [[M+Na]]/Maltose [[M+Na]],50.18218617608448,107.80105670006047
D-Fructose [[M+Na]]/D-Mannose [[M+Na]],-25.195800376778603,70.55882177462814
D-Galactose [[M+Na]]/Galactose [[M+Na]],-24.689446148998336,66.47086938613641
D-Glucose [[M+Na]],-148.9860177088616,154.69481583772685
Deoxyadenosine [[M+H]],-208.98036069165795,330.16967860856585
Glucosamine [[M+H]],-67.22409270738542,238.79662379819393
Glutamic Acid [[M-H2O+H]],362.2968430236752,226.7090108539235
Glutathione [[M+H]],-276.86723306494605,260.81366854580955
Histidine [[M+H]],464.5456437293096,377.41731436951903
Imidazoleacetic acid [[M+H]],-50.11692907793463,162.0191996661983
Inositol [[M+Na]],-168.27198869415898,157.76580660175048
L-Arginine [[M+H]],304.913734664363,285.4951809456312
L-Citrulline [[M+H]],-50.60748326716916,220.31008898697323
L-Glutamine [[M+H]],-328.5564831077426,456.28784754781765
L-Histidinol [[M+H]],-254.8978879358319,327.82105783832884
L-Lysine [[M-H2O+H]],85.86231624916557,202.54399494042082
L-Tryptophan [[M+NH4]],68.37594508339173,362.8616759615417
Linoleic acid [[M+Na]],104.3661626025311,312.2304924495574
Lipoamide [[M+H]],157.50073922424696,268.0771320912079
N-(5-Amino-5-Carboxypentyl)Glutamic Acid [[M+H]],-54.85322756501247,187.37986156645724
N1-Acetylspermine [[M+Na]],-296.35623748380334,260.0582223836587
N2-Acetyl-L-ornithine [[M+H]],277.3425854296819,369.41522928828675
Nicotinamide [[M+H]],473.5973041255542,598.5074017627084
Nicotinamide ribotide [[M+H]],-789.8792053545402,596.7153325319149
O-acetyl-L-serine [[M+H]],155.2748033051401,269.1861276076525
Oleic acid [[M+Na]],-147.46526675074054,340.6766708925624
Palatinose [[M+Na]],70.02862893257524,118.03036456990029
Pidolic Acid [[M+H]],261.9680267272252,206.10736603065737
Proline [[M+NH4]],-109.28986655175079,153.46177428223112
Pyridoxal [[M+H]],-263.2501522184811,315.9224849618882
Quinolinic Acid [[M-H2O+H]],-572.9727187979735,537.6457458379617
Sucrose [[M+Na]],50.02522243806194,110.87565451178331
Tetracosanoic acid [[M+Na]],384.3869815044096,534.4805512035083
Thymine [[M+H]],-176.20087386431527,234.83544867273423
Trehalose [[M+Na]],63.988037897490464,114.40861226394118
Xanthurenic acid [[M+H]],-242.49722787497734,435.7147510288361
d-Desthiobiotin [[M+H]],-16.57521523067023,241.76621145417647
gamma-Glutamylcysteine [[M+H]],-393.8912104533925,345.55125824811864
