,Mean_Coefficient,Std_Coefficient
2'-Deoxyguanosine-5'-Diphosphate [[M+H]],0.034552955070585735,0.03729860963881246
2'-Deoxyguanosine-5'-Monophosphate [[M+H]],0.08610559757570778,0.1491392698172054
2'-Deoxyuridine [[M+Na]],-0.06429147887782995,0.11296314609867635
5'-Deoxy-5'-Methylthioadenosine [[M+H]],0.14651155397670668,0.25376545538352596
ATP [[M+H]],0.013940976597132518,0.048823116685421254
Acetyl coenzyme A (Acetyl-CoA) [[M+H]],-0.009124844970588448,0.01580469510024853
Ademetionine [[M+H]],0.19040955703040377,0.16568266132080184
Adenine [[M+H]],0.04839345943718773,0.0470334182471497
Adenosine 5'-diphosphate (ADP) [[M+H]],0.0344877126391801,0.037519659238458306
Adenosine phosphate [[M+H]],0.10679012059083148,0.18496591460972747
Adenosine-3'-5'-Diphosphate [[M+H]],0.05539100858871306,0.044265747460015444
Alpha-D-Glucose [[M+Na]],-0.10740517313170583,0.09899841682658012
Aminoadipate [[M+Na]],-0.5766054714956821,0.14721479899706344
Argininosuccinic acid [[M+H]],0.19429148825294218,0.19161553731187514
Asparagine [[M+NH4]],0.09279205795548874,0.18940096276820936
Biotin [[M+H]],0.16574576057185425,0.28708007844959793
Choline [[M+H]],-0.2379945756341378,0.27264516674139216
Cytidine [[M+H]],0.7580632299948898,0.1599162637756837
D-(+)-Melibiose [[M+Na]],0.03786585154768685,0.06558557875245424
D-(+)-Turanose [[M+Na]],0.03786585154768685,0.06558557875245424
D-Fructose [[M+Na]],-0.07861695980707466,0.05954871829503837
D-Galactose [[M+Na]],-0.09269159380419496,0.04412253859399754
D-Glucose [[M+Na]],-0.09155251707963578,0.08570676627397528
D-Mannose [[M+Na]],-0.07861695980707466,0.05954871829503837
Deoxyadenosine [[M+H]],0.1472205931075986,0.061605043417534665
Galactose [[M+Na]],-0.09269159380419496,0.04412253859399754
Glucosamine [[M+H]],-0.09488473072858655,0.11828704445696685
Glutamic Acid [[M-H2O+H]],-0.1370576478572965,0.042904753000508056
Glutathione [[M+H]],-0.19039018003150046,0.16488395930061103
Histidine [[M+H]],0.3268792295788281,0.156267743723831
Imidazoleacetic acid [[M+H]],0.1603094789428063,0.22987477825086136
Indole-3-Ethanol [[M+H]],-0.048443808889165524,0.0839071383081915
Inositol [[M+Na]],-0.081602722692719,0.1257962760847892
Isomaltose [[M+Na]],0.03786585154768685,0.06558557875245424
L-Arginine [[M+H]],0.2461790183401121,0.06029358579171972
L-Citrulline [[M+H]],-0.080043245556981,0.1421993530234256
L-Glutamine [[M+H]],0.20149835759186785,0.21773539115822924
L-Histidinol [[M+H]],0.006588366269295502,0.011411385117292826
L-Tryptophan [[M+NH4]],0.6354630880439075,0.5224291342780246
Linoleic acid [[M+Na]],0.4686099434129019,0.430849764033908
Maltose [[M+Na]],0.03786585154768685,0.06558557875245424
N-(5-Amino-5-Carboxypentyl)Glutamic Acid [[M+H]],0.46804771489033836,0.3133889578004371
N2-Acetyl-L-ornithine [[M+H]],0.6163565009901465,0.458421931967269
Nicotinamide [[M+H]],-0.010219708928664945,0.017701055103012984
Nicotinamide ribotide [[M+H]],-0.03350197485024535,0.05802712259451968
O-acetyl-L-serine [[M+H]],-0.31140092210639025,0.18760606777001235
Oleic acid [[M+Na]],0.9133527621593872,0.3872451409842955
Palatinose [[M+Na]],0.03653166116329336,0.06327469321971485
Pidolic Acid [[M+H]],-0.29954596929848315,0.1099108669168018
Proline [[M+NH4]],0.3777611891404751,0.352598737105133
Pyridoxal [[M+H]],0.03469339462873227,0.079982027879643
Sucrose [[M+Na]],0.03619690819246919,0.06269488406626278
Thymine [[M+H]],0.19129814161641812,0.32305571216351253
Trehalose [[M+Na]],0.03514136728996773,0.06086663359366314
Xanthurenic acid [[M+H]],-0.07727272157432029,0.13384027980584645
d-Desthiobiotin [[M+H]],0.021160733154323028,0.036651464948694715
gamma-Glutamylcysteine [[M+H]],-0.17403574289712007,0.15088810930177007
