,Mean_Coefficient,Std_Coefficient
2'-Deoxyguanosine-5'-Diphosphate [[M+H]],0.012385359572165354,0.022614968023149513
2'-Deoxyguanosine-5'-Monophosphate [[M+H]],0.0077712912503432935,0.02384949540805963
2'-Deoxyuridine [[M+Na]],-0.018035731923735015,0.016346545260973008
5'-Deoxy-5'-Methylthioadenosine [[M+H]],-0.09080334428337684,0.09750921308448612
ATP [[M+H]],0.16944120833903364,0.027466403240518043
Acetyl coenzyme A (Acetyl-CoA) [[M+H]],0.04946931621197642,0.18571073631621518
Ademetionine [[M+H]],-0.2614244408784221,0.06994950855633811
Adenine [[M+H]],-0.04617811584468715,0.5161796723030546
Adenosine 5'-diphosphate (ADP) [[M+H]],0.012992459228872384,0.022648485648041505
Adenosine phosphate [[M+H]],-0.021708629408312686,0.18160253455832226
Adenosine-3'-5'-Diphosphate [[M+H]],0.013656985267542424,0.023654592361603118
Alpha-D-Glucose [[M+Na]],-0.012758771633476204,0.13587466077784274
Aminoadipate [[M+Na]],-0.42752559901497705,0.12086319903005686
Argininosuccinic acid [[M+H]],0.2077480250197158,0.11405746241219465
Asparagine [[M+NH4]],-0.2311184766416932,0.23577988910513928
Biotin [[M+H]],0.416564862882538,0.24035316105259277
Choline [[M+H]],0.21526289880515606,0.13356285853081154
Cytidine [[M+H]],0.5775905932821929,0.13368581223821324
D-(+)-Melibiose [[M+Na]],0.027812812950095755,0.13560695390641742
D-(+)-Turanose [[M+Na]],0.027812812950095755,0.13560695390641742
D-Fructose [[M+Na]],-0.0697207977050366,0.06331023271465548
D-Galactose [[M+Na]],-0.0576447597899624,0.07528793362570695
D-Glucose [[M+Na]],-0.0234809614670863,0.1394163893971249
D-Mannose [[M+Na]],-0.0697207977050366,0.06331023271465548
Deoxyadenosine [[M+H]],0.22151325953247966,0.302758570091682
Galactose [[M+Na]],-0.0576447597899624,0.07528793362570695
Glucosamine [[M+H]],-0.21393569337976134,0.1818533354607713
Glutamic Acid [[M-H2O+H]],-0.4394432782699724,0.09699697906900477
Glutathione [[M+H]],-0.2736078657053161,0.1863380824403655
Histidine [[M+H]],-0.06726609956746894,0.28171528453509015
Imidazoleacetic acid [[M+H]],0.4367623814146036,0.21362262216952907
Indole-3-Ethanol [[M+H]],-0.0026413362219427244,0.004574928536276823
Inositol [[M+Na]],0.02197970389638694,0.10816302086683155
Isomaltose [[M+Na]],0.027812812950095755,0.13560695390641742
L-Arginine [[M+H]],0.08034293027450672,0.07192245113211375
L-Citrulline [[M+H]],0.06175784756727542,0.23852323501560624
L-Glutamine [[M+H]],0.5953226795496246,0.26919745023360564
L-Histidinol [[M+H]],0.4869375097366577,0.3920358750135937
L-Tryptophan [[M+NH4]],0.5027585727354275,0.29582666685068243
Linoleic acid [[M+Na]],0.1555789016205593,0.3727402464486346
Maltose [[M+Na]],0.027812812950095755,0.13560695390641742
N-(5-Amino-5-Carboxypentyl)Glutamic Acid [[M+H]],0.3681424866245842,0.2150671734212652
N2-Acetyl-L-ornithine [[M+H]],0.21747601791376917,0.2669626051009931
Nicotinamide [[M+H]],-0.2504927705234767,0.2923087303325386
Nicotinamide ribotide [[M+H]],-0.05321838597750222,0.09217694840984492
O-acetyl-L-serine [[M+H]],-0.3547226937471086,0.24581530442211783
Oleic acid [[M+Na]],0.389849172071045,0.22604553565616858
Palatinose [[M+Na]],0.027812812950095755,0.13560695390641742
Pidolic Acid [[M+H]],-0.2598118566510837,0.1702670013689349
Proline [[M+NH4]],0.26792275156525047,0.024646379219011392
Pyridoxal [[M+H]],0.1482425753737892,0.30074627543319526
Sucrose [[M+Na]],0.024814374586153296,0.1304865556357535
Thymine [[M+H]],0.34496672858018806,0.2098361731522851
Trehalose [[M+Na]],0.03150771018379701,0.13320442046679132
Xanthurenic acid [[M+H]],-0.31977058104142236,0.10067512899018359
d-Desthiobiotin [[M+H]],0.3163237945992589,0.18000596193921126
gamma-Glutamylcysteine [[M+H]],-0.24655085867937146,0.07480654376381383
