Feature,Mean_Coefficient,Std_Coefficient
2'-Deoxyguanosine-5'-Diphosphate [[M+H]],-0.003378396208602537,0.0041525136752302285
2'-Deoxyguanosine-5'-Monophosphate [[M+H]],-0.40450195809263734,0.20199782773994576
2'-Deoxyuridine [[M+Na]],0.0,0.0
5'-Deoxy-5'-Methylthioadenosine [[M+H]],0.04579387285886834,0.11147729717131225
ATP [[M+H]],-0.028363604627473622,0.03370483818988445
Acetyl coenzyme A (Acetyl-CoA) [[M+H]],0.015973095440286383,0.03194619088057277
Ademetionine [[M+H]],-0.29278837318246775,0.2460857840800165
Adenine [[M+H]],-0.09736143910656818,0.1862310633315593
Adenosine 5'-diphosphate (ADP) [[M+H]],-0.0035676462899187677,0.004379069724600516
Adenosine phosphate [[M+H]],-0.20978991755496262,0.09400603105632863
Adenosine-3'-5'-Diphosphate [[M+H]],-0.006262330052830378,0.007961325002050669
Alpha-D-Glucose [[M+Na]],0.0,0.0
Aminoadipate [[M+Na]],-0.06990904878455467,0.09157636435674422
Argininosuccinic acid [[M+H]],-0.37523677839068886,0.17929307540069647
Asparagine [[M+NH4]],0.018483889486933323,0.03786914242796895
Biotin [[M+H]],-0.0005209455617082498,0.0010418911234164995
Choline [[M+H]],0.02918992118561043,0.0297356560303318
Cytidine [[M+H]],-0.01546145564173761,0.03092291128347522
D-(+)-Melibiose [[M+K]],0.04916863251946898,0.07075988548799952
D-(+)-Turanose [[M+Na]],-0.04854941138275009,0.07565169391253486
D-Fructose [[M+Na]],0.009970223731790396,0.015969251694876625
D-Galactose [[M+Na]],0.07866265888704779,0.08213793162034337
D-Glucose [[M+Na]],0.0,0.0
D-Mannose [[M+Na]],0.010029907052706292,0.01603308917933755
Deoxyadenosine [[M+H]],0.001485597321934042,0.002971194643868084
Galactose [[M+Na]],0.07866265888704779,0.08213793162034337
Glucosamine [[M+H]],0.32910203531669147,0.2251831191817626
Glutamic Acid [[M+H]],0.0006648755639157927,0.022887417150977175
Glutathione [[M+H]],0.06743565108083872,0.10120914667333337
Histidine [[M+H]],-0.03384477432091174,0.044920257865368574
Imidazoleacetic acid [[M+H]],-0.49234829259047447,0.30783043059101756
Indole-3-Ethanol [[M+H]],-0.1449118013437592,0.17496052785452343
Inositol [[M+Na]],0.00569981963396222,0.01139963926792444
Isomaltose [[M+Na]],-0.04854941138275009,0.07565169391253486
L-Arginine [[M+H]],-0.06852443829829481,0.061561123791415276
L-Citrulline [[M+H]],-0.3800095446157344,0.24717369181684717
L-Glutamine [[M+H]],-0.013466020369099201,0.02380129406045731
L-Histidinol [[M+H]],-0.2043806557770868,0.25881844390791575
L-Lysine [[M+H]],0.023460436104022313,0.11161391678541202
L-Threonine [[M+NH4]],-0.20765993333574392,0.17290848080819357
L-Tryptophan [[M+NH4]],0.05973008665516051,0.11936109593291157
Levocarnitine [[M+H]],0.043235287989312705,0.07139388786401094
Linoleic acid [[M+Na]],0.30746944031289847,0.3256212054001907
Maltose [[M+K]],0.04916863251946898,0.07075988548799952
Methionine [[M+H]],-0.04352310647069869,0.08704621294139737
N-(5-Amino-5-Carboxypentyl)Glutamic Acid [[M+H]],-0.040125744734675735,0.08025148946935146
N-Acetylputrescine [[M+Na]],0.0,0.0
N2-Acetyl-L-ornithine [[M+H]],-0.04546317705862232,0.07224681628990798
Nicotinamide [[M+H]],0.3080340252124868,0.3610882724712573
Nicotinamide ribotide [[M+H]],0.040978197170538154,0.043483365461983225
O-acetyl-L-serine [[M+H]],0.016621214635518303,0.06878914323037073
Oleic acid [[M+Na]],0.2321838171110379,0.18642680104663711
P-Hydroxybenzoic Acid [[M-H2O+H]],0.0275960647447172,0.029163605639165237
Palatinose [[M+K]],0.046779875392508205,0.06894373080228094
Pidolic Acid [[M+H]],0.013769331600488993,0.027538663200977982
Proline [[M+NH4]],-0.10954660515083443,0.11013013125984797
Pyridoxal [[M+H]],0.009331317643503246,0.016194204691823928
Sucrose [[M+K]],0.031759979382881866,0.08885810612333857
Thymine [[M+H]],-0.2101003235567048,0.1396730702952528
Trehalose [[M+K]],0.04916863251946898,0.07075988548799952
Xanthurenic acid [[M+H]],-0.2501630044564581,0.1713399518474898
d-Desthiobiotin [[M+Na]],0.07991939340473433,0.07157496085526062
gamma-Glutamylcysteine [[M+H]],-0.0036387134834355386,0.007277426966871076
