Group1,Group2,Feature,U_stat,p_raw,p_corrected,significant
NegHigh,None,2'-Deoxyguanosine-5'-Diphosphate [[M+H]],37.0,0.07942129814627645,0.2889583400641122,False
NegHigh,None,2'-Deoxyguanosine-5'-Monophosphate [[M+H]],64.0,0.9264448963254215,0.9809416549327993,False
NegHigh,None,2'-Deoxyuridine [[M+Na]],119.0,0.001232925118344795,0.02480355238081882,True
NegHigh,None,5'-Deoxy-5'-Methylthioadenosine [[M+H]],61.0,0.7818140034887688,0.9120892179715709,False
NegHigh,None,ATP [[M+H]],46.0,0.23008418191625113,0.5281126860091133,False
NegHigh,None,Acetyl coenzyme A (Acetyl-CoA) [[M+H]],34.0,0.05253897729199802,0.22744721815016863,False
NegHigh,None,Ademetionine [[M+H]],66.0,1.0,1.0,False
NegHigh,None,Adenine [[M+H]],67.0,0.9754506745843579,1.0,False
NegHigh,None,Adenosine 5'-diphosphate (ADP) [[M+H]],37.0,0.07942129814627645,0.2889583400641122,False
NegHigh,None,Adenosine phosphate [[M+H]],66.0,1.0,1.0,False
NegHigh,None,Adenosine-3'-5'-Diphosphate [[M+H]],37.0,0.07934705772828109,0.2889583400641122,False
NegHigh,None,Alpha-D-Glucose [[M+Na]],70.0,0.8294475889935782,0.9294435690225955,False
NegHigh,None,Aminoadipate [[M+Na]],25.0,0.012681065445475561,0.10577864347201565,False
NegHigh,None,Argininosuccinic acid [[M+H]],80.0,0.4060484491047267,0.6874681663060224,False
NegHigh,None,Asparagine [[M+NH4]],41.0,0.13158760640666853,0.3969540536673502,False
NegHigh,None,Biotin [[M+H]],60.0,0.7349852214121391,0.8913650557551474,False
NegHigh,None,Choline [[M+H]],32.0,0.03922845038753884,0.19153288291080398,False
NegHigh,None,Cytidine [[M+H]],78.0,0.4790843272053482,0.7413884158562402,False
NegHigh,None,D-(+)-Melibiose [[M+Na]],55.0,0.5181302014501532,0.7452545485526043,False
NegHigh,None,D-(+)-Turanose [[M+Na]],55.0,0.5181302014501532,0.7452545485526043,False
NegHigh,None,D-Fructose [[M+Na]],75.0,0.6008776409544788,0.7996114910756099,False
NegHigh,None,D-Galactose [[M+Na]],77.0,0.5181302014501532,0.7452545485526043,False
