Feature,Mean_Coefficient,Std_Coefficient
2'-Deoxyguanosine-5'-Diphosphate [[M+H]],-0.0017853161335765356,0.0029251617982649983
2'-Deoxyguanosine-5'-Monophosphate [[M+H]],-0.05181143969471023,0.004981582750965394
2'-Deoxyuridine [[M+Na]],-0.007501494294419966,0.018886319976106153
5'-Deoxy-5'-Methylthioadenosine [[M+H]],-0.03337354407012444,0.031222693789266166
ATP [[M+H]],-0.008549536390610677,0.005049766090486699
Acetyl coenzyme A (Acetyl-CoA) [[M+H]],0.006033692510343392,0.00034361002224415075
Ademetionine [[M+H]],-0.04133890886461722,0.012038030372371757
Adenine [[M+H]],-0.008214155307114718,0.02539818679891614
Adenosine 5'-diphosphate (ADP) [[M+H]],-0.0018937791783691994,0.0028327568050337776
Adenosine phosphate [[M+H]],-0.04419467293500976,0.006108048248426074
Adenosine-3'-5'-Diphosphate [[M+H]],-0.002270333948801219,0.00220637427266116
Alpha-D-Glucose [[M+Na]],0.002602137312981725,0.0037222694423050284
Aminoadipate [[M+Na]],-0.013266907003685083,0.00461197759149404
Argininosuccinic acid [[M+H]],-0.04746123912639227,0.012508710054724183
Asparagine [[M+NH4]],0.026556717345543424,0.009552583029818897
Biotin [[M+H]],-0.0001253934371353983,0.001522711844315608
Choline [[M+H]],0.01606248334583681,0.010932084201515433
Cytidine [[M+H]],0.009498775378043446,0.018474389554093324
D-(+)-Melibiose [[M+K]],0.006749964253853461,0.003806623485269579
D-(+)-Turanose [[M+Na]],0.005458564355960138,0.008900869983948224
D-Fructose [[M+Na]],0.0067276299941405535,0.003403220821977545
D-Galactose [[M+Na]],0.020108101043469388,0.006608106407598838
D-Glucose [[M+Na]],0.003044220272416531,0.0038284861800880277
D-Mannose [[M+Na]],0.0067531179175587845,0.003396794298041156
Deoxyadenosine [[M+H]],0.005205977333001432,0.028612014182977742
Flavin adenine dinucleotide [[M+H]],0.012130348721400458,0.014088078938731357
Galactose [[M+Na]],0.020108101043469388,0.006608106407598838
Glucosamine 6-Phosphate [[M+H]],-0.026062097911239927,0.022028503688678626
Glucosamine [[M+H]],0.03154675840306524,0.017786756823291224
Glutamic Acid [[M+NH4]],0.053613172837905565,0.01788783389587657
Glutathione [[M+H]],0.001658388425100429,0.011472834017044934
Histidine [[M+H]],-0.017876744139273145,0.003908912741088434
Imidazoleacetic acid [[M+H]],-0.0572909737930223,0.02900413984845589
Indole-3-Ethanol [[M+H]],-0.026652912615998902,0.01492488711708833
Inositol [[M+Na]],0.0074966719339563835,0.00544668927734986
Isomaltose [[M+Na]],0.00544761878692709,0.008939910815870408
L-Arginine [[M+H]],-0.018255352053653445,0.0009104411767513955
L-Citrulline [[M+H]],-0.052719791507232015,0.021744997339805075
L-Glutamine [[M+H]],-0.012240189963403323,0.020358266516602518
L-Histidinol [[M+H]],-0.017743352631761418,0.018691561082419338
L-Lysine [[M+H]],0.019199209046316473,0.014692457416861681
L-Threonine [[M+NH4]],-0.03478226643090886,0.005696945821831821
L-Tryptophan [[M+NH4]],0.01687881081824295,0.010284317264650275
Levocarnitine [[M+H]],0.020316983363375615,0.016799678159291006
Linoleic acid [[M+Na]],0.021554397982640906,0.00749144569923246
Maltose [[M+K]],0.006749964253853461,0.003806623485269579
Methionine [[M+H]],0.009758214484604575,0.04867210726821711
N-(5-Amino-5-Carboxypentyl)Glutamic Acid [[M+H]],-0.032398959990243094,0.012009957228334913
N-Acetylputrescine [[M+Na]],0.017771866846820424,0.0125076737743677
N2-Acetyl-L-ornithine [[M+H]],-0.020116782274869387,0.007330761040838907
Nicotinamide [[M+H]],0.03173121893211383,0.01827936405869075
Nicotinamide ribotide [[M+H]],0.01064275212631311,0.024491697371488694
O-acetyl-L-serine [[M+H]],0.022191358932445865,0.019602614221493078
Oleic acid [[M+Na]],0.037394643538245974,0.01906081933101944
P-Hydroxybenzoic Acid [[M-H2O+H]],0.011254812034762718,0.007528746577254462
Palatinose [[M+K]],0.0064319783976790924,0.003651210796367326
Pidolic Acid [[M+H]],0.02251380540453061,0.010528205528528062
Proline [[M+NH4]],-0.01879544099481521,0.010621281008768566
Pyridoxal [[M+H]],0.004793912615302664,0.01821603472301009
Sucrose [[M+K]],0.004924653145358453,0.0074477560428372
Thymine [[M+H]],-0.03928823122388014,0.031473498334005
Trehalose [[M+K]],0.006749964253853461,0.003806623485269579
Xanthurenic acid [[M+H]],-0.05868665085448591,0.011121969302953845
d-Desthiobiotin [[M+Na]],0.02877243791102084,0.019668719933423662
gamma-Glutamylcysteine [[M+H]],-0.009168312715509793,0.010966902864600923
