,PLS1,PLS2,PLS3,PLS4,PLS5
2'-Deoxyguanosine-5'-Diphosphate [[M+H]]/Adenosine 5'-diphosphate (ADP) [[M+H]],-0.23796414149678818,0.032770745714092324,0.03960050212793626,-0.04412101846078101,0.08131245830375503
2'-Deoxyguanosine-5'-Monophosphate [[M+H]],-0.14670528651651582,0.1819977157607625,0.19537112911390422,0.12448051413276219,-0.025495420788871043
2'-Deoxyuridine [[M+Na]],0.18026084573464057,-0.029233428082599967,0.2738959969128604,0.048322928566489565,0.16386926994885317
5'-Deoxy-5'-Methylthioadenosine [[M+H]],0.10501707597493994,0.054344709815389115,0.11757296096982993,0.2626094313209598,-0.38414484725699327
ATP [[M+H]],-0.18255275438097227,-0.006787653753851437,0.009024615059410176,-0.02865634262220173,-0.0011162442916556382
Acetyl coenzyme A (Acetyl-CoA) [[M+H]],-0.15759690138926433,-0.010394400681390515,0.025896450015195947,-0.05586851757651908,-0.04520338251226644
Ademetionine [[M+H]],-0.17140805753375243,-0.03302821270964729,0.14336782786265365,-0.04965187074235969,-0.18233866928672898
Adenine [[M+H]],-0.032740544539902224,-0.0710333081445051,-0.04214830923460214,-0.227665131370711,-0.027509975809739327
Adenosine phosphate [[M+H]],-0.14460356106795194,0.14644881141447652,0.18935436504005748,0.15558892576810474,-0.00032279755400721314
Adenosine-3'-5'-Diphosphate [[M+H]],-0.24047598589902355,0.032683085643588246,0.03335488963045132,-0.04280353881747104,0.08195395932628947
Alpha-D-Glucose [[M+Na]],0.11488196286123813,0.13798208304856746,-0.1674080249326587,0.04570080429116539,-0.0955824833964757
Aminoadipate [[M+Na]],-0.19250068556452998,0.13900339831843778,0.19292663301360097,-0.17638385617859675,-0.11747374160223388
Argininosuccinic acid [[M+H]],-0.1842476359830106,-0.11980219774012173,0.14187490117969898,0.1854860937443803,0.25352334551630085
Asparagine [[M+NH4]],-0.028931017487373895,-0.11821863963227887,-0.1322332358938244,-0.18233955761077714,0.07176559688644374
