Group1	Group2	Feature	U_stat	p_raw	Median1	Median2	p_corrected	Significant
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	2'-Deoxyguanosine-5'-Diphosphate [[M+H]]/Adenosine 5'-diphosphate (ADP) [[M+H]]	25.0	0.6282051282051282	9172.160570894099	5723.550420003001	0.9076465764657647	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	2'-Deoxyguanosine-5'-Monophosphate [[M+H]]	28.0	0.36596736596736595	8584.267099383407	7992.25	0.7044871794871795	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	2'-Deoxyuridine [[M+Na]]	20.0	0.9452214452214451	778.7431888614067	842.0890187317409	1.0	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	5'-Deoxy-5'-Methylthioadenosine [[M+H]]	27.0	0.4452214452214452	68.93783749688708	28.718107349487312	0.7721182721182721	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	ATP [[M+H]]	27.0	0.4452214452214452	1567.7167428628545	1218.1234606991952	0.7721182721182721	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Acetyl coenzyme A (Acetyl-CoA) [[M+H]]	26.0	0.5337995337995338	1677.3453510565466	1433.6442428469652	0.8351846084639608	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Ademetionine [[M+H]]	34.0	0.07342657342657342	3022.467637470477	1871.5968806238752	0.47115384615384615	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Adenine [[M+H]]	23.0	0.8356643356643356	6803.797524521252	5784.382654522541	0.9893287715868362	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Adenosine phosphate [[M+H]]	26.0	0.5337995337995338	29507.702310816	26444.97898030701	0.8351846084639608	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Adenosine-3'-5'-Diphosphate [[M+H]]	26.0	0.5337995337995338	8392.342575011862	5289.162757235978	0.8351846084639608	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Alpha-D-Glucose [[M+Na]]	13.0	0.2948717948717949	919.183839793882	1158.5638031012452	0.6413878024047516	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Aminoadipate [[M+Na]]	38.0	0.013986013986013986	3606.2870865264376	1954.75	0.19444444444444445	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Argininosuccinic acid [[M+H]]	20.0	0.9452214452214451	6046.859498359267	5124.0	1.0	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Asparagine [[M+NH4]]	23.0	0.8356643356643356	355.8760235271749	228.3527294541092	0.9893287715868362	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Biotin [[M+H]]	20.0	0.9452214452214451	699.048342530918	619.0149970005998	1.0	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Choline [[M+H]]	28.0	0.36596736596736595	1464.1473613448513	1297.4351085295746	0.7044871794871795	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Cytidine [[M+H]]	21.0	1.0	8517.468765720965	8432.897163877939	1.0	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	D-(+)-Melibiose [[M+Na]]/D-(+)-Turanose [[M+Na]]/Isomaltose [[M+Na]]/Maltose [[M+Na]]	20.0	0.9452214452214451	1187.1347384370845	1075.1538550675295	1.0	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	D-Fructose [[M+Na]]/D-Mannose [[M+Na]]	21.0	1.0	293.045325819994	306.25	1.0	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	D-Galactose [[M+Na]]/Galactose [[M+Na]]	20.0	0.9452214452214451	483.6842103606881	463.75	1.0	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	D-Glucose [[M+Na]]	13.0	0.2948717948717949	928.0604375827073	1185.3995222093251	0.6413878024047516	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Deoxyadenosine [[M+H]]	13.0	0.2948717948717949	43.29191825056633	88.0071031677837	0.6413878024047516	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Glucosamine [[M+H]]	34.0	0.07342657342657342	2965.4377717743355	1929.5681575902213	0.47115384615384615	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Glutamic Acid [[M-H2O+H]]	29.0	0.2948717948717949	3517.5055710529687	2134.5178263915127	0.6413878024047516	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Glutathione [[M+H]]	39.0	0.008158508158508158	37545.624131195844	23527.0	0.15151515151515152	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Histidine [[M+H]]	30.0	0.23426573426573427	1963.401436304294	1173.2951380124591	0.6125827814569536	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Imidazoleacetic acid [[M+H]]	10.0	0.13752913752913754	102.30581889426097	227.3997976647253	0.5348355348355349	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Inositol [[M+Na]]	12.0	0.23426573426573427	856.6122967927862	1121.6391034067365	0.6125827814569536	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	L-Arginine [[M+H]]	25.0	0.6282051282051282	34663.44360289281	27682.2015503876	0.9076465764657647	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	L-Citrulline [[M+H]]	27.0	0.4452214452214452	2454.6274775513234	1945.4201752878505	0.7721182721182721	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	L-Glutamine [[M+H]]	19.0	0.8356643356643356	139.65838238324852	337.6742788643916	0.9893287715868362	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	L-Histidinol [[M+H]]	12.0	0.23426573426573427	103.28470607497512	285.4390765666008	0.6125827814569536	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	L-Lysine [[M-H2O+H]]	8.0	0.07342657342657342	2.4557230738341684	19.20422439039194	0.47115384615384615	False
