,Mean_Coefficient,Std_Coefficient
2'-Deoxyguanosine-5'-Diphosphate [[M+H]],-0.057920468077510646,0.008517004123657527
2'-Deoxyguanosine-5'-Monophosphate [[M+H]],0.017929129786620212,0.01291034471782399
2'-Deoxyuridine [[M+Na]],0.03257290302724868,0.009512263123968674
5'-Deoxy-5'-Methylthioadenosine [[M+H]],0.05823616264815255,0.027137837029701014
ATP [[M+H]],-0.02487895470802023,0.011610810970985408
Acetyl coenzyme A (Acetyl-CoA) [[M+H]],-0.023879953062002402,0.011161008173858535
Ademetionine [[M+H]],-0.014408745562247157,0.005990708298208316
Adenine [[M+H]],-0.053381550718041466,0.016126438715626745
Adenosine 5'-diphosphate (ADP) [[M+H]],-0.057920468077510646,0.008517004123657527
Adenosine phosphate [[M+H]],0.0042675803996526694,0.009628150913813692
Adenosine-3'-5'-Diphosphate [[M+H]],-0.06020585993198552,0.008477960202863857
Alpha-D-Glucose [[M+Na]],0.030311583116252438,0.004884422072745515
Aminoadipate [[M+Na]],-0.06631261739456283,0.008929830535665394
Argininosuccinic acid [[M+H]],0.018724004474174036,0.016305305927723408
Asparagine [[M+NH4]],-0.028082484686804503,0.018500880730609064
Biotin [[M+H]],0.03683383901505565,0.01481290639818127
Choline [[M+H]],-0.10581819871767789,0.009510319617525374
Cytidine [[M+H]],0.02403394300645706,0.015631799593509
D-(+)-Melibiose [[M+Na]],-0.03282030165925432,0.007679656038119855
D-(+)-Turanose [[M+Na]],-0.03282030165925432,0.007679656038119855
D-Fructose [[M+Na]],0.029340875106431245,0.0036027648935848845
D-Galactose [[M+Na]],0.028656210351260262,0.005421304735445157
D-Glucose [[M+Na]],0.030744749502359652,0.0055423336344360905
D-Mannose [[M+Na]],0.029340875106431245,0.0036027648935848845
Deoxyadenosine [[M+H]],0.04368939440759664,0.011030579593672207
Galactose [[M+Na]],0.028656210351260262,0.005421304735445157
Glucosamine [[M+H]],-0.041871541549625364,0.018467170554342625
Glutamic Acid [[M-H2O+H]],-0.06375052814793962,0.00719060156944759
Glutathione [[M+H]],-0.026072770054342193,0.008651677648815826
Histidine [[M+H]],-0.04285303998414555,0.01558457983934766
Imidazoleacetic acid [[M+H]],-0.029666398824689282,0.02074719993002605
Indole-3-Ethanol [[M+H]],-0.02091214507059092,0.0091529378032872
Inositol [[M+Na]],0.027074818064984508,0.008294031802956783
Isomaltose [[M+Na]],-0.03282030165925432,0.007679656038119855
L-Arginine [[M+H]],-0.08298367342649286,0.012262994143336422
L-Citrulline [[M+H]],0.022765267542840608,0.012514476403709028
L-Glutamine [[M+H]],0.029874700339759395,0.02356439039160379
L-Histidinol [[M+H]],0.0007644031710531533,0.012838038644682548
L-Tryptophan [[M+NH4]],0.043598789963733876,0.012421398247824558
Linoleic acid [[M+Na]],0.013611463054741658,0.009825750804591105
Maltose [[M+Na]],-0.03282030165925432,0.007679656038119855
N-(5-Amino-5-Carboxypentyl)Glutamic Acid [[M+H]],0.09020151570881828,0.01757394323519201
N2-Acetyl-L-ornithine [[M+H]],-0.007425196436008801,0.00715507821073766
Nicotinamide [[M+H]],-0.04361623112293559,0.009478020320167386
Nicotinamide ribotide [[M+H]],-0.00930119144062483,0.011651776826517605
O-acetyl-L-serine [[M+H]],-0.023263345465141444,0.0112832361696573
Oleic acid [[M+Na]],0.08908514797351615,0.009226061132946245
Palatinose [[M+Na]],-0.03282030165925432,0.007679656038119855
Pidolic Acid [[M+H]],-0.06139377401982013,0.006671128897019
Proline [[M+NH4]],0.12615553275979058,0.01873805948800056
Pyridoxal [[M+H]],-0.00803049410482918,0.01316576261755043
Sucrose [[M+Na]],-0.040364021989843686,0.007948040694227729
Thymine [[M+H]],-0.03905270618107735,0.022400157735280556
Trehalose [[M+Na]],-0.03319314722007264,0.007670692196797467
Xanthurenic acid [[M+H]],0.060478015683085994,0.00987436855734678
d-Desthiobiotin [[M+H]],-0.014759549570605483,0.01666356126115011
gamma-Glutamylcysteine [[M+H]],0.04150338844609452,0.006901146923534826
