,Mean_Coefficient,Std_Coefficient
2'-Deoxyguanosine-5'-Diphosphate [[M+H]],0.006926922531415014,0.011088890608691372
2'-Deoxyguanosine-5'-Monophosphate [[M+H]],0.03770140145673138,0.018537116552826288
2'-Deoxyuridine [[M+Na]],0.026522696394313146,0.026422981424627217
5'-Deoxy-5'-Methylthioadenosine [[M+H]],-0.06755793412753212,0.022307958714222743
ATP [[M+H]],0.04553001028845304,0.01110601345877582
Acetyl coenzyme A (Acetyl-CoA) [[M+H]],0.021362940455911694,0.013509150329004427
Ademetionine [[M+H]],-0.04086218242360192,0.03441919919137025
Adenine [[M+H]],0.017304554759242308,0.04419316709051612
Adenosine 5'-diphosphate (ADP) [[M+H]],0.007040985339500232,0.01110024188409906
Adenosine phosphate [[M+H]],0.031346272543882205,0.030193940252992966
Adenosine-3'-5'-Diphosphate [[M+H]],0.009570651048922631,0.01335142049251987
Alpha-D-Glucose [[M+Na]],0.008998032781699023,0.011196204505558884
Aminoadipate [[M+Na]],-0.10839463308579045,0.017396230930716322
Argininosuccinic acid [[M+H]],0.04508198234760835,0.012286801290034297
Asparagine [[M+NH4]],-0.09551616718642951,0.03309663871617388
Biotin [[M+H]],0.17171994172301716,0.04530434066031265
Choline [[M+H]],0.10485021558410108,0.03973598242638539
Cytidine [[M+H]],0.1642713961075567,0.024437524394195827
D-(+)-Melibiose [[M+Na]],0.01151460977007252,0.013850500928654485
D-(+)-Turanose [[M+Na]],0.01151460977007252,0.013850500928654485
D-Fructose [[M+Na]],-0.022353692327839958,0.008369502703582818
D-Galactose [[M+Na]],-0.011982316681983728,0.00880801377477892
D-Glucose [[M+Na]],0.007490761560662085,0.011016657889268314
D-Mannose [[M+Na]],-0.022353692327839958,0.008369502703582818
Deoxyadenosine [[M+H]],0.11327559783656165,0.027733376014234624
Galactose [[M+Na]],-0.011982316681983728,0.00880801377477892
Glucosamine [[M+H]],-0.03347873381996884,0.018156189487446885
Glutamic Acid [[M-H2O+H]],-0.14625239520651223,0.0196278622811842
Glutathione [[M+H]],-0.0777129705766604,0.016352728118837093
Histidine [[M+H]],-0.005726657143064188,0.020834077809820942
Imidazoleacetic acid [[M+H]],0.13273272168037342,0.02122989263866997
Indole-3-Ethanol [[M+H]],0.0053591396545535795,0.025909343067548683
Inositol [[M+Na]],0.02836598417324125,0.013451869738739308
Isomaltose [[M+Na]],0.01151460977007252,0.013850500928654485
L-Arginine [[M+H]],0.03065511158777201,0.007269556177345653
L-Citrulline [[M+H]],0.047523326326421166,0.027990898241279413
L-Glutamine [[M+H]],0.12943847466163394,0.027967876361224494
L-Histidinol [[M+H]],0.14667452328012628,0.05397978359323857
L-Tryptophan [[M+NH4]],0.10610685103099264,0.03531605609068725
Linoleic acid [[M+Na]],0.03586752092073602,0.02269978829631288
Maltose [[M+Na]],0.01151460977007252,0.013850500928654485
N-(5-Amino-5-Carboxypentyl)Glutamic Acid [[M+H]],0.14453592960866204,0.04767863087067725
N2-Acetyl-L-ornithine [[M+H]],0.06007242828927647,0.02104734073214543
Nicotinamide [[M+H]],-0.06644071295812552,0.03550709232856967
Nicotinamide ribotide [[M+H]],-0.034757013882215006,0.0209222148020012
O-acetyl-L-serine [[M+H]],-0.06163079377780651,0.02778522323725078
Oleic acid [[M+Na]],0.14466426727778278,0.03832296515699451
Palatinose [[M+Na]],0.01151460977007252,0.013850500928654485
Pidolic Acid [[M+H]],-0.07319029271680423,0.018505351476859486
Proline [[M+NH4]],0.060308386279955384,0.032169279315927994
Pyridoxal [[M+H]],0.02380709594279858,0.0283790361940984
Sucrose [[M+Na]],0.010709702720689093,0.012736741404554469
Thymine [[M+H]],0.10215136407685481,0.02417080819527537
Trehalose [[M+Na]],0.012790293359246344,0.013595572456924603
Xanthurenic acid [[M+H]],-0.07783849921216036,0.031942036135454925
d-Desthiobiotin [[M+H]],0.18511412962809648,0.03496153133701482
gamma-Glutamylcysteine [[M+H]],-0.06255521484989247,0.01327977009929436
