,Mean_Coefficient,Std_Coefficient
2'-Deoxyguanosine-5'-Diphosphate [[M+H]],-0.018211084583082487,0.007581883717103845
2'-Deoxyguanosine-5'-Monophosphate [[M+H]],-0.01818882899914551,0.010555128981068201
2'-Deoxyuridine [[M+Na]],0.13996389766988304,0.01425211911713409
5'-Deoxy-5'-Methylthioadenosine [[M+H]],-0.04461624991452226,0.0120960718650862
ATP [[M+H]],0.022895175616470486,0.010073865133964207
Acetyl coenzyme A (Acetyl-CoA) [[M+H]],-0.07796529084429721,0.011650486350665281
Ademetionine [[M+H]],0.031988600785559124,0.01031105951288242
Adenine [[M+H]],0.018779431661169885,0.022663750317004454
Adenosine 5'-diphosphate (ADP) [[M+H]],-0.018169427083052955,0.007579123448963774
Adenosine phosphate [[M+H]],-0.009677307543519103,0.011550708958664288
Adenosine-3'-5'-Diphosphate [[M+H]],-0.018202686909687196,0.008124318259513442
Alpha-D-Glucose [[M+Na]],-0.020130807086307715,0.00871246949922503
Aminoadipate [[M+Na]],-0.05748915291748204,0.015202515251929045
Argininosuccinic acid [[M+H]],0.04574015677953409,0.010890499015743061
Asparagine [[M+NH4]],-0.054886016677953016,0.017614792662921357
Biotin [[M+H]],-0.03279330454134263,0.007935916178737927
Choline [[M+H]],-0.03160847788236262,0.008680979485128474
Cytidine [[M+H]],0.0370708995405251,0.016523982556309574
D-(+)-Melibiose [[M+Na]],-0.04428387037603155,0.007174990433020042
D-(+)-Turanose [[M+Na]],-0.04457053904926408,0.007217706808263711
D-Fructose [[M+Na]],-0.013365437627414845,0.009211515656741467
D-Galactose [[M+Na]],-0.007442423467874706,0.010085972402867694
D-Glucose [[M+Na]],-0.01886023733699415,0.008995489449841706
D-Mannose [[M+Na]],-0.013424064155523831,0.00921852328323
Deoxyadenosine [[M+H]],0.05046217831347513,0.02068250000653732
Galactose [[M+Na]],-0.007442423467874706,0.010085972402867694
Glucosamine [[M+H]],-0.030688046425051966,0.01610380962956906
Glutamic Acid [[M-H2O+H]],-0.07272178368888627,0.013784809259803453
Glutathione [[M+H]],0.02644249227670051,0.01440874230232103
Histidine [[M+H]],-0.0020434471653350515,0.01225848208886433
Imidazoleacetic acid [[M+H]],-0.026163798054380683,0.01741323516122144
Indole-3-Ethanol [[M+H]],-0.03406356691667372,0.007916104929201893
Inositol [[M+Na]],-0.015504167200072437,0.009353985315057224
Isomaltose [[M+Na]],-0.04428387037603155,0.007174990433020042
L-Arginine [[M+H]],-0.02240245873874332,0.004440440699044273
L-Citrulline [[M+H]],-0.03449236098218667,0.014984094605743091
L-Glutamine [[M+H]],-0.12435818814107404,0.023594376977927725
L-Histidinol [[M+H]],-0.005900968771031573,0.017966570616386283
L-Tryptophan [[M+NH4]],0.017193168311135047,0.014886600174436508
Linoleic acid [[M+Na]],0.03498024699149879,0.013277175899582416
Maltose [[M+Na]],-0.04461801353535356,0.007167552995107347
N-(5-Amino-5-Carboxypentyl)Glutamic Acid [[M+H]],-0.03086884002639649,0.012188148452516638
N2-Acetyl-L-ornithine [[M+H]],-0.018473126262382466,0.014509981448965622
Nicotinamide [[M+H]],0.028352099253439452,0.009937359163471287
Nicotinamide ribotide [[M+H]],0.06005147649023149,0.02787256932545417
O-acetyl-L-serine [[M+H]],0.05532074076593963,0.011624756985693768
Oleic acid [[M+Na]],0.05935955200868236,0.010017619126898322
Palatinose [[M+Na]],-0.044544182882949326,0.0073272322527521295
Pidolic Acid [[M+H]],-0.10702150495100766,0.011791686561980898
Proline [[M+NH4]],0.016673956608568744,0.020164982589408482
Pyridoxal [[M+H]],0.024014122994830547,0.017579588702453845
Sucrose [[M+Na]],-0.038965231245549965,0.0078855610090833
Thymine [[M+H]],-0.01330599250014336,0.01579957225195119
Trehalose [[M+Na]],-0.043574464452984116,0.007548103814549237
Xanthurenic acid [[M+H]],0.07138480786454235,0.014048014270185386
d-Desthiobiotin [[M+H]],0.04682413323487218,0.011688073852776931
gamma-Glutamylcysteine [[M+H]],0.1300477882847084,0.016318580341726247
