,Mean_Coefficient,Std_Coefficient
2'-Deoxyguanosine-5'-Diphosphate [[M+H]],-0.010348542352384598,0.0123704737005242
2'-Deoxyguanosine-5'-Monophosphate [[M+H]],-0.024577911480823344,0.01605241625702892
2'-Deoxyuridine [[M+Na]],-0.06787782929221486,0.008153623355938248
5'-Deoxy-5'-Methylthioadenosine [[M+H]],-0.09162143209666598,0.004354645524394597
ATP [[M+H]],0.025208155969936585,0.014493427354226544
Acetyl coenzyme A (Acetyl-CoA) [[M+H]],-0.0182737741127467,0.01197947798723841
Ademetionine [[M+H]],0.021627502998878025,0.02226012668689191
Adenine [[M+H]],-0.021991485572012224,0.02001461956785728
Adenosine 5'-diphosphate (ADP) [[M+H]],-0.010348542352384598,0.0123704737005242
Adenosine phosphate [[M+H]],-0.030931470138982516,0.015040781628665985
Adenosine-3'-5'-Diphosphate [[M+H]],-0.0091868670745321,0.012430254817705095
Alpha-D-Glucose [[M+Na]],0.01266821829144446,0.01066441859506726
Aminoadipate [[M+Na]],-0.02351318767505013,0.010755141009008979
Argininosuccinic acid [[M+H]],-0.005573836175186206,0.017952184599054264
Asparagine [[M+NH4]],0.07556113448637171,0.020018537998324454
Biotin [[M+H]],-0.0010530218755766842,0.013799084196793173
Choline [[M+H]],-0.057040378295107996,0.010792061358879288
Cytidine [[M+H]],0.05910187690379835,0.010452527137294207
D-(+)-Melibiose [[M+Na]],-0.0561709284970965,0.007494572227516418
D-(+)-Turanose [[M+Na]],-0.0561953505512786,0.007483538428698694
D-Fructose [[M+Na]],-0.016299217933833897,0.009680590358952306
D-Galactose [[M+Na]],-0.007833273054589408,0.009812856458247077
D-Glucose [[M+Na]],0.01332260214021019,0.010456501695512226
D-Mannose [[M+Na]],-0.016319392618034494,0.00968628394137981
Deoxyadenosine [[M+H]],-0.01402882683010786,0.014207435841516442
Galactose [[M+Na]],-0.007833273054589408,0.009812856458247077
Glucosamine [[M+H]],-0.09078960454535326,0.012142913155332289
Glutamic Acid [[M-H2O+H]],-0.02419334483840055,0.009684961919177885
Glutathione [[M+H]],-0.11511526018180074,0.012919122401638493
Histidine [[M+H]],-0.020612329764015686,0.015457620475618482
Imidazoleacetic acid [[M+H]],-0.04727032913319247,0.015530987814115804
Indole-3-Ethanol [[M+H]],-0.05932972048481229,0.006648419343372594
Inositol [[M+Na]],0.017793522734158258,0.009921145359425084
Isomaltose [[M+Na]],-0.0561709284970965,0.007494572227516418
L-Arginine [[M+H]],0.00509552233552428,0.015964871930576902
L-Citrulline [[M+H]],0.011713787069169996,0.018317922424959613
L-Glutamine [[M+H]],0.0011729827689004751,0.029444155359113156
L-Histidinol [[M+H]],0.048658892411648315,0.015017251223381854
L-Tryptophan [[M+NH4]],0.02399757673380381,0.017978284276541558
Linoleic acid [[M+Na]],0.04595275361303693,0.013436814742436753
Maltose [[M+Na]],-0.05613310990623734,0.0075079042705227805
N-(5-Amino-5-Carboxypentyl)Glutamic Acid [[M+H]],0.07181969155939064,0.013166942688836135
N2-Acetyl-L-ornithine [[M+H]],-0.010116065852585043,0.018852056284438975
Nicotinamide [[M+H]],0.02724463606142068,0.01683421431429699
Nicotinamide ribotide [[M+H]],0.04270467658770695,0.01381998483398087
O-acetyl-L-serine [[M+H]],0.0018384029196105028,0.01658005211244422
Oleic acid [[M+Na]],0.07161379357716023,0.0353275548391412
Palatinose [[M+Na]],-0.056349485466594004,0.007445598892291215
Pidolic Acid [[M+H]],-0.07119487837253176,0.01160657502922898
Proline [[M+NH4]],-0.010513229161797425,0.01764472178439312
Pyridoxal [[M+H]],-0.05713564524827987,0.026116229166937042
Sucrose [[M+Na]],-0.05746292929236256,0.007746214328940261
Thymine [[M+H]],-0.06243242619047137,0.023598463916524145
Trehalose [[M+Na]],-0.056245208715101934,0.007578109389806183
Xanthurenic acid [[M+H]],-0.01421086262178354,0.013789244114761266
d-Desthiobiotin [[M+H]],0.05681070116919991,0.012857808940580293
gamma-Glutamylcysteine [[M+H]],-0.09898040738257186,0.011561197209890938
