,Mean_Coefficient,Std_Coefficient
2'-Deoxyguanosine-5'-Diphosphate [[M+H]],0.09549549734720465,0.0132385316214371
2'-Deoxyguanosine-5'-Monophosphate [[M+H]],-0.2716934858503627,0.02200402965706588
2'-Deoxyuridine [[M+Na]],-0.0313017354351557,0.02842398715730973
5'-Deoxy-5'-Methylthioadenosine [[M+H]],0.16077636481923005,0.034111443884948474
ATP [[M+H]],-0.04083323766075252,0.0227086636235085
Acetyl coenzyme A (Acetyl-CoA) [[M+H]],0.14521324988769155,0.03696369206439253
Ademetionine [[M+H]],-0.21657909891380786,0.02845031153530912
Adenine [[M+H]],-0.016865654517385437,0.04473706865412373
Adenosine 5'-diphosphate (ADP) [[M+H]],0.09500251735898609,0.013373302069914526
Adenosine phosphate [[M+H]],-0.20388577230461213,0.02620950620217788
Adenosine-3'-5'-Diphosphate [[M+H]],0.0877716320568005,0.013144968194646745
Alpha-D-Glucose [[M+Na]],0.05522723830585107,0.014684888279069266
Aminoadipate [[M+Na]],-0.19683026179399465,0.027624411977221985
Argininosuccinic acid [[M+H]],-0.3879722824898586,0.035959690930641414
Asparagine [[M+NH4]],-0.10506569481287521,0.03834409036615669
Biotin [[M+H]],0.17021829854763906,0.027965978458021564
Choline [[M+H]],0.2575330357443484,0.04346250542542042
Cytidine [[M+H]],0.08384966440829612,0.025787787666208158
D-(+)-Melibiose [[M+Na]],-0.006599350729270235,0.00675767179507538
D-(+)-Turanose [[M+Na]],-0.006563415299414774,0.006692347376117688
D-Fructose [[M+Na]],0.14230324581690024,0.026678737361325953
D-Galactose [[M+Na]],0.15135123458277783,0.024709240317417572
D-Glucose [[M+Na]],0.03266164402313551,0.01958669696311275
D-Mannose [[M+Na]],0.14223269985664985,0.02665881306549936
Deoxyadenosine [[M+H]],0.005805450679293227,0.036504355040878046
Galactose [[M+Na]],0.15135123458277783,0.024709240317417572
Glucosamine [[M+H]],0.23828823928894724,0.01946503746466727
Glutamic Acid [[M-H2O+H]],-0.15406564914903964,0.03340338593940143
Glutathione [[M+H]],0.10615260572068966,0.028700562472430705
Histidine [[M+H]],-0.0484429483042419,0.029099214036096405
Imidazoleacetic acid [[M+H]],-0.3460449988510561,0.02234019910823649
Indole-3-Ethanol [[M+H]],0.1748050934758722,0.05446474311135441
Inositol [[M+Na]],0.08276162481233745,0.019325143421170577
Isomaltose [[M+Na]],-0.006599350729270235,0.00675767179507538
L-Arginine [[M+H]],-0.1101163317655937,0.014606274415874379
L-Citrulline [[M+H]],-0.2170310342999052,0.0213361689013483
L-Glutamine [[M+H]],-0.010809887101324462,0.026910177970694248
L-Histidinol [[M+H]],-0.1475274354082721,0.04906248668649884
L-Tryptophan [[M+NH4]],-0.04612722532902729,0.04405306534657376
Linoleic acid [[M+Na]],0.22354648695998683,0.03176988096377425
Maltose [[M+Na]],-0.0066406608581516926,0.0068318449551138406
N-(5-Amino-5-Carboxypentyl)Glutamic Acid [[M+H]],-0.1585432589721725,0.02865031657623974
N2-Acetyl-L-ornithine [[M+H]],-0.0444274700254767,0.035500311852924835
Nicotinamide [[M+H]],0.5041756825231039,0.06288692910480585
Nicotinamide ribotide [[M+H]],0.12230240148814016,0.02922054815174246
O-acetyl-L-serine [[M+H]],-0.24398635453558137,0.056452016943559225
Oleic acid [[M+Na]],0.2971282735479451,0.03892876310192748
Palatinose [[M+Na]],-0.0066084655056544315,0.006722396954759942
Pidolic Acid [[M+H]],0.044403172949756244,0.0276307846548141
Proline [[M+NH4]],-0.11051915000405885,0.03022663220189499
Pyridoxal [[M+H]],0.12951740867662115,0.025051540298011165
Sucrose [[M+Na]],-0.08281337141525995,0.015568471622972565
Thymine [[M+H]],-0.25321664943452454,0.022299978875901336
Trehalose [[M+Na]],-0.008740923327212428,0.006827365892061089
Xanthurenic acid [[M+H]],-0.3439276445595027,0.024660852678230344
d-Desthiobiotin [[M+H]],0.2796982081193381,0.04759365507220405
gamma-Glutamylcysteine [[M+H]],-0.001696656353389859,0.015822600369623584
