ReplicateName	2'-Deoxyguanosine-5'-Diphosphate [[M+H]]	2'-Deoxyguanosine-5'-Monophosphate [[M+H]]	2'-Deoxyuridine [[M+Na]]	5'-Deoxy-5'-Methylthioadenosine [[M+H]]	ATP [[M+H]]	Acetyl coenzyme A (Acetyl-CoA) [[M+H]]	Ademetionine [[M+H]]	Adenine [[M+H]]	Adenosine 5'-diphosphate (ADP) [[M+H]]	Adenosine phosphate [[M+H]]	Adenosine-3'-5'-Diphosphate [[M+H]]	Alpha-D-Glucose [[M+Na]]	Aminoadipate [[M+Na]]	Argininosuccinic acid [[M+H]]	Asparagine [[M+NH4]]	Biotin [[M+H]]	Choline [[M+H]]	Cytidine [[M+H]]	D-(+)-Melibiose [[M+K]]	D-(+)-Turanose [[M+Na]]	D-Fructose [[M+Na]]	D-Galactose [[M+Na]]	D-Glucose [[M+Na]]	D-Mannose [[M+Na]]	Deoxyadenosine [[M+H]]	Galactose [[M+Na]]	Glucosamine [[M+H]]	Glutamic Acid [[M+H]]	Glutathione [[M+H]]	Histidine [[M+H]]	Imidazoleacetic acid [[M+H]]	Indole-3-Ethanol [[M+H]]	Inositol [[M+Na]]	Isomaltose [[M+Na]]	L-Arginine [[M+H]]	L-Citrulline [[M+H]]	L-Glutamine [[M+H]]	L-Histidinol [[M+H]]	L-Lysine [[M+H]]	L-Threonine [[M+NH4]]	L-Tryptophan [[M+NH4]]	Levocarnitine [[M+H]]	Linoleic acid [[M+Na]]	Maltose [[M+K]]	Methionine [[M+H]]	N-(5-Amino-5-Carboxypentyl)Glutamic Acid [[M+H]]	N-Acetylputrescine [[M+Na]]	N2-Acetyl-L-ornithine [[M+H]]	Nicotinamide [[M+H]]	Nicotinamide ribotide [[M+H]]	O-acetyl-L-serine [[M+H]]	Oleic acid [[M+Na]]	P-Hydroxybenzoic Acid [[M-H2O+H]]	Palatinose [[M+K]]	Pidolic Acid [[M+H]]	Proline [[M+NH4]]	Pyridoxal [[M+H]]	Sucrose [[M+K]]	Thymine [[M+H]]	Trehalose [[M+K]]	Xanthurenic acid [[M+H]]	d-Desthiobiotin [[M+Na]]	gamma-Glutamylcysteine [[M+H]]	Experimental group
Inj00008-Positive-A7.d.DeMP	1684.5048773278158	10024.102867277566	2104.132426840083	167.8510198049069	265.59350432238494	292.74017144546264	1625.5571977534735	3635.7729825598585	1684.5048773278158	30910.56458764411	1604.5758202778602	205.81732190363584	1014.0999113213126	3967.478569317175	296.7366242979604	1515.6547443097845	825.2675140407923	12265.113804315697	63.94324563996454	1544.6290274903934	130.88383091930243	185.83505764114693	254.7738693467337	130.88383091930243	234.7916050842448	185.83505764114693	2693.609222583506	32.97073603310672	40699.87584983743	1587.5908956547446	207.00814903200947	28.974283180608932	325.71090747856937	1544.6290274903934	7043.748152527343	3362.0159621637604	287.74460537984044	60.9459060005912	78.92994383683123	51.136122755167605	947.1593260419747	153.86343482116467	204.8182086905114	63.94324563996454	36.9671888856045	1518.6520839491577	73.934377771209	137.87762341117354	577.4874371859297	1088.0342890925215	198.82352941176472	1141.9864026012417	789.2994383683123	63.94324563996454	934.1708542713569	393.65060597103167	4577.936742536211	63.94324563996454	204.5753290093877	63.94324563996454	697.8381802434814	295.737511084836	2542.743127401715	Growth with 20 mM alanine supplementation, no lactic acid.
Inj00009-Positive-A3.d.DeMP	19474.22805830536	10662.37619964134	722.0117320160543	48.50625474067476	5402.680259864812	3858.2132651921725	2707.248572911261	5299.873352032739	19474.22805830536	32697.32344498236	17733.60075673474	102.93652163156553	3599.4234627183328	11662.084751663568	209.15888145145928	441.9515348183377	1694.5414463355514	8576.695828105601	75.6280701293412	1018.6155695545643	48.787524079398885	86.86270658058258	78.0394196866359	48.787524079398885	24.815460511190082	86.86270658058258	2387.010963457332	41.35910085198347	46261.92683583717	3899.572366044156	271.78837702731994	133.85394018033267	102.47035493843445	1018.6155695545643	53785.738125110845	3294.547805009426	1211.2308106652301	248.15460511190082	87.44495608705077	11.816885957709562	706.6497802710319	39.73436388511774	82.71820170396694	75.6280701293412	79.17313591665408	1647.273902504713	267.06162264423614	1436.933332457483	2010.0523014063967	178.89091804929703	66.17456136317355	514.034539160366	359.23333311437074	75.6280701293412	5583.478615017769	59.084429788547816	2795.8752175940826	75.6280701293412	290.69539455965526	75.6280701293412	168.98146919524675	154.8012060459953	772.8243416342054	Growth with 10 mM proline supplementation, no lactic acid.
Inj00010-Positive-G9.d.DeMP	4037.7068403908793	2334.547231270358	1399.9348534201954	173.43322475570034	750.9771986970684	347.43322475570034	1477.0162866449512	4086.4495114006513	4037.7068403908793	10071.596091205212	3701.609120521173	474.957654723127	53.843648208469055	3411.986970684039	159.83061889250814	271.48534201954396	832.5928338762214	6598.964169381107	172.2444779737109	30.60586319218241	132.62540716612378	252.21498371335505	474.957654723127	132.62540716612378	42.50814332247557	252.21498371335505	2603.198697068404	130.64257920681504	31790.99022801303	650.657980456026	174.0	56.11074918566775	459.08794788273616	30.60586319218241	9825.048859934854	179.10097719869708	215.61797041032366	60.645044190328385	24.371335504885995	19.270358306188925	381.4397394136808	40.16881371220115	82.74918566775244	172.2444779737109	29.47231270358306	506.6970684039088	126.95765472312704	255.6156351791531	915.342019543974	292.4560260586319	23.237785016286644	151.8957654723127	756.6449511400651	172.2444779737109	222.17589576547232	77.64820846905538	1395.9674267100977	135.53777733839664	231.2442996742671	172.2444779737109	223.67554324859296	77.0814332247557	1414.671009771987	Growth with 20 mM alanine supplementation and 50 mM (S)-lactic acid.
Inj00013-Positive-E6.d.DeMP	9416.885908575747	7328.229819921924	594.7947361793225	119.88274973040444	1182.4160685052261	1648.6873189774587	2948.8667674096464	3950.752172270495	9416.885908575747	23865.316836670445	8756.33497040675	209.1290215430968	3332.0460899131094	5748.2876212063975	105.20992318347815	570.2856063468078	1528.5328044326911	6656.320992318348	605.0089579399696	557.5851949670936	70.325152295923	129.24963356343292	209.1290215430968	70.325152295923	41.70195961081211	129.24963356343292	2062.951391512404	19.129076942450574	26628.8706712001	2076.102631910339	88.4415426073059	210.65387021918855	230.28951654332306	557.5851949670936	33072.978466188135	1400.607102380053	11.955673089031608	65.75620198967384	166.18385593753936	134.88636255451868	642.0196448809974	23.313562523611637	50.213826973932754	605.0089579399696	47.82269235612643	1235.0210300969652	92.5318319208987	347.9100868908198	1854.3248961088025	67.62753509413297	6.575620198967385	240.9068127439869	402.9061831003652	605.0089579399696	3560.399445913613	17.335725979095834	424.4263946606221	484.05015638878086	89.49623981322043	605.0089579399696	270.48824862249376	49.61604331948117	543.3853418964866	Baseline growth without any supplementation or treatment.
Inj00021-Positive-H9.d.DeMP	3992.659916162345	10141.58998667481	354.9503359058353	48.88537560379768	337.94672700016656	472.91287268891233	1019.1538087835211	9101.181666759203	3992.659916162345	36787.307867414354	3689.7831325301204	225.29781800011102	3180.7375909166617	2505.906862472933	316.6922158680806	1241.2634501138193	1886.3378629726278	8834.437552051524	143.46795014158013	1612.154669368719	170.03608905668756	1974.1454074704368	225.29781800011102	170.03608905668756	35.06994336794181	1974.1454074704368	8740.917703070345	645.0744128588085	40335.7485009161	359.2012381322525	11.68998112264727	167.47534107257414	225.29781800011102	1612.154669368719	17225.718546999055	687.5834351229804	360.2639636888568	39.320845594359	189.16514907556493	22.317236688690244	855.4940730664594	64.41826288370048	48.88537560379768	143.46795014158013	44.63447337738049	1467.6239936705347	94.58257453778246	499.4810116040197	3882.136458275498	282.6849980567431	645.0744128588085	136.02887124535005	455.90926378324355	143.46795014158013	6275.394411748376	35.06994336794181	1531.3875270667925	109.46073233024262	204.5753290093877	143.46795014158013	378.33029815112985	47.82265004719338	539.8645827549831	Growth with 50 mM (S)-lactic acid, no proline supplementation.
Inj00023-Positive-F10.d.DeMP	449.46781326781326	3256.2508599508596	959.5022113022112	145.04103194103192	538.443118894562	800.4872383758202	355.4302211302211	4851.702211302211	449.46781326781326	13747.020884520884	406.4336609336609	1005.7240786240785	998.7372891965118	498.87739557739553	449.46781326781326	196.04447174447174	46.22186732186732	1569.9496314496314	166.64277901871742	3243.4999999999995	1071.0896972384924	427.1538083538083	1005.7240786240785	1071.0896972384924	36.65872235872236	427.1538083538083	1238.4272727272726	166.51877093179442	7813.089434889434	55.78501228501228	36.57892565360006	127.5085995085995	914.8742014742014	3243.4999999999995	8798.093366093366	1094.9800982800982	184.63471903964307	210.15759862521654	337.89778869778866	47.569748563633084	1381.8744471744471	65.34815724815725	525.9729729729729	166.64277901871742	7.969287469287469	1295.8061425061424	65.34815724815725	31.877149877149876	160.97960687960688	92.90734358935667	209.8872421089666	231.1093366093366	1652.830221130221	166.64277901871742	1386.6560196560195	316.27899844963537	774.614742014742	166.64277901871742	46.22006602021289	166.64277901871742	274.13062370637596	105.19459459459459	219.95233415233415	Growth with 20 mM proline supplementation and 50 mM (S)-lactic acid.
Inj00026-Positive-D10.d.DeMP	1526.778947368421	7915.831578947368	649.1368421052631	23.873684210526314	630.595800570081	475.2049598230397	170.52631578947367	2684.084210526316	1526.778947368421	24650.14736842105	1346.0210526315789	5621.684210526316	2515.831578947368	3197.936842105263	216.0	1023.1578947368421	1584.757894736842	14109.347368421053	34.10526315789473	3695.8736842105263	2629.515789473684	3956.2105263157896	5639.873684210526	2661.3473684210526	51.1578947368421	3956.2105263157896	4641.726315789474	344.4631578947368	32357.936842105264	575.2421052631579	34.10526315789473	167.50616829552044	5440.926315789474	3695.8736842105263	12633.726315789474	2587.452631578947	333.09473684210525	74.22963758952348	115.23302680191996	120.50526315789473	563.8736842105263	92.08421052631579	64.8	34.10526315789473	311.4947368421053	1321.0105263157895	51.1578947368421	213.83098287602374	1378.9894736842105	145.94529024054043	421.7684210526316	78.4421052631579	324.0	34.10526315789473	7148.4631578947365	186.44210526315788	211.45263157894738	34.10526315789473	28.421052631578945	34.10526315789473	36.37894736842105	70.49337685600766	962.9052631578948	Growth with 50 mM (S)-lactic acid, no proline supplementation.
Inj00034-Positive-D12.d.DeMP	2561.7597255991664	4003.432181312956	441.72455713789515	73.23094258279444	260.9087356721084	745.1068079194165	695.352118791247	3302.0124175060787	2561.7597255991664	12539.395189301842	2544.7703195554013	2769.273185133727	1901.599947898576	1865.1940778047933	658.9462486974644	930.7767453977076	578.8533344911427	10805.262243834666	166.64277901871745	868.8867662382772	1190.47195206669	1757.1899965265718	2833.5902222994096	1190.47195206669	61.1351563203415	1757.1899965265718	1412.5477596387636	24.27058006252171	11651.091959013547	32.76528308440431	70.38468218131295	25.484109065647797	2748.6431920805835	868.8867662382772	11737.252518235498	2704.9561479680447	216.0081625564432	210.15759862521654	92.2282042375825	44.90057311566516	1308.1842653699202	140.0889582957473	354.35046891281695	166.64277901871745	36.40587009378257	916.2143973601945	83.92206652327238	366.4857589440778	1326.3872004168115	116.4987843001042	35.19234109065648	194.16464050017368	1213.5290031260854	166.64277901871745	2112.753994442515	231.47141015062118	458.71396318166035	166.64277901871745	70.38468218131295	166.64277901871745	207.1283077850021	213.23495163676043	128.63407433136507	Growth with 20 mM proline supplementation and 50 mM (S)-lactic acid.
Inj00035-Positive-B1.d.DeMP	7783.744938438482	10783.520672328172	817.7553407187564	60.63963189952091	178.82119244218507	293.3471246804384	896.1151890922981	7106.635479415826	7783.744938438482	46853.16164673386	7526.563897622756	146.6735623402192	2216.177250154271	11458.620904469453	247.94077202716304	148.68278922159206	1020.6872557374159	9732.695013370161	472.1683171226235	1086.9917428227204	48.22144515294878	98.45211718727043	146.6735623402192	48.22144515294878	82.3783021362875	98.45211718727043	5306.368193705739	90.41520966177896	37261.112515059795	2891.277482295554	40.18453762745732	146.6735623402192	146.6735623402192	1086.9917428227204	44691.23352237666	1886.6640416091209	259.19026769709967	24.11072257647439	472.1683171226235	343.57779671476004	2704.4193823278774	41.495781920500754	845.8845170579765	472.1683171226235	24.11072257647439	863.9675589903323	84.38752901766037	1667.6583115394785	2957.5819693808585	178.89091804929703	32.14763010196585	570.6204343098939	1056.8533396021273	472.1683171226235	5949.320795745056	116.53515911962621	1518.9755223178865	440.0206870206576	40.18453762745732	472.1683171226235	174.80273867943933	42.193764508830185	218.92978826057276	Growth with 20 mM proline supplementation, no lactic acid.
Inj00039-Positive-E3.d.DeMP	16193.43119266055	5656.866972477064	358.1834862385321	87.3348623853211	4321.417431192661	3443.646788990826	5075.371559633028	4244.032110091743	16274.133027522936	24410.646788990827	15393.045871559632	63.01376146788991	2971.5963302752293	9303.926605504586	879.9816513761468	183.5137614678899	459.88990825688074	7762.853211009175	482.0	730.7385321100917	32.059633027522935	63.01376146788991	63.01376146788991	32.059633027522935	91.75688073394495	63.01376146788991	2597.935779816514	86.62860744398078	30760.66513761468	3413.7981651376144	435.56880733944956	23.21559633027523	63.01376146788991	730.7385321100917	47886.036697247706	2195.532110091743	170.24770642201835	65.22477064220183	30.954128440366972	12.160550458715596	662.197247706422	42.62619046649656	336.07339449541286	482.0	22.57102119468225	2060.6605504587155	207.17445116835452	773.8532110091743	3977.605504587156	123.37167763129499	67.76700120186867	278.58715596330273	1350.926605504587	482.0	3693.4908256880735	141.5045871559633	795.9633027522935	470.9449541284404	400.1926605504587	482.0	229.75009870572674	46.43119266055046	22.110091743119266	Growth with 20 mM proline supplementation, no lactic acid.
Inj00049-Positive-B6.d.DeMP	2584.4454545454546	5246.090909090909	2122.1227272727274	25.44090909090909	523.7318181818182	247.39090909090908	963.2454545454545	6273.377272727273	2584.4454545454546	17798.986363636363	2277.4	654.4454545454545	942.190909090909	4396.013636363637	107.90454545454546	100.88636363636363	53.51363636363636	4831.140909090909	71.05909090909091	1665.940909090909	464.0772727272727	599.1772727272727	654.4454545454545	464.0772727272727	432.49545454545455	599.1772727272727	2200.2	96.5	29971.145454545454	1040.4454545454546	129.83636363636364	21.054545454545455	608.8272727272727	1665.940909090909	3312.581818181818	759.7181818181817	93.86818181818181	73.69090909090909	53.51363636363636	10.527272727272727	903.590909090909	17.545454545454543	607.9499999999999	71.05909090909091	12.281818181818181	1352.7545454545455	166.6818181818182	134.22272727272727	1867.7136363636362	1458.9045454545453	132.4894434203321	1393.9863636363636	812.3545454545455	71.05909090909091	680.7636363636364	4.386363636363636	430.7409090909091	71.05909090909091	163.17272727272726	71.05909090909091	417.240888561016	21.93181818181818	2136.159090909091	Growth with 20 mM alanine supplementation and 50 mM (S)-lactic acid.
Inj00051-Positive-F3.d.DeMP	2583.7149700169048	5003.738854820355	1624.8200333403645	20.46138565168175	349.46495224604877	34.412330414192034	1062.1319279191164	3899.754092613708	2583.7149700169048	17271.26961598773	2345.6188460700623	1823.8535119521778	430.6191616694841	3716.5316847327394	348.7736190627571	19.5313226675144	275.2986433135363	5080.934082506245	147.880014482609	3008.7537537813846	2178.207508919939	2509.3099312835166	1641.5611670553767	2178.207508919939	292.0397770285486	2509.3099312835166	2546.5124506502107	202.7537305484828	36527.29364018859	701.2674900621836	11.160755810008228	48.77682138543184	1402.5349801243672	3008.7537537813846	4770.293045794349	1218.3825092592315	11.160755810008228	76.26516470172288	19.5313226675144	36.30946569216564	1023.0692825840874	40.16881371220115	135.78919568843344	147.880014482609	54.87371606587378	746.8405762863839	152.04843406906298	44.64302324003291	1873.1468501130473	324.59198147440594	200.8936045801481	635.2330181863016	571.0586722787543	147.880014482609	639.8833331071384	165.5512111817887	199.96354159598073	136.71925867260077	11.160755810008228	147.880014482609	345.05336712608766	121.83825092592315	2703.693094974493	Growth with 20 mM alanine supplementation and 50 mM (S)-lactic acid.
Inj00052-Positive-F11.d.DeMP	2515.5	4584.850366636114	1539.0433088909258	199.88698807740158	440.3854262144821	572.9621906507791	1645.1047204399633	6288.75	2515.5	19938.392529789184	2460.1636113657196	1216.0842515119414	2295.307286892759	1376.4926672777267	219.03987167736022	396.5774518790101	818.5174152153987	4862.685151237397	137.3522593283183	2401.3686984417964	700.0343055856339	907.5359920845266	1204.5633558995598	700.0343055856339	16.139780018331805	907.5359920845266	6598.8643446379465	98.6493405884283	27188.612282309805	461.1365719523373	556.8224106324473	104.90857011915674	989.3257485571597	2401.3686984417964	8854.975022914758	129.11824014665444	112.2948540420361	36.89092575618698	130.2710815765353	50.725022914757105	141.79949587534372	59.947754353803845	308.05347349724804	137.3522593283183	50.725022914757105	728.595783684693	157.93927589367553	194.83020164986252	1514.833638863428	217.88703024747937	83.66993020530437	310.11434463794683	929.1901924839597	137.3522593283183	1337.296058661778	48.419340054995416	417.32859761686524	104.36581062967343	742.429880843263	137.3522593283183	369.11228715790566	102.60288725939505	1461.8029330889092	Baseline growth without any supplementation or treatment.
Inj00061-Positive-G4.d.DeMP	2785.536406259877	8734.698071840923	1474.9089124212098	27.782886966165297	83.34866089849588	1088.3643981093448	1660.933459933795	5542.081973946364	2801.2397771537967	38106.04140150654	2104.251699785215	2030.5666517445156	636.5904970073526	5689.452070027763	93.01227375629252	436.0705302080727	1057.4714604409999	7392.663836214418	24.15903214449156	3077.860695208225	1822.7989753018883	2129.6186835369313	2019.6950872794946	1822.7989753018883	76.10095125514842	2129.6186835369313	2409.8634564130334	703.0278354047044	46568.95036172193	1462.829396348964	25.366983751716138	102.03943492610544	1491.8202349223538	3077.860695208225	21536.569205207	1110.1075270393872	6.03975803612289	79.88715846619931	30.198790180614452	35.20650767268528	823.8229961271622	67.04756366893096	833.4866089849588	24.15903214449156	15.703370893919514	252.46188590993683	74.83898410299714	24.15903214449156	1379.480735450468	193.2722571559325	962.7374309579887	1621.0710568953837	219.8471925148732	24.15903214449156	1129.4347527549805	100.25998339963998	1044.87814024926	24.15903214449156	164.8946810443934	24.15903214449156	96.63612857796625	108.71564465021203	2083.7165224623973	Growth with 20 mM alanine supplementation and 50 mM (S)-lactic acid.
Inj00062-Positive-H3.d.DeMP	4280.414342629482	5937.848605577689	419.52191235059763	232.35720274770586	981.0358565737051	414.3585657370518	1453.4820717131474	4724.462151394422	4280.414342629482	19974.406374501992	3867.3466135458166	1378.613545816733	740.9402390438247	2872.1115537848605	699.6334661354582	247.8406374501992	121.33864541832669	6916.302788844621	82.61354581673307	1276.6374501992032	65.83266932270917	298.1832669322709	1365.7051792828686	65.83266932270917	98.10358565737052	298.1832669322709	2891.4741035856573	41.30677290836653	17657.354581673306	345.9442231075697	80.03187250996017	127.79282868525897	1339.8884462151395	1276.6374501992032	14520.621513944223	1146.2629482071713	281.40239043824704	134.24701195219123	96.81274900398407	37.43426294820717	880.3505976095618	27.10756972111554	169.0996015936255	82.61354581673307	166.5179282868526	1626.4541832669322	108.43027888446215	273.6573705179283	1849.768924302789	27.79979197661302	86.48605577689243	1396.6852589641435	413.0677290836653	82.61354581673307	3469.768924302789	34.852589641434264	570.5498007968127	55.50597609561753	80.03187250996017	82.61354581673307	429.5791174363244	362.7250996015936	125.21115537848605	Growth with 20 mM proline supplementation and 50 mM (S)-lactic acid.
Inj00063-Positive-H4.d.DeMP	2852.007005253941	5440.553415061297	363.87040280210164	69.86092497590919	999.3984929812609	540.7390542907181	204.5043782837128	1800.0070052539406	2852.007005253941	20090.25218914186	2521.299474605955	348.2101576182137	897.2399299474607	3202.0595446584944	133.57267950963222	531.5271453590193	1058.4483362521892	6868.399299474607	21.18739054290718	1105.429071803853	71.85288966725045	201.74080560420316	348.2101576182137	71.85288966725045	110.5429071803853	201.74080560420316	941.4570928196148	131.7302977232925	18386.049036777586	1291.5096322241682	459.67425569176885	177.78984238178634	348.2101576182137	1105.429071803853	19045.621716287216	3097.964973730298	272.67250437828375	501.970929132647	69.08931698774082	26.714535901926446	462.4378283712785	70.97922955256091	26.714535901926446	21.18739054290718	57.11383537653241	449.5411558669002	116.99124343257444	145.54816112084063	2547.092819614711	26.714535901926446	103.17338003502628	526.0	388.7425569176883	21.18739054290718	1775.134851138354	43.88718006704525	258.85464098073555	21.18739054290718	459.67425569176885	21.18739054290718	429.5791174363244	55.27145359019265	315.0472854640981	Growth with 10 mM proline supplementation, no lactic acid.
Inj00064-Positive-A4.d.DeMP	10505.454545454544	5116.165289256198	1310.280991735537	19.636363636363633	1692.2975206611568	2452.7603305785124	1506.6446280991734	8813.157024793387	10505.454545454544	20041.5867768595	10218.049586776859	62.18897926875863	1665.5206611570247	6862.016528925619	215.99999999999997	573.0247933884297	481.98347107438013	7643.90082644628	62.4793388429752	1003.2396694214875	40.857354112348816	62.18897926875863	39.211125321657164	40.857354112348816	37.48760330578512	62.18897926875863	2443.8347107438017	81.78751232229462	37675.04132231405	2425.135254966071	301.6859504132231	186.84954518642311	60.371620321883405	1003.2396694214875	43721.2561983471	1599.4710743801652	839.0082644628098	19.636363636363633	235.63636363636363	51.76859504132231	1647.6694214876031	39.42594940293853	49.98347107438016	62.4793388429752	17.851239669421485	1553.0578512396694	367.7355371900826	1433.4545454545453	1629.8181818181818	178.89091804929703	47.900687480466615	380.2314049586777	628.3636363636363	62.4793388429752	1420.9586776859503	207.07438016528923	382.84607842269355	21.421487603305785	369.5206611570248	62.4793388429752	53.55371900826446	80.33057851239668	1030.0165289256197	Growth with 20 mM proline supplementation, no lactic acid.
