Molecule List Name	Molecule Name	Precursor Neutral Formula	Precursor Adduct	Replicate Name	Precursor Mz	Precursor Charge	Total Ion Current Area	Collisional Cross Section	Ion Mobility MS1	Area	Height
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	[M+H]	Inj00001-Positive-MAT1_demultiplexed	175.086589	1	432064	137.4	21.49	#N/A	#N/A
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	[M+H]	Inj00002-Positive-MAT1_demultiplexed	175.086589	1	1911938.875	137.4	21.49	0	0
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	[M+H]	Inj00003-Positive-MAT1_demultiplexed	175.086589	1	1747573.75	137.4	21.49	#N/A	#N/A
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	[M+H]	Inj00004-Positive-MAT1_demultiplexed	175.086589	1	1797598.25	137.4	21.49	#N/A	#N/A
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	[M+H]	Inj00005-Positive-MAT1_demultiplexed	175.086589	1	1800789.25	137.4	21.49	#N/A	#N/A
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	[M+H]	Inj00006-Positive-MAT1_demultiplexed	175.086589	1	1707203.375	137.4	21.49	81	46
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	[M+H]	Inj00007-Positive-MAT2_demultiplexed	175.086589	1	1712975.375	137.4	21.49	25	14
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	[M+H]	Inj00008-Positive-MAT2_demultiplexed	175.086589	1	2183653	137.4	21.49	17	19
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	[M+H]	Inj00009-Positive-D10_demultiplexed	175.086589	1	2159724.5	137.4	21.49	0	0
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	[M+H]	Inj00010-Positive-E7_demultiplexed	175.086589	1	3839098	137.4	21.49	0	0
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	[M+H]	Inj00011-Positive-F7_demultiplexed	175.086589	1	4308113	137.4	21.49	17	19
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	[M+H]	Inj00012-Positive-C10_demultiplexed	175.086589	1	3890095.5	137.4	21.49	16	18
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	[M+H]	Inj00013-Positive-B10_demultiplexed	175.086589	1	3559512.25	137.4	21.49	13	15
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	[M+H]	Inj00014-Positive-MAT2_demultiplexed	175.086589	1	3701521	137.4	21.49	0	0
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	[M+H]	Inj00015-Positive-A4_demultiplexed	175.086589	1	2737447.5	137.4	21.49	17	19
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	[M+H]	Inj00016-Positive-G3_demultiplexed	175.086589	1	3483727	137.4	21.49	0	0
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	[M+H]	Inj00017-Positive-A9_demultiplexed	175.086589	1	3883111.5	137.4	21.49	#N/A	#N/A
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	[M+H]	Inj00018-Positive-D1_demultiplexed	175.086589	1	4051401.25	137.4	21.49	32	18
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	[M+H]	Inj00019-Positive-E8_demultiplexed	175.086589	1	3805931.75	137.4	21.49	16	18
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	[M+H]	Inj00020-Positive-MAT2_demultiplexed	175.086589	1	3918467	137.4	21.49	12	13
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	[M+H]	Inj00021-Positive-MAT1_demultiplexed	175.086589	1	2953415.25	137.4	21.49	0	0
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	[M+H]	Inj00022-Positive-MAT1_demultiplexed	175.086589	1	2506312.75	137.4	21.49	13	6
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	[M+H]	Inj00023-Positive-MAT1_demultiplexed	175.086589	1	2370637.25	137.4	21.49	15	17
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	[M+H]	Inj00024-Positive-MAT1_demultiplexed	175.086589	1	2339978.25	137.4	21.49	21	23
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	[M+H]	Inj00025-Positive-MAT1_demultiplexed	175.086589	1	2272219.75	137.4	21.49	#N/A	#N/A
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	[M+H]	Inj00026-Positive-MAT2_demultiplexed	175.086589	1	2238686	137.4	21.49	#N/A	#N/A
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	[M+H]	Inj00027-Positive-MAT2_demultiplexed	175.086589	1	2365153	137.4	21.49	52	29
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	[M+H]	Inj00028-Positive-A3_demultiplexed	175.086589	1	2350577	137.4	21.49	0	0
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	[M+H]	Inj00029-Positive-D8_demultiplexed	175.086589	1	3582492	137.4	21.49	29	13
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	[M+H]	Inj00030-Positive-B6_demultiplexed	175.086589	1	3705243.5	137.4	21.49	29	33
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	[M+H]	Inj00031-Positive-F8_demultiplexed	175.086589	1	3743557.5	137.4	21.49	0	0
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	[M+H]	Inj00032-Positive-A1_demultiplexed	175.086589	1	4107282.75	137.4	21.49	109	48
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	[M+H]	Inj00033-Positive-MAT2_demultiplexed	175.086589	1	3853717.5	137.4	21.49	15	17
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	[M+H]	Inj00034-Positive-H1_demultiplexed	175.086589	1	2984043.5	137.4	21.49	0	0
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	[M+H]	Inj00035-Positive-F11_demultiplexed	175.086589	1	3714465	137.4	21.49	0	0
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	[M+H]	Inj00036-Positive-G4_demultiplexed	175.086589	1	4192556.5	137.4	21.49	0	0
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	[M+H]	Inj00037-Positive-A12_demultiplexed	175.086589	1	4131746.5	137.4	21.49	0	0
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	[M+H]	Inj00038-Positive-C1_demultiplexed	175.086589	1	3993582	137.4	21.49	61	39
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	[M+H]	Inj00039-Positive-MAT2_demultiplexed	175.086589	1	3856692	137.4	21.49	0	0
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	[M+H]	Inj00040-Positive-MAT1_demultiplexed	175.086589	1	3107836	137.4	21.49	0	0
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	[M+H]	Inj00041-Positive-MAT1_demultiplexed	175.086589	1	2750682.25	137.4	21.49	0	0
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	[M+H]	Inj00042-Positive-MAT1_demultiplexed	175.086589	1	2497128.25	137.4	21.49	21	23
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	[M+H]	Inj00043-Positive-MAT1_demultiplexed	175.086589	1	2422997.25	137.4	21.49	21	23
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	[M+H]	Inj00044-Positive-MAT1_demultiplexed	175.086589	1	2441428	137.4	21.49	38	43
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	[M+H]	Inj00045-Positive-MAT2_demultiplexed	175.086589	1	2386998.75	137.4	21.49	#N/A	#N/A
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	[M+H]	Inj00046-Positive-MAT2_demultiplexed	175.086589	1	2460962.5	137.4	21.49	30	34
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	[M+H]	Inj00047-Positive-B9_demultiplexed	175.086589	1	2431541	137.4	21.49	153	100
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	[M+H]	Inj00048-Positive-D5_demultiplexed	175.086589	1	3842936.25	137.4	21.49	0	0
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	[M+H]	Inj00049-Positive-G8_demultiplexed	175.086589	1	3933518	137.4	21.49	0	0
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	[M+H]	Inj00050-Positive-E6_demultiplexed	175.086589	1	3874190.5	137.4	21.49	0	0
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	[M+H]	Inj00051-Positive-H9_demultiplexed	175.086589	1	4030703.25	137.4	21.49	173	98
