	mu	AUC	MaxOD	Summary
A1	0.8827322488614837	24677.775999999998	0.8253533333333334	Growth with alanine supplementation, no spermine treatment.
A2	0.0	936.5160000000001	0.0	Media control
A3	2.133999582872741	37687.948	1.7283666666666666	Growth with low glutamate supplementation, no spermine treatment.
A4	0.5262085364803839	41490.507999999994	1.7758599999999998	Growth with high glutamate supplementation, no spermine treatment.
A5	0.7740936526307307	14220.712000000001	0.5062599999999999	Growth with high glutamate supplementation and spermine treatment.
A7	0.3457689675804178	11158.176	0.45604666666666666	Growth with high glutamate supplementation and spermine treatment.
A8	1.3120269099667177	31793.024	1.3961	Baseline growth with no supplementation or treatment.
A10	0.0	732.6480000000001	0.0	Media control
A11	0.42687817674258943	15035.632	0.8048266666666667	Growth with alanine supplementation and spermine treatment.
A12	0.33952391624767	13106.484	0.68894	Growth with spermine treatment, no supplementation.
B1	0.9163814487007672	28804.284	1.28106	Growth with high glutamate supplementation, no spermine treatment.
B3	0.8159934805649823	30471.895999999997	1.6224866666666666	Growth with alanine supplementation, no spermine treatment.
B4	0.3121759623174177	10126.595999999998	0.5708733333333333	Growth with high glutamate supplementation and spermine treatment.
B5	0.0	709.28	0.0	Media control
B6	0.8675342121711116	14783.212000000001	0.8327466666666666	Growth with alanine supplementation and spermine treatment.
B7	0.0	140.39199999999997	0.0	Media control
B8	1.2945349348820492	30638.492	1.2078333333333333	Growth with high glutamate supplementation, no spermine treatment.
B9	0.8715351169218661	25788.536	0.9514533333333333	Growth with low glutamate supplementation, no spermine treatment.
B10	0.2759871075205743	13911.460000000001	0.7148066666666666	Growth with spermine treatment, no supplementation.
B11	0.9040077094514742	19415.248000000003	0.8389666666666666	Growth with alanine supplementation, no spermine treatment.
B12	0.19241923883589754	23026.004000000004	0.8283200000000001	Baseline growth with no supplementation or treatment.
C1	2.0619052057889298	41141.695999999996	1.4085800000000002	Growth with low glutamate supplementation, no spermine treatment.
C2	0.30423293513501964	9753.4	0.57768	Growth with high glutamate supplementation and spermine treatment.
C3	0.9257965132536209	34880.464	1.6318533333333334	Baseline growth with no supplementation or treatment.
C4	0.0	259.88800000000003	0.0	Media control
C5	0.8167586871743352	32445.292000000005	1.5982600000000002	Growth with alanine supplementation, no spermine treatment.
C6	0.36310468420321396	17525.692000000003	0.8977266666666667	Growth with spermine treatment, no supplementation.
C7	1.077468598034747	32661.7	1.2826066666666667	Growth with high glutamate supplementation, no spermine treatment.
C8	0.0	26.36	0.0	Media control
C9	0.305657948637303	15946.112	0.8499133333333333	Growth with spermine treatment, no supplementation.
C10	0.8255951705529574	27079.496	1.1132466666666667	Growth with high glutamate supplementation, no spermine treatment.
C11	0.3645167813899351	10106.128	0.50334	Growth with low glutamate supplementation and spermine treatment.
C12	0.30647707720573586	12773.160000000002	0.79508	Growth with alanine supplementation and spermine treatment.
D2	0.32567090097267015	16275.456	0.9926066666666667	Growth with spermine treatment, no supplementation.
D3	0.0	111.08399999999995	0.0	Media control
D4	0.18077252641233302	27663.103999999996	0.9536199999999999	Baseline growth with no supplementation or treatment.
D5	0.7649523947932151	26418.056000000004	0.8529866666666667	Baseline growth with no supplementation or treatment.
D6	0.34020442253541144	11073.484	0.6427266666666667	Growth with high glutamate supplementation and spermine treatment.
D7	0.6820634892200393	27653.603999999996	1.1264666666666667	Growth with low glutamate supplementation, no spermine treatment.
D8	0.3011043723860946	11712.204	0.5123	Growth with low glutamate supplementation and spermine treatment.
D9	1.0383792617670153	26356.324	1.1655933333333333	Growth with high glutamate supplementation, no spermine treatment.
D10	0.7782557896154108	18588.144	0.7738533333333333	Growth with alanine supplementation, no spermine treatment.
D11	0.0	720.8080000000002	0.0	Media control
D12	0.3379086931192604	7064.0599999999995	0.4334866666666666	Growth with low glutamate supplementation and spermine treatment.
E1	0.32403507989630503	10214.4	0.7105733333333334	Growth with low glutamate supplementation and spermine treatment.
E2	0.0	0.0	0.0	Media control
E3	0.2425006658516192	39523.888000000006	1.4256600000000001	Growth with high glutamate supplementation, no spermine treatment.
E4	0.8882336475856093	22974.368000000002	0.9055266666666666	Growth with alanine supplementation, no spermine treatment.
