	plateID	well	CONCuM	Summary
0	plate_1	A01	Alanine: 0 mM & Penconazole: 0.01 µg/mL	No alanine supplementation, treated with 0.01 µg/mL penconazole.
1	plate_1	A02	Alanine: 0 mM & Penconazole: 0.1 µg/mL	No alanine supplementation, treated with 0.1 µg/mL penconazole.
2	plate_1	A03	Alanine: 0.1 mM & Penconazole: 1 µg/mL	Supplemented with 0.1 mM alanine and treated with 1 µg/mL penconazole.
3	plate_1	A04	Alanine: 0.1 mM & Penconazole: 0 mM	Minimal media supplemented with 0.1 mM alanine, no penconazole treatment.
4	plate_1	A05	Alanine: 0.1 mM & Penconazole: 0.1 µg/mL	Supplemented with 0.1 mM alanine and treated with 0.1 µg/mL penconazole.
5	plate_1	A06	Alanine: 1 mM & Penconazole: 0.01 µg/mL	Supplemented with 1 mM alanine and treated with 0.01 µg/mL penconazole.
6	plate_1	A07	Alanine: 1 mM & Penconazole: 0.1 µg/mL	Supplemented with 1 mM alanine and treated with 0.1 µg/mL penconazole.
7	plate_1	A08	Alanine: 10 mM & Penconazole: 1 µg/mL	Supplemented with 10 mM alanine and treated with 1 µg/mL penconazole.
8	plate_1	A09	Alanine: 1 mM & Penconazole: 0 mM	Minimal media supplemented with 1 mM alanine, no penconazole treatment.
9	plate_1	A10	Alanine: 10 mM & Penconazole: 0 mM	Minimal media supplemented with 10 mM alanine, no penconazole treatment.
10	plate_1	A11	Alanine: 0.1 mM & Penconazole: 0.01 µg/mL	Supplemented with 0.1 mM alanine and treated with 0.01 µg/mL penconazole.
11	plate_1	A12	Alanine: 1 mM & Penconazole: 1 µg/mL	Supplemented with 1 mM alanine and treated with 1 µg/mL penconazole.
12	plate_1	B01	Alanine: 0 mM & Penconazole: 0.1 µg/mL	No alanine supplementation, treated with 0.1 µg/mL penconazole.
13	plate_1	B02	Alanine: 1 mM & Penconazole: 0.01 µg/mL	Supplemented with 1 mM alanine and treated with 0.01 µg/mL penconazole.
14	plate_1	B03	Alanine: 0.1 mM & Penconazole: 0 mM	Minimal media supplemented with 0.1 mM alanine, no penconazole treatment.
15	plate_1	B04	Alanine: 0.1 mM & Penconazole: 0.01 µg/mL	Supplemented with 0.1 mM alanine and treated with 0.01 µg/mL penconazole.
16	plate_1	B05	Alanine: 0.1 mM & Penconazole: 1 µg/mL	Supplemented with 0.1 mM alanine and treated with 1 µg/mL penconazole.
17	plate_1	B06	Alanine: 10 mM & Penconazole: 0 mM	Minimal media supplemented with 10 mM alanine, no penconazole treatment.
18	plate_1	B07	Alanine: 0 mM & Penconazole: 1 µg/mL	No alanine supplementation, treated with 1 µg/mL penconazole.
19	plate_1	B08	Alanine: 1 mM & Penconazole: 0.1 µg/mL	Supplemented with 1 mM alanine and treated with 0.1 µg/mL penconazole.
20	plate_1	B09	Alanine: 0.1 mM & Penconazole: 0.1 µg/mL	Supplemented with 0.1 mM alanine and treated with 0.1 µg/mL penconazole.
21	plate_1	B10	Alanine: 1 mM & Penconazole: 1 µg/mL	Supplemented with 1 mM alanine and treated with 1 µg/mL penconazole.
22	plate_1	B11	Alanine: 10 mM & Penconazole: 0.01 µg/mL	Supplemented with 10 mM alanine and treated with 0.01 µg/mL penconazole.
23	plate_1	B12	Alanine: 1 mM & Penconazole: 0 mM	Minimal media supplemented with 1 mM alanine, no penconazole treatment.
24	plate_1	C01	Alanine: 0.1 mM & Penconazole: 0.01 µg/mL	Supplemented with 0.1 mM alanine and treated with 0.01 µg/mL penconazole.
25	plate_1	C02	Alanine: 10 mM & Penconazole: 1 µg/mL	Supplemented with 10 mM alanine and treated with 1 µg/mL penconazole.
26	plate_1	C03	Alanine: 1 mM & Penconazole: 1 µg/mL	Supplemented with 1 mM alanine and treated with 1 µg/mL penconazole.
27	plate_1	C04	Alanine: 0 mM & Penconazole: 0.1 µg/mL	No alanine supplementation, treated with 0.1 µg/mL penconazole.
28	plate_1	C05	Alanine: 1 mM & Penconazole: 0.1 µg/mL	Supplemented with 1 mM alanine and treated with 0.1 µg/mL penconazole.
29	plate_1	C06	Alanine: 0 mM & Penconazole: 0.01 µg/mL	No alanine supplementation, treated with 0.01 µg/mL penconazole.
30	plate_1	C07	Alanine: 0.1 mM & Penconazole: 0.1 µg/mL	Supplemented with 0.1 mM alanine and treated with 0.1 µg/mL penconazole.
31	plate_1	C08	Alanine: 10 mM & Penconazole: 0 mM	Minimal media supplemented with 10 mM alanine, no penconazole treatment.
32	plate_1	C09	Alanine: 10 mM & Penconazole: 0.01 µg/mL	Supplemented with 10 mM alanine and treated with 0.01 µg/mL penconazole.
33	plate_1	C10	Alanine: 0 mM & Penconazole: 1 µg/mL	No alanine supplementation, treated with 1 µg/mL penconazole.
34	plate_1	C11	Alanine: 0 mM & Penconazole: 0 mM	Control group with no alanine supplementation and no penconazole treatment.
35	plate_1	C12	Alanine: 10 mM & Penconazole: 0.1 µg/mL	Supplemented with 10 mM alanine and treated with 0.1 µg/mL penconazole.
36	plate_1	D01	Alanine: 1 mM & Penconazole: 0 mM	Minimal media supplemented with 1 mM alanine, no penconazole treatment.
37	plate_1	D02	Alanine: 0 mM & Penconazole: 0.01 µg/mL	No alanine supplementation, treated with 0.01 µg/mL penconazole.
38	plate_1	D03	Alanine: 1 mM & Penconazole: 0.01 µg/mL	Supplemented with 1 mM alanine and treated with 0.01 µg/mL penconazole.
39	plate_1	D04	Alanine: 0 mM & Penconazole: 0 mM	Control group with no alanine supplementation and no penconazole treatment.
40	plate_1	D05	Alanine: 0.1 mM & Penconazole: 0 mM	Minimal media supplemented with 0.1 mM alanine, no penconazole treatment.
41	plate_1	D06	Alanine: 10 mM & Penconazole: 0.01 µg/mL	Supplemented with 10 mM alanine and treated with 0.01 µg/mL penconazole.
42	plate_1	D07	Alanine: 1 mM & Penconazole: 1 µg/mL	Supplemented with 1 mM alanine and treated with 1 µg/mL penconazole.
43	plate_1	D08	Alanine: 0 mM & Penconazole: 1 µg/mL	No alanine supplementation, treated with 1 µg/mL penconazole.
44	plate_1	D09	Alanine: 10 mM & Penconazole: 0.1 µg/mL	Supplemented with 10 mM alanine and treated with 0.1 µg/mL penconazole.
45	plate_1	D10	Alanine: 0 mM & Penconazole: 0.1 µg/mL	No alanine supplementation, treated with 0.1 µg/mL penconazole.
46	plate_1	D11	Alanine: 0.1 mM & Penconazole: 0.1 µg/mL	Supplemented with 0.1 mM alanine and treated with 0.1 µg/mL penconazole.
47	plate_1	D12	Alanine: 0.1 mM & Penconazole: 1 µg/mL	Supplemented with 0.1 mM alanine and treated with 1 µg/mL penconazole.
48	plate_1	E01	Alanine: 0 mM & Penconazole: 1 µg/mL	No alanine supplementation, treated with 1 µg/mL penconazole.
49	plate_1	E02	Alanine: 0.1 mM & Penconazole: 0 mM	Minimal media supplemented with 0.1 mM alanine, no penconazole treatment.
50	plate_1	E03	Alanine: 0 mM & Penconazole: 0 mM	Control group with no alanine supplementation and no penconazole treatment.
51	plate_1	E04	Alanine: 10 mM & Penconazole: 0.01 µg/mL	Supplemented with 10 mM alanine and treated with 0.01 µg/mL penconazole.
52	plate_1	E05	Alanine: 10 mM & Penconazole: 1 µg/mL	Supplemented with 10 mM alanine and treated with 1 µg/mL penconazole.
53	plate_1	E06	Alanine: 0.1 mM & Penconazole: 0.1 µg/mL	Supplemented with 0.1 mM alanine and treated with 0.1 µg/mL penconazole.
54	plate_1	E07	Alanine: 0 mM & Penconazole: 0.01 µg/mL	No alanine supplementation, treated with 0.01 µg/mL penconazole.
55	plate_1	E08	Alanine: 10 mM & Penconazole: 0.1 µg/mL	Supplemented with 10 mM alanine and treated with 0.1 µg/mL penconazole.
56	plate_1	E09	Alanine: 1 mM & Penconazole: 0.1 µg/mL	Supplemented with 1 mM alanine and treated with 0.1 µg/mL penconazole.
57	plate_1	E10	Alanine: 0.1 mM & Penconazole: 1 µg/mL	Supplemented with 0.1 mM alanine and treated with 1 µg/mL penconazole.
58	plate_1	E11	Alanine: 1 mM & Penconazole: 0 mM	Minimal media supplemented with 1 mM alanine, no penconazole treatment.
59	plate_1	E12	Alanine: 10 mM & Penconazole: 0 mM	Minimal media supplemented with 10 mM alanine, no penconazole treatment.
60	plate_1	F01	Alanine: 1 mM & Penconazole: 0.01 µg/mL	Supplemented with 1 mM alanine and treated with 0.01 µg/mL penconazole.
61	plate_1	F02	Alanine: 1 mM & Penconazole: 0.1 µg/mL	Supplemented with 1 mM alanine and treated with 0.1 µg/mL penconazole.
62	plate_1	F03	Alanine: 10 mM & Penconazole: 0 mM	Minimal media supplemented with 10 mM alanine, no penconazole treatment.
63	plate_1	F04	Alanine: 0.1 mM & Penconazole: 1 µg/mL	Supplemented with 0.1 mM alanine and treated with 1 µg/mL penconazole.
64	plate_1	F05	Alanine: 10 mM & Penconazole: 0.1 µg/mL	Supplemented with 10 mM alanine and treated with 0.1 µg/mL penconazole.
65	plate_1	F06	Alanine: 0.1 mM & Penconazole: 0.01 µg/mL	Supplemented with 0.1 mM alanine and treated with 0.01 µg/mL penconazole.
66	plate_1	F07	Alanine: 1 mM & Penconazole: 0 mM	Minimal media supplemented with 1 mM alanine, no penconazole treatment.
67	plate_1	F08	Alanine: 0 mM & Penconazole: 0.01 µg/mL	No alanine supplementation, treated with 0.01 µg/mL penconazole.
68	plate_1	F09	Alanine: 0 mM & Penconazole: 0.1 µg/mL	No alanine supplementation, treated with 0.1 µg/mL penconazole.
69	plate_1	F10	Alanine: 10 mM & Penconazole: 0.01 µg/mL	Supplemented with 10 mM alanine and treated with 0.01 µg/mL penconazole.
70	plate_1	F11	Alanine: 10 mM & Penconazole: 1 µg/mL	Supplemented with 10 mM alanine and treated with 1 µg/mL penconazole.
71	plate_1	F12	Alanine: 0 mM & Penconazole: 0 mM	Control group with no alanine supplementation and no penconazole treatment.
72	plate_1	G01	Alanine: 10 mM & Penconazole: 1 µg/mL	Supplemented with 10 mM alanine and treated with 1 µg/mL penconazole.
73	plate_1	G02	Alanine: 0.1 mM & Penconazole: 0.01 µg/mL	Supplemented with 0.1 mM alanine and treated with 0.01 µg/mL penconazole.
74	plate_1	G03	Alanine: 10 mM & Penconazole: 0.01 µg/mL	Supplemented with 10 mM alanine and treated with 0.01 µg/mL penconazole.
75	plate_1	G04	Alanine: 1 mM & Penconazole: 1 µg/mL	Supplemented with 1 mM alanine and treated with 1 µg/mL penconazole.
76	plate_1	G05	Alanine: 1 mM & Penconazole: 0.01 µg/mL	Supplemented with 1 mM alanine and treated with 0.01 µg/mL penconazole.
77	plate_1	G06	Alanine: 0.1 mM & Penconazole: 1 µg/mL	Supplemented with 0.1 mM alanine and treated with 1 µg/mL penconazole.
78	plate_1	G07	Alanine: 10 mM & Penconazole: 0.1 µg/mL	Supplemented with 10 mM alanine and treated with 0.1 µg/mL penconazole.
79	plate_1	G08	Alanine: 1 mM & Penconazole: 0 mM	Minimal media supplemented with 1 mM alanine, no penconazole treatment.
80	plate_1	G09	Alanine: 0 mM & Penconazole: 1 µg/mL	No alanine supplementation, treated with 1 µg/mL penconazole.
81	plate_1	G10	Alanine: 0 mM & Penconazole: 0 mM	Control group with no alanine supplementation and no penconazole treatment.
82	plate_1	G11	Alanine: 0 mM & Penconazole: 0.01 µg/mL	No alanine supplementation, treated with 0.01 µg/mL penconazole.
83	plate_1	G12	Alanine: 0.1 mM & Penconazole: 0 mM	Minimal media supplemented with 0.1 mM alanine, no penconazole treatment.
84	plate_1	H01	Alanine: 1 mM & Penconazole: 1 µg/mL	Supplemented with 1 mM alanine and treated with 1 µg/mL penconazole.
85	plate_1	H02	Alanine: 10 mM & Penconazole: 0.1 µg/mL	Supplemented with 10 mM alanine and treated with 0.1 µg/mL penconazole.
86	plate_1	H03	Alanine: 0 mM & Penconazole: 1 µg/mL	No alanine supplementation, treated with 1 µg/mL penconazole.
87	plate_1	H04	Alanine: 0.1 mM & Penconazole: 0.1 µg/mL	Supplemented with 0.1 mM alanine and treated with 0.1 µg/mL penconazole.
88	plate_1	H05	Alanine: 10 mM & Penconazole: 0 mM	Minimal media supplemented with 10 mM alanine, no penconazole treatment.
89	plate_1	H06	Alanine: 10 mM & Penconazole: 1 µg/mL	Supplemented with 10 mM alanine and treated with 1 µg/mL penconazole.
90	plate_1	H07	Alanine: 0.1 mM & Penconazole: 0.01 µg/mL	Supplemented with 0.1 mM alanine and treated with 0.01 µg/mL penconazole.
91	plate_1	H08	Alanine: 0.1 mM & Penconazole: 0 mM	Minimal media supplemented with 0.1 mM alanine, no penconazole treatment.
92	plate_1	H09	Alanine: 0 mM & Penconazole: 0 mM	Control group with no alanine supplementation and no penconazole treatment.
93	plate_1	H10	Alanine: 1 mM & Penconazole: 0.1 µg/mL	Supplemented with 1 mM alanine and treated with 0.1 µg/mL penconazole.
94	plate_1	H11	Alanine: 1 mM & Penconazole: 0.01 µg/mL	Supplemented with 1 mM alanine and treated with 0.01 µg/mL penconazole.
95	plate_1	H12	Alanine: 0 mM & Penconazole: 0.1 µg/mL	No alanine supplementation, treated with 0.1 µg/mL penconazole.
