	plateID	well	CONCuM	Summary
0	plate_1	A01	serine: 5 mM & hydrogen peroxide: 0 mM	Serine supplementation at 5 mM without hydrogen peroxide treatment.
1	plate_1	A02	serine: 5 mM & hydrogen peroxide: 0.5 mM	Serine supplementation at 5 mM with hydrogen peroxide treatment at 0.5 mM.
2	plate_1	A03	serine: 0 mM & hydrogen peroxide: 0.5 mM	Hydrogen peroxide treatment at 0.5 mM without serine supplementation.
3	plate_1	A04	serine: 1 mM & hydrogen peroxide: 0.5 mM	Serine supplementation at 1 mM with hydrogen peroxide treatment at 0.5 mM.
4	plate_1	A05	Media control	
5	plate_1	A06	serine: 1 mM & hydrogen peroxide: 0 mM	Serine supplementation at 1 mM without hydrogen peroxide treatment.
6	plate_1	A07	serine: 5 mM & hydrogen peroxide: 1 mM	Serine supplementation at 5 mM with hydrogen peroxide treatment at 1 mM.
7	plate_1	A08	serine: 1 mM & hydrogen peroxide: 1 mM	Serine supplementation at 1 mM with hydrogen peroxide treatment at 1 mM.
8	plate_1	A09	Media control	
9	plate_1	A10	serine: 5 mM & hydrogen peroxide: 0.5 mM	Serine supplementation at 5 mM with hydrogen peroxide treatment at 0.5 mM.
10	plate_1	A11	serine: 0 mM & hydrogen peroxide: 1 mM	Hydrogen peroxide treatment at 1 mM without serine supplementation.
11	plate_1	A12	serine: 0 mM & hydrogen peroxide: 0 mM	Baseline control with no serine supplementation and no hydrogen peroxide treatment.
12	plate_1	B01	serine: 1 mM & hydrogen peroxide: 1 mM	Serine supplementation at 1 mM with hydrogen peroxide treatment at 1 mM.
13	plate_1	B02	serine: 5 mM & hydrogen peroxide: 0 mM	Serine supplementation at 5 mM without hydrogen peroxide treatment.
14	plate_1	B03	Media control	
15	plate_1	B04	serine: 0 mM & hydrogen peroxide: 0 mM	Baseline control with no serine supplementation and no hydrogen peroxide treatment.
16	plate_1	B05	serine: 5 mM & hydrogen peroxide: 1 mM	Serine supplementation at 5 mM with hydrogen peroxide treatment at 1 mM.
17	plate_1	B06	serine: 5 mM & hydrogen peroxide: 1 mM	Serine supplementation at 5 mM with hydrogen peroxide treatment at 1 mM.
18	plate_1	B07	serine: 1 mM & hydrogen peroxide: 0.5 mM	Serine supplementation at 1 mM with hydrogen peroxide treatment at 0.5 mM.
19	plate_1	B08	serine: 1 mM & hydrogen peroxide: 0.5 mM	Serine supplementation at 1 mM with hydrogen peroxide treatment at 0.5 mM.
20	plate_1	B09	serine: 0 mM & hydrogen peroxide: 0.5 mM	Hydrogen peroxide treatment at 0.5 mM without serine supplementation.
21	plate_1	B10	serine: 1 mM & hydrogen peroxide: 0 mM	Serine supplementation at 1 mM without hydrogen peroxide treatment.
