	plateID	well	CONCuM	Summary
0	plate_1	A01	3-indolepropionic acid: 1.0 mM & miconazole: 0 mM	Supplementation with 1.0 mM IPA without miconazole treatment.
1	plate_1	A02	Media control	
2	plate_1	A03	3-indolepropionic acid: 0.1 mM & miconazole: 0 mM	Supplementation with 0.1 mM IPA without miconazole treatment.
3	plate_1	A04	3-indolepropionic acid: 0.5 mM & miconazole: 0 mM	Supplementation with 0.5 mM IPA without miconazole treatment.
4	plate_1	A05	3-indolepropionic acid: 0.5 mM & miconazole: 0.5 µg/mL	Supplementation with 0.5 mM IPA and miconazole treatment at 0.5 µg/mL.
5	plate_1	A06	3-indolepropionic acid: 0.1 mM & miconazole: 0.5 µg/mL	Supplementation with 0.1 mM IPA and miconazole treatment at 0.5 µg/mL.
6	plate_1	A07	3-indolepropionic acid: 0.5 mM & miconazole: 0.5 µg/mL	Supplementation with 0.5 mM IPA and miconazole treatment at 0.5 µg/mL.
7	plate_1	A08	3-indolepropionic acid: 0 mM & miconazole: 0 mM	Control group with no supplementation or treatment.
8	plate_1	A09	3-indolepropionic acid: 0.5 mM & miconazole: 0.5 µg/mL	Supplementation with 0.5 mM IPA and miconazole treatment at 0.5 µg/mL.
9	plate_1	A10	Media control	
10	plate_1	A11	3-indolepropionic acid: 1.0 mM & miconazole: 0.5 µg/mL	Supplementation with 1.0 mM IPA and miconazole treatment at 0.5 µg/mL.
11	plate_1	A12	3-indolepropionic acid: 0 mM & miconazole: 0.5 µg/mL	Miconazole treatment at 0.5 µg/mL without IPA supplementation.
12	plate_1	B01	3-indolepropionic acid: 0.5 mM & miconazole: 0 mM	Supplementation with 0.5 mM IPA without miconazole treatment.
13	plate_1	B02	3-indolepropionic acid: 0.1 mM & miconazole: 0.5 µg/mL	Supplementation with 0.1 mM IPA and miconazole treatment at 0.5 µg/mL.
14	plate_1	B03	3-indolepropionic acid: 1.0 mM & miconazole: 0 mM	Supplementation with 1.0 mM IPA without miconazole treatment.
15	plate_1	B04	3-indolepropionic acid: 0.5 mM & miconazole: 0.5 µg/mL	Supplementation with 0.5 mM IPA and miconazole treatment at 0.5 µg/mL.
16	plate_1	B05	Media control	
17	plate_1	B06	3-indolepropionic acid: 1.0 mM & miconazole: 0.5 µg/mL	Supplementation with 1.0 mM IPA and miconazole treatment at 0.5 µg/mL.
18	plate_1	B07	Media control	
19	plate_1	B08	3-indolepropionic acid: 0.5 mM & miconazole: 0 mM	Supplementation with 0.5 mM IPA without miconazole treatment.
20	plate_1	B09	3-indolepropionic acid: 0.1 mM & miconazole: 0 mM	Supplementation with 0.1 mM IPA without miconazole treatment.
21	plate_1	B10	3-indolepropionic acid: 0 mM & miconazole: 0.5 µg/mL	Miconazole treatment at 0.5 µg/mL without IPA supplementation.
22	plate_1	B11	3-indolepropionic acid: 1.0 mM & miconazole: 0 mM	Supplementation with 1.0 mM IPA without miconazole treatment.
23	plate_1	B12	3-indolepropionic acid: 0 mM & miconazole: 0 mM	Control group with no supplementation or treatment.
24	plate_1	C01	3-indolepropionic acid: 0.1 mM & miconazole: 0 mM	Supplementation with 0.1 mM IPA without miconazole treatment.
25	plate_1	C02	3-indolepropionic acid: 0.5 mM & miconazole: 0.5 µg/mL	Supplementation with 0.5 mM IPA and miconazole treatment at 0.5 µg/mL.
26	plate_1	C03	3-indolepropionic acid: 0 mM & miconazole: 0 mM	Control group with no supplementation or treatment.
27	plate_1	C04	Media control	
28	plate_1	C05	3-indolepropionic acid: 1.0 mM & miconazole: 0 mM	Supplementation with 1.0 mM IPA without miconazole treatment.
29	plate_1	C06	3-indolepropionic acid: 0 mM & miconazole: 0.5 µg/mL	Miconazole treatment at 0.5 µg/mL without IPA supplementation.
30	plate_1	C07	3-indolepropionic acid: 0.5 mM & miconazole: 0 mM	Supplementation with 0.5 mM IPA without miconazole treatment.
31	plate_1	C08	Media control	
32	plate_1	C09	3-indolepropionic acid: 0 mM & miconazole: 0.5 µg/mL	Miconazole treatment at 0.5 µg/mL without IPA supplementation.
33	plate_1	C10	3-indolepropionic acid: 0.5 mM & miconazole: 0 mM	Supplementation with 0.5 mM IPA without miconazole treatment.
34	plate_1	C11	3-indolepropionic acid: 0.1 mM & miconazole: 0.5 µg/mL	Supplementation with 0.1 mM IPA and miconazole treatment at 0.5 µg/mL.
35	plate_1	C12	3-indolepropionic acid: 1.0 mM & miconazole: 0.5 µg/mL	Supplementation with 1.0 mM IPA and miconazole treatment at 0.5 µg/mL.
36	plate_1	D01	3-indolepropionic acid: 1.0 mM & miconazole: 0.5 µg/mL	Supplementation with 1.0 mM IPA and miconazole treatment at 0.5 µg/mL.
37	plate_1	D02	3-indolepropionic acid: 0 mM & miconazole: 0.5 µg/mL	Miconazole treatment at 0.5 µg/mL without IPA supplementation.
38	plate_1	D03	Media control	
39	plate_1	D04	3-indolepropionic acid: 0 mM & miconazole: 0 mM	Control group with no supplementation or treatment.
40	plate_1	D05	3-indolepropionic acid: 0 mM & miconazole: 0 mM	Control group with no supplementation or treatment.
41	plate_1	D06	3-indolepropionic acid: 0.5 mM & miconazole: 0.5 µg/mL	Supplementation with 0.5 mM IPA and miconazole treatment at 0.5 µg/mL.
42	plate_1	D07	3-indolepropionic acid: 0.1 mM & miconazole: 0 mM	Supplementation with 0.1 mM IPA without miconazole treatment.
43	plate_1	D08	3-indolepropionic acid: 0.1 mM & miconazole: 0.5 µg/mL	Supplementation with 0.1 mM IPA and miconazole treatment at 0.5 µg/mL.
44	plate_1	D09	3-indolepropionic acid: 0.5 mM & miconazole: 0 mM	Supplementation with 0.5 mM IPA without miconazole treatment.
45	plate_1	D10	3-indolepropionic acid: 1.0 mM & miconazole: 0 mM	Supplementation with 1.0 mM IPA without miconazole treatment.
46	plate_1	D11	Media control	
47	plate_1	D12	3-indolepropionic acid: 0.1 mM & miconazole: 0.5 µg/mL	Supplementation with 0.1 mM IPA and miconazole treatment at 0.5 µg/mL.
48	plate_1	E01	3-indolepropionic acid: 0.1 mM & miconazole: 0.5 µg/mL	Supplementation with 0.1 mM IPA and miconazole treatment at 0.5 µg/mL.
49	plate_1	E02	Media control	
50	plate_1	E03	3-indolepropionic acid: 0.5 mM & miconazole: 0 mM	Supplementation with 0.5 mM IPA without miconazole treatment.
51	plate_1	E04	3-indolepropionic acid: 1.0 mM & miconazole: 0 mM	Supplementation with 1.0 mM IPA without miconazole treatment.
52	plate_1	E05	3-indolepropionic acid: 1.0 mM & miconazole: 0.5 µg/mL	Supplementation with 1.0 mM IPA and miconazole treatment at 0.5 µg/mL.
53	plate_1	E06	3-indolepropionic acid: 0 mM & miconazole: 0 mM	Control group with no supplementation or treatment.
54	plate_1	E07	3-indolepropionic acid: 0 mM & miconazole: 0.5 µg/mL	Miconazole treatment at 0.5 µg/mL without IPA supplementation.
55	plate_1	E08	3-indolepropionic acid: 1.0 mM & miconazole: 0 mM	Supplementation with 1.0 mM IPA without miconazole treatment.
56	plate_1	E09	3-indolepropionic acid: 0.1 mM & miconazole: 0.5 µg/mL	Supplementation with 0.1 mM IPA and miconazole treatment at 0.5 µg/mL.
57	plate_1	E10	3-indolepropionic acid: 0.5 mM & miconazole: 0.5 µg/mL	Supplementation with 0.5 mM IPA and miconazole treatment at 0.5 µg/mL.
58	plate_1	E11	3-indolepropionic acid: 0.1 mM & miconazole: 0 mM	Supplementation with 0.1 mM IPA without miconazole treatment.
59	plate_1	E12	Media control	
60	plate_1	F01	3-indolepropionic acid: 0 mM & miconazole: 0.5 µg/mL	Miconazole treatment at 0.5 µg/mL without IPA supplementation.
61	plate_1	F02	3-indolepropionic acid: 0.5 mM & miconazole: 0 mM	Supplementation with 0.5 mM IPA without miconazole treatment.
62	plate_1	F03	3-indolepropionic acid: 1.0 mM & miconazole: 0.5 µg/mL	Supplementation with 1.0 mM IPA and miconazole treatment at 0.5 µg/mL.
63	plate_1	F04	Media control	
64	plate_1	F05	3-indolepropionic acid: 0.1 mM & miconazole: 0 mM	Supplementation with 0.1 mM IPA without miconazole treatment.
65	plate_1	F06	3-indolepropionic acid: 1.0 mM & miconazole: 0 mM	Supplementation with 1.0 mM IPA without miconazole treatment.
66	plate_1	F07	3-indolepropionic acid: 0 mM & miconazole: 0 mM	Control group with no supplementation or treatment.
67	plate_1	F08	3-indolepropionic acid: 0 mM & miconazole: 0.5 µg/mL	Miconazole treatment at 0.5 µg/mL without IPA supplementation.
68	plate_1	F09	Media control	
69	plate_1	F10	3-indolepropionic acid: 0.1 mM & miconazole: 0.5 µg/mL	Supplementation with 0.1 mM IPA and miconazole treatment at 0.5 µg/mL.
70	plate_1	F11	3-indolepropionic acid: 0 mM & miconazole: 0 mM	Control group with no supplementation or treatment.
71	plate_1	F12	3-indolepropionic acid: 0.5 mM & miconazole: 0.5 µg/mL	Supplementation with 0.5 mM IPA and miconazole treatment at 0.5 µg/mL.
72	plate_1	G01	Media control	
73	plate_1	G02	3-indolepropionic acid: 0 mM & miconazole: 0 mM	Control group with no supplementation or treatment.
74	plate_1	G03	3-indolepropionic acid: 0 mM & miconazole: 0.5 µg/mL	Miconazole treatment at 0.5 µg/mL without IPA supplementation.
75	plate_1	G04	3-indolepropionic acid: 1.0 mM & miconazole: 0.5 µg/mL	Supplementation with 1.0 mM IPA and miconazole treatment at 0.5 µg/mL.
