	mu	AUC	MaxOD	Summary
A1	0.2325931879106492	8975.348	0.5136933333333333	Growth with alanine supplementation, no spermine treatment.
A2	0.0	1944.2119999999998	0.0	Media control
A3	0.28721090413374584	9794.588000000002	0.6826000000000001	Growth with low glutamate supplementation, no spermine treatment.
A4	0.3374655497007151	8495.144	0.59806	Growth with high glutamate supplementation, no spermine treatment.
A5	0.3593416603523071	2967.9440000000004	0.19913333333333333	Growth with high glutamate supplementation and spermine treatment.
A6	0.5903780869755857	1930.104	0.08967333333333333	Growth with low glutamate supplementation and spermine treatment.
A7	0.23426382196124745	5150.816	0.3047466666666667	Growth with high glutamate supplementation and spermine treatment.
A9	0.22424896158371427	5669.111999999999	0.3178933333333333	Growth with high glutamate supplementation and spermine treatment.
A10	0.0	818.0519999999997	0.0	Media control
A11	0.26745220965161776	8376.044	0.5308999999999999	Growth with alanine supplementation and spermine treatment.
A12	0.3053819754060526	6342.4839999999995	0.36268	Growth with spermine treatment, no supplementation.
B1	0.26654220829609615	10907.656	0.76632	Growth with high glutamate supplementation, no spermine treatment.
B2	0.5345674808947339	8236.58	0.6496333333333333	Growth with low glutamate supplementation and spermine treatment.
B3	0.26471050655734396	5103.579999999999	0.3646333333333333	Growth with alanine supplementation, no spermine treatment.
B4	0.2465670101835334	2029.9880000000003	0.12742	Growth with high glutamate supplementation and spermine treatment.
B5	0.0	359.336	0.0	Media control
B6	0.3094336405158183	7783.98	0.5576333333333333	Growth with alanine supplementation and spermine treatment.
B7	0.0	797.888	0.0	Media control
B8	0.2984516974573787	10701.451999999997	0.7600733333333334	Growth with high glutamate supplementation, no spermine treatment.
B9	0.31267601325307953	10690.960000000001	0.9022533333333334	Growth with low glutamate supplementation, no spermine treatment.
B10	0.2862962186563812	4947.332	0.3116	Growth with spermine treatment, no supplementation.
B11	0.2496052128613775	6649.832	0.38338	Growth with alanine supplementation, no spermine treatment.
B12	0.2693093463933703	8721.832	0.514	Baseline growth with no supplementation or treatment.
C1	0.2856412146623973	19863.94	1.3163399999999998	Growth with low glutamate supplementation, no spermine treatment.
C2	0.34426738246925687	5501.4439999999995	0.27240000000000003	Growth with high glutamate supplementation and spermine treatment.
C3	0.282137120290847	10218.668000000001	0.52808	Baseline growth with no supplementation or treatment.
C4	0.0	489.32800000000015	0.0	Media control
C5	0.23860332540208024	11552.824	0.7062666666666667	Growth with alanine supplementation, no spermine treatment.
C6	0.31049664961186585	5104.824	0.35701333333333335	Growth with spermine treatment, no supplementation.
C7	0.2823367247907221	11475.676000000001	0.8323666666666668	Growth with high glutamate supplementation, no spermine treatment.
C8	0.0	0.0	0.0	Media control
C9	0.32071130979738544	1427.4920000000002	0.05942666666666667	Growth with spermine treatment, no supplementation.
C10	0.27310754553601246	12839.712000000001	0.88872	Growth with high glutamate supplementation, no spermine treatment.
C11	0.3201567531057362	4538.032	0.21302000000000004	Growth with low glutamate supplementation and spermine treatment.
C12	0.2526788092021967	6445.288	0.39771999999999996	Growth with alanine supplementation and spermine treatment.
D1	0.23149472071863247	6017.700000000001	0.29455333333333333	Growth with alanine supplementation and spermine treatment.
D2	0.24508423540913038	6665.484	0.34124666666666664	Growth with spermine treatment, no supplementation.
D3	0.0	52.563999999999965	0.0	Media control
D4	0.2408438482265068	14272.164	0.87194	Baseline growth with no supplementation or treatment.
D5	0.2685306914422905	10505.472000000002	0.7285466666666667	Baseline growth with no supplementation or treatment.
D6	0.2862386086648225	3483.56	0.2429333333333333	Growth with high glutamate supplementation and spermine treatment.
D7	0.2763393105649255	17790.744	1.3382266666666667	Growth with low glutamate supplementation, no spermine treatment.
D8	0.29490790387497406	4433.608	0.30712	Growth with low glutamate supplementation and spermine treatment.
D9	0.31886612114156776	9304.744	0.6900266666666666	Growth with high glutamate supplementation, no spermine treatment.
D10	0.24171814111264467	7669.464	0.4918666666666667	Growth with alanine supplementation, no spermine treatment.
D11	0.0	878.6600000000001	0.0	Media control
D12	0.22635151099446651	5553.636	0.29480666666666666	Growth with low glutamate supplementation and spermine treatment.
E1	0.25044141347785764	5967.976000000001	0.28209333333333336	Growth with low glutamate supplementation and spermine treatment.
E2	0.0	0.12799999999999923	0.0	Media control
E3	0.2702813921881662	10384.66	0.7437266666666666	Growth with high glutamate supplementation, no spermine treatment.
E4	0.24741467419100396	8292.932	0.4824866666666666	Growth with alanine supplementation, no spermine treatment.
E5	0.395752725112656	3427.4439999999995	0.28422000000000003	Growth with alanine supplementation and spermine treatment.
E7	0.3705677610415541	3563.032	0.30728	Growth with spermine treatment, no supplementation.
E8	0.25560682636152343	6856.52	0.4682933333333333	Growth with alanine supplementation, no spermine treatment.
E9	0.24212688165492166	4763.152000000001	0.31517333333333336	Growth with low glutamate supplementation and spermine treatment.
E10	0.24149012488050217	3008.3320000000003	0.19515333333333335	Growth with high glutamate supplementation and spermine treatment.
E11	0.27735865960189626	11112.604	0.7924266666666666	Growth with low glutamate supplementation, no spermine treatment.
E12	0.0	1.2159999999999993	0.0	Media control
F1	0.22034430371217323	9291.82	0.5538733333333333	Growth with spermine treatment, no supplementation.
F3	0.2729329654542977	7450.919999999999	0.5256666666666667	Growth with alanine supplementation and spermine treatment.
F4	0.0	1399.408	0.0	Media control
F5	0.29210258994033705	13063.923999999999	0.89998	Growth with low glutamate supplementation, no spermine treatment.
F6	0.31778683391352375	4555.396000000001	0.36934000000000006	Growth with alanine supplementation, no spermine treatment.
F7	0.2339445068362267	10298.152	0.6488799999999999	Baseline growth with no supplementation or treatment.
F8	0.2814050134031868	7282.948000000001	0.54722	Growth with spermine treatment, no supplementation.
F9	0.0	10.015999999999982	0.0	Media control
F10	0.3585989543374924	1215.764	0.09879333333333333	Growth with low glutamate supplementation and spermine treatment.
F11	0.2377215163196259	7161.3640000000005	0.44799333333333335	Baseline growth with no supplementation or treatment.
F12	0.2303302106588415	5150.724000000001	0.2956066666666667	Growth with high glutamate supplementation and spermine treatment.
G1	0.0	757.3239999999998	0.0	Media control
G2	0.2520027831378706	10932.576	0.7224933333333333	Baseline growth with no supplementation or treatment.
G3	0.2735017971396999	8962.616	0.6246933333333333	Growth with spermine treatment, no supplementation.
G4	0.2796410266052698	8064.5920000000015	0.5473466666666668	Growth with alanine supplementation and spermine treatment.
G6	0.3738408762454412	6817.192000000001	0.33187999999999995	Growth with low glutamate supplementation, no spermine treatment.
G7	0.23807513713452272	4297.9	0.28446	Growth with low glutamate supplementation and spermine treatment.
G8	0.3678196878216751	1924.836	0.19614000000000004	Growth with alanine supplementation and spermine treatment.
G9	0.293420857956202	3850.644	0.30279333333333336	Growth with alanine supplementation and spermine treatment.
G10	0.0	394.65599999999995	0.0	Media control
G11	0.2746599001785875	3943.54	0.26267333333333337	Growth with high glutamate supplementation and spermine treatment.
G12	0.25443095868368937	3501.1920000000005	0.22168666666666667	Growth with alanine supplementation, no spermine treatment.
H1	0.29447442874216284	5617.924	0.4079933333333333	Baseline growth with no supplementation or treatment.
H3	0.274777394664184	7538.272	0.5193466666666666	Growth with low glutamate supplementation and spermine treatment.
H5	0.2864525188720436	6805.619999999999	0.4809266666666666	Growth with spermine treatment, no supplementation.
H6	0.0	710.0680000000001	0.0	Media control
H7	0.31966620487849623	6175.011999999999	0.47463999999999995	Growth with alanine supplementation and spermine treatment.
H8	0.25699679852937257	2960.48	0.16802000000000003	Growth with high glutamate supplementation and spermine treatment.
H9	0.30755690472676833	3124.036	0.2616733333333333	Growth with alanine supplementation, no spermine treatment.
H10	0.27027394928231424	12708.488000000001	0.8512333333333333	Growth with low glutamate supplementation, no spermine treatment.
H11	0.0	323.948	0.0	Media control
H12	0.423402210476923	10479.308	0.6800266666666668	Growth with high glutamate supplementation, no spermine treatment.
