	plateID	well	CONCuM	Summary
0	plate_1	A01	Histidine: 5 mM & Zinc dichloride: 0 mM	High histidine supplementation control with 5 mM histidine, no zinc dichloride treatment.
1	plate_1	A02	Media control	
2	plate_1	A03	Proline: 5 mM & Zinc dichloride: 0 mM	Negative control with 5 mM proline supplementation, no zinc dichloride treatment.
3	plate_1	A04	Histidine: 0.5 mM & Zinc dichloride: 0 mM	Low histidine supplementation control with 0.5 mM histidine, no zinc dichloride treatment.
4	plate_1	A05	Histidine: 5 mM & Zinc dichloride: 0.5 mM	Experiment with high histidine supplementation (5 mM) and zinc dichloride treatment (0.5 mM).
5	plate_1	A06	Histidine: 0.5 mM & Zinc dichloride: 0.5 mM	Experiment with low histidine supplementation (0.5 mM) and zinc dichloride treatment (0.5 mM).
6	plate_1	A07	Histidine: 5 mM & Zinc dichloride: 0.5 mM	Experiment with high histidine supplementation (5 mM) and zinc dichloride treatment (0.5 mM).
7	plate_1	A08	None: 0 mM & Zinc dichloride: 0 mM	Baseline control with minimal media, no supplementation or treatment.
8	plate_1	A09	Histidine: 5 mM & Zinc dichloride: 0.5 mM	Experiment with high histidine supplementation (5 mM) and zinc dichloride treatment (0.5 mM).
9	plate_1	A10	Media control	
10	plate_1	A11	Proline: 5 mM & Zinc dichloride: 0.5 mM	Negative control with 5 mM proline supplementation and zinc dichloride treatment (0.5 mM).
11	plate_1	A12	None: 0 mM & Zinc dichloride: 0.5 mM	Zinc dichloride treatment control with 0.5 mM zinc dichloride, no histidine supplementation.
12	plate_1	B01	Histidine: 0.5 mM & Zinc dichloride: 0 mM	Low histidine supplementation control with 0.5 mM histidine, no zinc dichloride treatment.
13	plate_1	B02	Histidine: 0.5 mM & Zinc dichloride: 0.5 mM	Experiment with low histidine supplementation (0.5 mM) and zinc dichloride treatment (0.5 mM).
14	plate_1	B03	Histidine: 5 mM & Zinc dichloride: 0 mM	High histidine supplementation control with 5 mM histidine, no zinc dichloride treatment.
