	plateID	well	CONCuM	Summary
0	plate_1	A01	L-glutamate: 15 mM & Formic acid: 0 mM	High glutamate supplementation without formic acid treatment.
1	plate_1	A02	L-glutamate: 5 mM & Formic acid: 1% (v/v)	Low glutamate supplementation with high formic acid treatment.
2	plate_1	A03	L-glutamate: 0 mM & Formic acid: 0.5% (v/v)	Control condition with low formic acid treatment.
3	plate_1	A04	L-glutamate: 15 mM & Formic acid: 0.5% (v/v)	High glutamate supplementation with low formic acid treatment.
4	plate_1	A05	Media control	
5	plate_1	A06	L-glutamate: 5 mM & Formic acid: 0 mM	Low glutamate supplementation without formic acid treatment.
6	plate_1	A07	L-glutamate: 15 mM & Formic acid: 1% (v/v)	High glutamate supplementation with high formic acid treatment.
7	plate_1	A08	L-glutamate: 0 mM & Formic acid: 1% (v/v)	Control condition with high formic acid treatment.
8	plate_1	A09	Media control	
9	plate_1	A10	L-glutamate: 5 mM & Formic acid: 1% (v/v)	Low glutamate supplementation with high formic acid treatment.
10	plate_1	A11	L-glutamate: 5 mM & Formic acid: 0.5% (v/v)	Low glutamate supplementation with low formic acid treatment.
11	plate_1	A12	L-glutamate: 0 mM & Formic acid: 0 mM	Control condition with no supplementation and no formic acid treatment.
12	plate_1	B01	L-glutamate: 0 mM & Formic acid: 1% (v/v)	Control condition with high formic acid treatment.
13	plate_1	B02	L-glutamate: 15 mM & Formic acid: 0 mM	High glutamate supplementation without formic acid treatment.
14	plate_1	B03	Media control	
15	plate_1	B04	L-glutamate: 0 mM & Formic acid: 0 mM	Control condition with no supplementation and no formic acid treatment.
16	plate_1	B05	L-glutamate: 15 mM & Formic acid: 1% (v/v)	High glutamate supplementation with high formic acid treatment.
17	plate_1	B06	L-glutamate: 15 mM & Formic acid: 1% (v/v)	High glutamate supplementation with high formic acid treatment.
18	plate_1	B07	L-glutamate: 15 mM & Formic acid: 0.5% (v/v)	High glutamate supplementation with low formic acid treatment.
19	plate_1	B08	L-glutamate: 15 mM & Formic acid: 0.5% (v/v)	High glutamate supplementation with low formic acid treatment.
20	plate_1	B09	L-glutamate: 0 mM & Formic acid: 0.5% (v/v)	Control condition with low formic acid treatment.
21	plate_1	B10	L-glutamate: 5 mM & Formic acid: 0 mM	Low glutamate supplementation without formic acid treatment.
22	plate_1	B11	L-glutamate: 5 mM & Formic acid: 1% (v/v)	Low glutamate supplementation with high formic acid treatment.
23	plate_1	B12	L-glutamate: 5 mM & Formic acid: 0.5% (v/v)	Low glutamate supplementation with low formic acid treatment.
24	plate_1	C01	L-glutamate: 15 mM & Formic acid: 1% (v/v)	High glutamate supplementation with high formic acid treatment.
25	plate_1	C02	Media control	
26	plate_1	C03	L-glutamate: 0 mM & Formic acid: 0 mM	Control condition with no supplementation and no formic acid treatment.
27	plate_1	C04	L-glutamate: 0 mM & Formic acid: 0.5% (v/v)	Control condition with low formic acid treatment.
28	plate_1	C05	L-glutamate: 5 mM & Formic acid: 1% (v/v)	Low glutamate supplementation with high formic acid treatment.
29	plate_1	C06	L-glutamate: 15 mM & Formic acid: 0.5% (v/v)	High glutamate supplementation with low formic acid treatment.
30	plate_1	C07	L-glutamate: 0 mM & Formic acid: 1% (v/v)	Control condition with high formic acid treatment.
31	plate_1	C08	Media control	
32	plate_1	C09	L-glutamate: 5 mM & Formic acid: 0 mM	Low glutamate supplementation without formic acid treatment.
33	plate_1	C10	L-glutamate: 5 mM & Formic acid: 0.5% (v/v)	Low glutamate supplementation with low formic acid treatment.
34	plate_1	C11	L-glutamate: 0 mM & Formic acid: 0.5% (v/v)	Control condition with low formic acid treatment.
35	plate_1	C12	L-glutamate: 15 mM & Formic acid: 0 mM	High glutamate supplementation without formic acid treatment.
36	plate_1	D01	L-glutamate: 15 mM & Formic acid: 0.5% (v/v)	High glutamate supplementation with low formic acid treatment.
37	plate_1	D02	L-glutamate: 15 mM & Formic acid: 1% (v/v)	High glutamate supplementation with high formic acid treatment.
38	plate_1	D03	L-glutamate: 0 mM & Formic acid: 1% (v/v)	Control condition with high formic acid treatment.
39	plate_1	D04	L-glutamate: 5 mM & Formic acid: 0.5% (v/v)	Low glutamate supplementation with low formic acid treatment.
40	plate_1	D05	L-glutamate: 0 mM & Formic acid: 0.5% (v/v)	Control condition with low formic acid treatment.
41	plate_1	D06	Media control	
42	plate_1	D07	Media control	
43	plate_1	D08	L-glutamate: 15 mM & Formic acid: 0 mM	High glutamate supplementation without formic acid treatment.
44	plate_1	D09	L-glutamate: 5 mM & Formic acid: 1% (v/v)	Low glutamate supplementation with high formic acid treatment.
45	plate_1	D10	L-glutamate: 0 mM & Formic acid: 0 mM	Control condition with no supplementation and no formic acid treatment.
46	plate_1	D11	L-glutamate: 5 mM & Formic acid: 0 mM	Low glutamate supplementation without formic acid treatment.
47	plate_1	D12	L-glutamate: 5 mM & Formic acid: 0 mM	Low glutamate supplementation without formic acid treatment.
48	plate_1	E01	L-glutamate: 0 mM & Formic acid: 0.5% (v/v)	Control condition with low formic acid treatment.
49	plate_1	E02	L-glutamate: 0 mM & Formic acid: 1% (v/v)	Control condition with high formic acid treatment.
50	plate_1	E03	L-glutamate: 15 mM & Formic acid: 0 mM	High glutamate supplementation without formic acid treatment.
51	plate_1	E04	L-glutamate: 5 mM & Formic acid: 0 mM	Low glutamate supplementation without formic acid treatment.
52	plate_1	E05	Media control	
53	plate_1	E06	L-glutamate: 5 mM & Formic acid: 0.5% (v/v)	Low glutamate supplementation with low formic acid treatment.
54	plate_1	E07	L-glutamate: 0 mM & Formic acid: 0 mM	Control condition with no supplementation and no formic acid treatment.
55	plate_1	E08	L-glutamate: 0 mM & Formic acid: 0 mM	Control condition with no supplementation and no formic acid treatment.
56	plate_1	E09	L-glutamate: 15 mM & Formic acid: 0.5% (v/v)	High glutamate supplementation with low formic acid treatment.
57	plate_1	E10	Media control	
58	plate_1	E11	L-glutamate: 15 mM & Formic acid: 1% (v/v)	High glutamate supplementation with high formic acid treatment.
59	plate_1	E12	L-glutamate: 5 mM & Formic acid: 1% (v/v)	Low glutamate supplementation with high formic acid treatment.
60	plate_1	F01	L-glutamate: 5 mM & Formic acid: 0 mM	Low glutamate supplementation without formic acid treatment.
61	plate_1	F02	L-glutamate: 5 mM & Formic acid: 0.5% (v/v)	Low glutamate supplementation with low formic acid treatment.
62	plate_1	F03	Media control	
63	plate_1	F04	L-glutamate: 15 mM & Formic acid: 1% (v/v)	High glutamate supplementation with high formic acid treatment.
64	plate_1	F05	L-glutamate: 15 mM & Formic acid: 0.5% (v/v)	High glutamate supplementation with low formic acid treatment.
65	plate_1	F06	L-glutamate: 0 mM & Formic acid: 1% (v/v)	Control condition with high formic acid treatment.
66	plate_1	F07	Media control	
67	plate_1	F08	L-glutamate: 5 mM & Formic acid: 1% (v/v)	Low glutamate supplementation with high formic acid treatment.
68	plate_1	F09	L-glutamate: 15 mM & Formic acid: 0 mM	High glutamate supplementation without formic acid treatment.
69	plate_1	F10	L-glutamate: 0 mM & Formic acid: 1% (v/v)	Control condition with high formic acid treatment.
70	plate_1	F11	L-glutamate: 0 mM & Formic acid: 0 mM	Control condition with no supplementation and no formic acid treatment.
71	plate_1	F12	L-glutamate: 0 mM & Formic acid: 0.5% (v/v)	Control condition with low formic acid treatment.
72	plate_1	G01	Media control	
73	plate_1	G02	L-glutamate: 0 mM & Formic acid: 0 mM	Control condition with no supplementation and no formic acid treatment.
74	plate_1	G03	L-glutamate: 15 mM & Formic acid: 1% (v/v)	High glutamate supplementation with high formic acid treatment.
75	plate_1	G04	L-glutamate: 15 mM & Formic acid: 0 mM	High glutamate supplementation without formic acid treatment.
76	plate_1	G05	L-glutamate: 5 mM & Formic acid: 0.5% (v/v)	Low glutamate supplementation with low formic acid treatment.
77	plate_1	G06	L-glutamate: 0 mM & Formic acid: 0.5% (v/v)	Control condition with low formic acid treatment.
78	plate_1	G07	L-glutamate: 5 mM & Formic acid: 1% (v/v)	Low glutamate supplementation with high formic acid treatment.
79	plate_1	G08	L-glutamate: 5 mM & Formic acid: 0 mM	Low glutamate supplementation without formic acid treatment.
80	plate_1	G09	L-glutamate: 5 mM & Formic acid: 0.5% (v/v)	Low glutamate supplementation with low formic acid treatment.
81	plate_1	G10	L-glutamate: 15 mM & Formic acid: 0.5% (v/v)	High glutamate supplementation with low formic acid treatment.
82	plate_1	G11	L-glutamate: 0 mM & Formic acid: 1% (v/v)	Control condition with high formic acid treatment.
83	plate_1	G12	Media control	
84	plate_1	H01	L-glutamate: 5 mM & Formic acid: 1% (v/v)	Low glutamate supplementation with high formic acid treatment.
85	plate_1	H02	L-glutamate: 0 mM & Formic acid: 0.5% (v/v)	Control condition with low formic acid treatment.
86	plate_1	H03	L-glutamate: 15 mM & Formic acid: 0.5% (v/v)	High glutamate supplementation with low formic acid treatment.
87	plate_1	H04	Media control	
88	plate_1	H05	L-glutamate: 15 mM & Formic acid: 0 mM	High glutamate supplementation without formic acid treatment.
89	plate_1	H06	L-glutamate: 0 mM & Formic acid: 0 mM	Control condition with no supplementation and no formic acid treatment.
90	plate_1	H07	L-glutamate: 5 mM & Formic acid: 0 mM	Low glutamate supplementation without formic acid treatment.
91	plate_1	H08	L-glutamate: 5 mM & Formic acid: 0.5% (v/v)	Low glutamate supplementation with low formic acid treatment.
92	plate_1	H09	L-glutamate: 15 mM & Formic acid: 1% (v/v)	High glutamate supplementation with high formic acid treatment.
93	plate_1	H10	L-glutamate: 15 mM & Formic acid: 0 mM	High glutamate supplementation without formic acid treatment.
94	plate_1	H11	Media control	
95	plate_1	H12	L-glutamate: 0 mM & Formic acid: 1% (v/v)	Control condition with high formic acid treatment.
