	0	1200	2400	3600	4800	6000	7200	8400	9600	10800	12000	13200	14400	15600	16800	18000	19200	20400	21600	22800	24000	25200	26400	27600	28800	30000	31200	32400	33600	34800	36000	37200	38400	39600	40800	42000	43200	44400	45600	46800	48000	49200	50400	51600	52800	54000	55200	56400	57600	58800	60000	61200	62400	63600	64800	66000	67200	68400	69600	70800	72000	73200	74400	75600
A01	0.026440000000000005	-0.008180000000000007	0.004740000000000022	-7.999999999999674e-05	-0.012319999999999998	-0.007040000000000046	0.014919999999999989	0.012439999999999979	0.0026600000000000235	0.022999999999999993	0.021299999999999986	0.0006200000000000372	0.007200000000000012	0.013979999999999992	0.00804000000000002	0.012480000000000047	0.014640000000000014	0.013139999999999985	0.015979999999999994	0.03555999999999998	0.02262000000000003	0.02324000000000001	0.04658000000000001	0.027359999999999995	0.05571999999999999	0.042519999999999974	0.050960000000000005	0.053680000000000005	0.08503999999999998	0.07006000000000004	0.08070000000000002	0.08975999999999998	0.10224	0.12129999999999999	0.14790000000000003	0.16560000000000002	0.17524	0.19347999999999999	0.254	0.26117999999999997	0.24744	0.26564	0.29006	0.31474	0.36248	0.37158	0.39110000000000006	0.41438	0.45814000000000005	0.48496	0.5636999999999999	0.61608	0.64212	0.7067	0.76908	0.83874	0.88518	0.9436	1.04734	1.1128200000000001	1.20104	1.23358	1.29912	1.37566
A02	-0.024819999999999995	-0.031159999999999993	-0.02991999999999999	-0.034199999999999994	-0.03644	-0.03449999999999999	-0.035359999999999975	-0.03360000000000002	-0.03481999999999999	-0.03703999999999999	-0.03805999999999998	-0.03745999999999998	-0.038720000000000004	-0.03592000000000001	-0.04037999999999997	-0.03954000000000002	-0.03719999999999998	-0.03844000000000003	-0.03814000000000001	-0.035259999999999986	-0.036640000000000006	-0.037500000000000006	-0.034639999999999976	-0.03852	-0.03455999999999998	-0.038120000000000015	-0.035759999999999986	-0.03433999999999998	-0.03345999999999999	-0.036839999999999984	-0.03658	-0.03744	-0.04078000000000001	-0.037380000000000024	-0.03704000000000002	-0.03542000000000001	-0.03536	-0.037120000000000014	-0.032320000000000015	-0.030960000000000015	-0.03403999999999999	-0.03320000000000001	-0.03244	-0.0338	-0.02940000000000001	-0.03316000000000002	-0.03409999999999999	-0.03111999999999998	-0.03297999999999998	-0.03359999999999999	-0.030319999999999986	-0.030719999999999997	-0.03209999999999999	-0.031239999999999962	-0.03107999999999997	-0.032180000000000014	-0.03222	-0.031539999999999985	-0.03364	-0.031040000000000012	-0.028299999999999992	-0.032399999999999984	-0.03188000000000002	-0.032539999999999986
A03	-0.02142000000000001	-0.035960000000000006	-0.04121999999999999	-0.04519999999999999	-0.03834	-0.03519999999999998	-0.04185999999999998	-0.03569999999999998	-0.03731999999999999	-0.040440000000000004	-0.03996000000000002	-0.041260000000000005	-0.04442	-0.041520000000000015	-0.04607999999999998	-0.04654000000000001	-0.04459999999999999	-0.04674000000000002	-0.04433999999999998	-0.036860000000000004	-0.043839999999999976	-0.043300000000000005	-0.04053999999999999	-0.04552000000000003	-0.04025999999999999	-0.044319999999999984	-0.04396000000000001	-0.042340000000000017	-0.03916	-0.04573999999999999	-0.04568	-0.045840000000000006	-0.04958000000000001	-0.04528000000000003	-0.04704000000000001	-0.04572	-0.04496	-0.04592	-0.04052	-0.03926000000000002	-0.043140000000000026	-0.0441	-0.040940000000000004	-0.0435	-0.036400000000000016	-0.04285999999999998	-0.043800000000000006	-0.04181999999999998	-0.04207999999999999	-0.0432	-0.03831999999999999	-0.03852	-0.04189999999999998	-0.04234	-0.041380000000000014	-0.042380000000000015	-0.042919999999999986	-0.042339999999999975	-0.04554	-0.04104000000000002	-0.035400000000000015	-0.042599999999999985	-0.042279999999999984	-0.041539999999999994
A04	-0.020420000000000008	-0.038459999999999994	-0.04521999999999998	-0.0466	-0.04443999999999999	-0.043099999999999986	-0.044959999999999986	-0.04459999999999999	-0.042919999999999986	-0.04944000000000001	-0.04826000000000001	-0.044060000000000016	-0.046020000000000005	-0.046020000000000005	-0.04937999999999998	-0.04884000000000001	-0.04879999999999998	-0.04984000000000001	-0.045739999999999975	-0.041359999999999994	-0.04593999999999998	-0.045	-0.045139999999999986	-0.046220000000000025	-0.04335999999999998	-0.04491999999999999	-0.04486000000000001	-0.04204000000000001	-0.04406	-0.04583999999999999	-0.04468	-0.04574000000000002	-0.048380000000000006	-0.04478000000000003	-0.04624000000000002	-0.045219999999999996	-0.042859999999999995	-0.044020000000000004	-0.041819999999999996	-0.03956000000000001	-0.04224000000000003	-0.04390000000000001	-0.040440000000000004	-0.04329999999999999	-0.03820000000000001	-0.04135999999999998	-0.0432	-0.04051999999999999	-0.04228	-0.0422	-0.03852	-0.04271999999999998	-0.03949999999999998	-0.039840000000000014	-0.039080000000000004	-0.041880000000000014	-0.040919999999999984	-0.04113999999999997	-0.04384000000000002	-0.039740000000000025	-0.03740000000000002	-0.04029999999999999	-0.040879999999999986	-0.041139999999999996
A05	0.015960000000000016	-0.02271999999999999	-0.03020000000000002	-0.03586	-0.037119999999999986	-0.03362	-0.029299999999999993	-0.034499999999999975	-0.02976000000000001	-0.03423999999999999	-0.03362000000000001	-0.02506	-0.02682000000000001	-0.027139999999999997	-0.02975999999999998	-0.02892	-0.02789999999999998	-0.02868000000000001	-0.024699999999999972	-0.023659999999999987	-0.025040000000000007	-0.0247	-0.027600000000000013	-0.02374000000000004	-0.027219999999999994	-0.02529999999999999	-0.023799999999999988	-0.022540000000000004	-0.028219999999999967	-0.0257	-0.024260000000000004	-0.02422000000000002	-0.02658000000000002	-0.024499999999999994	-0.025480000000000003	-0.025219999999999992	-0.02398	-0.023900000000000005	-0.028000000000000025	-0.02629999999999999	-0.021720000000000017	-0.02310000000000001	-0.02099999999999999	-0.022919999999999996	-0.023859999999999992	-0.022059999999999996	-0.023320000000000007	-0.02257999999999999	-0.023899999999999977	-0.02262	-0.025520000000000015	-0.02887999999999999	-0.020879999999999982	-0.021999999999999992	-0.021600000000000008	-0.02367999999999998	-0.022299999999999986	-0.022739999999999982	-0.023160000000000014	-0.020419999999999994	-0.025260000000000005	-0.020819999999999977	-0.021860000000000046	-0.022539999999999977
A06	0.01741999999999999	0.003480000000000011	-0.011819999999999997	-0.01715999999999998	-0.01336000000000001	-0.012599999999999972	-0.0065599999999999825	-0.012699999999999989	-0.009960000000000024	-0.011800000000000005	-0.012719999999999981	-0.010079999999999978	-0.011020000000000002	-0.009339999999999987	-0.010720000000000007	-0.007880000000000026	-0.003599999999999992	-0.00491999999999998	-0.00136	0.0019399999999999973	0.00243999999999997	0.004660000000000025	0.005839999999999984	0.012799999999999978	0.012919999999999987	0.01751999999999998	0.02200000000000002	0.02642	0.02980000000000002	0.035040000000000016	0.03983999999999999	0.04424000000000003	0.049500000000000016	0.05820000000000003	0.06653999999999999	0.07255999999999999	0.08234	0.08986000000000002	0.09656	0.10738	0.12064	0.12700000000000003	0.13808000000000004	0.14664	0.16718000000000005	0.17035999999999998	0.17956000000000003	0.19272000000000003	0.20460000000000003	0.21471999999999997	0.23817999999999998	0.26086000000000004	0.27074	0.2919	0.29956000000000005	0.31674	0.33158	0.3578	0.3992	0.41608	0.45276000000000005	0.46196	0.49185999999999996	0.51388
A07	-0.015539999999999998	-0.050100000000000006	-0.05557999999999998	-0.056639999999999996	-0.058060000000000014	-0.05687999999999997	-0.05848000000000002	-0.057120000000000004	-0.053659999999999985	-0.058179999999999996	-0.056620000000000004	-0.0542	-0.05624000000000001	-0.057239999999999985	-0.05929999999999999	-0.05779999999999999	-0.055779999999999996	-0.05724	-0.05629999999999999	-0.05201999999999998	-0.05733999999999999	-0.05707999999999998	-0.05615999999999999	-0.05361999999999999	-0.05429999999999996	-0.05774	-0.05602	-0.05235999999999999	-0.05502000000000001	-0.05614000000000001	-0.05442000000000001	-0.05440000000000002	-0.05819999999999999	-0.05414000000000002	-0.056760000000000005	-0.05517999999999999	-0.05304000000000002	-0.05422000000000002	-0.05557999999999999	-0.053440000000000015	-0.049699999999999994	-0.052620000000000014	-0.048899999999999985	-0.050780000000000006	-0.04852000000000001	-0.05098	-0.05170000000000001	-0.05052000000000001	-0.051399999999999973	-0.05056000000000001	-0.051179999999999976	-0.052860000000000004	-0.049479999999999996	-0.04841999999999999	-0.04862000000000001	-0.049920000000000006	-0.04927999999999999	-0.04691999999999999	-0.04981999999999999	-0.047799999999999995	-0.048320000000000016	-0.04659999999999999	-0.0466	-0.048579999999999984
A08	-0.02073999999999998	-0.0421	-0.043380000000000016	-0.04714	-0.04516000000000002	-0.04678	-0.05268000000000002	-0.045920000000000016	-0.045259999999999995	-0.05027999999999999	-0.05091999999999999	-0.04799999999999999	-0.05094000000000001	-0.05003999999999999	-0.0527	-0.05149999999999999	-0.049879999999999994	-0.05134000000000001	-0.05249999999999999	-0.048719999999999986	-0.05294	-0.05077999999999998	-0.05225999999999999	-0.05041999999999999	-0.053200000000000025	-0.051640000000000005	-0.05112	-0.04845999999999999	-0.05232000000000002	-0.052140000000000006	-0.050420000000000006	-0.05150000000000002	-0.05529999999999999	-0.051540000000000016	-0.053860000000000005	-0.05317999999999999	-0.05024000000000002	-0.051520000000000024	-0.05448	-0.053440000000000015	-0.046299999999999994	-0.04792000000000002	-0.044899999999999995	-0.047380000000000005	-0.04812000000000001	-0.04888000000000001	-0.049500000000000016	-0.04572000000000001	-0.04799999999999997	-0.047560000000000005	-0.05067999999999999	-0.050460000000000005	-0.04588000000000003	-0.04491999999999999	-0.046320000000000014	-0.046020000000000005	-0.04587999999999999	-0.045319999999999985	-0.04831999999999999	-0.0455	-0.04762000000000001	-0.04469999999999999	-0.044700000000000004	-0.04577999999999999
A09	-0.0014199999999999907	-0.012700000000000003	-0.02009999999999998	-0.023739999999999983	-0.025540000000000007	-0.022759999999999975	-0.0252	-0.02711999999999999	-0.023580000000000004	-0.023059999999999997	-0.02446000000000001	-0.026039999999999994	-0.02786000000000001	-0.027660000000000004	-0.02866000000000002	-0.028359999999999996	-0.02617999999999998	-0.02775999999999998	-0.028679999999999983	-0.021080000000000015	-0.028820000000000012	-0.027879999999999988	-0.023039999999999977	-0.027239999999999973	-0.02617999999999998	-0.02725999999999998	-0.028499999999999998	-0.025339999999999988	-0.024640000000000023	-0.02936000000000001	-0.029139999999999985	-0.029960000000000014	-0.031100000000000003	-0.029339999999999977	-0.029799999999999993	-0.029740000000000003	-0.028179999999999997	-0.027359999999999995	-0.024900000000000005	-0.02321999999999999	-0.027080000000000007	-0.027819999999999998	-0.02325999999999999	-0.026859999999999995	-0.020179999999999976	-0.027599999999999986	-0.026319999999999996	-0.028340000000000018	-0.028120000000000006	-0.027900000000000036	-0.023620000000000002	-0.022740000000000038	-0.026780000000000026	-0.02632000000000001	-0.027339999999999975	-0.0257	-0.028160000000000004	-0.02704000000000001	-0.028739999999999988	-0.027700000000000002	-0.02095999999999998	-0.027499999999999983	-0.02699999999999997	-0.028560000000000016
A10	-0.015819999999999987	-0.01900000000000003	-0.021500000000000005	-0.02363999999999998	-0.023739999999999983	-0.022960000000000008	-0.02410000000000001	-0.025719999999999993	-0.02378000000000001	-0.026359999999999995	-0.02696000000000001	-0.026039999999999966	-0.026959999999999984	-0.028260000000000007	-0.029460000000000014	-0.028359999999999996	-0.026279999999999998	-0.026959999999999984	-0.028679999999999983	-0.025780000000000025	-0.028620000000000007	-0.026979999999999976	-0.028340000000000004	-0.027840000000000004	-0.03197999999999998	-0.026259999999999978	-0.026999999999999996	-0.024039999999999978	-0.028740000000000016	-0.02806	-0.027739999999999987	-0.027960000000000013	-0.029200000000000004	-0.026439999999999964	-0.028599999999999987	-0.027139999999999997	-0.025279999999999997	-0.02706	-0.031200000000000006	-0.02851999999999999	-0.02757999999999998	-0.02742	-0.025359999999999994	-0.026259999999999978	-0.026079999999999992	-0.028599999999999987	-0.027520000000000003	-0.02783999999999999	-0.02792	-0.02880000000000002	-0.029219999999999996	-0.029140000000000027	-0.027280000000000026	-0.026020000000000015	-0.027739999999999987	-0.02639999999999998	-0.028160000000000004	-0.02703999999999998	-0.028439999999999993	-0.027099999999999957	-0.027659999999999962	-0.02689999999999998	-0.026400000000000007	-0.027260000000000006
