	plateID	well	CONCuM	Summary
0	plate_1	A01	Leucine: 10 mM & Acetic acid: 0 mM	Negative control with leucine supplementation to ensure effects are specific to lysine.
1	plate_1	A02	Lysine: 10 mM & Acetic acid: 0 mM	High lysine supplementation at supraphysiological level without acetic acid treatment.
2	plate_1	A03	Lysine: 1 mM & Acetic acid: 0 mM	Low lysine supplementation at physiological level without acetic acid treatment.
3	plate_1	A04	None: 0 mM & Acetic acid: 0 mM	Baseline condition with no lysine supplementation and no acetic acid treatment.
4	plate_1	A05	Lysine: 10 mM & Acetic acid: 50 mM	High lysine supplementation with acetic acid treatment.
5	plate_1	A06	Media control	
6	plate_1	A07	Lysine: 10 mM & Acetic acid: 0 mM	High lysine supplementation at supraphysiological level without acetic acid treatment.
7	plate_1	A08	Lysine: 1 mM & Acetic acid: 50 mM	Low lysine supplementation with acetic acid treatment.
8	plate_1	A09	Lysine: 10 mM & Acetic acid: 50 mM	High lysine supplementation with acetic acid treatment.
9	plate_1	A10	None: 0 mM & Acetic acid: 0 mM	Baseline condition with no lysine supplementation and no acetic acid treatment.
10	plate_1	A11	None: 0 mM & Acetic acid: 50 mM	Acetic acid treatment without lysine supplementation.
11	plate_1	A12	Media control	
12	plate_1	B01	None: 0 mM & Acetic acid: 0 mM	Baseline condition with no lysine supplementation and no acetic acid treatment.
13	plate_1	B02	Lysine: 1 mM & Acetic acid: 0 mM	Low lysine supplementation at physiological level without acetic acid treatment.
14	plate_1	B03	None: 0 mM & Acetic acid: 0 mM	Baseline condition with no lysine supplementation and no acetic acid treatment.
15	plate_1	B04	None: 0 mM & Acetic acid: 50 mM	Acetic acid treatment without lysine supplementation.
16	plate_1	B05	Lysine: 1 mM & Acetic acid: 0 mM	Low lysine supplementation at physiological level without acetic acid treatment.
17	plate_1	B06	Lysine: 10 mM & Acetic acid: 0 mM	High lysine supplementation at supraphysiological level without acetic acid treatment.
18	plate_1	B07	Media control	
19	plate_1	B08	Lysine: 10 mM & Acetic acid: 0 mM	High lysine supplementation at supraphysiological level without acetic acid treatment.
20	plate_1	B09	Lysine: 1 mM & Acetic acid: 50 mM	Low lysine supplementation with acetic acid treatment.
21	plate_1	B10	Lysine: 10 mM & Acetic acid: 50 mM	High lysine supplementation with acetic acid treatment.
22	plate_1	B11	Leucine: 10 mM & Acetic acid: 0 mM	Negative control with leucine supplementation to ensure effects are specific to lysine.
23	plate_1	B12	Leucine: 10 mM & Acetic acid: 0 mM	Negative control with leucine supplementation to ensure effects are specific to lysine.
24	plate_1	C01	Lysine: 10 mM & Acetic acid: 50 mM	High lysine supplementation with acetic acid treatment.
25	plate_1	C02	Leucine: 10 mM & Acetic acid: 0 mM	Negative control with leucine supplementation to ensure effects are specific to lysine.
26	plate_1	C03	Media control	
27	plate_1	C04	Leucine: 10 mM & Acetic acid: 0 mM	Negative control with leucine supplementation to ensure effects are specific to lysine.
