	mu	AUC	MaxOD	Summary
A1	0.07746170351410715	11489.123211936443	0.30162501545165776	Growth with formic acid treatment without aminoadipate supplementation.
A2	0.0	612.1996358403403	0.0	Media control
A3	0.14995122449750642	43449.07151897707	1.704873461223382	Growth with low aminoadipate supplementation without formic acid treatment.
A4	0.12705695426865385	11866.984344122404	0.43131782597547186	Growth with high aminoadipate supplementation without formic acid treatment.
A5	0.23546765767241806	62848.84490218459	2.1796333333333306	Growth with proline supplementation without formic acid treatment.
A6	0.09898989174930531	1776.5955433754893	0.04475838876731526	Growth with high aminoadipate supplementation and formic acid treatment.
A7	0.24577426298920174	61949.28960499325	2.2023333333333333	Growth with proline supplementation without formic acid treatment.
A8	0.2370356845620398	55690.88570418995	1.99894913831761	Baseline growth without any supplementation or treatment.
A9	0.2501895270945778	53336.65796280669	2.0304333333333333	Growth with proline supplementation without formic acid treatment.
A10	0.0	803.5222544694086	0.0	Media control
A11	0.12850952775588917	4020.0657526842956	0.14663350630694216	Growth with proline supplementation and formic acid treatment.
A12	0.086779850614013	4950.058188951665	0.14510842356383713	Growth with low aminoadipate supplementation and formic acid treatment.
B1	0.12851983517628224	15876.932032111688	0.5816722724525379	Growth with high aminoadipate supplementation without formic acid treatment.
B2	0.1670298457654631	1689.3978925471183	0.03235284906569083	Growth with high aminoadipate supplementation and formic acid treatment.
B3	0.1582732348599257	15783.112391853829	0.733621347007023	Growth with formic acid treatment without aminoadipate supplementation.
B4	0.24693222756860128	57751.673209172266	2.013685700772111	Growth with proline supplementation without formic acid treatment.
B5	0.0	706.9	0.0	Media control
B6	0.13836197065699457	16348.003558351676	0.6839600763522069	Growth with proline supplementation and formic acid treatment.
B7	0.0	579.0679907463615	0.0	Media control
B8	0.13011736535439766	13626.306920828762	0.5355466982474499	Growth with high aminoadipate supplementation without formic acid treatment.
B9	0.15242141178793045	44508.492073016765	1.7255903293767147	Growth with low aminoadipate supplementation without formic acid treatment.
B10	0.10967473006889673	6264.0373721001315	0.21513947848298348	Growth with low aminoadipate supplementation and formic acid treatment.
B11	0.15971058143132877	10966.886558452583	0.5047027810834613	Growth with formic acid treatment without aminoadipate supplementation.
B12	0.23908687502171977	56301.61712167639	2.0477212457142686	Baseline growth without any supplementation or treatment.
C1	0.15191998383717	48698.53179931777	1.791124481791404	Growth with low aminoadipate supplementation without formic acid treatment.
C2	0.2433226964330433	64003.16409530963	2.121450355751491	Growth with proline supplementation without formic acid treatment.
C4	0.0	919.0530589218708	0.0	Media control
C5	0.14663705162121687	4021.2108002971836	0.17247879983751727	Growth with formic acid treatment without aminoadipate supplementation.
C6	0.09399398011900421	8534.588151766882	0.2811371939419365	Growth with low aminoadipate supplementation and formic acid treatment.
C7	0.12268166998028321	17845.181099667756	0.6623653452550974	Growth with high aminoadipate supplementation without formic acid treatment.
C8	0.0	720.0	0.0	Media control
C9	0.10254487369531061	6148.630522654873	0.19486581897963628	Growth with low aminoadipate supplementation and formic acid treatment.
C10	0.11643910730781663	14146.697163614834	0.48659618285388573	Growth with high aminoadipate supplementation without formic acid treatment.
C11	0.36049824744468023	3740.7207364253854	0.09023561407331365	Growth with high aminoadipate supplementation and formic acid treatment.
C12	0.1822871868185541	19107.50833335699	0.9935060434560847	Growth with proline supplementation and formic acid treatment.
D1	0.13572020317868771	17599.79175051094	0.7186047642069155	Growth with proline supplementation and formic acid treatment.
D2	0.11758267313371452	4277.599863647026	0.1165630675413573	Growth with low aminoadipate supplementation and formic acid treatment.
D3	0.0	720.0	0.0	Media control
D4	0.23675731699478186	61398.34382012112	2.2659000000002756	Baseline growth without any supplementation or treatment.
D5	0.23260529390537776	61154.6650607855	2.1942000000000723	Baseline growth without any supplementation or treatment.
D6	0.24324696314985486	57388.08791709864	2.1267276308929377	Growth with proline supplementation without formic acid treatment.
D7	0.14559033625200352	39056.52936125104	1.5805652888537842	Growth with low aminoadipate supplementation without formic acid treatment.
D8	0.5184142165887166	1495.1163369532276	0.03606215126275847	Growth with high aminoadipate supplementation and formic acid treatment.
D9	0.11918643422771487	10464.130866398058	0.3740824685765945	Growth with high aminoadipate supplementation without formic acid treatment.
D10	0.1539009012514299	10642.484911901805	0.4640279920476631	Growth with formic acid treatment without aminoadipate supplementation.
D11	0.0	401.47628732174945	0.0	Media control
D12	0.2496250580000777	2135.648175387615	0.05188273672097406	Growth with high aminoadipate supplementation and formic acid treatment.
E1	0.2227400095391908	4728.115914251916	0.09429918912031471	Growth with high aminoadipate supplementation and formic acid treatment.
E2	0.0	732.5834917824352	0.0	Media control
E3	0.16978437950967046	15077.00615336399	0.5238717491511526	Growth with high aminoadipate supplementation without formic acid treatment.
E4	0.12832955673550386	2854.5563698675564	0.09201849475261605	Growth with formic acid treatment without aminoadipate supplementation.
E6	0.23349429774509411	60298.40167354565	2.1505827205791714	Baseline growth without any supplementation or treatment.
E7	0.06891451163623558	9360.743772147987	0.2622643227825282	Growth with low aminoadipate supplementation and formic acid treatment.
E8	0.13566553396011963	15445.4805205876	0.6312149892744077	Growth with formic acid treatment without aminoadipate supplementation.
E9	0.2024888892714483	4523.549007684214	0.09298487806145664	Growth with high aminoadipate supplementation and formic acid treatment.
E10	0.23840770105710904	54312.557238029294	2.1229999999999998	Growth with proline supplementation without formic acid treatment.
E11	0.16545589319942117	43538.962583176835	1.7850999999999777	Growth with low aminoadipate supplementation without formic acid treatment.
E12	0.0	330.9036028162633	0.0	Media control
F1	0.08286019424043334	7256.255407637411	0.20943801061445044	Growth with low aminoadipate supplementation and formic acid treatment.
F2	0.10920206948736225	15427.232880558431	0.5261180861128939	Growth with high aminoadipate supplementation without formic acid treatment.
F3	0.1653813258530268	1278.1899736902553	0.028604888219554706	Growth with proline supplementation and formic acid treatment.
F4	0.0	720.0	0.0	Media control
F6	0.12991896794213134	5562.171555625669	0.1857062374814638	Growth with formic acid treatment without aminoadipate supplementation.
F7	0.2384308290363862	56569.48550890456	2.1476333333333333	Baseline growth without any supplementation or treatment.
F8	0.07114971184600173	4026.86850617311	0.11768145663926113	Growth with low aminoadipate supplementation and formic acid treatment.
F9	0.0	339.44781898555647	0.0	Media control
F10	0.20204166396278592	2573.9715978905433	0.05549598513552299	Growth with high aminoadipate supplementation and formic acid treatment.
G1	0.0	1325.471680691174	0.0	Media control
G2	0.237076474463091	63078.15516501879	2.2807666666666666	Baseline growth without any supplementation or treatment.
G3	0.07843919818427696	3408.1317367409906	0.10041598629093798	Growth with low aminoadipate supplementation and formic acid treatment.
G4	0.15085484039372446	10242.993994910275	0.45080454653130897	Growth with proline supplementation and formic acid treatment.
G6	0.15222388135188047	42377.988306078536	1.7294693685153277	Growth with low aminoadipate supplementation without formic acid treatment.
G7	0.21575218087443485	3930.9645235077155	0.08343062653044095	Growth with high aminoadipate supplementation and formic acid treatment.
G8	0.14443507453626786	3780.4205581941073	0.1547803186308263	Growth with proline supplementation and formic acid treatment.
G9	0.15697505452131613	11952.729454929475	0.5359008902113604	Growth with proline supplementation and formic acid treatment.
G10	0.0	695.54	0.0	Media control
G11	0.23234375390085188	48994.80486992639	2.0406	Growth with proline supplementation without formic acid treatment.
G12	1.0688194986836215	5109.065753464345	0.10865582267327317	Growth with formic acid treatment without aminoadipate supplementation.
H1	0.23992767013692826	53133.95872611842	2.0918666666666663	Baseline growth without any supplementation or treatment.
H2	0.1364924123782222	45423.2641380175	1.7980000000000413	Growth with low aminoadipate supplementation without formic acid treatment.
H3	0.477636225334261	3157.879960779138	0.06414349720773034	Growth with high aminoadipate supplementation and formic acid treatment.
H5	0.09443526094955386	5805.741817894642	0.193980046135377	Growth with low aminoadipate supplementation and formic acid treatment.
H6	0.0	546.0373228025096	0.0	Media control
H7	0.1611534022566847	13711.737345454412	0.6477951668465658	Growth with proline supplementation and formic acid treatment.
H8	0.24776678224453683	51511.826699520534	2.1207333333333334	Growth with proline supplementation without formic acid treatment.
H9	0.15200257711809365	11853.948443505587	0.5067927668406362	Growth with formic acid treatment without aminoadipate supplementation.
H11	0.0	344.67795182984423	0.0	Media control
H12	0.14930994097835515	13824.428022473834	0.4945091128706832	Growth with high aminoadipate supplementation without formic acid treatment.
