	plateID	well	CONCuM	Summary
0	plate_1	A01	None: 0 mM & Lithium Chloride: 0.1 M	Growth with lithium chloride treatment without arginine supplementation.
1	plate_1	A02	Media control	
2	plate_1	A03	Arginine: 0.5 mM & Lithium Chloride: 0 mM	Growth with physiological level of arginine supplementation.
3	plate_1	A04	Arginine: 5 mM & Lithium Chloride: 0 mM	Growth with supraphysiological level of arginine supplementation.
4	plate_1	A05	Alanine: 5 mM & Lithium Chloride: 0 mM	Growth with alanine supplementation as a negative control.
5	plate_1	A06	Arginine: 5 mM & Lithium Chloride: 0.1 M	Growth with supraphysiological level of arginine and lithium chloride treatment.
6	plate_1	A07	Alanine: 5 mM & Lithium Chloride: 0 mM	Growth with alanine supplementation as a negative control.
7	plate_1	A08	None: 0 mM & Lithium Chloride: 0 mM	Baseline growth without any supplementation or treatment.
8	plate_1	A09	Alanine: 5 mM & Lithium Chloride: 0 mM	Growth with alanine supplementation as a negative control.
9	plate_1	A10	Media control	
10	plate_1	A11	Alanine: 5 mM & Lithium Chloride: 0.1 M	Growth with alanine supplementation and lithium chloride treatment as a negative control.
11	plate_1	A12	Arginine: 0.5 mM & Lithium Chloride: 0.1 M	Growth with physiological level of arginine and lithium chloride treatment.
12	plate_1	B01	Arginine: 5 mM & Lithium Chloride: 0 mM	Growth with supraphysiological level of arginine supplementation.
13	plate_1	B02	Arginine: 5 mM & Lithium Chloride: 0.1 M	Growth with supraphysiological level of arginine and lithium chloride treatment.
14	plate_1	B03	None: 0 mM & Lithium Chloride: 0.1 M	Growth with lithium chloride treatment without arginine supplementation.
15	plate_1	B04	Alanine: 5 mM & Lithium Chloride: 0 mM	Growth with alanine supplementation as a negative control.
16	plate_1	B05	Media control	
17	plate_1	B06	Alanine: 5 mM & Lithium Chloride: 0.1 M	Growth with alanine supplementation and lithium chloride treatment as a negative control.
18	plate_1	B07	Media control	
19	plate_1	B08	Arginine: 5 mM & Lithium Chloride: 0 mM	Growth with supraphysiological level of arginine supplementation.
20	plate_1	B09	Arginine: 0.5 mM & Lithium Chloride: 0 mM	Growth with physiological level of arginine supplementation.
21	plate_1	B10	Arginine: 0.5 mM & Lithium Chloride: 0.1 M	Growth with physiological level of arginine and lithium chloride treatment.
22	plate_1	B11	None: 0 mM & Lithium Chloride: 0.1 M	Growth with lithium chloride treatment without arginine supplementation.
23	plate_1	B12	None: 0 mM & Lithium Chloride: 0 mM	Baseline growth without any supplementation or treatment.
24	plate_1	C01	Arginine: 0.5 mM & Lithium Chloride: 0 mM	Growth with physiological level of arginine supplementation.
25	plate_1	C02	Alanine: 5 mM & Lithium Chloride: 0 mM	Growth with alanine supplementation as a negative control.
26	plate_1	C03	None: 0 mM & Lithium Chloride: 0 mM	Baseline growth without any supplementation or treatment.
27	plate_1	C04	Media control	
28	plate_1	C05	None: 0 mM & Lithium Chloride: 0.1 M	Growth with lithium chloride treatment without arginine supplementation.
29	plate_1	C06	Arginine: 0.5 mM & Lithium Chloride: 0.1 M	Growth with physiological level of arginine and lithium chloride treatment.
30	plate_1	C07	Arginine: 5 mM & Lithium Chloride: 0 mM	Growth with supraphysiological level of arginine supplementation.
31	plate_1	C08	Media control	
32	plate_1	C09	Arginine: 0.5 mM & Lithium Chloride: 0.1 M	Growth with physiological level of arginine and lithium chloride treatment.
33	plate_1	C10	Arginine: 5 mM & Lithium Chloride: 0 mM	Growth with supraphysiological level of arginine supplementation.
34	plate_1	C11	Arginine: 5 mM & Lithium Chloride: 0.1 M	Growth with supraphysiological level of arginine and lithium chloride treatment.
35	plate_1	C12	Alanine: 5 mM & Lithium Chloride: 0.1 M	Growth with alanine supplementation and lithium chloride treatment as a negative control.
36	plate_1	D01	Alanine: 5 mM & Lithium Chloride: 0.1 M	Growth with alanine supplementation and lithium chloride treatment as a negative control.
37	plate_1	D02	Arginine: 0.5 mM & Lithium Chloride: 0.1 M	Growth with physiological level of arginine and lithium chloride treatment.
38	plate_1	D03	Media control	
39	plate_1	D04	None: 0 mM & Lithium Chloride: 0 mM	Baseline growth without any supplementation or treatment.
