well	0	1200	2400	3600	4800	6000	7200	8400	9600	10800	12000	13200	14400	15600	16800	18000	19200	20400	21600	22800	24000	25200	26400	27600	28800	30000	31200	32400	33600	34800	36000	37200	38400	39600	40800	42000	43200	44400	45600	46800	48000	49200	50400	51600	52800	54000	55200	56400	57600	58800	60000	61200	62400	63600	64800	66000	67200	68400	69600	70800	72000	Summary
A1	0.02706	0.04278000000000001	0.05264000000000002	0.05399999999999999	0.06678	0.06982	0.05857999999999999	0.06381999999999999	0.07364000000000001	0.07802	0.09346000000000002	0.07648000000000002	0.07858000000000001	0.09112	0.096	0.09112	0.09114	0.09698000000000001	0.09126000000000001	0.0975	0.10720000000000002	0.10766	0.11407999999999999	0.11527999999999997	0.13195999999999997	0.12230000000000002	0.12863999999999995	0.15004	0.15048	0.1607	0.16070000000000004	0.1701	0.17384	0.17035999999999996	0.18612	0.1903	0.19634000000000001	0.18236	0.20049999999999998	0.20296	0.21166000000000001	0.22552	0.22445999999999997	0.23242000000000002	0.23154000000000002	0.23634000000000005	0.23434	0.24044	0.24780000000000002	0.26094	0.26822	0.27434000000000003	0.27162000000000003	0.27196	0.28754	0.2788	0.29824	0.28800000000000003	0.30892	0.31767999999999996	0.30033999999999994	Growth with lithium chloride treatment without arginine supplementation.
A3	0.08892	0.08843999999999999	0.10228000000000004	0.10958000000000001	0.08014000000000002	0.08102000000000001	0.09366000000000002	0.08126	0.10346	0.12318000000000001	0.09026000000000003	0.10960000000000003	0.13424000000000003	0.1309	0.16203999999999996	0.15900000000000003	0.17414	0.17997999999999997	0.22612000000000002	0.23784	0.25944	0.28986	0.30776000000000003	0.33634	0.37740000000000007	0.41831999999999997	0.44826	0.48347999999999997	0.52856	0.5656599999999999	0.60124	0.6754	0.7373799999999999	0.81172	0.8609799999999999	0.92506	1.00868	1.08512	1.12124	1.1715	1.27936	1.3245200000000001	1.3847	1.42448	1.49146	1.51812	1.5743	1.5762	1.6669399999999999	1.7174200000000002	1.77102	1.8213	1.77532	1.8499399999999997	1.86086	1.8826	1.92038	2.0558400000000003	2.05374	2.0884	2.1070800000000003	Growth with physiological level of arginine supplementation.
A4	0.07948000000000001	0.07407999999999998	0.09132000000000001	0.09616	0.09445999999999999	0.09117999999999998	0.07428000000000001	0.09442	0.10187999999999997	0.08934	0.07328000000000001	0.10022	0.12470000000000003	0.11226	0.12357999999999997	0.12396000000000001	0.13118	0.13873999999999997	0.15595999999999996	0.15708000000000003	0.195	0.20584	0.22274000000000002	0.24414000000000002	0.26994	0.27548000000000006	0.3023	0.3506	0.38070000000000004	0.41428	0.44709999999999994	0.4952	0.5413	0.5371	0.63126	0.6841999999999999	0.74834	0.7654799999999999	0.8711399999999999	0.9209400000000001	1.0036800000000001	1.06238	1.13378	1.20334	1.26	1.3313	1.36004	1.42714	1.52306	1.5861	1.6585	1.68386	1.76172	1.75592	1.83812	1.8593799999999998	1.9581199999999999	1.97848	1.9684799999999998	2.05632	2.0805800000000003	Growth with supraphysiological level of arginine supplementation.
A6	0.04362000000000002	0.03844	0.08713999999999997	0.04235999999999998	0.05064000000000002	0.06919999999999998	0.05843999999999999	0.04577999999999999	0.04534000000000002	0.06087999999999999	0.07200000000000001	0.05027999999999999	0.06586	0.07495999999999997	0.08168	0.06803999999999999	0.06942000000000001	0.07169999999999999	0.06854000000000002	0.08558000000000004	0.07182000000000002	0.07385999999999998	0.07701999999999998	0.08346	0.08231999999999998	0.08712000000000003	0.08607999999999996	0.09258	0.09072	0.09638000000000002	0.09157999999999997	0.10287999999999997	0.10347999999999999	0.10135999999999998	0.10714000000000001	0.10628000000000001	0.12042000000000003	0.12079999999999999	0.12699999999999997	0.11742	0.13527999999999998	0.13444	0.14028000000000002	0.14270000000000005	0.1432	0.15498	0.15990000000000004	0.16177999999999998	0.17429999999999998	0.17656000000000002	0.18309999999999998	0.18963999999999998	0.18598	0.19624000000000003	0.20666	0.21176	0.21880000000000002	0.22798000000000002	0.22156	0.22934	0.23673999999999998	Growth with supraphysiological level of arginine and lithium chloride treatment.
A7	0.06722	0.039640000000000036	0.04813999999999996	0.051659999999999984	0.034139999999999976	0.03749999999999998	0.03234000000000001	0.050580000000000014	0.05254	0.07158	0.08810000000000001	0.06917999999999999	0.07955999999999999	0.10606000000000004	0.11437999999999995	0.12014	0.13542	0.13770000000000002	0.16244	0.17598000000000003	0.18681999999999996	0.21135999999999994	0.21802	0.24146	0.25282	0.29662	0.31448	0.33408	0.34931999999999996	0.37898	0.40268000000000004	0.44007999999999997	0.48758	0.54006	0.5717399999999999	0.61428	0.66422	0.7405	0.7892	0.83192	0.9024800000000001	0.9589400000000001	1.0336800000000002	1.0973000000000002	1.169	1.21858	1.3454	1.32688	1.4281	1.49556	1.5481	1.58124	1.6629800000000001	1.70854	1.7949599999999999	1.81216	1.8299	1.92328	1.87876	1.9234400000000003	2.0311399999999997	Growth with alanine supplementation as a negative control.
A8	0.06467999999999999	0.04742000000000002	0.03837999999999997	0.04822000000000004	0.046259999999999996	0.06364	0.059380000000000016	0.07752000000000003	0.07075999999999999	0.09020000000000003	0.11259999999999998	0.10419999999999999	0.1159	0.14076	0.1488	0.15760000000000002	0.17808000000000002	0.19342	0.22396	0.23768000000000003	0.25448	0.28658	0.30404000000000003	0.34024	0.35054	0.39516000000000007	0.42855999999999994	0.46572	0.48868	0.5430200000000001	0.5883999999999999	0.6464	0.7002599999999999	0.75628	0.8137000000000001	0.8698	0.95478	1.02292	1.09584	1.1581400000000002	1.2337	1.27034	1.37442	1.43118	1.50454	1.54176	1.6014599999999999	1.62016	1.71478	1.773	1.8009	1.8227799999999998	1.93756	1.93628	2.03496	2.0138599999999998	2.04504	2.09822	2.1015400000000004	2.1479	2.27794	Baseline growth without any supplementation or treatment.
A9	0.04468	0.021320000000000006	0.021779999999999966	0.03021999999999997	0.019559999999999994	0.047839999999999994	0.03748000000000001	0.034519999999999995	0.05986	0.05980000000000002	0.07120000000000001	0.05579999999999999	0.08130000000000001	0.08895999999999998	0.10090000000000002	0.0922	0.10188000000000003	0.11422000000000002	0.11146	0.12058000000000002	0.16978000000000001	0.19138	0.19304	0.21694	0.23164	0.21725999999999998	0.23375999999999997	0.28942	0.30528	0.33612000000000003	0.36729999999999996	0.404	0.42326	0.40388	0.5061	0.5378999999999999	0.58578	0.5473199999999999	0.6730400000000001	0.70604	0.7637	0.8140400000000001	0.8949199999999999	0.93688	0.98714	1.06516	1.02446	1.17086	1.26278	1.3286	1.3904	1.4314799999999999	1.54066	1.4946799999999998	1.64346	1.63076	1.74894	1.71272	1.81454	1.9113	1.90864	Growth with alanine supplementation as a negative control.
A10	0.015059999999999976	0.0	0.003039999999999987	0.0	0.0	0.007599999999999996	0.0	0.0	0.0029599999999999904	0.0026400000000000035	0.024760000000000004	0.0	0.0023799999999999932	0.0	0.003700000000000009	0.014779999999999988	0.0	0.0	0.0	0.0	0.015380000000000005	0.01038	0.00940000000000002	0.0	0.009899999999999992	0.004640000000000005	0.020219999999999988	0.0038799999999999946	0.0	0.017960000000000004	0.011279999999999984	0.016660000000000008	0.00949999999999998	0.0011599999999999666	0.008179999999999993	0.013080000000000008	0.0	0.011200000000000015	0.001700000000000007	0.007220000000000004	0.0	0.007359999999999978	0.0	0.0	0.0	0.0	0.009780000000000011	0.0013000000000000234	0.0	0.00837999999999997	0.005819999999999992	0.0011599999999999944	0.006239999999999968	0.002119999999999983	0.005940000000000001	0.0043400000000000105	0.0	0.0036400000000000043	0.020320000000000005	0.01532	0.0	Media control
A12	0.04526000000000002	0.023160000000000014	0.02374000000000001	0.03741999999999998	0.030299999999999966	0.035999999999999976	0.03249999999999997	0.030200000000000005	0.03805999999999998	0.05643999999999999	0.06125999999999998	0.03974	0.05737999999999999	0.045880000000000004	0.05449999999999999	0.04968	0.04633999999999999	0.05273999999999998	0.07108	0.05629999999999999	0.07758000000000001	0.07778000000000002	0.08150000000000002	0.08086000000000002	0.07610000000000003	0.08003999999999997	0.09242000000000003	0.07427999999999998	0.08328000000000002	0.09535999999999997	0.08798	0.09326000000000001	0.09959999999999997	0.11226	0.11338000000000001	0.10788	0.11806	0.1296	0.1308	0.11941999999999997	0.10948	0.12236	0.12513999999999997	0.13634000000000002	0.13330000000000003	0.14492	0.14797999999999997	0.1509	0.15946	0.15758	0.16192	0.17266	0.17773999999999995	0.19171999999999997	0.18614000000000003	0.21074	0.19824	0.22924000000000005	0.21462000000000003	0.21811999999999998	0.23706	Growth with physiological level of arginine and lithium chloride treatment.
B1	0.049960000000000004	0.05648000000000003	0.059340000000000004	0.07119999999999999	0.05548	0.05631999999999998	0.058380000000000015	0.05842	0.05794000000000002	0.07382	0.08736	0.08898	0.09437999999999999	0.11332	0.11000000000000001	0.11841999999999997	0.11643999999999999	0.12888	0.12525999999999998	0.1408	0.17010000000000003	0.18395999999999998	0.20248	0.21788	0.24556	0.256	0.27313999999999994	0.31944	0.34428000000000003	0.38259999999999994	0.40859999999999996	0.44419999999999993	0.48494	0.5088600000000001	0.57182	0.6215	0.66864	0.70916	0.7821	0.83846	0.8935599999999999	0.9556199999999999	1.02616	1.08912	1.14954	1.21414	1.27554	1.33374	1.4026999999999998	1.47084	1.53272	1.60334	1.6166200000000002	1.63816	1.7433400000000001	1.7393999999999998	1.7982399999999998	1.8226	1.8658200000000003	1.9176799999999998	1.9986399999999998	Growth with supraphysiological level of arginine supplementation.
