	mu	AUC	MaxOD	Summary
A1	0.24663169408628802	42025.05084684308	2.016172447737982	Growth with valine supplementation without hyperosmotic stress.
A3	0.24997836102335202	45316.770363212425	2.059058144383954	Growth with physiological lysine supplementation without hyperosmotic stress.
A4	0.2721501576469844	15786.843305433733	1.107456205032884	Growth with supraphysiological lysine supplementation without hyperosmotic stress.
A5	0.30523372707162894	5810.624777494813	0.48508679059508425	Growth with supraphysiological lysine supplementation under hyperosmotic stress.
A6	0.24490261315355977	11246.538644076463	0.7637390956122574	Growth with physiological lysine supplementation under hyperosmotic stress.
A7	0.23865901917636997	7054.819231213103	0.5018852045233937	Growth with supraphysiological lysine supplementation under hyperosmotic stress.
A8	0.25738563135501547	44984.5263507539	2.0370537976518692	Baseline growth without any supplementation or hyperosmotic stress.
A9	0.2625766844935737	7948.442515447599	0.6044417917806424	Growth with supraphysiological lysine supplementation under hyperosmotic stress.
A10	0.0	945.5057911353293	0.0	Media control
A11	0.3035407384851553	7539.939809695237	0.43127667164620176	Growth with valine supplementation under hyperosmotic stress.
A12	0.25804488816726373	5691.565498593168	0.406978481271285	Growth under hyperosmotic stress without any supplementation.
B1	0.254948439514194	27696.45348202517	1.344850667734101	Growth with supraphysiological lysine supplementation without hyperosmotic stress.
B2	0.22322793493844204	11986.787952309549	0.7759945767197367	Growth with physiological lysine supplementation under hyperosmotic stress.
B3	0.261378945098304	47879.65399123887	2.1287605502243228	Growth with valine supplementation without hyperosmotic stress.
B4	0.32596050122052844	7281.0053775028055	0.6354789020948788	Growth with supraphysiological lysine supplementation under hyperosmotic stress.
B5	0.0	711.9257926309499	0.0	Media control
B6	0.451108730214042	12868.84199187501	1.6969999999999998	Growth with valine supplementation under hyperosmotic stress.
B7	0.0	1240.9505318473514	0.0	Media control
B8	0.25863023171186933	20349.66107722391	1.3199672936821647	Growth with supraphysiological lysine supplementation without hyperosmotic stress.
B9	0.25493095445676683	46256.22346643791	2.0683840057778484	Growth with physiological lysine supplementation without hyperosmotic stress.
B10	0.4266850093951513	7965.86061521499	0.5178044286867525	Growth under hyperosmotic stress without any supplementation.
B11	0.24896917189628848	36550.39143141147	1.8107584029426569	Growth with valine supplementation without hyperosmotic stress.
C1	0.8478871643433518	58505.19338345661	2.2464016069678427	Growth with physiological lysine supplementation without hyperosmotic stress.
C3	0.2513012392089638	48143.28668900043	2.0406724602224435	Baseline growth without any supplementation or hyperosmotic stress.
C4	0.0	543.3020317027883	0.0	Media control
C5	0.2636656138778059	52424.43330940742	2.1609923903080523	Growth with valine supplementation without hyperosmotic stress.
C6	0.34065211680741697	7311.667654108086	0.5090939354483055	Growth under hyperosmotic stress without any supplementation.
C7	0.24193053728157443	22067.14072459607	1.4377384179764303	Growth with supraphysiological lysine supplementation without hyperosmotic stress.
C8	0.0	741.3399999999999	0.0	Media control
C10	0.251673590235446	32602.64900921334	1.7585188149790618	Growth with supraphysiological lysine supplementation without hyperosmotic stress.
C11	0.516389631759802	9669.957373229467	0.5827351016877389	Growth with physiological lysine supplementation under hyperosmotic stress.
C12	0.42239984642194817	9798.84742121184	0.5979583370694226	Growth with valine supplementation under hyperosmotic stress.
D1	0.2414572650328319	13144.974291151973	1.7056	Growth with valine supplementation under hyperosmotic stress.
D3	0.0	678.4399999999996	0.0	Media control
D5	0.24155052122528903	43303.05075064631	2.0415374158136266	Baseline growth without any supplementation or hyperosmotic stress.
D7	0.25716757233490006	47749.466699514145	2.068253774554273	Growth with physiological lysine supplementation without hyperosmotic stress.
D8	0.3919146205539369	5267.715747705196	0.3409104749326571	Growth with physiological lysine supplementation under hyperosmotic stress.
D10	0.2416408008604575	50340.833318997604	2.143566666666723	Growth with valine supplementation without hyperosmotic stress.
D11	0.0	687.4400000000006	0.0	Media control
E1	0.24733735722682776	9043.57600979252	0.6201587726382876	Growth with physiological lysine supplementation under hyperosmotic stress.
E2	0.0	1076.4806974683424	0.0	Media control
