	plateID	well	CONCuM	Summary
0	plate_1	A01	Lysine: 1 mM & Acetic acid: 20 mM	1 mM lysine supplementation with 20 mM acetic acid treatment.
1	plate_1	A02	Media control	
2	plate_1	A03	None: 0 mM & Acetic acid: 20 mM	No lysine supplementation, treated with 20 mM acetic acid.
3	plate_1	A04	Lysine: 1 mM & Acetic acid: 0 mM	1 mM lysine supplementation, no acetic acid treatment.
4	plate_1	A05	Leucine: 10 mM & Acetic acid: 0 mM	10 mM leucine supplementation, no acetic acid treatment.
5	plate_1	A06	Lysine: 10 mM & Acetic acid: 20 mM	10 mM lysine supplementation with 20 mM acetic acid treatment.
6	plate_1	A07	Leucine: 10 mM & Acetic acid: 0 mM	10 mM leucine supplementation, no acetic acid treatment.
7	plate_1	A08	None: 0 mM & Acetic acid: 0 mM	No lysine or acetic acid supplementation, baseline growth measurement.
8	plate_1	A09	Leucine: 10 mM & Acetic acid: 0 mM	10 mM leucine supplementation, no acetic acid treatment.
9	plate_1	A10	Media control	
10	plate_1	A11	Leucine: 10 mM & Acetic acid: 20 mM	10 mM leucine supplementation with 20 mM acetic acid treatment.
11	plate_1	A12	Lysine: 10 mM & Acetic acid: 0 mM	10 mM lysine supplementation, no acetic acid treatment.
12	plate_1	B01	Lysine: 1 mM & Acetic acid: 0 mM	1 mM lysine supplementation, no acetic acid treatment.
13	plate_1	B02	Lysine: 10 mM & Acetic acid: 20 mM	10 mM lysine supplementation with 20 mM acetic acid treatment.
14	plate_1	B03	Lysine: 1 mM & Acetic acid: 20 mM	1 mM lysine supplementation with 20 mM acetic acid treatment.
15	plate_1	B04	Leucine: 10 mM & Acetic acid: 0 mM	10 mM leucine supplementation, no acetic acid treatment.
16	plate_1	B05	Media control	
17	plate_1	B06	Leucine: 10 mM & Acetic acid: 20 mM	10 mM leucine supplementation with 20 mM acetic acid treatment.
18	plate_1	B07	Media control	
19	plate_1	B08	Lysine: 1 mM & Acetic acid: 0 mM	1 mM lysine supplementation, no acetic acid treatment.
20	plate_1	B09	None: 0 mM & Acetic acid: 20 mM	No lysine supplementation, treated with 20 mM acetic acid.
21	plate_1	B10	Lysine: 10 mM & Acetic acid: 0 mM	10 mM lysine supplementation, no acetic acid treatment.
22	plate_1	B11	Lysine: 1 mM & Acetic acid: 20 mM	1 mM lysine supplementation with 20 mM acetic acid treatment.
23	plate_1	B12	None: 0 mM & Acetic acid: 0 mM	No lysine or acetic acid supplementation, baseline growth measurement.
24	plate_1	C01	None: 0 mM & Acetic acid: 20 mM	No lysine supplementation, treated with 20 mM acetic acid.
25	plate_1	C02	Leucine: 10 mM & Acetic acid: 0 mM	10 mM leucine supplementation, no acetic acid treatment.
26	plate_1	C03	None: 0 mM & Acetic acid: 0 mM	No lysine or acetic acid supplementation, baseline growth measurement.
27	plate_1	C04	Media control	
28	plate_1	C05	Lysine: 1 mM & Acetic acid: 20 mM	1 mM lysine supplementation with 20 mM acetic acid treatment.
29	plate_1	C06	Lysine: 10 mM & Acetic acid: 0 mM	10 mM lysine supplementation, no acetic acid treatment.
30	plate_1	C07	Lysine: 1 mM & Acetic acid: 0 mM	1 mM lysine supplementation, no acetic acid treatment.
31	plate_1	C08	Media control	
32	plate_1	C09	Lysine: 10 mM & Acetic acid: 0 mM	10 mM lysine supplementation, no acetic acid treatment.
33	plate_1	C10	Lysine: 1 mM & Acetic acid: 0 mM	1 mM lysine supplementation, no acetic acid treatment.
34	plate_1	C11	Lysine: 10 mM & Acetic acid: 20 mM	10 mM lysine supplementation with 20 mM acetic acid treatment.
35	plate_1	C12	Leucine: 10 mM & Acetic acid: 20 mM	10 mM leucine supplementation with 20 mM acetic acid treatment.
36	plate_1	D01	Leucine: 10 mM & Acetic acid: 20 mM	10 mM leucine supplementation with 20 mM acetic acid treatment.
37	plate_1	D02	Lysine: 10 mM & Acetic acid: 0 mM	10 mM lysine supplementation, no acetic acid treatment.
38	plate_1	D03	Media control	
39	plate_1	D04	None: 0 mM & Acetic acid: 0 mM	No lysine or acetic acid supplementation, baseline growth measurement.
40	plate_1	D05	None: 0 mM & Acetic acid: 0 mM	No lysine or acetic acid supplementation, baseline growth measurement.
41	plate_1	D06	Leucine: 10 mM & Acetic acid: 0 mM	10 mM leucine supplementation, no acetic acid treatment.
42	plate_1	D07	None: 0 mM & Acetic acid: 20 mM	No lysine supplementation, treated with 20 mM acetic acid.
43	plate_1	D08	Lysine: 10 mM & Acetic acid: 20 mM	10 mM lysine supplementation with 20 mM acetic acid treatment.
44	plate_1	D09	Lysine: 1 mM & Acetic acid: 0 mM	1 mM lysine supplementation, no acetic acid treatment.
45	plate_1	D10	Lysine: 1 mM & Acetic acid: 20 mM	1 mM lysine supplementation with 20 mM acetic acid treatment.
46	plate_1	D11	Media control	
47	plate_1	D12	Lysine: 10 mM & Acetic acid: 20 mM	10 mM lysine supplementation with 20 mM acetic acid treatment.
48	plate_1	E01	Lysine: 10 mM & Acetic acid: 20 mM	10 mM lysine supplementation with 20 mM acetic acid treatment.
49	plate_1	E02	Media control	
50	plate_1	E03	Lysine: 1 mM & Acetic acid: 0 mM	1 mM lysine supplementation, no acetic acid treatment.
51	plate_1	E04	Lysine: 1 mM & Acetic acid: 20 mM	1 mM lysine supplementation with 20 mM acetic acid treatment.
52	plate_1	E05	Leucine: 10 mM & Acetic acid: 20 mM	10 mM leucine supplementation with 20 mM acetic acid treatment.
53	plate_1	E06	None: 0 mM & Acetic acid: 0 mM	No lysine or acetic acid supplementation, baseline growth measurement.
54	plate_1	E07	Lysine: 10 mM & Acetic acid: 0 mM	10 mM lysine supplementation, no acetic acid treatment.
55	plate_1	E08	Lysine: 1 mM & Acetic acid: 20 mM	1 mM lysine supplementation with 20 mM acetic acid treatment.
56	plate_1	E09	Lysine: 10 mM & Acetic acid: 20 mM	10 mM lysine supplementation with 20 mM acetic acid treatment.
57	plate_1	E10	Leucine: 10 mM & Acetic acid: 0 mM	10 mM leucine supplementation, no acetic acid treatment.
58	plate_1	E11	None: 0 mM & Acetic acid: 20 mM	No lysine supplementation, treated with 20 mM acetic acid.
59	plate_1	E12	Media control	
60	plate_1	F01	Lysine: 10 mM & Acetic acid: 0 mM	10 mM lysine supplementation, no acetic acid treatment.
61	plate_1	F02	Lysine: 1 mM & Acetic acid: 0 mM	1 mM lysine supplementation, no acetic acid treatment.
62	plate_1	F03	Leucine: 10 mM & Acetic acid: 20 mM	10 mM leucine supplementation with 20 mM acetic acid treatment.
63	plate_1	F04	Media control	
64	plate_1	F05	None: 0 mM & Acetic acid: 20 mM	No lysine supplementation, treated with 20 mM acetic acid.
65	plate_1	F06	Lysine: 1 mM & Acetic acid: 20 mM	1 mM lysine supplementation with 20 mM acetic acid treatment.
66	plate_1	F07	None: 0 mM & Acetic acid: 0 mM	No lysine or acetic acid supplementation, baseline growth measurement.
67	plate_1	F08	Lysine: 10 mM & Acetic acid: 0 mM	10 mM lysine supplementation, no acetic acid treatment.
68	plate_1	F09	Media control	
69	plate_1	F10	Lysine: 10 mM & Acetic acid: 20 mM	10 mM lysine supplementation with 20 mM acetic acid treatment.
70	plate_1	F11	None: 0 mM & Acetic acid: 0 mM	No lysine or acetic acid supplementation, baseline growth measurement.
71	plate_1	F12	Leucine: 10 mM & Acetic acid: 0 mM	10 mM leucine supplementation, no acetic acid treatment.
72	plate_1	G01	Media control	
73	plate_1	G02	None: 0 mM & Acetic acid: 0 mM	No lysine or acetic acid supplementation, baseline growth measurement.
74	plate_1	G03	Lysine: 10 mM & Acetic acid: 0 mM	10 mM lysine supplementation, no acetic acid treatment.
75	plate_1	G04	Leucine: 10 mM & Acetic acid: 20 mM	10 mM leucine supplementation with 20 mM acetic acid treatment.
76	plate_1	G05	Lysine: 1 mM & Acetic acid: 0 mM	1 mM lysine supplementation, no acetic acid treatment.
77	plate_1	G06	None: 0 mM & Acetic acid: 20 mM	No lysine supplementation, treated with 20 mM acetic acid.
78	plate_1	G07	Lysine: 10 mM & Acetic acid: 20 mM	10 mM lysine supplementation with 20 mM acetic acid treatment.
79	plate_1	G08	Leucine: 10 mM & Acetic acid: 20 mM	10 mM leucine supplementation with 20 mM acetic acid treatment.
80	plate_1	G09	Leucine: 10 mM & Acetic acid: 20 mM	10 mM leucine supplementation with 20 mM acetic acid treatment.
81	plate_1	G10	Media control	
82	plate_1	G11	Leucine: 10 mM & Acetic acid: 0 mM	10 mM leucine supplementation, no acetic acid treatment.
83	plate_1	G12	Lysine: 1 mM & Acetic acid: 20 mM	1 mM lysine supplementation with 20 mM acetic acid treatment.
84	plate_1	H01	None: 0 mM & Acetic acid: 0 mM	No lysine or acetic acid supplementation, baseline growth measurement.
85	plate_1	H02	None: 0 mM & Acetic acid: 20 mM	No lysine supplementation, treated with 20 mM acetic acid.
86	plate_1	H03	Lysine: 10 mM & Acetic acid: 20 mM	10 mM lysine supplementation with 20 mM acetic acid treatment.
87	plate_1	H04	None: 0 mM & Acetic acid: 20 mM	No lysine supplementation, treated with 20 mM acetic acid.
88	plate_1	H05	Lysine: 10 mM & Acetic acid: 0 mM	10 mM lysine supplementation, no acetic acid treatment.
89	plate_1	H06	Media control	
90	plate_1	H07	Leucine: 10 mM & Acetic acid: 20 mM	10 mM leucine supplementation with 20 mM acetic acid treatment.
91	plate_1	H08	Leucine: 10 mM & Acetic acid: 0 mM	10 mM leucine supplementation, no acetic acid treatment.
92	plate_1	H09	Lysine: 1 mM & Acetic acid: 20 mM	1 mM lysine supplementation with 20 mM acetic acid treatment.
93	plate_1	H10	None: 0 mM & Acetic acid: 20 mM	No lysine supplementation, treated with 20 mM acetic acid.
94	plate_1	H11	Media control	
95	plate_1	H12	Lysine: 1 mM & Acetic acid: 0 mM	1 mM lysine supplementation, no acetic acid treatment.
