	plateID	well	CONCuM	Summary
0	plate_1	A01	None: 0 mM & (S)-lactic acid: 50 mM	Growth with 50 mM (S)-lactic acid, no proline supplementation.
1	plate_1	A02	Media control	
2	plate_1	A03	proline: 10 mM & (S)-lactic acid: 0 mM	Growth with 10 mM proline supplementation, no lactic acid.
3	plate_1	A04	proline: 20 mM & (S)-lactic acid: 0 mM	Growth with 20 mM proline supplementation, no lactic acid.
4	plate_1	A05	alanine: 20 mM & (S)-lactic acid: 0 mM	Growth with 20 mM alanine supplementation, no lactic acid.
5	plate_1	A06	proline: 20 mM & (S)-lactic acid: 50 mM	Growth with 20 mM proline supplementation and 50 mM (S)-lactic acid.
6	plate_1	A07	alanine: 20 mM & (S)-lactic acid: 0 mM	Growth with 20 mM alanine supplementation, no lactic acid.
7	plate_1	A08	None: 0 mM & (S)-lactic acid: 0 mM	Baseline growth without any supplementation or treatment.
8	plate_1	A09	alanine: 20 mM & (S)-lactic acid: 0 mM	Growth with 20 mM alanine supplementation, no lactic acid.
9	plate_1	A10	Media control	
10	plate_1	A11	alanine: 20 mM & (S)-lactic acid: 50 mM	Growth with 20 mM alanine supplementation and 50 mM (S)-lactic acid.
11	plate_1	A12	proline: 10 mM & (S)-lactic acid: 50 mM	Growth with 10 mM proline supplementation and 50 mM (S)-lactic acid.
12	plate_1	B01	proline: 20 mM & (S)-lactic acid: 0 mM	Growth with 20 mM proline supplementation, no lactic acid.
13	plate_1	B02	proline: 20 mM & (S)-lactic acid: 50 mM	Growth with 20 mM proline supplementation and 50 mM (S)-lactic acid.
14	plate_1	B03	None: 0 mM & (S)-lactic acid: 50 mM	Growth with 50 mM (S)-lactic acid, no proline supplementation.
15	plate_1	B04	alanine: 20 mM & (S)-lactic acid: 0 mM	Growth with 20 mM alanine supplementation, no lactic acid.
16	plate_1	B05	Media control	
17	plate_1	B06	alanine: 20 mM & (S)-lactic acid: 50 mM	Growth with 20 mM alanine supplementation and 50 mM (S)-lactic acid.
18	plate_1	B07	Media control	
19	plate_1	B08	proline: 20 mM & (S)-lactic acid: 0 mM	Growth with 20 mM proline supplementation, no lactic acid.
20	plate_1	B09	proline: 10 mM & (S)-lactic acid: 0 mM	Growth with 10 mM proline supplementation, no lactic acid.
21	plate_1	B10	proline: 10 mM & (S)-lactic acid: 50 mM	Growth with 10 mM proline supplementation and 50 mM (S)-lactic acid.
22	plate_1	B11	None: 0 mM & (S)-lactic acid: 50 mM	Growth with 50 mM (S)-lactic acid, no proline supplementation.
23	plate_1	B12	None: 0 mM & (S)-lactic acid: 0 mM	Baseline growth without any supplementation or treatment.
24	plate_1	C01	proline: 10 mM & (S)-lactic acid: 0 mM	Growth with 10 mM proline supplementation, no lactic acid.
