	plateID	well	CONCuM	Summary
0	plate_1	A01	methionine: 0.1 mM & camptothecin: 0 mM	Wild-type Saccharomyces cerevisiae grown in minimal media with 0.1 mM methionine supplementation, no camptothecin treatment.
1	plate_1	A02	methionine: 0.1 mM & camptothecin: 10 µM	Wild-type Saccharomyces cerevisiae grown in minimal media with 0.1 mM methionine supplementation and treated with 10 µM camptothecin.
2	plate_1	A03	methionine: 0 mM & camptothecin: 10 µM	Wild-type Saccharomyces cerevisiae grown in minimal media treated with 10 µM camptothecin, no methionine supplementation.
3	plate_1	A04	methionine: 0 mM & camptothecin: 0 mM	Wild-type Saccharomyces cerevisiae grown in minimal media without any supplementation or treatment.
4	plate_1	A05	methionine: 0 mM & camptothecin: 0 mM	Wild-type Saccharomyces cerevisiae grown in minimal media without any supplementation or treatment.
5	plate_1	A06	Media control	
6	plate_1	A07	Media control	
7	plate_1	A08	methionine: 1 mM & camptothecin: 10 µM	Wild-type Saccharomyces cerevisiae grown in minimal media with 1 mM methionine supplementation and treated with 10 µM camptothecin.
8	plate_1	A09	Media control	
9	plate_1	A10	methionine: 0 mM & camptothecin: 10 µM	Wild-type Saccharomyces cerevisiae grown in minimal media treated with 10 µM camptothecin, no methionine supplementation.
10	plate_1	A11	methionine: 1 mM & camptothecin: 0 mM	Wild-type Saccharomyces cerevisiae grown in minimal media with 1 mM methionine supplementation, no camptothecin treatment.
11	plate_1	A12	methionine: 0.1 mM & camptothecin: 0 mM	Wild-type Saccharomyces cerevisiae grown in minimal media with 0.1 mM methionine supplementation, no camptothecin treatment.
12	plate_1	B01	methionine: 0 mM & camptothecin: 0 mM	Wild-type Saccharomyces cerevisiae grown in minimal media without any supplementation or treatment.
13	plate_1	B02	methionine: 1 mM & camptothecin: 10 µM	Wild-type Saccharomyces cerevisiae grown in minimal media with 1 mM methionine supplementation and treated with 10 µM camptothecin.
14	plate_1	B03	methionine: 1 mM & camptothecin: 10 µM	Wild-type Saccharomyces cerevisiae grown in minimal media with 1 mM methionine supplementation and treated with 10 µM camptothecin.
15	plate_1	B04	methionine: 1 mM & camptothecin: 0 mM	Wild-type Saccharomyces cerevisiae grown in minimal media with 1 mM methionine supplementation, no camptothecin treatment.
16	plate_1	B05	Media control	
17	plate_1	B06	methionine: 0.1 mM & camptothecin: 10 µM	Wild-type Saccharomyces cerevisiae grown in minimal media with 0.1 mM methionine supplementation and treated with 10 µM camptothecin.
18	plate_1	B07	methionine: 0.1 mM & camptothecin: 0 mM	Wild-type Saccharomyces cerevisiae grown in minimal media with 0.1 mM methionine supplementation, no camptothecin treatment.
19	plate_1	B08	methionine: 0 mM & camptothecin: 10 µM	Wild-type Saccharomyces cerevisiae grown in minimal media treated with 10 µM camptothecin, no methionine supplementation.
20	plate_1	B09	methionine: 0.1 mM & camptothecin: 10 µM	Wild-type Saccharomyces cerevisiae grown in minimal media with 0.1 mM methionine supplementation and treated with 10 µM camptothecin.
21	plate_1	B10	Media control	
22	plate_1	B11	methionine: 0 mM & camptothecin: 10 µM	Wild-type Saccharomyces cerevisiae grown in minimal media treated with 10 µM camptothecin, no methionine supplementation.
23	plate_1	B12	methionine: 1 mM & camptothecin: 10 µM	Wild-type Saccharomyces cerevisiae grown in minimal media with 1 mM methionine supplementation and treated with 10 µM camptothecin.
24	plate_1	C01	methionine: 1 mM & camptothecin: 0 mM	Wild-type Saccharomyces cerevisiae grown in minimal media with 1 mM methionine supplementation, no camptothecin treatment.
25	plate_1	C02	Media control	
26	plate_1	C03	methionine: 0.1 mM & camptothecin: 0 mM	Wild-type Saccharomyces cerevisiae grown in minimal media with 0.1 mM methionine supplementation, no camptothecin treatment.
27	plate_1	C04	methionine: 1 mM & camptothecin: 10 µM	Wild-type Saccharomyces cerevisiae grown in minimal media with 1 mM methionine supplementation and treated with 10 µM camptothecin.
28	plate_1	C05	methionine: 0.1 mM & camptothecin: 0 mM	Wild-type Saccharomyces cerevisiae grown in minimal media with 0.1 mM methionine supplementation, no camptothecin treatment.
29	plate_1	C06	methionine: 0 mM & camptothecin: 10 µM	Wild-type Saccharomyces cerevisiae grown in minimal media treated with 10 µM camptothecin, no methionine supplementation.
30	plate_1	C07	methionine: 0 mM & camptothecin: 0 mM	Wild-type Saccharomyces cerevisiae grown in minimal media without any supplementation or treatment.
31	plate_1	C08	methionine: 0.1 mM & camptothecin: 10 µM	Wild-type Saccharomyces cerevisiae grown in minimal media with 0.1 mM methionine supplementation and treated with 10 µM camptothecin.
32	plate_1	C09	methionine: 0 mM & camptothecin: 10 µM	Wild-type Saccharomyces cerevisiae grown in minimal media treated with 10 µM camptothecin, no methionine supplementation.
33	plate_1	C10	methionine: 0.1 mM & camptothecin: 10 µM	Wild-type Saccharomyces cerevisiae grown in minimal media with 0.1 mM methionine supplementation and treated with 10 µM camptothecin.
34	plate_1	C11	methionine: 0 mM & camptothecin: 0 mM	Wild-type Saccharomyces cerevisiae grown in minimal media without any supplementation or treatment.
35	plate_1	C12	Media control	
36	plate_1	D01	methionine: 0.1 mM & camptothecin: 10 µM	Wild-type Saccharomyces cerevisiae grown in minimal media with 0.1 mM methionine supplementation and treated with 10 µM camptothecin.
37	plate_1	D02	methionine: 0 mM & camptothecin: 10 µM	Wild-type Saccharomyces cerevisiae grown in minimal media treated with 10 µM camptothecin, no methionine supplementation.
38	plate_1	D03	methionine: 0 mM & camptothecin: 0 mM	Wild-type Saccharomyces cerevisiae grown in minimal media without any supplementation or treatment.
39	plate_1	D04	Media control	
40	plate_1	D05	methionine: 1 mM & camptothecin: 10 µM	Wild-type Saccharomyces cerevisiae grown in minimal media with 1 mM methionine supplementation and treated with 10 µM camptothecin.
41	plate_1	D06	methionine: 0.1 mM & camptothecin: 0 mM	Wild-type Saccharomyces cerevisiae grown in minimal media with 0.1 mM methionine supplementation, no camptothecin treatment.
42	plate_1	D07	methionine: 1 mM & camptothecin: 0 mM	Wild-type Saccharomyces cerevisiae grown in minimal media with 1 mM methionine supplementation, no camptothecin treatment.
43	plate_1	D08	Media control	
44	plate_1	D09	methionine: 1 mM & camptothecin: 10 µM	Wild-type Saccharomyces cerevisiae grown in minimal media with 1 mM methionine supplementation and treated with 10 µM camptothecin.
45	plate_1	D10	methionine: 0 mM & camptothecin: 0 mM	Wild-type Saccharomyces cerevisiae grown in minimal media without any supplementation or treatment.
46	plate_1	D11	methionine: 0.1 mM & camptothecin: 0 mM	Wild-type Saccharomyces cerevisiae grown in minimal media with 0.1 mM methionine supplementation, no camptothecin treatment.
47	plate_1	D12	methionine: 0.1 mM & camptothecin: 10 µM	Wild-type Saccharomyces cerevisiae grown in minimal media with 0.1 mM methionine supplementation and treated with 10 µM camptothecin.
48	plate_1	E01	methionine: 0 mM & camptothecin: 10 µM	Wild-type Saccharomyces cerevisiae grown in minimal media treated with 10 µM camptothecin, no methionine supplementation.
49	plate_1	E02	methionine: 0 mM & camptothecin: 0 mM	Wild-type Saccharomyces cerevisiae grown in minimal media without any supplementation or treatment.
50	plate_1	E03	Media control	
51	plate_1	E04	methionine: 1 mM & camptothecin: 0 mM	Wild-type Saccharomyces cerevisiae grown in minimal media with 1 mM methionine supplementation, no camptothecin treatment.
52	plate_1	E05	methionine: 0 mM & camptothecin: 10 µM	Wild-type Saccharomyces cerevisiae grown in minimal media treated with 10 µM camptothecin, no methionine supplementation.
53	plate_1	E06	methionine: 1 mM & camptothecin: 0 mM	Wild-type Saccharomyces cerevisiae grown in minimal media with 1 mM methionine supplementation, no camptothecin treatment.
54	plate_1	E07	methionine: 1 mM & camptothecin: 10 µM	Wild-type Saccharomyces cerevisiae grown in minimal media with 1 mM methionine supplementation and treated with 10 µM camptothecin.
55	plate_1	E08	methionine: 0.1 mM & camptothecin: 0 mM	Wild-type Saccharomyces cerevisiae grown in minimal media with 0.1 mM methionine supplementation, no camptothecin treatment.
56	plate_1	E09	Media control	
57	plate_1	E10	methionine: 1 mM & camptothecin: 0 mM	Wild-type Saccharomyces cerevisiae grown in minimal media with 1 mM methionine supplementation, no camptothecin treatment.
58	plate_1	E11	methionine: 0.1 mM & camptothecin: 10 µM	Wild-type Saccharomyces cerevisiae grown in minimal media with 0.1 mM methionine supplementation and treated with 10 µM camptothecin.
59	plate_1	E12	methionine: 1 mM & camptothecin: 10 µM	Wild-type Saccharomyces cerevisiae grown in minimal media with 1 mM methionine supplementation and treated with 10 µM camptothecin.
60	plate_1	F01	methionine: 0.1 mM & camptothecin: 0 mM	Wild-type Saccharomyces cerevisiae grown in minimal media with 0.1 mM methionine supplementation, no camptothecin treatment.
61	plate_1	F02	Media control	
62	plate_1	F03	methionine: 1 mM & camptothecin: 0 mM	Wild-type Saccharomyces cerevisiae grown in minimal media with 1 mM methionine supplementation, no camptothecin treatment.
63	plate_1	F04	methionine: 0.1 mM & camptothecin: 10 µM	Wild-type Saccharomyces cerevisiae grown in minimal media with 0.1 mM methionine supplementation and treated with 10 µM camptothecin.
