	plateID	well	CONCuM	Summary
0	plate_1	A01	Proline: 2 mM & (S)-lactic acid: 0 mM	Low proline supplementation without lactic acid treatment.
1	plate_1	A02	Proline: 2 mM & (S)-lactic acid: 50 mM	Low proline supplementation with lactic acid treatment.
2	plate_1	A03	Proline: 0 mM & (S)-lactic acid: 50 mM	Lactic acid treatment without proline supplementation.
3	plate_1	A04	Proline: 0 mM & (S)-lactic acid: 0 mM	Control group with no supplementation or treatment.
4	plate_1	A05	Proline: 0 mM & (S)-lactic acid: 0 mM	Control group with no supplementation or treatment.
5	plate_1	A06	Media control	
6	plate_1	A07	Media control	
7	plate_1	A08	Proline: 10 mM & (S)-lactic acid: 50 mM	High proline supplementation with lactic acid treatment.
8	plate_1	A09	Media control	
9	plate_1	A10	Proline: 0 mM & (S)-lactic acid: 50 mM	Lactic acid treatment without proline supplementation.
10	plate_1	A11	Proline: 10 mM & (S)-lactic acid: 0 mM	High proline supplementation without lactic acid treatment.
11	plate_1	A12	Proline: 2 mM & (S)-lactic acid: 0 mM	Low proline supplementation without lactic acid treatment.
12	plate_1	B01	Proline: 0 mM & (S)-lactic acid: 0 mM	Control group with no supplementation or treatment.
13	plate_1	B02	Proline: 10 mM & (S)-lactic acid: 50 mM	High proline supplementation with lactic acid treatment.
14	plate_1	B03	Proline: 10 mM & (S)-lactic acid: 50 mM	High proline supplementation with lactic acid treatment.
15	plate_1	B04	Proline: 10 mM & (S)-lactic acid: 0 mM	High proline supplementation without lactic acid treatment.
16	plate_1	B05	Media control	
17	plate_1	B06	Proline: 2 mM & (S)-lactic acid: 50 mM	Low proline supplementation with lactic acid treatment.
18	plate_1	B07	Proline: 2 mM & (S)-lactic acid: 0 mM	Low proline supplementation without lactic acid treatment.
19	plate_1	B08	Proline: 0 mM & (S)-lactic acid: 50 mM	Lactic acid treatment without proline supplementation.
20	plate_1	B09	Proline: 2 mM & (S)-lactic acid: 50 mM	Low proline supplementation with lactic acid treatment.
21	plate_1	B10	Media control	
22	plate_1	B11	Proline: 0 mM & (S)-lactic acid: 50 mM	Lactic acid treatment without proline supplementation.
23	plate_1	B12	Proline: 10 mM & (S)-lactic acid: 50 mM	High proline supplementation with lactic acid treatment.
24	plate_1	C01	Proline: 10 mM & (S)-lactic acid: 0 mM	High proline supplementation without lactic acid treatment.
25	plate_1	C02	Media control	
26	plate_1	C03	Proline: 2 mM & (S)-lactic acid: 0 mM	Low proline supplementation without lactic acid treatment.
27	plate_1	C04	Proline: 10 mM & (S)-lactic acid: 50 mM	High proline supplementation with lactic acid treatment.
28	plate_1	C05	Proline: 2 mM & (S)-lactic acid: 0 mM	Low proline supplementation without lactic acid treatment.
29	plate_1	C06	Proline: 0 mM & (S)-lactic acid: 50 mM	Lactic acid treatment without proline supplementation.
30	plate_1	C07	Proline: 0 mM & (S)-lactic acid: 0 mM	Control group with no supplementation or treatment.
31	plate_1	C08	Proline: 2 mM & (S)-lactic acid: 50 mM	Low proline supplementation with lactic acid treatment.
32	plate_1	C09	Proline: 0 mM & (S)-lactic acid: 50 mM	Lactic acid treatment without proline supplementation.
33	plate_1	C10	Proline: 2 mM & (S)-lactic acid: 50 mM	Low proline supplementation with lactic acid treatment.
34	plate_1	C11	Proline: 0 mM & (S)-lactic acid: 0 mM	Control group with no supplementation or treatment.
35	plate_1	C12	Media control	
36	plate_1	D01	Proline: 2 mM & (S)-lactic acid: 50 mM	Low proline supplementation with lactic acid treatment.
37	plate_1	D02	Proline: 0 mM & (S)-lactic acid: 50 mM	Lactic acid treatment without proline supplementation.
38	plate_1	D03	Proline: 0 mM & (S)-lactic acid: 0 mM	Control group with no supplementation or treatment.
39	plate_1	D04	Media control	
40	plate_1	D05	Proline: 10 mM & (S)-lactic acid: 50 mM	High proline supplementation with lactic acid treatment.
41	plate_1	D06	Proline: 2 mM & (S)-lactic acid: 0 mM	Low proline supplementation without lactic acid treatment.
42	plate_1	D07	Proline: 10 mM & (S)-lactic acid: 0 mM	High proline supplementation without lactic acid treatment.
43	plate_1	D08	Media control	
44	plate_1	D09	Proline: 10 mM & (S)-lactic acid: 50 mM	High proline supplementation with lactic acid treatment.
45	plate_1	D10	Proline: 0 mM & (S)-lactic acid: 0 mM	Control group with no supplementation or treatment.
46	plate_1	D11	Proline: 2 mM & (S)-lactic acid: 0 mM	Low proline supplementation without lactic acid treatment.
47	plate_1	D12	Proline: 2 mM & (S)-lactic acid: 50 mM	Low proline supplementation with lactic acid treatment.
48	plate_1	E01	Proline: 0 mM & (S)-lactic acid: 50 mM	Lactic acid treatment without proline supplementation.
49	plate_1	E02	Proline: 0 mM & (S)-lactic acid: 0 mM	Control group with no supplementation or treatment.
50	plate_1	E03	Media control	
51	plate_1	E04	Proline: 10 mM & (S)-lactic acid: 0 mM	High proline supplementation without lactic acid treatment.
52	plate_1	E05	Proline: 0 mM & (S)-lactic acid: 50 mM	Lactic acid treatment without proline supplementation.
53	plate_1	E06	Proline: 10 mM & (S)-lactic acid: 0 mM	High proline supplementation without lactic acid treatment.
54	plate_1	E07	Proline: 10 mM & (S)-lactic acid: 50 mM	High proline supplementation with lactic acid treatment.
55	plate_1	E08	Proline: 2 mM & (S)-lactic acid: 0 mM	Low proline supplementation without lactic acid treatment.
56	plate_1	E09	Media control	
57	plate_1	E10	Proline: 10 mM & (S)-lactic acid: 0 mM	High proline supplementation without lactic acid treatment.
58	plate_1	E11	Proline: 2 mM & (S)-lactic acid: 50 mM	Low proline supplementation with lactic acid treatment.
