	plateID	well	CONCuM	Summary
0	plate_1	A01	Serine: 0.5 mM & Ketoconazole: 0 mM	Growth of S. cerevisiae with low serine supplementation to assess its independent effect.
1	plate_1	A02	Serine: 0.5 mM & Ketoconazole: 10 µg/mL	Growth of S. cerevisiae with low serine supplementation and ketoconazole treatment to assess resistance.
2	plate_1	A03	Serine: 0 mM & Ketoconazole: 10 µg/mL	Growth of S. cerevisiae with ketoconazole treatment to establish baseline resistance.
3	plate_1	A04	Serine: 0 mM & Ketoconazole: 0 mM	Baseline growth of S. cerevisiae in minimal media without any supplementation or treatment.
4	plate_1	A05	Serine: 0 mM & Ketoconazole: 0 mM	Baseline growth of S. cerevisiae in minimal media without any supplementation or treatment.
5	plate_1	A06	Media control	
6	plate_1	A07	Media control	
7	plate_1	A08	Serine: 2.0 mM & Ketoconazole: 10 µg/mL	Growth of S. cerevisiae with high serine supplementation and ketoconazole treatment to assess resistance.
8	plate_1	A09	Media control	
9	plate_1	A10	Serine: 0 mM & Ketoconazole: 10 µg/mL	Growth of S. cerevisiae with ketoconazole treatment to establish baseline resistance.
10	plate_1	A11	Serine: 2.0 mM & Ketoconazole: 0 mM	Growth of S. cerevisiae with high serine supplementation to assess its independent effect.
11	plate_1	A12	Serine: 0.5 mM & Ketoconazole: 0 mM	Growth of S. cerevisiae with low serine supplementation to assess its independent effect.
12	plate_1	B01	Serine: 0 mM & Ketoconazole: 0 mM	Baseline growth of S. cerevisiae in minimal media without any supplementation or treatment.
13	plate_1	B02	Serine: 2.0 mM & Ketoconazole: 10 µg/mL	Growth of S. cerevisiae with high serine supplementation and ketoconazole treatment to assess resistance.
14	plate_1	B03	Serine: 2.0 mM & Ketoconazole: 10 µg/mL	Growth of S. cerevisiae with high serine supplementation and ketoconazole treatment to assess resistance.
15	plate_1	B04	Serine: 2.0 mM & Ketoconazole: 0 mM	Growth of S. cerevisiae with high serine supplementation to assess its independent effect.
16	plate_1	B05	Media control	
17	plate_1	B06	Serine: 0.5 mM & Ketoconazole: 10 µg/mL	Growth of S. cerevisiae with low serine supplementation and ketoconazole treatment to assess resistance.
18	plate_1	B07	Serine: 0.5 mM & Ketoconazole: 0 mM	Growth of S. cerevisiae with low serine supplementation to assess its independent effect.
19	plate_1	B08	Serine: 0 mM & Ketoconazole: 10 µg/mL	Growth of S. cerevisiae with ketoconazole treatment to establish baseline resistance.
