	plateID	well	CONCuM	Summary
0	plate_1	A01	L-tyrosine: 1.0 mM & SDS: 0 mM	High tyrosine supplementation to assess its independent effect on growth.
1	plate_1	A02	L-tyrosine: 1.0 mM & SDS: 0.01%	High tyrosine and low SDS to test the effect of tyrosine on SDS resistance.
2	plate_1	A03	L-tyrosine: 0 mM & SDS: 0.01%	Low SDS treatment to determine baseline resistance.
3	plate_1	A04	L-tyrosine: 0.1 mM & SDS: 0.01%	Low tyrosine and low SDS to test the effect of tyrosine on SDS resistance.
4	plate_1	A05	Media control	
5	plate_1	A06	L-tyrosine: 0.1 mM & SDS: 0 mM	Low tyrosine supplementation to assess its independent effect on growth.
6	plate_1	A07	L-tyrosine: 1.0 mM & SDS: 0.05%	High tyrosine and high SDS to test the effect of tyrosine on SDS resistance.
7	plate_1	A08	L-tyrosine: 0.1 mM & SDS: 0.05%	Low tyrosine and high SDS to test the effect of tyrosine on SDS resistance.
8	plate_1	A09	Media control	
9	plate_1	A10	L-tyrosine: 1.0 mM & SDS: 0.01%	High tyrosine and low SDS to test the effect of tyrosine on SDS resistance.
10	plate_1	A11	L-tyrosine: 0 mM & SDS: 0.05%	High SDS treatment to determine baseline resistance.
11	plate_1	A12	L-tyrosine: 0 mM & SDS: 0 mM	Control with no supplementation or treatment to establish baseline growth.
12	plate_1	B01	L-tyrosine: 0.1 mM & SDS: 0.05%	Low tyrosine and high SDS to test the effect of tyrosine on SDS resistance.
13	plate_1	B02	L-tyrosine: 1.0 mM & SDS: 0 mM	High tyrosine supplementation to assess its independent effect on growth.
14	plate_1	B03	Media control	
15	plate_1	B04	L-tyrosine: 0 mM & SDS: 0 mM	Control with no supplementation or treatment to establish baseline growth.
16	plate_1	B05	L-tyrosine: 1.0 mM & SDS: 0.05%	High tyrosine and high SDS to test the effect of tyrosine on SDS resistance.
17	plate_1	B06	L-tyrosine: 1.0 mM & SDS: 0.05%	High tyrosine and high SDS to test the effect of tyrosine on SDS resistance.
18	plate_1	B07	L-tyrosine: 0.1 mM & SDS: 0.01%	Low tyrosine and low SDS to test the effect of tyrosine on SDS resistance.
19	plate_1	B08	L-tyrosine: 0.1 mM & SDS: 0.01%	Low tyrosine and low SDS to test the effect of tyrosine on SDS resistance.
20	plate_1	B09	L-tyrosine: 0 mM & SDS: 0.01%	Low SDS treatment to determine baseline resistance.
21	plate_1	B10	L-tyrosine: 0.1 mM & SDS: 0 mM	Low tyrosine supplementation to assess its independent effect on growth.
22	plate_1	B11	L-tyrosine: 1.0 mM & SDS: 0.01%	High tyrosine and low SDS to test the effect of tyrosine on SDS resistance.
23	plate_1	B12	L-tyrosine: 0 mM & SDS: 0.05%	High SDS treatment to determine baseline resistance.
24	plate_1	C01	L-tyrosine: 1.0 mM & SDS: 0.05%	High tyrosine and high SDS to test the effect of tyrosine on SDS resistance.
25	plate_1	C02	Media control	
