,1,2,3,4,5,6,7,8,9,10
YPL045W_ilp1,-0.0,-0.012042115042095725,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0028031212726057435,-0.0,-0.0
YPL045W_ilp2,0.054868956918029246,0.09864151740883166,0.027847968929284216,0.03293942954017671,0.12839686166058595,0.07418914635790175,0.10581259953739999,0.08827316630005731,0.07773703073773088,0.07053877487914566
YPL045W_ilp3,-0.006822148744161716,-0.0,-0.0,-0.05039800209668557,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
YPL045W_ilp4,0.05509534438436511,0.02965012348786464,0.00876200850373056,0.028093309924696518,0.006483247530266403,0.03732962704413498,0.02209244762124805,0.03448318514467532,0.0,0.019908015284965077
YPL045W_ilp5,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
YPL045W_ilp6,0.0022921114219631995,0.007922656479076964,0.0,0.009414703263679311,0.021251896832919354,0.05338457357619103,0.05882473804923413,0.04876296398377858,0.03038996273046359,0.04774862899832789
YPL045W_ilp7,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0
YPL045W_ilp8,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
YPL045W_ilp9,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
YPL045W_ilp10,-0.01600228407154214,-0.0,-0.03622029744055354,-0.0,-0.0,-0.0,-0.037882576292926906,-0.0,-0.0,-0.0
YPL045W_ilp22,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0
YPL045W_ilp23,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
YPL045W_ilp25,-0.10870782064221643,-0.12916056710145413,-0.16051300463634674,-0.20421588359318643,-0.06621765170261756,-0.1375271909337311,-0.17324551160409976,-0.10629894767452101,-0.09310725944907133,-0.05549306537261346
YPL045W_ilp26,-0.01524178182516265,-0.09308316866464036,-0.0789202715190206,-0.09280538145247523,-0.038225140412597794,-0.06289671669217325,-0.07835872060256482,-0.038004573312837304,-0.0,-0.015073144515801811
YPL045W_ilp27,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
YPL045W_ilp28,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
YPL045W_ilp30,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
YPL045W_ilp32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YPL045W_ilp36,-0.02652718287593173,-0.009761903793066714,-0.043319556646991504,-0.008615123108246124,-0.04820514446731749,-0.02744726387492081,-0.029865897485008126,-0.0038575074821254637,-0.036909658968127486,-0.041390664092035206
YPL045W_ilp38,-0.0,-0.022497848609375183,-0.014560621817053164,-0.04302667694704232,-0.0,-0.0,-0.055330023820300424,-0.004595925714205864,-0.0,-0.0
YPL045W_ilp39,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
YPL045W_ilp40,-0.0,-0.0,-0.03298262621290422,-0.032999443962157156,-0.0,-0.0,-0.027250810628789948,-0.025477008236722973,-0.0,-0.0
YPL045W_ilp42,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
YPL045W_ilp43,-0.0,-0.07502529216439005,-0.004027146266029911,-0.10450132213115998,-0.0,-0.006331258678327136,-0.0,-0.08287767965070057,-0.0,-0.0
YPL045W_ilp45,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0
YPL045W_ilp46,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0
YPL045W_ilp47,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
YPL045W_ilp48,0.0059652201237176935,0.02066841443822155,0.09504316467210237,0.0,0.027455646494907195,0.0,0.0,0.0,0.023730157051241794,0.0
YPL045W_ilp49,-0.050950173466729795,-0.07186859995769435,-0.10947218764068338,-0.08496545865737067,-0.049894565499528865,-0.059436691749630545,-0.023362478394173214,-0.06636562506174269,-0.08912360908841271,-0.034153887436038775
YPL045W_ilp51,-0.0,-0.0,-0.015308014819276876,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
YPL045W_ilp52,0.0,0.0,0.0,0.07520865395274397,0.0,0.0,0.0,0.0,0.0,0.0
YPL045W_ilp53,-0.0,-0.0021969653571833983,-0.029803125203344136,-0.02452736138998344,-0.0,-0.0,-0.023140113239260424,-0.0,-0.023908515977329656,-0.0
YPL045W_ilp54,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
