,1,2,3,4,5,6,7,8,9,10
YPL045W_ilp1,0.0028486944578663357,0.002105902659311797,0.002271317262051423,0.0033372876789322134,0.0032585784688535374,0.0020899026139118942,0.002661408955592164,0.00241476624898115,0.0026293936149393454,0.0030304928991032325
YPL045W_ilp2,0.0,0.0006460144248849125,0.00030104791946181764,0.0,0.0006082933320831794,0.0,0.0003985426736818484,0.0008088620048786838,0.0,4.371309998820452e-05
YPL045W_ilp3,-0.0012393019961451915,-0.002557930849579591,-0.0015911972071054527,-0.00285139425051841,-0.0032591932334019107,-0.0024857412251139063,-0.00016970266336510347,-0.0,-0.002593056217331548,-0.0033733352989884693
YPL045W_ilp4,0.004652995219036223,0.0029342793932687974,0.003751585754001498,0.002453292334688518,0.0041412552981199375,0.004114052548489089,0.003233099126619311,0.0033242150221455585,0.0028331964323606226,0.003430046678961538
YPL045W_ilp5,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
YPL045W_ilp6,0.003996213273542477,0.003562680010657254,0.0045944063230467245,0.003823264714941894,0.004104392219444732,0.003233200735505291,0.004197738151196339,0.005068905289799597,0.00392050725467539,0.003917683597757801
YPL045W_ilp7,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
YPL045W_ilp8,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0
YPL045W_ilp9,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0
YPL045W_ilp10,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YPL045W_ilp22,-0.00046191921165488544,-0.0,-0.0,-6.916091152535279e-05,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
YPL045W_ilp23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YPL045W_ilp25,0.0,0.0,0.0,1.2342691498726421e-05,0.0005960292162933143,0.000646389789210987,0.00024547072161710577,0.00039357197719492275,0.0015596318283775995,0.0
YPL045W_ilp26,-0.007734365928430852,-0.008381400404261581,-0.006280535187884158,-0.008702069036861505,-0.007030247262008599,-0.007371376338833436,-0.007283363902819753,-0.007641430143567116,-0.008058861610747958,-0.004811885592883916
YPL045W_ilp27,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
YPL045W_ilp28,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00028825293285597987,-0.0,-0.0,-0.0
YPL045W_ilp30,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0
YPL045W_ilp32,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
YPL045W_ilp36,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
YPL045W_ilp38,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
YPL045W_ilp39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YPL045W_ilp40,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
YPL045W_ilp42,-0.006502612876477792,-0.002529956460268947,-0.002806274174446164,-0.0024940973214513415,-0.003198860433515804,-0.0038676397915387573,-0.002848610328300855,-0.00405956905013273,-0.001893296195843694,-0.004090137572396856
YPL045W_ilp43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013250296715112356,0.0
YPL045W_ilp45,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0
YPL045W_ilp46,0.0,8.91355655887802e-05,0.0,0.0,0.0022459209049291756,0.0,0.0,0.0,0.001927009572252114,0.0
YPL045W_ilp47,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
YPL045W_ilp48,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
YPL045W_ilp49,-0.0028328194307925755,-0.0010154354718584489,-0.004232911048699327,-0.0013028657734429681,-0.002266174403210671,-0.002601492589156402,-0.0008985791084848288,-0.0025132011368429086,-0.0035080164921731274,-0.0026392804420455693
