,1
YPL045W_ilp1,0.0
YPL045W_ilp2,0.0
YPL045W_ilp3,-0.0
YPL045W_ilp4,0.0
YPL045W_ilp5,0.0
YPL045W_ilp6,0.03766937859275907
YPL045W_ilp7,0.0
YPL045W_ilp8,0.0
YPL045W_ilp9,-0.0
YPL045W_ilp10,-0.0
YPL045W_ilp22,0.0
YPL045W_ilp23,0.0
YPL045W_ilp25,-0.0
YPL045W_ilp26,0.0
YPL045W_ilp27,0.0
YPL045W_ilp28,-0.0
YPL045W_ilp30,0.0
YPL045W_ilp32,0.0
YPL045W_ilp36,-0.0
YPL045W_ilp38,0.0
YPL045W_ilp39,-0.0
YPL045W_ilp40,0.0
YPL045W_ilp42,0.0
YPL045W_ilp43,0.0
YPL045W_ilp45,0.0
YPL045W_ilp46,-0.0
YPL045W_ilp47,-0.0
YPL045W_ilp48,-0.0
YPL045W_ilp49,0.0
YPL045W_ilp51,-0.0
YPL045W_ilp52,-0.0
YPL045W_ilp53,0.0
YPL045W_ilp54,-0.0
YPL045W_ilp55,-0.0
YPL045W_ilp56,0.0
YPL045W_ilp57,-0.0
YPL045W_ilp58,0.0
YPL045W_ilp59,0.0
YPL045W_ilp60,-0.0
YPL045W_ilp61,0.0
YPL045W_ilp62,-0.0
YPL045W_ilp63,0.0
YPL045W_ilp64,0.0
YPL045W_ilp65,0.0
YPL045W_ilp66,-0.0
YPL045W_ilp67,0.0
YPL045W_ilp68,-0.0
YPL045W_ilp70,-0.0
YPL045W_ilp71,-0.0
YPL045W_ilp72,-0.0
YPL045W_ilp73,0.0
YPL045W_ilp74,0.0
YPL045W_ilp75,0.0
YPL045W_ilp76,0.0
YPL045W_ilp77,-0.0
YPL045W_ilp78,-0.0
YPL045W_ilp79,0.0
YPL045W_ilp81,0.01186303176411176
YPL045W_ilp82,0.0
YPL045W_ilp83,0.0
YPL045W_ilp84,0.0
YPL045W_ilp85,0.0
YPL045W_ilp86,0.0
YPL045W_ilp87,-0.0
YPL045W_ilp88,0.0
YPL045W_ilp89,0.0
YPL045W_ilp90,-0.0
YPL045W_ilp91,0.0
YPL045W_ilp92,-0.0
YPL045W_ilp93,0.0
YPL045W_ilp94,-0.0
YPL045W_ilp95,0.0
YPL045W_ilp96,0.0
YPL045W_ilp97,0.0
YPL045W_ilp98,0.0
YPL045W_ilp99,0.0
YPL045W_ilp100,0.0
YPL045W_ilp109,0.0
YPL045W_ilp110,-0.0
YPL045W_ilp121,-0.0
YPL045W_ilp132,0.0
YPL045W_ilp134,-0.0
YPL045W_ilp137,0.0
YPL045W_ilp140,0.0
YPL045W_ilp142,-0.0
YPL045W_ilp143,0.0
YPL045W_ilp144,-0.0
YPL045W_ilp145,0.0
