,1,2,3,4,5,6,7,8,9,10
YPL045W_ilp1,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.008316594324039342,-0.0,-0.0,-0.0
YPL045W_ilp2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
YPL045W_ilp3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YPL045W_ilp4,-0.0,-0.0,-0.012114376745462407,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
YPL045W_ilp5,0.0,0.0,0.003114952108117124,0.0048257498854180035,0.0,0.0,0.0,0.0,0.0,0.0
YPL045W_ilp6,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
YPL045W_ilp7,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0
YPL045W_ilp8,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
YPL045W_ilp9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YPL045W_ilp10,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
YPL045W_ilp22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YPL045W_ilp23,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0
YPL045W_ilp25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YPL045W_ilp26,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
YPL045W_ilp27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
YPL045W_ilp28,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0
YPL045W_ilp30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
YPL045W_ilp32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YPL045W_ilp36,0.0,0.0,0.0,0.0,0.0,0.0,0.011678179338189177,0.0,0.0,0.0
YPL045W_ilp38,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0
YPL045W_ilp39,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YPL045W_ilp40,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
YPL045W_ilp42,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
YPL045W_ilp43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
YPL045W_ilp45,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
YPL045W_ilp46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YPL045W_ilp47,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
YPL045W_ilp48,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
YPL045W_ilp49,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
YPL045W_ilp51,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
YPL045W_ilp52,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
YPL045W_ilp53,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
YPL045W_ilp54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YPL045W_ilp55,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
