,1,2,3,4,5,6,7,8,9,10
YPL045W_ilp1,0.0,0.0,0.0,0.0,0.0021231474515470356,0.0,0.0,0.0003883344106872308,0.0007820583254834424,0.0
YPL045W_ilp2,0.0,0.0,0.0,0.0,0.0015948766928482428,0.0,0.0,0.0010998184296423731,0.0013988103056775572,0.0
YPL045W_ilp3,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0
YPL045W_ilp4,0.0,0.0,0.0,0.00020807596899248478,0.00027183473408793,0.0,0.0,0.0003163509619355986,6.115726664607502e-05,0.0
YPL045W_ilp5,0.0,0.00023192925744183922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YPL045W_ilp6,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
YPL045W_ilp7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YPL045W_ilp8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YPL045W_ilp9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YPL045W_ilp10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YPL045W_ilp22,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0
YPL045W_ilp23,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0
YPL045W_ilp25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YPL045W_ilp26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YPL045W_ilp27,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
YPL045W_ilp28,0.0,0.0,0.0,0.0,0.004930452897134484,0.0,0.0,0.0014521203906504912,0.0,0.0
YPL045W_ilp30,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0
YPL045W_ilp32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
YPL045W_ilp36,-0.0,-0.0,-0.0,-0.0,-0.004470225405260597,-0.0,-0.0,-0.004226815654859529,-0.0019222858924874396,-0.0
YPL045W_ilp38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YPL045W_ilp39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YPL045W_ilp40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YPL045W_ilp42,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
