,1,2,3,4,5,6,7,8,9,10
YPL045W_ilp1,0.0,1.0772154045276307e-05,0.0,0.0,0.00024040136398333805,0.0,0.0,0.0,0.0002564692489766191,3.6796702514671596e-05
YPL045W_ilp2,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
YPL045W_ilp3,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
YPL045W_ilp4,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
YPL045W_ilp5,0.0,6.049880913579761e-05,0.0,0.0,0.0,0.0,0.0,2.9516443370411796e-05,4.994087347696873e-05,0.0
YPL045W_ilp6,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
YPL045W_ilp7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YPL045W_ilp8,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YPL045W_ilp9,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YPL045W_ilp10,0.0,0.0,0.00020730346220705346,0.0,3.612963450117833e-07,0.0,0.0,0.0,0.00044315711084065915,0.00012215035975554237
YPL045W_ilp22,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
YPL045W_ilp23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YPL045W_ilp25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YPL045W_ilp26,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0
YPL045W_ilp27,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
YPL045W_ilp28,0.0,9.871458794583781e-05,0.0001999347638985575,0.0,0.00011064572146470027,0.0,0.0,0.0,0.0,0.0
YPL045W_ilp30,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
YPL045W_ilp32,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
YPL045W_ilp36,-0.0,-0.00036589556480482176,-0.00018914976720770088,-0.0,-0.00037658353141713794,-0.0,-0.0,-5.675690964920522e-05,-0.0,-0.00021215619455444373
YPL045W_ilp38,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
YPL045W_ilp39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YPL045W_ilp40,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
YPL045W_ilp42,-0.0,-7.13499642245192e-05,-0.00031131953685959823,-0.0,-0.0004973820920834314,-0.0001988061432598068,-0.0,-0.0,-0.00010219521713552994,-0.0
YPL045W_ilp43,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
YPL045W_ilp45,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
YPL045W_ilp46,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
YPL045W_ilp47,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
YPL045W_ilp48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YPL045W_ilp49,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0
YPL045W_ilp51,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
YPL045W_ilp52,-0.0,-8.096379025653353e-05,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
YPL045W_ilp53,0.0,0.0,0.0,0.0,0.00010904188880267973,0.0,0.0,0.0,0.00010790573401490733,6.804658082194313e-06
YPL045W_ilp54,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
YPL045W_ilp55,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0
YPL045W_ilp56,-0.0,-7.418656394112292e-05,-0.0,-0.0,-4.6718129433620156e-05,-0.0,-0.0,-5.9377686567812135e-05,-0.00030500930478772297,-0.00026960039303524925
YPL045W_ilp57,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
YPL045W_ilp58,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
YPL045W_ilp59,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YPL045W_ilp60,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
YPL045W_ilp61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YPL045W_ilp62,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0
YPL045W_ilp63,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
YPL045W_ilp64,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YPL045W_ilp65,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
YPL045W_ilp66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YPL045W_ilp67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YPL045W_ilp68,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0
