,1,2,3,4,5,6,7,8,9,10
YPL045W_ilp1,-0.09147266532514667,-0.08335740180990162,-0.08351406714303525,-0.10791572659188678,-0.12235893210597097,-0.09303703852911714,-0.10252522194130496,-0.10717251382658013,-0.09361261013735236,-0.10349274585955928
YPL045W_ilp2,0.05218822273123167,0.08850439909148529,0.06841976370442034,0.05585703798982638,0.10326004548225627,0.07875026439634451,0.04563419526031938,0.0399284279008132,0.03664205869431488,0.06293402325103578
YPL045W_ilp3,-0.04773763937717711,-0.07663190102743409,-0.034279412461599885,-0.12080698929010782,-0.0958886625012535,-0.056684333824648735,-0.11899340016153244,-0.023682025437637057,-0.07139273966215468,-0.09766344580398631
YPL045W_ilp4,-0.09591535873867277,-0.08794714383240007,-0.04939349394312081,-0.07875268736099823,-0.04167088070773317,-0.08057462520464449,-0.0741766337223787,-0.0519870241907737,-0.07582809265492049,-0.0915414639019875
YPL045W_ilp5,-0.0,-0.0,-0.0,-0.0,-0.0,-0.007346264122890669,-0.0,-0.008541048513344869,-0.004754476172143116,-0.0059812493287524264
YPL045W_ilp6,0.07500804412436912,0.04656364222967915,0.05798052459874806,0.0660463785947624,0.08356741148902304,0.04960745076714749,0.05101267141978327,0.0746077012967442,0.041005961184101686,0.05447738917793529
YPL045W_ilp7,-0.0,-0.0,-0.0,-0.0,-0.031977301820546936,-0.0,-0.06865397569366523,-0.0,-0.0,-0.0
YPL045W_ilp8,0.0,0.008270245770357534,0.02872182900351994,0.05699407046583715,0.03265279517490812,0.014055020191827607,0.01393247066353674,0.0201649419126762,0.0005726886209708952,0.015091002574127212
YPL045W_ilp9,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0
YPL045W_ilp10,-0.0,-0.06481889636687262,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.006720763147490703
YPL045W_ilp11,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
YPL045W_ilp12,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
YPL045W_ilp26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0
YPL045W_ilp27,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
YPL045W_ilp29,-0.1974874144283584,-0.27982430593633045,-0.27521211806801993,-0.29281098579949777,-0.2082176879251284,-0.2527846420180326,-0.27321748177623006,-0.2744748405258039,-0.27356255767424126,-0.30850202033907104
YPL045W_ilp30,-0.0,-0.06989163271097805,-0.01981182188627904,-0.033787763723566,-0.016242061448503792,-0.0,-0.0,-0.019532774843929082,-0.0,-0.0
YPL045W_ilp31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YPL045W_ilp32,-0.0,-0.010555487087636243,-0.0,-0.0,-0.0,-0.0,-0.029029687051838657,-0.0,-0.0,-0.0
YPL045W_ilp34,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YPL045W_ilp36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YPL045W_ilp42,-0.04636423202513251,-0.04647633047824456,-0.05615890328919912,-0.015754242660429556,-0.060105132927669724,-0.04820199378314527,-0.033525820912245485,-0.029736325302487904,-0.04152879364601266,-0.05712423250797928
YPL045W_ilp44,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
YPL045W_ilp45,-0.008765544386648663,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
YPL045W_ilp46,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0
YPL045W_ilp48,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YPL045W_ilp49,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0
YPL045W_ilp51,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
YPL045W_ilp52,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YPL045W_ilp53,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
YPL045W_ilp54,0.0,0.0,0.0,0.0,0.026098044598396,0.03265198290878152,0.009024676762495824,0.0,-0.0,0.0
YPL045W_ilp55,-0.04555029543184684,-0.09260452770426654,-0.1188771098874772,-0.07970444252644444,-0.07219148016499152,-0.09881196776702632,-0.0690902270581898,-0.06991157160686835,-0.018134483038867267,-0.05158270147864523
YPL045W_ilp57,-0.13685975095273759,-0.17219588978648878,-0.32764268155750575,-0.2920034739352023,-0.29750296452882424,-0.2724298670676325,-0.3278362537952414,-0.10153911325289447,-0.20406104823244742,-0.23642762789455937
YPL045W_ilp58,-0.0,-0.0,-0.0,0.0,-0.050808698438543104,-0.0,-0.0040523552865299,-0.0,-0.0,-0.0
YPL045W_ilp59,-0.09379415251675016,-0.0908036372727403,-0.08482052866777647,-0.09277562500958707,-0.0802094646411581,-0.05056790055244483,-0.0859600490433836,-0.0455960563552756,-0.06563255296008884,-0.07748595066077203
YPL045W_ilp60,-0.14050994095594466,-0.08778108883177933,-0.19365981986005876,-0.0,-0.11397184208296,-0.13086147486479618,-0.014000219651385275,-0.02006984952973669,-0.10572078028259564,-0.0
YPL045W_ilp61,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
YPL045W_ilp62,-0.0,-0.0,-0.01675298540027722,-0.05627769870083261,-0.01534245821353236,-0.016926514880113996,-0.03893976855264662,-0.02156612826215273,-0.03557299691010422,-0.01894872341724657
YPL045W_ilp63,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0
YPL045W_ilp64,-0.0,-0.0,-0.0,-0.025257039686277592,-0.09851004214462142,-0.0,-0.03168308197999773,-0.0,-0.0,-0.0
YPL045W_ilp65,-0.17252561379057077,-0.167779132496235,-0.1737373315659308,-0.15444443108579622,-0.1805598138780313,-0.134693000005051,-0.12891755484019887,-0.16572041941144275,-0.11886862748356192,-0.13539951586323695
YPL045W_ilp66,-0.015522030448855889,-0.0,-0.0,-0.04202308220942739,-0.0303834158963535,-0.0,-0.06170492849131213,-0.005204542952994612,-0.0033267713998551807,-0.05563701607232454
YPL045W_ilp67,-0.0,-0.0,0.0,-0.016943235228666698,-0.0,-0.0,0.0,-0.0,0.0,-0.0
YPL045W_ilp68,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
YPL045W_ilp69,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0
YPL045W_ilp70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YPL045W_ilp71,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0
YPL045W_ilp72,-0.0016600154987586678,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0004771119934596238,-0.0,-0.0
YPL045W_ilp73,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YPL045W_ilp74,-0.0,-0.0,-0.0,-0.03879732635000206,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
YPL045W_ilp76,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0
YPL045W_ilp77,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
YPL045W_ilp78,-0.04968833975658538,-0.02976506831782963,-0.03295673787248725,-0.05668625187512449,-0.0404358587124311,-0.032814362391559354,-0.031530647658093644,-0.08106037828193008,-0.030013924531478865,-0.01169992469896366
YPL045W_ilp79,-0.009628392927228724,-0.0,-0.001524930122935324,-0.0,-0.02354874479488968,-0.0,-0.0,-0.04073120627424474,-0.0,-0.0
YPL045W_ilp80,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0
YPL045W_ilp81,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0
YPL045W_ilp82,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
YPL045W_ilp83,-0.0,-0.0,-0.0,-0.0,-0.026248154904540306,-0.00798839482423027,-0.0,-0.0,-0.0,-0.019562665094820887
YPL045W_ilp84,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
YPL045W_ilp85,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
YPL045W_ilp87,0.0,0.0,0.0,0.0,0.009722047019487772,0.0,0.020198768192164977,0.0,0.0,0.0
YPL045W_ilp88,-0.06074641834976517,-0.0,-0.027838117365253722,-0.0,-0.06075795330638742,-0.02199230175511863,-0.05058342764093379,-0.03649189251758935,-0.0,-0.02613531817311134
YPL045W_ilp89,0.002438910444439329,0.0,0.0,0.003236450015770198,0.049764712666060924,0.002574275558875219,0.010710600532889714,0.0,0.005758942971441127,0.00891270741768227
YPL045W_ilp90,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YPL045W_ilp91,0.1009954731528796,0.036643347797921645,0.07523291262332615,0.04391854141252452,0.07088662772870737,0.006568637298945562,0.03866503592358821,0.060880926008097504,0.0,0.027549903155689753
YPL045W_ilp92,-0.01376964701656964,-0.02589525939670843,-0.024087140575049588,-0.0,-0.02570754149185667,-0.0019648511595578835,-0.023487407166948523,-0.02992789258249448,-0.0,-0.0053596606874270055
YPL045W_ilp93,-0.0,-0.0,-0.0,-0.022957024582044093,-0.02309663007549951,-0.0,-0.0076983013186494665,-0.0,-0.0,-0.0
YPL045W_ilp94,-0.0,-0.0,-0.0,0.0,0.004957471686923199,0.0,0.0,0.0,0.0,0.0
YPL045W_ilp95,-0.05254406081231983,-0.054301388446049426,-0.05574983908216381,-0.055636289698864375,-0.05895592948465975,-0.02958066083509795,-0.010709036036042745,-0.03883140423644963,-0.04829693020575174,-0.02454739765364853
YPL045W_ilp96,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00020648048880083248,0.0,0.0
YPL045W_ilp97,-0.006636888371905375,-0.0,-0.0,-0.0,-0.0,-0.030134576188648492,-0.0,-0.0,-0.0,-0.0
YPL045W_ilp98,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
YPL045W_ilp99,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
YPL045W_ilp100,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
YPL045W_ilp101,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0
YPL045W_ilp102,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
YPL045W_ilp103,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
YPL045W_ilp104,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
YPL045W_ilp105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YPL045W_ilp106,0.0,0.0,0.020031158957223526,0.0,0.008761511575188395,0.020465315885009133,0.020343534659676227,0.0,0.01508906316875106,0.0
YPL045W_ilp117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YPL045W_ilp118,-0.031320005421303275,-0.053341270913573595,-0.035281686693158086,-0.028694280857020915,-0.038648689054297934,-0.06344879565099559,-0.015748833606244867,-0.05509778436761201,-0.05572489395764429,-0.08792490630075837
YPL045W_ilp131,-0.016228735191434168,-0.0,-0.0,-0.0,-0.003885396634783224,-0.00498121799612994,-0.0,-0.0,-0.0,-0.0
YPL045W_ilp144,-0.1290157182322843,-0.04863813417208429,-0.12897811419367086,-0.07977121141931887,-0.062204110883037664,-0.13292559393832024,-0.0728185473082199,-0.16037811987731834,-0.10117246020034279,-0.0
YPL045W_ilp146,-0.05498595020052329,-0.0,-0.009131140567589352,-0.05827346679870625,-0.10984896693913891,-0.011185578685791071,-0.05307772719920279,-0.0680549244806898,-0.0,-0.0
YPL045W_ilp149,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
YPL045W_ilp154,0.08828770402750201,0.0,0.051372228759268355,0.10186707478570174,0.152660121809287,0.11799879235950433,0.14753944962615945,0.0654417266990398,0.08712472679042457,0.09925483539994719
YPL045W_ilp156,-0.11820341531888927,-0.11853492754183717,-0.1303771000767531,-0.12747697324835827,-0.15424265018313937,-0.15928226644269064,-0.22872879177039945,-0.12205524731849156,-0.17780296754050495,-0.1510158482953403
YPL045W_ilp157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YPL045W_ilp158,-0.08476733738728598,-0.0,-0.0,-0.032786730784231936,-0.040237276962194986,-0.0,-0.1439540446762939,-0.0,-0.0,-0.0
YPL045W_ilp159,-0.07955234106362641,-0.0,-0.03460900266045631,-0.05242492579408736,-0.06737399905377196,-0.032748489824602545,-0.0147134678179637,-0.10345747258039152,-0.010964372747082191,-0.0472679781389668
YPL045W_ilp160,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0
YPL045W_ilp174,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00197978186931983,-0.0
YPL045W_ilp175,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
YPL045W_ilp176,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YPL045W_ilp190,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0
YPL045W_ilp191,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0
YPL045W_ilp192,0.0,0.0,0.0,0.027041815658475108,0.055191307419928844,0.0,0.019566485917430907,0.0024947494503722895,0.0,0.0
YPL045W_ilp193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YPL045W_ilp194,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
YPL045W_ilp195,0.09708788217154703,0.11732959630210937,0.13572044745215125,0.1826539729376694,0.0979295973175167,0.16600853201466406,0.11559508831825455,0.17214533219234848,0.17551961205555322,0.13480758171450857
YPL045W_ilp209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YPL045W_ilp211,-0.009746554075186481,-0.055576399557399285,-0.0,-0.0308976613400761,-0.0,-0.005664230573233597,-0.0,-0.04015337818900484,-0.0,-0.0
YPL045W_ilp215,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
YPL045W_ilp228,-0.09298177815238862,-0.0,-0.0,-0.004647471448224453,-0.0144925204543879,-0.013617545373848598,-0.0,-0.08644134608164386,-0.0,-0.04938470017629872
YPL045W_ilp231,-0.10329841714461331,-0.05035774268667639,-0.11871758533132021,-0.06997476718888487,-0.08571482375260174,-0.10002994483229657,-0.09949459674873959,-0.05414943815504902,-0.09347443402547514,-0.08831429992509761
YPL045W_ilp240,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
YPL045W_ilp241,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0
YPL045W_ilp250,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
YPL045W_ilp361,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
YPL045W_ilp367,-0.03918053836614974,-0.041963166369185595,-0.05122390627321894,-0.0108438997188909,-0.050971137807225175,-0.04380240872225791,-0.031912003989411526,-0.027181222194962544,-0.040833417715347035,-0.05381998394364766
YPL045W_ilp381,-0.0,-0.0,-0.0,-0.03200897051268895,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
YPL045W_ilp382,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
YPL045W_ilp395,-0.0020987134634141967,-0.012164155029163851,-0.011374219284726369,-0.0,-0.00597425183145978,-0.0,-0.00754994572473761,-0.009497180563856556,-0.0,-0.004278028644763529
YPL045W_ilp415,0.0483794609552726,0.026033447457521296,0.031065955341957194,0.07372917354720823,0.01584659428190291,0.027825562068731453,0.023677119428507504,0.04326934864443545,0.033376504751907156,0.0760638491851675
YPL045W_ilp419,0.0,0.0,0.0,0.005897406532179546,0.00396524356522919,0.0,0.0,0.015843277695916765,0.0,0.0
YPL045W_ilp420,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0
YPL045W_ilp423,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
YPL045W_ilp425,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
YPL045W_ilp719,-0.0,-0.0,-0.007488942172754919,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0
