,1,2,3,4,5,6,7,8,9,10
YPL045W_ilp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YPL045W_ilp2,-0.0,-0.0,-0.0005963626276674138,-0.0011870287844459309,-0.0,-0.0,-0.0,-0.0,-0.0017755395414152941,-0.0
YPL045W_ilp3,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
YPL045W_ilp4,0.0036447494946341757,0.0,0.011483220079609467,0.00819097747513544,0.01553847913111314,0.00659347505044181,0.004632142129089398,0.019606025007164733,0.013844454409563355,0.012194809968169127
YPL045W_ilp5,0.0,0.0035905350695278494,0.0,0.0004791816485677795,0.0,0.0026519510129938565,0.0037298147113430232,0.0,0.0,0.0
YPL045W_ilp6,-0.0,-0.0,-0.004825067185190125,-0.0,-0.0001941210651967827,-0.0,-0.0,-0.001201952382081527,-0.01035415325260534,-0.0
YPL045W_ilp7,0.0,0.0045872676047137365,0.0,0.0,0.0,0.0019116562236379724,0.0,0.0,0.0032719109898789265,0.0
YPL045W_ilp8,0.008988051182750803,0.0,0.02326715393354741,0.0,0.005694095824455008,0.003245909361057724,0.0021307989344920343,0.014917903284143521,0.007761006733313739,0.0
YPL045W_ilp9,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
YPL045W_ilp10,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
YPL045W_ilp11,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
YPL045W_ilp12,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
YPL045W_ilp26,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0
YPL045W_ilp27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YPL045W_ilp29,0.0,0.013435915873333119,0.004780213447436587,0.01013797909265819,0.00014947309471767206,0.004582251579019844,0.016906688350890275,0.019886768911026503,0.0,0.0
YPL045W_ilp30,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
YPL045W_ilp31,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0
YPL045W_ilp32,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0010789768008964327,-0.0,-0.0,-0.0
YPL045W_ilp34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
YPL045W_ilp36,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
YPL045W_ilp42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YPL045W_ilp44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YPL045W_ilp45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YPL045W_ilp46,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0
YPL045W_ilp48,-0.0,-0.005433082295243863,-0.010482669114835117,-0.013630436138782386,-0.01910221859711269,-0.014142490882178843,-0.02255131515146672,-0.023784983490355464,-0.019328572022199147,-0.0005421853374869705
YPL045W_ilp49,0.0,0.03639465757819062,0.022510623475665882,0.022756652153834482,0.020172979727830907,0.04453609605848128,0.033868161389406216,0.02791303807299188,0.06035322912721424,0.0
YPL045W_ilp51,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
YPL045W_ilp52,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
YPL045W_ilp53,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0
YPL045W_ilp54,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0017161059837309698,-0.0,-0.0,-0.0
YPL045W_ilp55,-0.0,-0.0,-0.0023174442738303435,-0.0,-0.0,-0.0,-0.0,-0.005892059089197526,-0.00952082877418599,-0.0
YPL045W_ilp57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YPL045W_ilp58,-0.0,-0.024696127877206327,-0.026652103824921194,-0.04742121059188146,-0.03922877593699629,-0.043550202805482045,-0.034419061840234674,-0.03955865064296398,-0.029724648085258758,-0.005857408343288075
YPL045W_ilp59,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
YPL045W_ilp60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
YPL045W_ilp61,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
YPL045W_ilp62,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
YPL045W_ilp63,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
YPL045W_ilp64,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0
YPL045W_ilp65,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YPL045W_ilp66,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
YPL045W_ilp67,-0.0,-0.0,-0.006869922600254408,-0.004297170923762228,-0.009804505697533742,-0.008272423145779311,-0.022106402360144387,-0.008115569262389802,-0.013371947144483181,-0.0
YPL045W_ilp68,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0
YPL045W_ilp69,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
YPL045W_ilp70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YPL045W_ilp71,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
YPL045W_ilp72,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
YPL045W_ilp73,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
