,Amino acid,Fold,R2,MAE,RMSE
0,alanine,1,0.12400069447062056,0.6122927101631566,1.0822844663902347
1,alanine,2,0.14573617505157943,0.6145230971187652,0.9984010947413231
2,alanine,3,0.022202706287147933,0.604254204811981,0.9445926242631502
3,alanine,4,0.05684400836165171,0.559439326650041,1.0228935448788317
4,alanine,5,0.06224150436096365,0.6131957618610269,1.1501655904802368
5,alanine,6,0.07024898191379358,0.5990820508248729,1.0029870608935332
6,alanine,7,0.05503097942585655,0.5888393627745472,0.9250588082855912
7,alanine,8,0.12688729575016855,0.5765522880472909,1.071519188311495
8,alanine,9,0.07399000242696929,0.5628200827657327,0.966539267308686
9,alanine,10,0.12434806006353338,0.5834678550363572,0.9663636037443895
10,aspartate,1,0.11690061896452963,0.45836019230134817,0.68493014238488
11,aspartate,2,0.08605654589597167,0.4365912931084761,0.6450406950987686
12,aspartate,3,-0.023474510273970406,0.4143452755769507,0.6023409012193803
13,aspartate,4,0.09381090500826661,0.4693732322799206,0.728128751279442
14,aspartate,5,0.03898426170520686,0.43316646308571244,0.7041087140353312
15,aspartate,6,0.0026630306562039907,0.3984178527267453,0.6036322889149233
16,aspartate,7,0.0805267256163702,0.4578892752471009,0.6972442030431111
17,aspartate,8,0.06499369483503992,0.4421693187538735,0.7698051389374796
18,aspartate,9,0.045711349839056115,0.40819018010019914,0.5686525280068769
19,aspartate,10,0.021453226989050944,0.42840336667164114,0.6606602985246951
20,glutamate,1,0.20898074046413706,1.8177086674230443,2.638021721444939
21,glutamate,2,0.16168205369362187,1.7898100215467265,2.8383071714395873
22,glutamate,3,0.06497114326759257,1.792009605921949,2.6994920484536413
23,glutamate,4,0.11005164777956056,1.892166184507726,2.9690798928130464
24,glutamate,5,0.053896319335738574,1.9681125899391365,3.3909982558067506
25,glutamate,6,0.022232449844507007,1.9529497022491646,3.7749069775609114
26,glutamate,7,0.13258507101979455,1.870854429539688,3.0648669117102205
27,glutamate,8,0.08594538493319803,1.9560175028407938,3.4046094524622013
28,glutamate,9,0.08012105400736791,1.7295680153257602,2.4516929188959535
29,glutamate,10,0.13935089782558374,1.8390470486629071,2.7824297642851143
30,phenylalanine,1,0.0005905843883419193,0.032378372707864,0.0841513178435388
31,phenylalanine,2,0.0018356374128236652,0.03141092133448458,0.047739622356256166
32,phenylalanine,3,0.004513054007897255,0.02992480252768847,0.04579257159125376
33,phenylalanine,4,-0.004972166428122371,0.030626776376668923,0.049933332305636645
34,phenylalanine,5,-0.036172955206837276,0.03051436400575325,0.041000591919236766
35,phenylalanine,6,-9.535946210337265e-05,0.02866374681369959,0.041597051492302944
36,phenylalanine,7,-0.00028999431316245605,0.0302507742399463,0.04785147784620845
37,phenylalanine,8,0.009905865313245998,0.02808787730058306,0.04216457160760869
38,phenylalanine,9,-0.005775272761846084,0.028560324958331395,0.04047799647482081
39,phenylalanine,10,-0.0002816846469602119,0.03023323988580124,0.04424842872094658
40,glycine,1,-0.007692364336039592,0.2658560755989701,0.35682332068113326
41,glycine,2,-0.0017442954289492718,0.3047105205233829,0.45806865058044643
42,glycine,3,-0.0008563782335335723,0.30611459492919474,0.4469576475778573
43,glycine,4,-0.0019809339591796427,0.3151187716535932,0.9307273242614416
44,glycine,5,-0.0008369457764003663,0.3023559010477288,0.44893473909861303
45,glycine,6,0.0001919266455975288,0.26024334651393494,0.37965698688902083
46,glycine,7,-0.000997887725215918,0.3114997199640354,0.7807978021966093
47,glycine,8,0.00030898470434581604,0.2854841885982357,0.39985165535224054
48,glycine,9,-0.0006495741016447898,0.26974312593069816,0.3684604452352558
49,glycine,10,-0.0007721028034402,0.28611163962526753,0.39173956431663365
50,histidine,1,0.10757311054443408,0.6100897955635484,0.8549549726780551
51,histidine,2,0.058506047400068595,0.6530599579341214,0.8958589078666176
52,histidine,3,-0.0065532213688050955,0.6643619926652392,0.8720298438751332
53,histidine,4,0.06202100743700034,0.7213466486433002,1.0011524507678697
54,histidine,5,-0.003302194600776742,0.6617892688775926,0.8699150660686519
55,histidine,6,0.06063337715113415,0.6155333502796675,0.8056560230899927
56,histidine,7,0.01621745310050071,0.6789699011519191,0.899945895735635
57,histidine,8,0.09406111614867063,0.6883396947919783,0.9108755270058447
58,histidine,9,0.05518042242017529,0.6513160219438408,0.8741978709447611
59,histidine,10,0.06116197545330504,0.7263228021621849,0.9846272500013487
60,isoleucine,1,0.005612496948746548,0.02228530636813982,0.03287151243929595
61,isoleucine,2,0.07332733726724272,0.02183081248414184,0.03487840302208396
62,isoleucine,3,0.08604990164010795,0.01978624738091536,0.029185008651928118
63,isoleucine,4,0.0714262862666396,0.02047870504465646,0.02985887343875064
64,isoleucine,5,0.005019044300039743,0.021206193109858346,0.030315738103387998
65,isoleucine,6,0.05376655113769824,0.02031163286727951,0.028849284632188468
66,isoleucine,7,0.008884965845814774,0.02108507015915963,0.02843398658399166
67,isoleucine,8,0.0377670310140803,0.022383891688352375,0.03495559446434419
68,isoleucine,9,0.0590973116947664,0.022371130457214335,0.033075022816531234
69,isoleucine,10,0.08405139579580323,0.021388108999550022,0.030628875318173623
70,lysine,1,0.022172057976121096,0.15371852879386366,0.22428659508485846
71,lysine,2,0.02459246094551748,0.17042771218105063,0.26168997737291366
72,lysine,3,0.017940548604521767,0.1678499439150104,0.260835842378043
73,lysine,4,0.008750584012010898,0.1717062063168923,0.37907443633853366
74,lysine,5,0.018802869123791588,0.16135102500714973,0.23083824810077497
75,lysine,6,0.0022358389797264566,0.17691359695440445,0.38002120218703905
76,lysine,7,0.010854876814821779,0.17834507942846622,0.3208985645459729
77,lysine,8,-0.039376349333554606,0.15655595869737443,0.20951729741980987
78,lysine,9,0.029697603825088237,0.16378151281124828,0.22672197516900658
79,lysine,10,0.015018386218144775,0.18728196894015836,0.4679676693403399
80,leucine,1,0.0555207161601734,0.03358137554487794,0.043767856151473016
81,leucine,2,0.03072302221648171,0.03527968383793671,0.05154180783776174
82,leucine,3,0.0460845907240548,0.03283579115461204,0.043612352366749915
83,leucine,4,0.04486874802436813,0.032878968662889536,0.04394735069003092
84,leucine,5,0.0033525130960129212,0.03324219704499703,0.0453381793702702
85,leucine,6,0.02132604342517752,0.03496628406272152,0.04611804203135332
86,leucine,7,0.02502718988758812,0.034856233864617725,0.045491290300822364
87,leucine,8,0.04087117712721877,0.03219329683611448,0.043598267893744276
88,leucine,9,0.07538881921820584,0.032455476735712044,0.04394533349966773
89,leucine,10,0.014897136721408133,0.0341028411777755,0.04560226196866404
90,methionine,1,0.06121320473181047,0.014317469366065197,0.019451615344586552
91,methionine,2,0.06255251821578311,0.017005228016717163,0.027302973958833555
92,methionine,3,0.04001790437452213,0.01526523149151582,0.021522188711297886
93,methionine,4,0.10012615988938833,0.014790856831236264,0.019357811147396327
94,methionine,5,0.056203192427108695,0.016296564710748793,0.02221326464488298
95,methionine,6,0.11295917002188094,0.015623594989924024,0.020994603282131537
96,methionine,7,0.04321452764157052,0.01602612666256834,0.02153057939756415
97,methionine,8,0.03601390675468519,0.01674854772286431,0.027452999699267105
98,methionine,9,0.07624658866877276,0.014851058859696748,0.020045400606934497
99,methionine,10,0.10489548844279173,0.014512085072773302,0.01972122359644909
100,asparagine,1,0.044753507615648114,0.09425915198914367,0.16096378009075846
101,asparagine,2,0.07232768989683858,0.10112484343475805,0.1503457486927894
102,asparagine,3,-0.011475733518755638,0.08120729130865824,0.11656403248586798
103,asparagine,4,0.04842653043530809,0.0816140433991966,0.13239096450140647
104,asparagine,5,0.050625894313268915,0.09258035074855654,0.15571356163705297
105,asparagine,6,0.04257123365625359,0.0910979895116926,0.14711586316144692
106,asparagine,7,0.018004720064270674,0.08574446586988675,0.13284303416731266
107,asparagine,8,0.010576685343921644,0.0770960503718064,0.11559375210367599
108,asparagine,9,0.03297099103889489,0.0810397745501761,0.11829217729276893
109,asparagine,10,0.042474724628335125,0.08653593769872298,0.13355794379848562
110,proline,1,0.06646685255503015,0.09195473986916688,0.13383138297463854
111,proline,2,0.12753524137532402,0.08791309922944668,0.13044758981898144
112,proline,3,0.0465363438161861,0.08640827020098676,0.12241192256286106
113,proline,4,0.10593906350030002,0.0921214486224063,0.13344645280670886
114,proline,5,0.00971243715271708,0.09549309791294067,0.13902626701185697
115,proline,6,0.12061436839087614,0.09167969882964093,0.13015614951128968
116,proline,7,0.10747886373010784,0.08676750156196675,0.12251508373408886
117,proline,8,0.09460501740393845,0.08870423558194038,0.13102824375036246
118,proline,9,0.10020589932292523,0.0879213272912629,0.1303531478113509
119,proline,10,0.1444973518189011,0.08515729495244775,0.12470694003459142
120,glutamine,1,0.03176637063902654,2.444479590502663,3.5911706542153863
121,glutamine,2,0.052085366059533844,2.9513611205672268,4.112829255823557
122,glutamine,3,0.014722662541114206,2.6384500809687252,3.5745010692676717
123,glutamine,4,-0.017329051125714034,2.6270337242480353,4.754835949138014
124,glutamine,5,0.022595867795364266,2.76014293922132,3.8239671987188606
125,glutamine,6,0.08216057022557866,2.581297288949275,3.867660892753605
126,glutamine,7,-0.007458143109845938,2.4774914584806615,3.5312560202334726
127,glutamine,8,0.030023110973030565,2.3410898422108697,3.244112843003325
128,glutamine,9,0.045545608425676565,2.4459787994832354,3.4543091845108123
129,glutamine,10,0.08101460161424967,2.4746046014220258,3.4901740598903266
130,arginine,1,0.04286957465786623,0.9868987110272806,1.4182131730222944
131,arginine,2,0.07053547519837688,0.9950417430772345,1.4100750395423478
132,arginine,3,0.001378517610851282,0.9513888408227318,1.4881407939655804
133,arginine,4,0.007028627651355146,1.141938027250471,1.6899814595843414
134,arginine,5,0.015945078533695978,1.0072172942188393,1.4605424119623331
135,arginine,6,-0.0035662911011573595,0.9957525665007676,1.3682816180695632
136,arginine,7,0.05636281100919438,0.9718633925356644,1.428077293822121
137,arginine,8,-0.00704157498446456,1.0270700423691193,1.3940567417830327
138,arginine,9,0.032144682359402266,0.9967125610799953,1.58201335941196
139,arginine,10,0.04089769900608686,0.9629475584869863,1.3756546350808112
140,serine,1,0.10072264104625706,0.18214109392546546,0.2604645251157351
141,serine,2,0.0368420181629604,0.2167914136809989,0.5822280319693414
142,serine,3,0.05668111103948936,0.17357592627103283,0.25457447816083645
143,serine,4,0.09140209934736743,0.185067380271195,0.2622752385137007
144,serine,5,0.04490971394156207,0.1707066813121522,0.2587322961484945
145,serine,6,0.09374081958270175,0.17045479555788787,0.25581032452608743
146,serine,7,0.04118473887661156,0.17307650089544194,0.24578245564754642
147,serine,8,0.04375067402178445,0.17942960461761404,0.30038051042151737
148,serine,9,0.08194179395463352,0.16704875350247655,0.23560502242999415
149,serine,10,0.05947318516095412,0.16415467917039317,0.22872978920788326
150,threonine,1,0.02633351264806927,0.2448482680600906,0.34232959396147666
151,threonine,2,0.01950072379946266,0.22652317816231218,0.3401790458520133
152,threonine,3,0.004658878565516278,0.2264858126135867,0.3312916149036022
153,threonine,4,0.006020205623154307,0.22924764294166114,0.3611275821358868
154,threonine,5,0.015724489366268357,0.2124259264201372,0.29092108449391896
155,threonine,6,0.008896770025626832,0.22770438762859524,0.32486306643492474
156,threonine,7,0.010457993419753953,0.24174070442525447,0.35735572805933286
157,threonine,8,-0.025686181123648844,0.23085468091623268,0.36811608120177364
158,threonine,9,0.02692897651403492,0.22952419412469374,0.4161940391190969
159,threonine,10,0.009424392620453359,0.22796062814286014,0.32307639015727935
160,valine,1,0.05134394077528526,0.0922770451295572,0.17866070461604247
161,valine,2,0.06781451854813836,0.11512633180565661,0.3213829229914518
162,valine,3,0.11686679838985503,0.09767655335043338,0.2568010151988138
163,valine,4,-0.04257233767833424,0.09241727022122005,0.16850920445493625
164,valine,5,-0.18822123213590003,0.09364505225082224,0.16057360572840568
165,valine,6,0.05695026228312983,0.10571390443459058,0.25889676783657317
166,valine,7,-0.050847177272531185,0.09297701026675827,0.18890139668106587
167,valine,8,0.05774111794561776,0.09959115506501008,0.22537187141426146
168,valine,9,0.05332080540372719,0.10438980245568094,0.3003225361702336
169,valine,10,0.07181695656485754,0.09997564678188063,0.2675131539723212
170,tryptophan,1,-0.002096489073462493,0.004312735166241641,0.006316377037578445
171,tryptophan,2,-5.9857653730066573e-05,0.0047896140536391645,0.008713028032386003
172,tryptophan,3,0.010014271556679,0.004539932351827781,0.006695649118268024
173,tryptophan,4,-0.0008829760598449976,0.004546147645388746,0.007406125633252436
174,tryptophan,5,-0.005646200565902149,0.00450976719762183,0.006873310605845126
175,tryptophan,6,-0.0030694355617424396,0.004232682042131615,0.0059889804849537044
176,tryptophan,7,-0.000458572592562545,0.0046350420309294905,0.0066253226460845265
177,tryptophan,8,0.004228705193216609,0.004537440475078345,0.006322861908569227
178,tryptophan,9,-0.0072173878457195695,0.004384300382343085,0.006787927389192327
179,tryptophan,10,0.003369313729843393,0.004680700144166765,0.006833851407394943
180,tyrosine,1,0.10972836313495449,0.5098550542447251,0.7418962837830962
181,tyrosine,2,0.14492885370360253,0.5712430111699994,1.0086287587499152
182,tyrosine,3,0.0916032387829594,0.5162867055708047,0.9444828282183445
183,tyrosine,4,0.02720949288278296,0.557562830777283,1.0742678988561547
184,tyrosine,5,0.058826364527684305,0.5444713805726517,0.92298654105993
185,tyrosine,6,0.12254022583737756,0.507232154457233,0.7243661483295247
186,tyrosine,7,0.06686030994356518,0.5275086632805189,0.7634433373345046
187,tyrosine,8,0.09006777039780367,0.5361938840893885,0.860040161493294
188,tyrosine,9,0.08574451544349426,0.49044183738537833,0.8064326243994208
