	Coefficient	weighted_score	Combined
YPL045W_ilp95	-1.0	0.332855890293509	"[""YPL045W_ilp95_feature(95,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,'N-nitrosodimethylamine'))).)"", ""YEL050C_ilp19_feature(19,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,'N-nitrosodimethylamine'))).)"", ""YCR066W_ilp14_feature(14,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,'N-nitrosodimethylamine'))).)"", ""YNR006W_ilp50_feature(50,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,'N-nitrosodimethylamine'))).)""]"
YPL045W_ilp121	0.9017249977246163	0.6094229543184413	"[""YLL043W_ilp92_feature(92,(gene(A):-exhibits_phenotype(A,'decreased metal resistance',B,C),compound_name(B,'cadmium dichloride'))).)"", ""YLR360W_ilp72_feature(72,(gene(A):-exhibits_phenotype(A,'decreased metal resistance',B,C),compound_name(B,'cadmium dichloride'))).)"", ""YNR006W_ilp128_feature(128,(gene(A):-exhibits_phenotype(A,'decreased metal resistance',B,C),compound_name(B,'cadmium dichloride'))).)"", ""YLR113W_ilp74_feature(74,(gene(A):-exhibits_phenotype(A,'decreased metal resistance',B,C),compound_name(B,'cadmium dichloride'))).)"", ""YPL045W_ilp121_feature(121,(gene(A):-exhibits_phenotype(A,'decreased metal resistance',B,C),compound_name(B,'cadmium dichloride'))).)"", ""YJL095W_ilp106_feature(106,(gene(A):-exhibits_phenotype(A,'decreased metal resistance',B,C),compound_name(B,'cadmium dichloride'))).)""]"
YPL045W_ilp81	-0.4851223965215104	0.2510559610296108	"[""YBR127C_ilp20_feature(20,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,'acetic acid'))).)"", ""YOL091W_ilp7_feature(7,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,'acetic acid'))).)"", ""YLR056W_ilp63_feature(63,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,'acetic acid'))).)"", ""YMR216C_ilp29_feature(29,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,'acetic acid'))).)"", ""YLR240W_ilp24_feature(24,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,'acetic acid'))).)"", ""YEL050C_ilp17_feature(17,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,'acetic acid'))).)"", ""YDR127W_ilp47_feature(47,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,'acetic acid'))).)"", ""YPL045W_ilp81_feature(81,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,'acetic acid'))).)"", ""YDR028C_ilp43_feature(43,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,'acetic acid'))).)"", ""YCR034W_ilp30_feature(30,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,'acetic acid'))).)""]"
YPL045W_ilp72	0.48114380223276504	0.3806776294936452	"[""YKL190W_ilp45_feature(45,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,'arsenite(3-)'))).)"", ""YNR051C_ilp44_feature(44,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,'arsenite(3-)'))).)"", ""YLR113W_ilp40_feature(40,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,'arsenite(3-)'))).)"", ""YJL047C_ilp12_feature(12,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,'arsenite(3-)'))).)"", ""YNR006W_ilp30_feature(30,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,'arsenite(3-)'))).)"", ""YHR178W_ilp33_feature(33,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,'arsenite(3-)'))).)"", ""YDR028C_ilp48_feature(48,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,'arsenite(3-)'))).)"", ""YPL045W_ilp72_feature(72,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,'arsenite(3-)'))).)"", ""YJL204C_ilp55_feature(55,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,'arsenite(3-)'))).)"", ""YCR034W_ilp54_feature(54,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,'arsenite(3-)'))).)""]"
YPL045W_ilp88	0.418400998820028	0.3089875940762878	"[""YKL126W_ilp27_feature(27,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,'hygromycin B'))).)"", ""YLR360W_ilp45_feature(45,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,'hygromycin B'))).)"", ""YPL045W_ilp88_feature(88,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,'hygromycin B'))).)"", ""YHR178W_ilp27_feature(27,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,'hygromycin B'))).)"", ""YLR056W_ilp39_feature(39,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,'hygromycin B'))).)"", ""YDR389W_ilp19_feature(19,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,'hygromycin B'))).)"", ""YLR240W_ilp34_feature(34,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,'hygromycin B'))).)"", ""YJL095W_ilp51_feature(51,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,'hygromycin B'))).)"", ""YNR006W_ilp37_feature(37,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,'hygromycin B'))).)"", ""YDR028C_ilp28_feature(28,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,'hygromycin B'))).)"", ""YJL204C_ilp39_feature(39,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,'hygromycin B'))).)""]"
YPL045W_ilp60	0.4151507928873221	0.3408793937689639	"[""YCR034W_ilp20_feature(20,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,'chromium trioxide'))).)"", ""YMR216C_ilp17_feature(17,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,'chromium trioxide'))).)"", ""YPL045W_ilp60_feature(60,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,'chromium trioxide'))).)"", ""YHR178W_ilp17_feature(17,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,'chromium trioxide'))).)"", ""YJL095W_ilp30_feature(30,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,'chromium trioxide'))).)"", ""YCR066W_ilp42_feature(42,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,'chromium trioxide'))).)"", ""YLL043W_ilp22_feature(22,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,'chromium trioxide'))).)""]"
YPL045W_ilp56	0.39912815038672367	0.4225653400738774	"[""YLR360W_ilp35_feature(35,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,caffeine))).)"", ""YDR028C_ilp10_feature(10,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,caffeine))).)"", ""YLR113W_ilp31_feature(31,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,caffeine))).)"", ""YBR127C_ilp71_feature(71,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,caffeine))).)"", ""YNR051C_ilp32_feature(32,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,caffeine))).)"", ""YPL045W_ilp56_feature(56,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,caffeine))).)"", ""YKL126W_ilp33_feature(33,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,caffeine))).)"", ""YLL043W_ilp49_feature(49,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,caffeine))).)"", ""YJL204C_ilp53_feature(53,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,caffeine))).)"", ""YLR056W_ilp60_feature(60,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,caffeine))).)"", ""YJL047C_ilp16_feature(16,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,caffeine))).)"", ""YHR178W_ilp18_feature(18,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,caffeine))).)"", ""YKL190W_ilp29_feature(29,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,caffeine))).)"", ""YJL095W_ilp22_feature(22,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,caffeine))).)"", ""YNR006W_ilp56_feature(56,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,caffeine))).)""]"
YPL045W_ilp163	0.3919165530969986	0.3525352000674936	"[""YPL045W_ilp163_feature(163,(gene(A):-exhibits_phenotype(A,'increased chemical compound excretion',B,C),compound_name(B,glutathione))).)"", ""YNR006W_ilp166_feature(166,(gene(A):-exhibits_phenotype(A,'increased chemical compound excretion',B,C),condition(C,'Treatment:  SD medium'))).)"", ""YNR051C_ilp94_feature(94,(gene(A):-exhibits_phenotype(A,'increased chemical compound excretion',B,C),compound_name(B,glutathione))).)"", ""YLR360W_ilp94_feature(94,(gene(A):-exhibits_phenotype(A,'increased chemical compound excretion',B,C),compound_name(B,glutathione))).)"", ""YNR006W_ilp1302_feature(1302,(gene(A):-exhibits_phenotype(A,'increased chemical compound excretion',B,C),compound_name(B,glutathione),condition(C,'Treatment:  SD medium'))).)"", ""YLR360W_ilp629_feature(629,(gene(A):-exhibits_phenotype(A,'increased chemical compound excretion',B,C),compound_name(B,glutathione),condition(C,'Treatment:  SD medium'))).)"", ""YPL045W_ilp1152_feature(1152,(gene(A):-exhibits_phenotype(A,'increased chemical compound excretion',B,C),compound_name(B,glutathione),condition(C,'Treatment:  SD medium'))).)"", ""YJL095W_ilp122_feature(122,(gene(A):-exhibits_phenotype(A,'increased chemical compound excretion',B,C),condition(C,'Treatment:  SD medium'))).)"", ""YPL045W_ilp164_feature(164,(gene(A):-exhibits_phenotype(A,'increased chemical compound excretion',B,C),condition(C,'Treatment:  SD medium'))).)"", ""YNR006W_ilp165_feature(165,(gene(A):-exhibits_phenotype(A,'increased chemical compound excretion',B,C),compound_name(B,glutathione))).)"", ""YBR127C_ilp106_feature(106,(gene(A):-exhibits_phenotype(A,'increased chemical compound excretion',B,C),condition(C,'Treatment:  SD medium'))).)"", ""YJL095W_ilp121_feature(121,(gene(A):-exhibits_phenotype(A,'increased chemical compound excretion',B,C),compound_name(B,glutathione))).)"", ""YNR051C_ilp95_feature(95,(gene(A):-exhibits_phenotype(A,'increased chemical compound excretion',B,C),condition(C,'Treatment:  SD medium'))).)"", ""YNR051C_ilp553_feature(553,(gene(A):-exhibits_phenotype(A,'increased chemical compound excretion',B,C),compound_name(B,glutathione),condition(C,'Treatment:  SD medium'))).)"", ""YJL095W_ilp1039_feature(1039,(gene(A):-exhibits_phenotype(A,'increased chemical compound excretion',B,C),compound_name(B,glutathione),condition(C,'Treatment:  SD medium'))).)"", ""YBR127C_ilp105_feature(105,(gene(A):-exhibits_phenotype(A,'increased chemical compound excretion',B,C),compound_name(B,glutathione))).)"", ""YBR127C_ilp608_feature(608,(gene(A):-exhibits_phenotype(A,'increased chemical compound excretion',B,C),compound_name(B,glutathione),condition(C,'Treatment:  SD medium'))).)"", ""YLR360W_ilp95_feature(95,(gene(A):-exhibits_phenotype(A,'increased chemical compound excretion',B,C),condition(C,'Treatment:  SD medium'))).)""]"
YJL095W_ilp24	0.37552443111562994	0.5294648618611927	"[""YLR113W_ilp28_feature(28,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,glyoxal))).)"", ""YCR034W_ilp37_feature(37,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,glyoxal))).)"", ""YDR028C_ilp37_feature(37,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,glyoxal))).)"", ""YJL095W_ilp24_feature(24,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,glyoxal))).)"", ""YHR178W_ilp12_feature(12,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,glyoxal))).)""]"
YPL045W_ilp2	-0.36475275895308545	0.35065500380322134	"[""YKL126W_ilp6_feature(6,(gene(A):-exhibits_phenotype(A,'decreased hyperosmotic stress resistance',B,C))).)"", ""YLR056W_ilp6_feature(6,(gene(A):-exhibits_phenotype(A,'decreased hyperosmotic stress resistance',B,C))).)"", ""YLR113W_ilp4_feature(4,(gene(A):-exhibits_phenotype(A,'decreased hyperosmotic stress resistance',B,C))).)"", ""YKL190W_ilp7_feature(7,(gene(A):-exhibits_phenotype(A,'decreased hyperosmotic stress resistance',B,C))).)"", ""YPL045W_ilp2_feature(2,(gene(A):-exhibits_phenotype(A,'decreased hyperosmotic stress resistance',B,C))).)"", ""YDR127W_ilp8_feature(8,(gene(A):-exhibits_phenotype(A,'decreased hyperosmotic stress resistance',B,C))).)""]"
