	Coefficient	weighted_score	Combined
YLL043W_ilp54	-1.0	0.41322114193146603	"[""YLL043W_ilp54_feature(54,(gene(A):-exhibits_phenotype(A,'increased resistance to chemicals',B,C),compound_name(B,'sodium arsenite'))).)""]"
YPL045W_ilp146	-0.5848277612026623	0.26506267086155016	"[""YPL045W_ilp1185_feature(1185,(gene(A):-exhibits_phenotype(A,'decreased hyperosmotic stress resistance',B,C),compound_name(B,sucrose),condition(C,'Media containing 30% (w/v) sucrose'))).)"", ""YDR127W_ilp501_feature(501,(gene(A):-exhibits_phenotype(A,'decreased hyperosmotic stress resistance',B,C),compound_modulates_target(B,'through activation',D),participates_in_metabolism(D,'consumption of',sucrose))).)"", ""YDR127W_ilp503_feature(503,(gene(A):-exhibits_phenotype(A,'decreased hyperosmotic stress resistance',B,C),compound_modulates_target(B,'through activation',D),participates_in_metabolism(D,'production of','D-glucose'))).)"", ""YPL045W_ilp628_feature(628,(gene(A):-exhibits_phenotype(A,'decreased hyperosmotic stress resistance',B,C),compound_modulates_target(B,'through activation',D),participates_in_metabolism(D,'production of','D-fructose'))).)"", ""YKL126W_ilp401_feature(401,(gene(A):-exhibits_phenotype(A,'decreased hyperosmotic stress resistance',B,C),compound_modulates_target(B,'through activation',D),participates_in_metabolism(D,'production of','D-glucose'))).)"", ""YPL045W_ilp148_feature(148,(gene(A):-exhibits_phenotype(A,'decreased hyperosmotic stress resistance',B,C),condition(C,'Media containing 30% (w/v) sucrose'))).)"", ""YLR113W_ilp692_feature(692,(gene(A):-exhibits_phenotype(A,'decreased hyperosmotic stress resistance',B,C),compound_name(B,sucrose),condition(C,'Media containing 30% (w/v) sucrose'))).)"", ""YLR113W_ilp100_feature(100,(gene(A):-exhibits_phenotype(A,'decreased hyperosmotic stress resistance',B,C),condition(C,'Media containing 30% (w/v) sucrose'))).)"", ""YDR127W_ilp853_feature(853,(gene(A):-exhibits_phenotype(A,'decreased hyperosmotic stress resistance',B,C),compound_name(B,sucrose),condition(C,'Media containing 30% (w/v) sucrose'))).)"", ""YLR113W_ilp418_feature(418,(gene(A):-exhibits_phenotype(A,'decreased hyperosmotic stress resistance',B,C),compound_modulates_target(B,'through activation',D),participates_in_metabolism(D,'production of','D-fructose'))).)"", ""YPL045W_ilp146_feature(146,(gene(A):-exhibits_phenotype(A,'decreased hyperosmotic stress resistance',B,C),compound_name(B,sucrose))).)"", ""YDR127W_ilp110_feature(110,(gene(A):-exhibits_phenotype(A,'decreased hyperosmotic stress resistance',B,C),compound_name(B,sucrose))).)"", ""YKL126W_ilp90_feature(90,(gene(A):-exhibits_phenotype(A,'decreased hyperosmotic stress resistance',B,C),condition(C,'Media containing 30% (w/v) sucrose'))).)"", ""YPL045W_ilp629_feature(629,(gene(A):-exhibits_phenotype(A,'decreased hyperosmotic stress resistance',B,C),compound_modulates_target(B,'through activation',D),participates_in_metabolism(D,'production of','D-glucose'))).)"", ""YDR127W_ilp111_feature(111,(gene(A):-exhibits_phenotype(A,'decreased hyperosmotic stress resistance',B,C),condition(C,'Media containing 30% (w/v) sucrose'))).)"", ""YPL045W_ilp627_feature(627,(gene(A):-exhibits_phenotype(A,'decreased hyperosmotic stress resistance',B,C),compound_modulates_target(B,'through activation',D),participates_in_metabolism(D,'consumption of',sucrose))).)"", ""YLR113W_ilp99_feature(99,(gene(A):-exhibits_phenotype(A,'decreased hyperosmotic stress resistance',B,C),compound_name(B,sucrose))).)"", ""YKL126W_ilp400_feature(400,(gene(A):-exhibits_phenotype(A,'decreased hyperosmotic stress resistance',B,C),compound_modulates_target(B,'through activation',D),participates_in_metabolism(D,'production of','D-fructose'))).)"", ""YLR113W_ilp419_feature(419,(gene(A):-exhibits_phenotype(A,'decreased hyperosmotic stress resistance',B,C),compound_modulates_target(B,'through activation',D),participates_in_metabolism(D,'production of','D-glucose'))).)"", ""YKL126W_ilp399_feature(399,(gene(A):-exhibits_phenotype(A,'decreased hyperosmotic stress resistance',B,C),compound_modulates_target(B,'through activation',D),participates_in_metabolism(D,'consumption of',sucrose))).)"", ""YKL126W_ilp88_feature(88,(gene(A):-exhibits_phenotype(A,'decreased hyperosmotic stress resistance',B,C),compound_name(B,sucrose))).)"", ""YKL126W_ilp676_feature(676,(gene(A):-exhibits_phenotype(A,'decreased hyperosmotic stress resistance',B,C),compound_name(B,sucrose),condition(C,'Media containing 30% (w/v) sucrose'))).)"", ""YDR127W_ilp502_feature(502,(gene(A):-exhibits_phenotype(A,'decreased hyperosmotic stress resistance',B,C),compound_modulates_target(B,'through activation',D),participates_in_metabolism(D,'production of','D-fructose'))).)"", ""YLR113W_ilp417_feature(417,(gene(A):-exhibits_phenotype(A,'decreased hyperosmotic stress resistance',B,C),compound_modulates_target(B,'through activation',D),participates_in_metabolism(D,'consumption of',sucrose))).)""]"
YEL050C_ilp66	-0.47707088585143564	0.3261041153915093	"[""YMR216C_ilp37_feature(37,(gene(A):-exhibits_phenotype(A,'increased resistance to chemicals',B,C),compound_name(B,'actinomycin D'))).)"", ""YEL050C_ilp66_feature(66,(gene(A):-exhibits_phenotype(A,'increased resistance to chemicals',B,C),compound_name(B,'actinomycin D'))).)"", ""YER145C_ilp34_feature(34,(gene(A):-exhibits_phenotype(A,'increased resistance to chemicals',B,C),compound_name(B,'actinomycin D'))).)""]"
YEL050C_ilp24	-0.45331488839297823	0.4040893549692609	"[""YEL050C_ilp24_feature(24,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,pentachlorophenol))).)"", ""YDR127W_ilp28_feature(28,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,pentachlorophenol))).)""]"
YPL045W_ilp81	-0.4383619286091036	0.2307477228309322	"[""YBR127C_ilp20_feature(20,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,'acetic acid'))).)"", ""YOL091W_ilp7_feature(7,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,'acetic acid'))).)"", ""YLR056W_ilp63_feature(63,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,'acetic acid'))).)"", ""YMR216C_ilp29_feature(29,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,'acetic acid'))).)"", ""YLR240W_ilp24_feature(24,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,'acetic acid'))).)"", ""YEL050C_ilp17_feature(17,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,'acetic acid'))).)"", ""YDR127W_ilp47_feature(47,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,'acetic acid'))).)"", ""YPL045W_ilp81_feature(81,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,'acetic acid'))).)"", ""YDR028C_ilp43_feature(43,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,'acetic acid'))).)"", ""YCR034W_ilp30_feature(30,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,'acetic acid'))).)""]"
YLR056W_ilp23	-0.39932138007729867	0.30582635716616186	"[""YDR389W_ilp36_feature(36,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,doxorubicin))).)"", ""YJL047C_ilp25_feature(25,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,doxorubicin))).)"", ""YER145C_ilp11_feature(11,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,doxorubicin))).)"", ""YEL050C_ilp42_feature(42,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,doxorubicin))).)"", ""YMR216C_ilp21_feature(21,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,doxorubicin))).)"", ""YLR240W_ilp30_feature(30,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,doxorubicin))).)"", ""YJL095W_ilp10_feature(10,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,doxorubicin))).)"", ""YBR127C_ilp70_feature(70,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,doxorubicin))).)"", ""YNR051C_ilp60_feature(60,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,doxorubicin))).)"", ""YDR028C_ilp31_feature(31,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,doxorubicin))).)"", ""YLR056W_ilp23_feature(23,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,doxorubicin))).)"", ""YLL043W_ilp19_feature(19,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,doxorubicin))).)""]"
YLR056W_ilp80	-0.3564810748051098	0.26152063838041784	"[""YMR216C_ilp13_feature(13,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,quinine))).)"", ""YKL126W_ilp31_feature(31,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,quinine))).)"", ""YBR127C_ilp30_feature(30,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,quinine))).)"", ""YNR051C_ilp55_feature(55,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,quinine))).)"", ""YCR066W_ilp25_feature(25,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,quinine))).)"", ""YEL050C_ilp43_feature(43,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,quinine))).)"", ""YLR056W_ilp80_feature(80,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,quinine))).)"", ""YJL204C_ilp34_feature(34,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,quinine))).)"", ""YER145C_ilp28_feature(28,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,quinine))).)"", ""YCR034W_ilp41_feature(41,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,quinine))).)""]"
YPL045W_ilp26	0.3355397601663449	0.30021105398792136	"[""YMR216C_ilp23_feature(23,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,mefloquine))).)"", ""YJL204C_ilp50_feature(50,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,mefloquine))).)"", ""YLR360W_ilp42_feature(42,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,mefloquine))).)"", ""YKL126W_ilp32_feature(32,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,mefloquine))).)"", ""YJL095W_ilp35_feature(35,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,mefloquine))).)"", ""YNR006W_ilp22_feature(22,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,mefloquine))).)"", ""YPL045W_ilp26_feature(26,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,mefloquine))).)""]"
YLR056W_ilp19	0.31933832826569314	0.29167851811966283	"[""YEL050C_ilp35_feature(35,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,'4-methylcyclohexanemethanol'))).)"", ""YLR056W_ilp19_feature(19,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,'4-methylcyclohexanemethanol'))).)"", ""YDR127W_ilp55_feature(55,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,'4-methylcyclohexanemethanol'))).)"", ""YDR028C_ilp32_feature(32,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,'4-methylcyclohexanemethanol'))).)"", ""YMR216C_ilp18_feature(18,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,'4-methylcyclohexanemethanol'))).)"", ""YBR127C_ilp56_feature(56,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,'4-methylcyclohexanemethanol'))).)""]"
YPL045W_ilp85	-0.31417116897543085	0.36354020819909066	"[""YPL045W_ilp85_feature(85,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,'butyric acid'))).)"", ""YDR127W_ilp35_feature(35,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,'butyric acid'))).)"", ""YNR006W_ilp57_feature(57,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,'butyric acid'))).)"", ""YCR034W_ilp49_feature(49,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,'butyric acid'))).)"", ""YBR127C_ilp53_feature(53,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,'butyric acid'))).)"", ""YDR028C_ilp23_feature(23,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,'butyric acid'))).)"", ""YEL050C_ilp44_feature(44,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,'butyric acid'))).)"", ""YLR240W_ilp26_feature(26,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,'butyric acid'))).)"", ""YNR051C_ilp29_feature(29,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,'butyric acid'))).)""]"
