	Coefficient	weighted_score	Combined
YPL045W_ilp51	1.0	0.4964986661824891	"[""YKL126W_ilp19_feature(19,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,'monensin A'))).)"", ""YPL045W_ilp51_feature(51,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,'monensin A'))).)"", ""YCR034W_ilp26_feature(26,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,'monensin A'))).)"", ""YJL204C_ilp23_feature(23,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,'monensin A'))).)"", ""YNR051C_ilp63_feature(63,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,'monensin A'))).)"", ""YLR240W_ilp44_feature(44,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,'monensin A'))).)""]"
YLL043W_ilp54	-0.9160201819569441	0.38764802489388245	"[""YLL043W_ilp54_feature(54,(gene(A):-exhibits_phenotype(A,'increased resistance to chemicals',B,C),compound_name(B,'sodium arsenite'))).)""]"
YPL045W_ilp95	-0.6567362346443333	0.24243356809768402	"[""YPL045W_ilp95_feature(95,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,'N-nitrosodimethylamine'))).)"", ""YEL050C_ilp19_feature(19,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,'N-nitrosodimethylamine'))).)"", ""YCR066W_ilp14_feature(14,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,'N-nitrosodimethylamine'))).)"", ""YNR006W_ilp50_feature(50,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,'N-nitrosodimethylamine'))).)""]"
YPL045W_ilp146	-0.48481855522601164	0.22754143021889292	"[""YPL045W_ilp1185_feature(1185,(gene(A):-exhibits_phenotype(A,'decreased hyperosmotic stress resistance',B,C),compound_name(B,sucrose),condition(C,'Media containing 30% (w/v) sucrose'))).)"", ""YDR127W_ilp501_feature(501,(gene(A):-exhibits_phenotype(A,'decreased hyperosmotic stress resistance',B,C),compound_modulates_target(B,'through activation',D),participates_in_metabolism(D,'consumption of',sucrose))).)"", ""YDR127W_ilp503_feature(503,(gene(A):-exhibits_phenotype(A,'decreased hyperosmotic stress resistance',B,C),compound_modulates_target(B,'through activation',D),participates_in_metabolism(D,'production of','D-glucose'))).)"", ""YPL045W_ilp628_feature(628,(gene(A):-exhibits_phenotype(A,'decreased hyperosmotic stress resistance',B,C),compound_modulates_target(B,'through activation',D),participates_in_metabolism(D,'production of','D-fructose'))).)"", ""YKL126W_ilp401_feature(401,(gene(A):-exhibits_phenotype(A,'decreased hyperosmotic stress resistance',B,C),compound_modulates_target(B,'through activation',D),participates_in_metabolism(D,'production of','D-glucose'))).)"", ""YPL045W_ilp148_feature(148,(gene(A):-exhibits_phenotype(A,'decreased hyperosmotic stress resistance',B,C),condition(C,'Media containing 30% (w/v) sucrose'))).)"", ""YLR113W_ilp692_feature(692,(gene(A):-exhibits_phenotype(A,'decreased hyperosmotic stress resistance',B,C),compound_name(B,sucrose),condition(C,'Media containing 30% (w/v) sucrose'))).)"", ""YLR113W_ilp100_feature(100,(gene(A):-exhibits_phenotype(A,'decreased hyperosmotic stress resistance',B,C),condition(C,'Media containing 30% (w/v) sucrose'))).)"", ""YDR127W_ilp853_feature(853,(gene(A):-exhibits_phenotype(A,'decreased hyperosmotic stress resistance',B,C),compound_name(B,sucrose),condition(C,'Media containing 30% (w/v) sucrose'))).)"", ""YLR113W_ilp418_feature(418,(gene(A):-exhibits_phenotype(A,'decreased hyperosmotic stress resistance',B,C),compound_modulates_target(B,'through activation',D),participates_in_metabolism(D,'production of','D-fructose'))).)"", ""YPL045W_ilp146_feature(146,(gene(A):-exhibits_phenotype(A,'decreased hyperosmotic stress resistance',B,C),compound_name(B,sucrose))).)"", ""YDR127W_ilp110_feature(110,(gene(A):-exhibits_phenotype(A,'decreased hyperosmotic stress resistance',B,C),compound_name(B,sucrose))).)"", ""YKL126W_ilp90_feature(90,(gene(A):-exhibits_phenotype(A,'decreased hyperosmotic stress resistance',B,C),condition(C,'Media containing 30% (w/v) sucrose'))).)"", ""YPL045W_ilp629_feature(629,(gene(A):-exhibits_phenotype(A,'decreased hyperosmotic stress resistance',B,C),compound_modulates_target(B,'through activation',D),participates_in_metabolism(D,'production of','D-glucose'))).)"", ""YDR127W_ilp111_feature(111,(gene(A):-exhibits_phenotype(A,'decreased hyperosmotic stress resistance',B,C),condition(C,'Media containing 30% (w/v) sucrose'))).)"", ""YPL045W_ilp627_feature(627,(gene(A):-exhibits_phenotype(A,'decreased hyperosmotic stress resistance',B,C),compound_modulates_target(B,'through activation',D),participates_in_metabolism(D,'consumption of',sucrose))).)"", ""YLR113W_ilp99_feature(99,(gene(A):-exhibits_phenotype(A,'decreased hyperosmotic stress resistance',B,C),compound_name(B,sucrose))).)"", ""YKL126W_ilp400_feature(400,(gene(A):-exhibits_phenotype(A,'decreased hyperosmotic stress resistance',B,C),compound_modulates_target(B,'through activation',D),participates_in_metabolism(D,'production of','D-fructose'))).)"", ""YLR113W_ilp419_feature(419,(gene(A):-exhibits_phenotype(A,'decreased hyperosmotic stress resistance',B,C),compound_modulates_target(B,'through activation',D),participates_in_metabolism(D,'production of','D-glucose'))).)"", ""YKL126W_ilp399_feature(399,(gene(A):-exhibits_phenotype(A,'decreased hyperosmotic stress resistance',B,C),compound_modulates_target(B,'through activation',D),participates_in_metabolism(D,'consumption of',sucrose))).)"", ""YKL126W_ilp88_feature(88,(gene(A):-exhibits_phenotype(A,'decreased hyperosmotic stress resistance',B,C),compound_name(B,sucrose))).)"", ""YKL126W_ilp676_feature(676,(gene(A):-exhibits_phenotype(A,'decreased hyperosmotic stress resistance',B,C),compound_name(B,sucrose),condition(C,'Media containing 30% (w/v) sucrose'))).)"", ""YDR127W_ilp502_feature(502,(gene(A):-exhibits_phenotype(A,'decreased hyperosmotic stress resistance',B,C),compound_modulates_target(B,'through activation',D),participates_in_metabolism(D,'production of','D-fructose'))).)"", ""YLR113W_ilp417_feature(417,(gene(A):-exhibits_phenotype(A,'decreased hyperosmotic stress resistance',B,C),compound_modulates_target(B,'through activation',D),participates_in_metabolism(D,'consumption of',sucrose))).)""]"
YPL045W_ilp142	0.47140900876987113	0.24957667133849007	"[""YPL045W_ilp142_feature(142,(gene(A):-exhibits_phenotype(A,'decreased metal resistance',B,C),compound_name(B,'cobalt dichloride'))).)"", ""YLR240W_ilp73_feature(73,(gene(A):-exhibits_phenotype(A,'decreased metal resistance',B,C),compound_name(B,'cobalt dichloride'))).)"", ""YJL204C_ilp106_feature(106,(gene(A):-exhibits_phenotype(A,'decreased metal resistance',B,C),compound_name(B,'cobalt dichloride'))).)"", ""YER145C_ilp39_feature(39,(gene(A):-exhibits_phenotype(A,'decreased metal resistance',B,C),compound_name(B,'cobalt dichloride'))).)"", ""YNR006W_ilp137_feature(137,(gene(A):-exhibits_phenotype(A,'decreased metal resistance',B,C),compound_name(B,'cobalt dichloride'))).)""]"
YPL045W_ilp49	0.44707710201224415	0.3012756186828622	"[""YLR360W_ilp40_feature(40,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,'calcium dichloride'))).)"", ""YLR113W_ilp30_feature(30,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,'calcium dichloride'))).)"", ""YNR006W_ilp65_feature(65,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,'calcium dichloride'))).)"", ""YDR389W_ilp48_feature(48,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,'calcium dichloride'))).)"", ""YPL045W_ilp49_feature(49,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,'calcium dichloride'))).)"", ""YLR056W_ilp45_feature(45,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,'calcium dichloride'))).)"", ""YBR127C_ilp39_feature(39,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,'calcium dichloride'))).)""]"
YNR006W_ilp75	0.4230762742595738	0.2925114442311324	"[""YNR051C_ilp46_feature(46,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,'actinomycin D'))).)"", ""YJL204C_ilp29_feature(29,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,'actinomycin D'))).)"", ""YNR006W_ilp75_feature(75,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,'actinomycin D'))).)"", ""YLL043W_ilp42_feature(42,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,'actinomycin D'))).)"", ""YKL126W_ilp48_feature(48,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,'actinomycin D'))).)"", ""YLR360W_ilp39_feature(39,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,'actinomycin D'))).)"", ""YDR389W_ilp39_feature(39,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,'actinomycin D'))).)"", ""YDR028C_ilp22_feature(22,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,'actinomycin D'))).)""]"
YLR056W_ilp49	-0.3496311355622943	0.47258455111101816	"[""YDR028C_ilp45_feature(45,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,'bis(S-citronellalthiosemicarbazonato)nickel(II)'))).)"", ""YLR056W_ilp49_feature(49,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,'bis(S-citronellalthiosemicarbazonato)nickel(II)'))).)"", ""YBR127C_ilp33_feature(33,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,'bis(S-citronellalthiosemicarbazonato)nickel(II)'))).)"", ""YKL126W_ilp8_feature(8,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,'bis(S-citronellalthiosemicarbazonato)nickel(II)'))).)"", ""YOL091W_ilp11_feature(11,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,'bis(S-citronellalthiosemicarbazonato)nickel(II)'))).)"", ""YLL043W_ilp48_feature(48,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,'bis(S-citronellalthiosemicarbazonato)nickel(II)'))).)"", ""YJL095W_ilp59_feature(59,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,'bis(S-citronellalthiosemicarbazonato)nickel(II)'))).)"", ""YDR127W_ilp50_feature(50,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,'bis(S-citronellalthiosemicarbazonato)nickel(II)'))).)"", ""YDR389W_ilp21_feature(21,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,'bis(S-citronellalthiosemicarbazonato)nickel(II)'))).)"", ""YNR051C_ilp37_feature(37,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,'bis(S-citronellalthiosemicarbazonato)nickel(II)'))).)"", ""YJL204C_ilp20_feature(20,(gene(A):-exhibits_phenotype(A,'decreased resistance to chemicals',B,C),compound_name(B,'bis(S-citronellalthiosemicarbazonato)nickel(II)'))).)""]"
YPL045W_ilp6	-0.34455677341547825	0.1826953571508248	"[""YEL050C_ilp4_feature(4,(gene(A):-exhibits_phenotype(A,'increased heat sensitivity',B,C))).)"", ""YPL045W_ilp6_feature(6,(gene(A):-exhibits_phenotype(A,'increased heat sensitivity',B,C))).)"", ""YJL204C_ilp3_feature(3,(gene(A):-exhibits_phenotype(A,'increased heat sensitivity',B,C))).)"", ""YLR240W_ilp8_feature(8,(gene(A):-exhibits_phenotype(A,'increased heat sensitivity',B,C))).)"", ""YJL047C_ilp4_feature(4,(gene(A):-exhibits_phenotype(A,'increased heat sensitivity',B,C))).)"", ""YLR360W_ilp4_feature(4,(gene(A):-exhibits_phenotype(A,'increased heat sensitivity',B,C))).)"", ""YNR006W_ilp7_feature(7,(gene(A):-exhibits_phenotype(A,'increased heat sensitivity',B,C))).)"", ""YKL126W_ilp2_feature(2,(gene(A):-exhibits_phenotype(A,'increased heat sensitivity',B,C))).)"", ""YJL095W_ilp9_feature(9,(gene(A):-exhibits_phenotype(A,'increased heat sensitivity',B,C))).)"", ""YDR028C_ilp8_feature(8,(gene(A):-exhibits_phenotype(A,'increased heat sensitivity',B,C))).)"", ""YLL043W_ilp6_feature(6,(gene(A):-exhibits_phenotype(A,'increased heat sensitivity',B,C))).)"", ""YDR127W_ilp9_feature(9,(gene(A):-exhibits_phenotype(A,'increased heat sensitivity',B,C))).)"", ""YCR034W_ilp5_feature(5,(gene(A):-exhibits_phenotype(A,'increased heat sensitivity',B,C))).)"", ""YLR056W_ilp4_feature(4,(gene(A):-exhibits_phenotype(A,'increased heat sensitivity',B,C))).)"", ""YCR066W_ilp3_feature(3,(gene(A):-exhibits_phenotype(A,'increased heat sensitivity',B,C))).)""]"
YCR034W_ilp105	-0.32573622324147444	0.15826161559375754	"[""YLR113W_ilp82_feature(82,(gene(A):-exhibits_phenotype(A,'increased oxidative stress resistance',B,C),compound_name(B,paraquat))).)"", ""YMR216C_ilp58_feature(58,(gene(A):-exhibits_phenotype(A,'increased oxidative stress resistance',B,C),compound_name(B,paraquat))).)"", ""YEL050C_ilp77_feature(77,(gene(A):-exhibits_phenotype(A,'increased oxidative stress resistance',B,C),compound_name(B,paraquat))).)"", ""YCR034W_ilp105_feature(105,(gene(A):-exhibits_phenotype(A,'increased oxidative stress resistance',B,C),compound_name(B,paraquat))).)""]"
